unknown,TFIDF_cosine,libVar
6988.json,0.91345,RAWrabicaShamAY1
0761JamalDinIbnHisham.MasailSafariyya.JK006709-ara1,0.91343,RELEASE
1252IbnCabidinDimashqi.FawaidCajiba.Shamela0007000-ara1,0.73991,RELEASE
34701.json,0.72184,RAWrabicaShamAY3
2070.html,0.71841,RAWrabicaRafed
1252IbnCabidinDimashqi.FawaidCajiba.ShamAY0034701-ara1,0.71607,RELEASE
2087.html,0.7127,RAWrabicaRafed
1842.html,0.70631,RAWrabicaRafed
1844.html,0.70558,RAWrabicaRafed
2505.json,0.70223,RAWrabicaShamAY1
0761JamalDinIbnHisham.MughniLabib.Shia003952Vols-ara1,0.70215,RELEASE
6972.json,0.70213,RAWrabicaShamAY1
Shamela029882.txt,0.70146,raw_ShamelaY19
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.70122,RELEASE
0761JamalDinIbnHisham.MughniLabib.JK001131-ara1,0.70117,RELEASE
0761JamalDinIbnHisham.MughniLabib.Shamela0006972-ara1,0.70106,RELEASE
Sham30K0002505,0.70051,RAWrabica005000
36821.json,0.69787,RAWrabicaShamAY3
1547.json,0.69483,RAWrabicaShamAY1
Shamela095565.txt,0.69471,raw_ShamelaY19
803.json,0.69448,RAW_ABLibrary
95565.bok.json,0.69407,RAWrabicaSham19Y
0756TaqiDinSubki.Fatawa.JK007121-ara1,0.68855,RELEASE
12003.bok.json,0.68741,RAWrabicaSham19Y
0751IbnQayyimJawziyya.BadaicFawaid.Shamela0012003-ara1,0.68688,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.ShamAY0034433-ara1,0.68618,RELEASE
2679.html,0.6858,RAWrabicaRafed
0751IbnQayyimJawziyya.BadaicFawaid.JK000064-ara1,0.68569,RELEASE
9057.json,0.68545,RAWrabicaShamAY1
9057.bok.json,0.68497,RAWrabicaSham19Y
0756IbnYusufSaminHalabi.DurrMasun.Shamela0009057-ara1,0.68467,RELEASE
0756IbnYusufSaminHalabi.DurrMasun.Tafsir02079-ara1,0.68464,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.Tafsir02019-ara1,0.68462,RELEASE
0756TaqiDinSubki.Fatawa.Shamela0011498-ara1,0.68422,RELEASE
12003.json,0.68418,RAWrabicaShamAY2
34433.json,0.68416,RAWrabicaShamAY3
34422.json,0.68395,RAWrabicaShamAY3
2096.html,0.68369,RAWrabicaRafed
804.json,0.68302,RAW_ABLibrary
2416.html,0.68266,RAWrabicaRafed
0739JalalDinQazwini.IdahFiCulumBalagha.ShamAY0033778-ara1,0.68247,RELEASE
0739JalalDinQazwini.IdahFiCulumBalagha.JK001001-ara1,0.68238,RELEASE
3193.html,0.68224,RAWrabicaRafed
15559.automARkdown,0.68206,RAW_Ghbook
15676.automARkdown,0.6819,RAW_Ghbook
11498.json,0.68188,RAWrabicaShamAY2
Shamela019236.txt,0.68167,raw_ShamelaY19
0940IbnSulaymanIbnKamalBasha.TaghyirTanqih.ShamAY0037541-ara1,0.68087,RELEASE
0950ShaykhZadah.SharhQawacidIcrab.Sham19Y0019236-ara1,0.67995,RELEASE
33778.json,0.67973,RAWrabicaShamAY2
0773BahaDinSubki.CarusAfrah.Sham19Y0011151-ara1,0.67889,RELEASE
16322.automARkdown,0.6788,RAW_Ghbook
8402.json,0.6785,RAW_ABLibrary
14299.bok.json,0.67843,RAWrabicaSham19Y
0911Suyuti.CuqudZabarjad.Sham19Y0014299-ara1,0.67783,RELEASE
37995.json,0.67772,RAWrabicaShamAY3
Shamela037492.txt,0.67758,raw_ShamelaY19
870.json,0.67724,RAWrabicaShamAY1
0800IbnCadilHanbali.LubabFiCulumKitab.ShamAY0034056-ara1,0.6771,RELEASE
2978.html,0.67681,RAWrabicaRafed
002554Vols.automARkdown,0.67645,RAW_Masaha
37541.json,0.67636,RAWrabicaShamAY3
1878.html,0.67593,RAWrabicaRafed
0745AbuHayyanGharnati.TafsirBahrMuhit.JK007053-ara1,0.67585,RELEASE
31988.json,0.67561,RAWrabicaShamAY2
3095.html,0.6752,RAWrabicaRafed
1250Shawkani.DarariMudia.Zaydiyya0000266-ara1,0.6751,RELEASE
0792IbnCumarTaftazani.TalwihCalaTawdih.JK007110-ara1,0.67502,RELEASE
32697.json,0.67496,RAWrabicaShamAY2
2556.html,0.67478,RAWrabicaRafed
34056.json,0.67416,RAWrabicaShamAY2
1332QutbAtfayyish.HamayanZad.ShamIbadiyya0000050-ara1,0.67348,RELEASE
Shamela029555.txt,0.67344,raw_ShamelaY19
0745AbuHayyanGharnati.TadhyilTashil.Sham19Y0017116-ara1,0.67332,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.Shia002649Vols-ara1,0.67289,RELEASE
2815.html,0.67279,RAWrabicaRafed
2687.html,0.67255,RAWrabicaRafed
3203.html,0.67244,RAWrabicaRafed
0730IbnAhmadCalaDinBukhari.KashfAsrar.JK007126-ara1,0.67183,RELEASE
0911Suyuti.Iqtirah.Sham19Y0014246-ara1,0.67142,RELEASE
001263.automARkdown,0.67112,RAW_Masaha
Shia002351,0.67106,RAWrabica040000
