unknown,TFIDF_cosine,libVar
6972.json,0.99996,RAWrabicaShamAY1
0761JamalDinIbnHisham.MughniLabib.JK001131-ara1,0.99985,RELEASE
0761JamalDinIbnHisham.MughniLabib.Shia003952Vols-ara1,0.99472,RELEASE
1842.html,0.98457,RAWrabicaRafed
15559.automARkdown,0.95117,RAW_Ghbook
15676.automARkdown,0.95089,RAW_Ghbook
1844.html,0.90968,RAWrabicaRafed
Shia003952Vols,0.90915,RAWrabica045000
2087.html,0.8928,RAWrabicaRafed
0749BadrDinMisriMuradi.JanaDani.JK010091-ara1,0.89143,RELEASE
0749BadrDinMisriMuradi.JanaDani.Shamela0026099-ara1,0.89138,RELEASE
Shamela026099.txt,0.8911,raw_ShamelaY19
26099.json,0.88989,RAWrabicaShamAY2
15431.automARkdown,0.88264,RAW_Ghbook
3194.html,0.88141,RAWrabicaRafed
2096.html,0.87599,RAWrabicaRafed
Shamela019236.txt,0.86967,raw_ShamelaY19
0950ShaykhZadah.SharhQawacidIcrab.Sham19Y0019236-ara1,0.86888,RELEASE
37995.json,0.868,RAWrabicaShamAY3
2505.json,0.86691,RAWrabicaShamAY1
Sham30K0002505,0.86556,RAWrabica005000
36821.json,0.86489,RAWrabicaShamAY3
9057.bok.json,0.86252,RAWrabicaSham19Y
0756IbnYusufSaminHalabi.DurrMasun.Shamela0009057-ara1,0.86249,RELEASE
9057.json,0.86241,RAWrabicaShamAY1
0756IbnYusufSaminHalabi.DurrMasun.Tafsir02079-ara1,0.86237,RELEASE
6969.json,0.85148,RAWrabicaShamAY1
0761JamalDinIbnHisham.SharhShudhurDhahab.JK001231-ara1,0.85137,RELEASE
1824.html,0.85129,RAWrabicaRafed
0761JamalDinIbnHisham.SharhShudhurDhahab.Shamela0006969-ara1,0.85102,RELEASE
2070.html,0.84994,RAWrabicaRafed
3195.html,0.84657,RAWrabicaRafed
803.json,0.84009,RAW_ABLibrary
0761JamalDinIbnHisham.SharhQatrNada.JK000007-ara1,0.8394,RELEASE
Shamela150600.txt,0.83886,raw_ShamelaY19
0745AbuHayyanGharnati.TafsirBahrMuhit.Tafsir02019-ara1,0.83879,RELEASE
0761JamalDinIbnHisham.SharhQatrNada.Shamela0006970-ara1,0.83836,RELEASE
0769IbnFarhunBadrDin.CuddaFiIcrabCumda.Sham19Y0150600-ara1,0.83806,RELEASE
0800IbnCadilHanbali.LubabFiCulumKitab.ShamAY0034056-ara1,0.83796,RELEASE
0900IbnMuhammadNurDinAshmuni.SharhCalaAlfiyyatMalik.Shamela0011742-ara1,0.83741,RELEASE
34056.json,0.83634,RAWrabicaShamAY2
6970.json,0.83603,RAWrabicaShamAY1
0905IbnCabdAllahWaqqadAzhari.MuwassilTullab.Shamela0006973-ara1,0.83514,RELEASE
0905IbnCabdAllahWaqqadAzhari.MuwassilTullab.JK001179-ara1,0.83506,RELEASE
6973.json,0.8349,RAWrabicaShamAY1
0761JamalDinIbnHisham.TakhlisShawahid.Sham19Y0017916-ara1,0.83443,RELEASE
0739JalalDinQazwini.IdahFiCulumBalagha.JK001001-ara1,0.83062,RELEASE
0739JalalDinQazwini.IdahFiCulumBalagha.ShamAY0033778-ara1,0.83052,RELEASE
32584.json,0.8305,RAWrabicaShamAY2
0756TaqiDinSubki.Fatawa.JK007121-ara1,0.83032,RELEASE
2815.html,0.82989,RAWrabicaRafed
1547.json,0.82953,RAWrabicaShamAY1
Shamela095565.txt,0.82951,raw_ShamelaY19
2006.html,0.82943,RAWrabicaRafed
95565.bok.json,0.8292,RAWrabicaSham19Y
33778.json,0.82867,RAWrabicaShamAY2
Shamela147312.txt,0.82635,raw_ShamelaY19
