unknown,TFIDF_cosine,libVar
0871IbnFahdMakki.LahzAlhaz.Shia003348-ara1,0.98727,RELEASE
0871IbnFahdMakki.LahzAlhaz.JK004502-ara1,0.98665,RELEASE
34592.json,0.9849,RAWrabicaShamAY3
Sham30K0002721,0.98452,RAWrabica005000
830.json,0.98281,RAW_ABLibrary
0871IbnFahdMakki.LahzAlhaz.Shamela0007313-ara1,0.9806,RELEASE
7313.json,0.92349,RAWrabicaShamAY1
7313.bok.json,0.91912,RAWrabicaSham19Y
Shia003348,0.91621,RAWrabica045000
0765AbuMahasinHusayni.DhaylTadhkira.Shamela0007307-ara1,0.90915,RELEASE
829.json,0.88862,RAW_ABLibrary
0765AbuMahasinHusayni.DhaylTadhkira.Shia003313-ara1,0.88826,RELEASE
004231Vols.automARkdown,0.88663,RAW_Masaha
0832AbuTayyibFasi.DhaylTaqyid.Shamela0008884-ara1,0.88534,RELEASE
0832AbuTayyibFasi.DhaylTaqyid.JK000680-ara1,0.88322,RELEASE
38190.json,0.87733,RAWrabicaShamAY3
0765AbuMahasinHusayni.DhaylTadhkira.JK001250-ara1,0.87669,RELEASE
2138.html,0.87215,RAWrabicaRafed
0748Dhahabi.MucjamMuhaddithin.JK000763-ara1,0.86998,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK009262-ara1,0.86962,RELEASE
2137.html,0.86959,RAWrabicaRafed
2139.html,0.86911,RAWrabicaRafed
811.json,0.86797,RAW_ABLibrary
5728.bok.json,0.86772,RAWrabicaSham19Y
812.json,0.86677,RAW_ABLibrary
2982.html,0.86606,RAWrabicaRafed
5728.json,0.86571,RAWrabicaShamAY1
813.json,0.86549,RAW_ABLibrary
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.8649,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.86316,RELEASE
Shamela026726.txt,0.86241,raw_ShamelaY19
2311.html,0.86227,RAWrabicaRafed
38189.json,0.86199,RAWrabicaShamAY3
7307.json,0.86198,RAWrabicaShamAY1
2323.html,0.86138,RAWrabicaRafed
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.86099,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.86085,RELEASE
26726.json,0.85987,RAWrabicaShamAY2
7315.json,0.85961,RAWrabicaShamAY1
9063.json,0.85915,RAW_ABLibrary
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.85913,RELEASE
