unknown,TFIDF_cosine,libVar
0765AbuMahasinHusayni.IkmalLiRijal.Shamela0005850-ara1,0.99685,RELEASE
5850.json,0.99684,RAWrabicaShamAY1
5850.bok.json,0.99682,RAWrabicaSham19Y
0765AbuMahasinHusayni.IkmalLiRijal.JK000547-ara1,0.99681,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.JK000536-ara2,0.94606,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.ShamAY0034606-ara2,0.94589,RELEASE
38185.json,0.94527,RAWrabicaShamAY3
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.94459,RELEASE
1893.json,0.94432,RAWrabicaShamAY1
34606.json,0.94423,RAWrabicaShamAY3
Shia003314,0.93806,RAWrabica045000
0774IbnKathir.Takmil.Shamela0096228-ara1,0.93288,RELEASE
Shamela096228.txt,0.93254,raw_ShamelaY19
0748Dhahabi.Muqtana.Shamela0007271-ara1,0.89824,RELEASE
0748Dhahabi.Muqtana.JK001489-ara1,0.89737,RELEASE
0748Dhahabi.Kashif.JK000111-ara1,0.8931,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.Shia003325-ara2,0.88604,RELEASE
1375CabdAllahIbnImamHadiQasimi.JadawilSughra.Zaydiyya0000099-ara1,0.88497,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.88237,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.ShamAY0034614-ara1,0.8821,RELEASE
34614.json,0.88122,RAWrabicaShamAY3
0852IbnHajarCasqalani.LisanMizan.JK000534-ara2,0.87909,RELEASE
34014.json,0.87663,RAWrabicaShamAY2
Sham30K0038877,0.87655,RAWrabica025000
0852IbnHajarCasqalani.TahdhibTahdhib.Shamela0003310-ara2,0.87541,RELEASE
3310.json,0.87411,RAWrabicaShamAY1
0748Dhahabi.Kashif.Shia003276Vols-ara1,0.87331,RELEASE
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.Shia002282BK1-ara1,0.87321,RELEASE
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.JK006672BK1-ara1,0.87242,RELEASE
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.Shamela0005858BK1-ara1,0.87156,RELEASE
Shamela096963.txt,0.86979,raw_ShamelaY19
5847.json,0.86751,RAWrabicaShamAY1
0806IbnHusaynNajmDinCiraqi.DhaylMizan.JK001293BK2-ara1,0.86716,RELEASE
0806IbnHusaynZaynDinCiraqi.DhaylMizan.Shamela0005847-ara1,0.86696,RELEASE
