unknown,TFIDF_cosine,libVar
0851IbnQadiShuhba.TabaqatShaficiyya.JK000195-ara1,0.8569,RELEASE
6736.json,0.85603,RAWrabicaShamAY1
0851IbnQadiShuhba.TabaqatShaficiyya.Shamela0006736-ara1,0.85551,RELEASE
0851IbnQadiShuhba.TabaqatShaficiyya.JK000195-ara1,0.85536,RELEASE
1527.json,0.82413,RAWrabicaShamAY1
0772IbnHasanJamalDinIsnawi.TabaqatShaficiyya.ShamAY0034637-ara1,0.82076,RELEASE
0772IbnHasanJamalDinIsnawi.TabaqatShaficiyya.ShamAY0034637-ara1,0.81903,RELEASE
1581.json,0.8163,RAWrabicaShamAY1
34637.json,0.81596,RAWrabicaShamAY3
35959.json,0.81596,RAWrabicaShamAY3
37534.json,0.81574,RAWrabicaShamAY3
31785.json,0.81131,RAWrabicaShamAY2
37991.json,0.80538,RAWrabicaShamAY3
Shamela127703.txt,0.80137,raw_ShamelaY19
0852IbnHajarCasqalani.TalkhisHabir.Shamela0001581-ara1,0.80114,RELEASE
0660SultanCulamaCizzDinDimashqi.GhayaFiIkhtisarNihaya.Sham19Y0127703-ara1,0.80063,RELEASE
32249.json,0.80047,RAWrabicaShamAY2
Shamela021525.txt,0.79882,raw_ShamelaY19
2738.html,0.79828,RAWrabicaRafed
0660SultanCulamaCizzDinDimashqi.GhayaFiIkhtisarNihaya.Sham19Y0127703-ara1,0.79746,RELEASE
32554.json,0.79739,RAWrabicaShamAY2
0478ImamHaramaynJuwayni.NihayatMatlab.Shamela0009851-ara1,0.79706,RELEASE
0643IbnSalahShahrazuri.SharhMushkilWajiz.Sham19Y0021525-ara1,0.79702,RELEASE
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.79636,RELEASE
0643IbnSalahShahrazuri.SharhMushkilWajiz.Sham19Y0021525-ara1,0.79543,RELEASE
29677.bok.json,0.79481,RAWrabicaSham19Y
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.79476,RELEASE
3.json,0.79451,RAWrabicaShamAY1
80.json,0.79427,RAW_ABLibrary
0902Sakhawi.JawahirWaDurar.Sham19Y0017372-ara1,0.79315,RELEASE
1250Shawkani.BadrTalic.JK000998-ara1,0.79301,RELEASE
Shamela123665.txt,0.79233,raw_ShamelaY19
Sham30K0002807,0.79127,RAWrabica005000
0902Sakhawi.JawahirWaDurar.Sham19Y0017372-ara1,0.79104,RELEASE
Shamela038093.txt,0.79069,raw_ShamelaY19
6671.json,0.7904,RAWrabicaShamAY1
21.json,0.79015,RAWrabicaShamAY1
876.html,0.79003,RAWrabicaRafed
1250Shawkani.BadrTalic.JK000998-ara1,0.78975,RELEASE
0543IbnCarabiIshbili.MasalikFiSharhMuwatta.Sham19Y0123665-ara1,0.7897,RELEASE
1236.json,0.7895,RAWrabicaShamAY1
1250Shawkani.BadrTalic.Shamela0006671-ara1,0.7894,RELEASE
9943.json,0.78935,RAWrabicaShamAY1
38093.bok.json,0.78925,RAWrabicaSham19Y
0681IbnKhallikan.WafayatAcyan.Shamela0001000-ara1,0.78866,RELEASE
8634.bok.json,0.78862,RAWrabicaSham19Y
1317KhayrDinAlusi.JalaCaynayn.Zaydiyya0000379-ara1,0.7884,RELEASE
8634.json,0.78839,RAWrabicaShamAY1
Shamela019230.txt,0.78792,raw_ShamelaY19
0838ShihabDinDalji.Falaka.Shamela0036075-ara1,0.78784,RELEASE
Shamela020642.txt,0.78721,raw_ShamelaY19
Sham30K0002682,0.78718,RAWrabica005000
133377.bok.json,0.78713,RAWrabicaSham19Y
1000.json,0.78709,RAWrabicaShamAY1
0681IbnKhallikan.WafayatAcyan.Shamela0001000-ara1,0.78701,RELEASE
0805SirajDinBulqini.TadribFiFiqhShafici.Sham19Y0019230-ara1,0.7869,RELEASE
003486.automARkdown,0.78682,RAW_Masaha
9080.json,0.78625,RAW_ABLibrary
Sham30K0044090,0.78607,RAWrabica030000
28.json,0.78607,RAWrabicaShamAY1
0702IbnDaqiqCidQushayri.SharhIlmamBiAhadith.Sham19Y0018100-ara1,0.78571,RELEASE
0805SirajDinBulqini.TadribFiFiqhShafici.Sham19Y0019230-ara1,0.78559,RELEASE
2267.html,0.78555,RAWrabicaRafed
1014IbnHidayaHusayni.TabaqatShaficiyya.ShamAY0034643-ara1,0.78537,RELEASE
2102.json,0.78531,RAWrabicaShamAY1
1317KhayrDinAlusi.JalaCaynayn.Zaydiyya0000379-ara1,0.78522,RELEASE
1330IbnMusaTabrizi.MiratKutub.Shia003359-ara1,0.78487,RELEASE
Shamela096882.txt,0.78483,raw_ShamelaY19
1317KhayrDinAlusi.JalaCaynayn.Shamela0009943-ara1,0.78461,RELEASE
0838ShihabDinDalji.Falaka.Shamela0036075-ara1,0.78421,RELEASE
0702IbnDaqiqCidQushayri.SharhIlmamBiAhadith.Sham19Y0018100-ara1,0.78407,RELEASE
36075.bok.json,0.78384,RAWrabicaSham19Y
1014IbnHidayaHusayni.TabaqatShaficiyya.ShamAY0034643-ara1,0.78358,RELEASE
1788.json,0.78333,RAWrabicaShamAY1
1307Qannawji.HittaFiDhikr.Shamela0010717-ara1,0.78317,RELEASE
10717.json,0.78306,RAWrabicaShamAY1
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000038-ara1,0.78295,RELEASE
Shamela037456.txt,0.78236,raw_ShamelaY19
Shamela029677.txt,0.78227,raw_ShamelaY19
821.json,0.78215,RAWrabicaShamAY1
0902Sakhawi.ManhalCadhb.Shamela0000317-ara1,0.78197,RELEASE
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.78097,RELEASE
Shamela036075.txt,0.78093,raw_ShamelaY19
1307Qannawji.HittaFiDhikr.Shamela0010717-ara1,0.78077,RELEASE
1307Qannawji.HittaFiDhikr.JK000971-ara1,0.78064,RELEASE
317.json,0.78057,RAWrabicaShamAY1
31743.json,0.78044,RAWrabicaShamAY2
1346KhalilAhmadSaharanpuri.BadhlMajhud.Sham19Y0014601-ara1,0.78018,RELEASE
0681IbnKhallikan.WafayatAcyan.Shia003505Vols-ara1,0.78014,RELEASE
0902Sakhawi.ManhalCadhb.Shamela0000317-ara1,0.77996,RELEASE
0902Sakhawi.ManhalCadhb.JK010317-ara1,0.77993,RELEASE
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.7796,RELEASE
Shamela127654.txt,0.77951,raw_ShamelaY19
Sham30K0043938,0.77941,RAWrabica030000
32509.json,0.77933,RAWrabicaShamAY2
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000038-ara1,0.77921,RELEASE
003519.automARkdown,0.77909,RAW_Masaha
1330IbnMusaTabrizi.MiratKutub.Shia003359-ara1,0.77893,RELEASE
1067HajjiKhalifa.SullamWusul.Sham19Y0019199-ara1,0.77872,RELEASE
0852IbnHajarCasqalani.NuzhatNazar.Sham19Y0037456-ara1,0.77839,RELEASE
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.77838,RELEASE
0681IbnKhallikan.WafayatAcyan.JK001318-ara1,0.77825,RELEASE
32275.json,0.77817,RAWrabicaShamAY2
Shamela023798.txt,0.77788,raw_ShamelaY19
1346KhalilAhmadSaharanpuri.BadhlMajhud.Sham19Y0014601-ara1,0.77782,RELEASE
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.7778,RELEASE
Shamela019199.txt,0.77759,raw_ShamelaY19
9774.json,0.77739,RAW_ABLibrary
002513Vols.automARkdown,0.7771,RAW_Masaha
0676Nawawi.IrshadTullabHaqaiq.Sham19Y0127654-ara1,0.77706,RELEASE
Shamela023611.txt,0.77701,raw_ShamelaY19
9804.json,0.77696,RAWrabicaShamAY1
