unknown,TFIDF_cosine,libVar
0774IbnKathir.NihayaFiFitan.Shamela0011818-ara1,0.99966,RELEASE
33758.json,0.99463,RAWrabicaShamAY2
Sham30K0034086,0.99438,RAWrabica020000
11818.json,0.9907,RAWrabicaShamAY2
0774IbnKathir.TafsirQuran.Shamela0008473-ara1,0.91387,RELEASE
0774IbnKathir.TafsirQuran.ShamAY0034045-ara5,0.91322,RELEASE
3489.html,0.91207,RAWrabicaRafed
8619.json,0.9085,RAW_ABLibrary
Shamela149015.txt,0.90582,raw_ShamelaY19
1161.json,0.90488,RAWrabicaShamAY1
33938.json,0.90285,RAWrabicaShamAY2
149015.bok.json,0.89835,RAWrabicaSham19Y
3408.html,0.89795,RAWrabicaRafed
887.json,0.89527,RAW_ABLibrary
35075.json,0.89445,RAWrabicaShamAY3
3409.html,0.89311,RAWrabicaRafed
33985.json,0.89118,RAWrabicaShamAY2
34123.json,0.89033,RAWrabicaShamAY2
0807NurDinHaythami.BughyatBahith.ShamAY0033985-ara1,0.89024,RELEASE
Shamela096868.txt,0.8899,raw_ShamelaY19
13091.json,0.88983,RAWrabicaShamAY2
33971.json,0.88922,RAWrabicaShamAY2
2020.json,0.88873,RAWrabicaShamAY1
33953.json,0.88862,RAWrabicaShamAY2
Shamela021809.txt,0.8862,raw_ShamelaY19
882.json,0.88578,RAW_ABLibrary
0774IbnKathir.JamicMasanid.Shamela0021809-ara1,0.88575,RELEASE
0911Suyuti.DibajCalaMuslim.Shia001831Vols-ara1,0.88561,RELEASE
0751IbnQayyimJawziyya.JalaAfham.ShamAY0034424-ara3,0.88396,RELEASE
0774IbnKathir.FadailQuran.Shamela0022800-ara1,0.88335,RELEASE
34424.json,0.88315,RAWrabicaShamAY3
32009.json,0.8828,RAWrabicaShamAY2
6829.json,0.88277,RAWrabicaShamAY1
4445.json,0.88262,RAWrabicaShamAY1
0774IbnKathir.Bidaya.Sham30K0004445-ara1,0.88222,RELEASE
13047.bok.json,0.88221,RAWrabicaSham19Y
0774IbnKathir.Bidaya.Shamela0004445-ara1,0.88214,RELEASE
0751IbnQayyimJawziyya.JalaAfham.JK000088-ara1,0.88209,RELEASE
0751IbnQayyimJawziyya.JalaAfham.Shamela0006829-ara1,0.88192,RELEASE
13047.json,0.88185,RAWrabicaShamAY2
Shamela022800.txt,0.8817,raw_ShamelaY19
33963.json,0.88059,RAWrabicaShamAY2
Shamela022547.txt,0.88055,raw_ShamelaY19
13157.json,0.88044,RAWrabicaShamAY2
22547.json,0.88011,RAWrabicaShamAY2
0807NurDinHaythami.GhayatMaqsad.Shamela0009567-ara1,0.87996,RELEASE
9567.bok.json,0.87989,RAWrabicaSham19Y
Sham30K0033991,0.87973,RAWrabica020000
9567.json,0.87954,RAWrabicaShamAY1
3414.html,0.87909,RAWrabicaRafed
0748Dhahabi.SiyarAclamNubala.Shamela0010906-ara1,0.8788,RELEASE
0774IbnKathir.Bidaya.Shia003593Vols-ara2,0.87805,RELEASE
0774IbnKathir.Bidaya.Sham30K0041451-ara1,0.87782,RELEASE
0774IbnKathir.Bidaya.Shamela0023708-ara4,0.87769,RELEASE
Shamela023708.txt,0.87761,raw_ShamelaY19
0774IbnKathir.Bidaya.Shamela0008376-ara2,0.87759,RELEASE
0748Dhahabi.TarikhIslam.Shamela0022771-ara1,0.87752,RELEASE
33974.json,0.87739,RAWrabicaShamAY2
0774IbnKathir.Bidaya.Sham30K0023708-ara4,0.87703,RELEASE
32027.json,0.87692,RAWrabicaShamAY2
13092.json,0.87644,RAWrabicaShamAY2
13027.json,0.87635,RAWrabicaShamAY2
23708.json,0.87617,RAWrabicaShamAY2
10765.json,0.8759,RAWrabicaShamAY2
Shamela022771.txt,0.87585,raw_ShamelaY19
Shamela148097.txt,0.87444,raw_ShamelaY19
12999.json,0.87441,RAWrabicaShamAY2
001924Vols.automARkdown,0.8744,RAW_Masaha
34007.json,0.87391,RAWrabicaShamAY2
37435.json,0.87353,RAWrabicaShamAY3
Shia003470,0.87277,RAWrabica045000
17878.bok.json,0.87268,RAWrabicaSham19Y
32663.json,0.87263,RAWrabicaShamAY2
33814.json,0.87238,RAWrabicaShamAY2
33960.json,0.87166,RAWrabicaShamAY2
9698.json,0.87146,RAWrabicaShamAY1
0842IbnNasirDinDimashqi.JamicAthar.ShamAY0034447-ara1,0.87135,RELEASE
Shamela026039.txt,0.87133,raw_ShamelaY19
10906.json,0.87131,RAWrabicaShamAY2
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.87074,RELEASE
34447.json,0.87063,RAWrabicaShamAY3
0774IbnKathir.MusnadCumarIbnKhattab.Shamela0026039-ara1,0.87063,RELEASE
26039.json,0.87051,RAWrabicaShamAY2
1160.json,0.86925,RAWrabicaShamAY1
1719.json,0.86917,RAWrabicaShamAY1
32518.json,0.86913,RAWrabicaShamAY2
Shamela036998.txt,0.86868,raw_ShamelaY19
17903.bok.json,0.86865,RAWrabicaSham19Y
23678.json,0.86858,RAWrabicaShamAY2
0774IbnKathir.Bidaya.Shamela0023678-ara5,0.86844,RELEASE
3410.html,0.86802,RAWrabicaRafed
103.json,0.86783,RAWrabicaShamAY1
5923.json,0.8674,RAWrabicaShamAY1
13090.json,0.86737,RAWrabicaShamAY2
Shamela021545.txt,0.86728,raw_ShamelaY19
23678.bok.json,0.86726,RAWrabicaSham19Y
0774IbnKathir.TafsirQuran.JK000161-ara2,0.86702,RELEASE
8376.json,0.86675,RAWrabicaShamAY1
Shamela037009.txt,0.86661,raw_ShamelaY19
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.8665,RELEASE
13013.json,0.86619,RAWrabicaShamAY2
1201.json,0.8661,RAWrabicaShamAY1
13086.json,0.86609,RAWrabicaShamAY2
0699ShihabDinIshbiliLakhmi.MukhtasarKhilafiyyat.Shamela0006227-ara1,0.86605,RELEASE
32955.json,0.86584,RAWrabicaShamAY2
Shamela023678.txt,0.86581,raw_ShamelaY19
6227.json,0.86567,RAWrabicaShamAY1
Shamela023604.txt,0.86554,raw_ShamelaY19
0774IbnKathir.Bidaya.JK000158-ara3,0.86544,RELEASE
