unknown,TFIDF_cosine,libVar
34063.json,0.99975,RAWrabicaShamAY2
0774IbnKathir.TafsirQuran.JK000161-ara2,0.99284,RELEASE
0774IbnKathir.TafsirQuran.Shamela0023604-ara4,0.99197,RELEASE
Shamela023604.txt,0.99162,raw_ShamelaY19
0774IbnKathir.TafsirQuran.Tafsir01007-ara7,0.98901,RELEASE
23604.json,0.98071,RAWrabicaShamAY2
3407.html,0.97942,RAWrabicaRafed
0774IbnKathir.TafsirQuran.Shia002658Vols-ara6,0.97705,RELEASE
Shia002658Vols,0.96338,RAWrabica040000
0774IbnKathir.TafsirQuran.ShamAY0034045-ara5,0.94249,RELEASE
Shamela037048.txt,0.92512,raw_ShamelaY19
112.json,0.92205,RAWrabicaShamAY1
3408.html,0.92038,RAWrabicaRafed
3414.html,0.91404,RAWrabicaRafed
8376.json,0.91278,RAWrabicaShamAY1
Shamela023708.txt,0.91271,raw_ShamelaY19
0774IbnKathir.Bidaya.Sham30K0023708-ara4,0.91243,RELEASE
4445.json,0.91242,RAWrabicaShamAY1
0774IbnKathir.Bidaya.Shamela0023708-ara4,0.91233,RELEASE
0774IbnKathir.Bidaya.Sham30K0008376-ara2,0.91204,RELEASE
0774IbnKathir.Bidaya.Sham30K0004445-ara1,0.91195,RELEASE
0774IbnKathir.Bidaya.Sham30K0036126-ara2,0.91181,RELEASE
23708.json,0.91176,RAWrabicaShamAY2
0774IbnKathir.Bidaya.Shamela0004445-ara1,0.91172,RELEASE
0774IbnKathir.Bidaya.Shia003593Vols-ara2,0.91098,RELEASE
0774IbnKathir.Bidaya.Sham30K0041451-ara1,0.91078,RELEASE
0774IbnKathir.Bidaya.Shamela0008376-ara2,0.91072,RELEASE
Sham30K0008376,0.91009,RAWrabica010000
001924Vols.automARkdown,0.90866,RAW_Masaha
3409.html,0.90859,RAWrabicaRafed
0774IbnKathir.TafsirQuran.Shamela0008473-ara1,0.90571,RELEASE
3412.html,0.9046,RAWrabicaRafed
0774IbnKathir.Bidaya.JK000158-ara3,0.90216,RELEASE
0774IbnKathir.Bidaya.Sham30K0045182-ara3,0.90187,RELEASE
Shia003593Vols,0.9018,RAWrabica045000
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,0.9002,RELEASE
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shamela0020855-ara1,0.89921,RELEASE
Shamela020855.txt,0.8978,raw_ShamelaY19
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.JK000160-ara1,0.89742,RELEASE
495.json,0.89586,RAWrabicaShamAY1
Shamela022800.txt,0.89455,raw_ShamelaY19
33121.json,0.89442,RAWrabicaShamAY2
Shamela147666.txt,0.89441,raw_ShamelaY19
10463.json,0.89411,RAWrabicaShamAY1
0795IbnRajabHanbali.RawaicTafsir.Shamela0010463-ara1,0.89403,RELEASE
Shamela0008376,0.89374,RAWrabica035000
32009.json,0.8935,RAWrabicaShamAY2
3410.html,0.89071,RAWrabicaRafed
0774IbnKathir.Bidaya.Sham30K0032354-ara3,0.88956,RELEASE
21549.bok.json,0.88942,RAWrabicaSham19Y
3413.html,0.88918,RAWrabicaRafed
1696.json,0.88912,RAWrabicaShamAY1
43.json,0.88853,RAWrabicaShamAY1
Shamela021549.txt,0.88851,raw_ShamelaY19
0774IbnKathir.FadailQuran.Shamela0022800-ara1,0.88833,RELEASE
0671AbuCabdAllahQurtubi.TadhkarFiAfdalAdhkar.ShamAY0033729-ara1,0.88697,RELEASE
35121.json,0.88685,RAWrabicaShamAY3
33729.json,0.88656,RAWrabicaShamAY2
32551.json,0.88548,RAWrabicaShamAY2
34809.json,0.88195,RAWrabicaShamAY3
3411.html,0.88175,RAWrabicaRafed
1669.html,0.88138,RAWrabicaRafed
7375.json,0.88113,RAWrabicaShamAY1
1671.html,0.8802,RAWrabicaRafed
Shamela096928.txt,0.8794,raw_ShamelaY19
Shamela148870.txt,0.87856,raw_ShamelaY19
0751IbnQayyimJawziyya.JalaAfham.ShamAY0034424-ara3,0.87768,RELEASE
0774IbnKathir.QisasAnbiya.Shia003721Vols-ara1,0.87747,RELEASE
34123.json,0.87686,RAWrabicaShamAY2
34424.json,0.87681,RAWrabicaShamAY3
41.json,0.87634,RAWrabicaShamAY1
0774IbnKathir.QisasAnbiya.Shamela0000932-ara1,0.87623,RELEASE
932.json,0.87514,RAWrabicaShamAY1
0751IbnQayyimJawziyya.AclamMuwaqqicin.ShamAY0034411-ara1,0.87497,RELEASE
0932.bok.json,0.87467,RAWrabicaSham19Y
Sham30K0034070,0.87392,RAWrabica020000
34411.json,0.87386,RAWrabicaShamAY3
6829.json,0.87341,RAWrabicaShamAY1
1450MuhammadCaliSabuni.MukhtasarTafsirIbnKathir.Tafsir09084-ara1,0.87309,RELEASE
Shia002468Vols,0.87297,RAWrabica040000
0751IbnQayyimJawziyya.JalaAfham.JK000088-ara1,0.8729,RELEASE
0751IbnQayyimJawziyya.JalaAfham.Shamela0006829-ara1,0.87233,RELEASE
11496.bok.json,0.87216,RAWrabicaSham19Y
Shamela037009.txt,0.87215,raw_ShamelaY19
17878.bok.json,0.87211,RAWrabicaSham19Y
0751IbnQayyimJawziyya.AclamMuwaqqicin.Shamela0011496-ara1,0.8718,RELEASE
11496.json,0.87163,RAWrabicaShamAY2
32663.json,0.87163,RAWrabicaShamAY2
7798.json,0.87133,RAWrabicaShamAY1
37298.json,0.87127,RAWrabicaShamAY3
104.json,0.87094,RAWrabicaShamAY1
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.87061,RELEASE
35960.json,0.86821,RAWrabicaShamAY3
1672.html,0.86805,RAWrabicaRafed
32483.json,0.86784,RAWrabicaShamAY2
35075.json,0.86777,RAWrabicaShamAY3
0911Suyuti.DibajCalaMuslim.Shia001831Vols-ara1,0.86776,RELEASE
1661.html,0.86768,RAWrabicaRafed
Shia002616Vols,0.86763,RAWrabica040000
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.86709,RELEASE
1649.html,0.86677,RAWrabicaRafed
2044.json,0.86674,RAWrabicaShamAY1
8427.json,0.86674,RAW_ABLibrary
882.json,0.86642,RAW_ABLibrary
Shamela023163.txt,0.86626,raw_ShamelaY19
96928.bok.json,0.86591,RAWrabicaSham19Y
6856.json,0.86591,RAWrabicaShamAY1
1218SalihFulani.IqazHimam.Shamela0006856-ara1,0.8654,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.86534,RELEASE
23163.json,0.8652,RAWrabicaShamAY2
32195.json,0.86483,RAWrabicaShamAY2
0633IbnHasanIbnDihyaKalbi.AyatBayyinat.ShamAY0033556-ara1,0.8645,RELEASE
Sham30K0002503,0.86439,RAWrabica005000
37265.json,0.86437,RAWrabicaShamAY3
8376.json,0.86427,RAW_ABLibrary
0728IbnTaymiyya.IqtidaSirat.ShamAY0034358-ara1,0.86414,RELEASE
8377.json,0.86369,RAW_ABLibrary
10900.json,0.8636,RAWrabicaShamAY2
86.html,0.86335,RAWrabicaRafed
32117.json,0.86314,RAWrabicaShamAY2
0795IbnRajabHanbali.AhwalQubur.ShamAY0033761-ara3,0.86313,RELEASE
33873.json,0.86307,RAWrabicaShamAY2
33556.json,0.86291,RAWrabicaShamAY2
Shamela021502.txt,0.86284,raw_ShamelaY19
149015.bok.json,0.86261,RAWrabicaSham19Y
0728IbnTaymiyya.IqtidaSirat.JK000367-ara1,0.86254,RELEASE
0795IbnRajabHanbali.AhwalQubur.ShamAY0033754-ara2,0.86228,RELEASE
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.86218,RELEASE
