unknown,TFIDF_cosine,libVar
580.json,0.99997,RAWrabicaShamAY1
0776IbnAbiHajalaShihabDinMaghribi.DiwanSababa.JK010580-ara1,0.99997,RELEASE
Sham30K0033827,0.99943,RAWrabica020000
0751IbnQayyimJawziyya.RawdatMuhibbin.JK000063-ara1,0.84204,RELEASE
0751IbnQayyimJawziyya.RawdatMuhibbin.Shamela0011229-ara1,0.84105,RELEASE
11229.json,0.839,RAWrabicaShamAY2
0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya.Shamela0000724-ara1,0.83077,RELEASE
0692IbnCisaBahaDinIrbili.TadhkiraFakhriyya.JK010724-ara1,0.83072,RELEASE
1031BahaDinCamili.Kashkul.JK009365-ara1,0.83058,RELEASE
1031BahaDinCamili.Kashkul.Shamela0001571-ara1,0.82998,RELEASE
1571.json,0.82969,RAWrabicaShamAY1
724.json,0.82965,RAWrabicaShamAY1
514.json,0.82875,RAWrabicaShamAY1
0764Safadi.NusratThair.Shamela0000514-ara1,0.82861,RELEASE
0764Safadi.NusratThair.JK010514-ara1,0.82855,RELEASE
0514.bok.json,0.82845,RAWrabicaSham19Y
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.82825,RELEASE
622.json,0.82707,RAWrabicaShamAY1
Shamela037345.txt,0.82592,raw_ShamelaY19
10518.json,0.82506,RAWrabicaShamAY1
1304HaydarIbnSulaymanHilli.CiqdMufassal.Shamela0005448-ara1,0.82091,RELEASE
0718AbuIshaqWatwat.GhurarKhasais.JK010627-ara2,0.81976,RELEASE
0718AbuIshaqWatwat.GhurarKhasais.Shamela0001349-ara1,0.81966,RELEASE
1349.json,0.81927,RAWrabicaShamAY1
1253IbnMuhammadAnsariShirwani.NafhatYaman.Shamela0035888-ara1,0.81893,RELEASE
819.json,0.81767,RAWrabicaShamAY1
26102.bok.json,0.81761,RAWrabicaSham19Y
5448.json,0.8168,RAWrabicaShamAY1
0738.bok.json,0.81674,RAWrabicaSham19Y
738.json,0.8163,RAWrabicaShamAY1
Shamela036072.txt,0.81602,raw_ShamelaY19
1022.json,0.81602,RAWrabicaShamAY1
Shamela026102.txt,0.81596,raw_ShamelaY19
Shamela035888.txt,0.81478,raw_ShamelaY19
26102.json,0.81474,RAWrabicaShamAY2
Sham30K0033843,0.81448,RAWrabica020000
1008DawudAntaki.TazyinAswaq.Shamela0000630-ara1,0.813,RELEASE
