unknown,TFIDF_cosine,libVar
0792SadrDinIbnAbiCizzAdhraci.Ittibac.Shamela0006248-ara1,0.9999,RELEASE
6248.json,0.99983,RAWrabicaShamAY1
0728IbnTaymiyya.RafcMalam.ShamAY0034383-ara1,0.8444,RELEASE
0728IbnTaymiyya.RafcMalam.ShamAY0034383-ara1,0.84379,RELEASE
1225IbnNasirNajdi.MajmucatRasail.Shamela0011380-ara1,0.83821,RELEASE
1225IbnNasirNajdi.MajmucatRasail.Shamela0011380-ara1,0.83801,RELEASE
11380.json,0.83721,RAWrabicaShamAY2
0676Nawawi.Majmuc.Shia000841Vols-ara1,0.83481,RELEASE
0676Nawawi.Majmuc.Shia000841Vols-ara1,0.83453,RELEASE
0676Nawawi.Majmuc.Shamela0002186-ara1,0.83452,RELEASE
2186.json,0.83404,RAWrabicaShamAY1
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.82886,RELEASE
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.82869,RELEASE
9690.json,0.82782,RAWrabicaShamAY1
8913.json,0.82778,RAW_ABLibrary
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.82701,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.JK007084-ara1,0.82684,RELEASE
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.82647,RELEASE
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.82592,RELEASE
34247.json,0.82588,RAWrabicaShamAY3
0728IbnTaymiyya.FatawaKubra.Shamela0009690-ara1,0.82586,RELEASE
6137.json,0.82499,RAWrabicaShamAY1
0728IbnTaymiyya.JamicMasail.Sham19Y0013652-ara1,0.82496,RELEASE
37973.json,0.82494,RAWrabicaShamAY3
0643IbnSalahShahrazuri.Fatawa.Shamela0006137-ara1,0.82489,RELEASE
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.82472,RELEASE
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.82443,RELEASE
0778BadrDinBacli.MukhtasarFatawaMisriyya.Shamela0006104-ara1,0.82424,RELEASE
1627.json,0.82414,RAWrabicaShamAY1
0643IbnSalahShahrazuri.Fatawa.Shamela0006137-ara1,0.8237,RELEASE
0728IbnTaymiyya.JawabFiHilf.ShamAY0034353-ara1,0.82368,RELEASE
0643IbnSalahShahrazuri.Fatawa.JK006986-ara1,0.82365,RELEASE
11353.json,0.82348,RAWrabicaShamAY2
7597.json,0.82337,RAWrabicaShamAY1
0778BadrDinBacli.MukhtasarFatawaMisriyya.Shamela0006104-ara1,0.82324,RELEASE
0778BadrDinBacli.MukhtasarFatawaMisriyya.JK000235-ara1,0.82306,RELEASE
Shamela021688.txt,0.82292,raw_ShamelaY19
11406.bok.json,0.82244,RAWrabicaSham19Y
7597.bok.json,0.82243,RAWrabicaSham19Y
1299MuhammadCulayshMaliki.FathCali.Shamela0021688-ara1,0.82235,RELEASE
34353.json,0.82217,RAWrabicaShamAY3
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.82205,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0018128-ara1,0.82204,RELEASE
6820.json,0.82185,RAWrabicaShamAY1
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.82177,RELEASE
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.8217,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.82161,RELEASE
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.8216,RELEASE
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.82138,RELEASE
1299MuhammadCulayshMaliki.FathCali.Shamela0021688-ara1,0.82134,RELEASE
9993.json,0.82124,RAWrabicaShamAY1
6820.bok.json,0.82096,RAWrabicaSham19Y
422.json,0.82068,RAWrabicaShamAY1
Shamela022890.txt,0.82053,raw_ShamelaY19
11406.json,0.82043,RAWrabicaShamAY2
1090KhamisShiqsi.MinhajTalibin.ShamIbadiyya0000185-ara1,0.82037,RELEASE
1176ShahWaliAllahDihlawi.InsafFiBayan.JK000295-ara1,0.82037,RELEASE
1090KhamisShiqsi.MinhajTalibin.ShamIbadiyya0000185-ara1,0.82034,RELEASE
11730.bok.json,0.82025,RAWrabicaSham19Y
34363.json,0.82015,RAWrabicaShamAY3
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.82011,RELEASE
21688.json,0.82008,RAWrabicaShamAY2
0728IbnTaymiyya.Istiqama.JK000028-ara1,0.82004,RELEASE
0728IbnTaymiyya.Istiqama.JK000028-ara1,0.81979,RELEASE
0728IbnTaymiyya.Istiqama.Shamela0006820-ara1,0.81969,RELEASE
1176ShahWaliAllahDihlawi.InsafFiBayan.JK000295-ara1,0.81955,RELEASE
1176ShahWaliAllahDihlawi.InsafFiBayan.Shamela0000422-ara1,0.81948,RELEASE
8555.json,0.8193,RAWrabicaShamAY1
1285IbnHasanAlShaykh.Iman.Shamela0009841-ara1,0.81901,RELEASE
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.819,RELEASE
1307Qannawji.RawdaNadiyya.Shamela0009293-ara1,0.81898,RELEASE
1285IbnHasanAlShaykh.Iman.Shamela0009841-ara1,0.81888,RELEASE
26332.json,0.81854,RAWrabicaShamAY2
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.JK006892-ara1,0.81841,RELEASE
11730.json,0.81839,RAWrabicaShamAY2
Shamela026332.txt,0.81835,raw_ShamelaY19
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.81831,RELEASE
Shamela037781.txt,0.81813,raw_ShamelaY19
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.81795,RELEASE
12034.bok.json,0.81793,RAWrabicaSham19Y
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.81784,RELEASE
33429.json,0.81777,RAWrabicaShamAY2
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.81767,RELEASE
35204.json,0.81755,RAWrabicaShamAY3
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.81752,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.81745,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.81709,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.81705,RELEASE
0728IbnTaymiyya.MinTurathShaykh.Shamela0013088-ara1,0.81679,RELEASE
0728IbnTaymiyya.MinTurathShaykh.Shamela0013088-ara1,0.81672,RELEASE
34371.json,0.81667,RAWrabicaShamAY3
3437.html,0.8163,RAWrabicaRafed
12034.json,0.81617,RAWrabicaShamAY2
1349IbnSahmanKhathcami.DiyaShariq.Shamela0007664-ara1,0.81596,RELEASE
9293.json,0.81561,RAWrabicaShamAY1
0728IbnTaymiyya.RasailWaFatawa.JK006950-ara1,0.8155,RELEASE
1349IbnSahmanKhathcami.DiyaShariq.Shamela0007664-ara1,0.8154,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0017835-ara1,0.81531,RELEASE
0728IbnTaymiyya.RasailWaFatawa.JK006950-ara1,0.81528,RELEASE
Shamela145376.txt,0.81526,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0018124-ara1,0.81504,RELEASE
35699.json,0.81498,RAWrabicaShamAY3
3902.html,0.81489,RAWrabicaRafed
0728IbnTaymiyya.JamicMasail.Sham19Y0016953-ara1,0.81447,RELEASE
1293CabdLatifAlShaykh.CuyunRasailwaAjwiba.Shamela0011379-ara1,0.81441,RELEASE
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.81409,RELEASE
6309.json,0.814,RAWrabicaShamAY1
0981IbnMusaMuwaqqitDimashqi.CiqdTalid.Shamela0010016-ara1,0.81387,RELEASE
35721.json,0.81376,RAWrabicaShamAY3
31674.json,0.81373,RAWrabicaShamAY2
0508MuhammadIbnIbrahimKindi.BayanSharc.ShamIbadiyya0000967-ara1,0.81367,RELEASE
0728IbnTaymiyya.JamicMasail.Shamela0022797-ara1,0.81354,RELEASE
8911.json,0.81344,RAW_ABLibrary
1293CabdLatifAlShaykh.MinhajTasisWaTaqdis.Shamela0012094-ara1,0.81336,RELEASE
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034352-ara1,0.81335,RELEASE
6309.bok.json,0.81335,RAWrabicaSham19Y
7664.json,0.81331,RAWrabicaShamAY1
0981IbnMusaMuwaqqitDimashqi.CiqdTalid.Shamela0010016-ara1,0.81318,RELEASE
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034352-ara1,0.81314,RELEASE
0728IbnTaymiyya.TalkhisIstighatha.ShamAY0034402-ara1,0.81311,RELEASE
Shamela021720.txt,0.8131,raw_ShamelaY19
1293CabdLatifAlShaykh.MinhajTasisWaTaqdis.Shamela0012094-ara1,0.813,RELEASE
22890.json,0.81296,RAWrabicaShamAY2
6531.json,0.81282,RAWrabicaShamAY1
35764.json,0.81273,RAWrabicaShamAY3
12094.json,0.81269,RAWrabicaShamAY2
33490.json,0.81254,RAWrabicaShamAY2
34352.json,0.81246,RAWrabicaShamAY3
0728IbnTaymiyya.JamicMasail.Sham19Y0145376-ara1,0.81236,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.81233,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.Shamela0006309-ara1,0.81223,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.JK000268-ara1,0.81212,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.81211,RELEASE
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,0.81199,RELEASE
35719.json,0.81194,RAWrabicaShamAY3
37986.json,0.8119,RAWrabicaShamAY3
0774IbnKathir.TalkhisKitabIstighatha.JK000383-ara1,0.81185,RELEASE
441.json,0.81181,RAWrabicaShamAY1
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.81166,RELEASE
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.JK006677-ara1,0.81154,RELEASE
0748Dhahabi.MuntaqaMinMinhajIctidal.JK001173-ara1,0.81136,RELEASE
8597.json,0.81117,RAW_ABLibrary
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.81104,RELEASE
