unknown,TFIDF_cosine,libVar
34187.json,0.99995,RAWrabicaShamAY3
0794BadrDinZarkashi.BahrMuhit.ShamAY0034187-ara1,0.99959,RELEASE
21593.bok.json,0.99906,RAWrabicaSham19Y
0794BadrDinZarkashi.BahrMuhit.Shamela0021593-ara1,0.99906,RELEASE
21593.json,0.99906,RAWrabicaShamAY2
Shamela021593.txt,0.99865,raw_ShamelaY19
802.json,0.99556,RAW_ABLibrary
Shamela122142.txt,0.89353,raw_ShamelaY19
0794BadrDinZarkashi.TashnifMasamic.Sham19Y0122142-ara1,0.8918,RELEASE
31691.json,0.8905,RAWrabicaShamAY2
11727.json,0.88705,RAWrabicaShamAY2
0756TaqiDinSubki.Ibhaj.JK000180-ara1,0.88692,RELEASE
0756TaqiDinSubki.Ibhaj.Shamela0011727-ara1,0.88639,RELEASE
Shamela127717.txt,0.8798,raw_ShamelaY19
0883AbuBakrJuraci.SharhMukhtasarUsulFiqh.Sham19Y0127717-ara1,0.87849,RELEASE
0684ShihabDinQarafi.NafaisUsul.Sham19Y0014280-ara1,0.87533,RELEASE
31974.json,0.87306,RAWrabicaShamAY2
5459.json,0.87123,RAWrabicaShamAY1
0616CaliIbnIsmacilAbyari.TahqiqWaBayan.Sham19Y0013791-ara1,0.87108,RELEASE
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.87069,RELEASE
804.json,0.86948,RAW_ABLibrary
38826.json,0.86932,RAWrabicaShamAY3
803.json,0.86766,RAW_ABLibrary
1250Shawkani.IrshadFuhul.JK000152-ara1,0.86728,RELEASE
1250Shawkani.IrshadFuhul.ShamAY0034184-ara1,0.86724,RELEASE
34184.json,0.86652,RAWrabicaShamAY2
0620IbnQudamaMaqdisi.RawdatNazir.Shamela0012010-ara1,0.8648,RELEASE
34180.json,0.86322,RAWrabicaShamAY2
004768Vols.automARkdown,0.86163,RAW_Masaha
6309.json,0.86006,RAWrabicaShamAY1
Shamela122232.txt,0.85982,raw_ShamelaY19
6309.bok.json,0.85948,RAWrabicaSham19Y
Shia002916,0.859,RAWrabica045000
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.JK000268-ara1,0.85866,RELEASE
122232.bok.json,0.85857,RAWrabicaSham19Y
16974.bok.json,0.85852,RAWrabicaSham19Y
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.Shamela0006309-ara1,0.85826,RELEASE
6336.json,0.85779,RAWrabicaShamAY1
12010.json,0.85717,RAWrabicaShamAY2
31699.json,0.85712,RAWrabicaShamAY2
32514.json,0.85699,RAWrabicaShamAY2
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.8561,RELEASE
0885IbnSulaymanCalaDinMardawi.TahbirSharhTahrir.Shamela0006336-ara1,0.8561,RELEASE
0885IbnSulaymanCalaDinMardawi.TahbirSharhTahrir.JK009143-ara1,0.85607,RELEASE
34195.json,0.85472,RAWrabicaShamAY3
0620IbnQudamaMaqdisi.RawdatNazir.ShamAY0034197-ara1,0.85463,RELEASE
6315.json,0.85397,RAWrabicaShamAY1
0620IbnQudamaMaqdisi.RawdatNazir.JK000156-ara1,0.85374,RELEASE
Shamela148531.txt,0.85363,raw_ShamelaY19
6315.bok.json,0.85325,RAWrabicaSham19Y
1182IbnIsmacilSancani.UsulFiqh.JK000169-ara1,0.85251,RELEASE
1182IbnIsmacilSancani.UsulFiqh.Shamela0006315-ara1,0.85231,RELEASE
0716NajmDinTufi.DarQawlQabih.Sham19Y0148531-ara1,0.85222,RELEASE
1182IbnIsmacilSancani.UsulFiqh.Zaydiyya0000127-ara1,0.85212,RELEASE
34197.json,0.85033,RAWrabicaShamAY3
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000176-ara1,0.84952,RELEASE
Shamela145168.txt,0.84888,raw_ShamelaY19
Shamela096180.txt,0.8486,raw_ShamelaY19
3614.html,0.84853,RAWrabicaRafed
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.84849,RELEASE
10801.bok.json,0.84843,RAWrabicaSham19Y
3474.html,0.84741,RAWrabicaRafed
003567.automARkdown,0.84735,RAW_Masaha
0790IbnMusaGharnatiShatibi.Muwafaqat.ShamAY0034196-ara1,0.84734,RELEASE
