unknown,TFIDF_cosine,libVar
21593.bok.json,0.99998,RAWrabicaSham19Y
21593.json,0.99998,RAWrabicaShamAY2
Shamela021593.txt,0.99942,raw_ShamelaY19
34187.json,0.99914,RAWrabicaShamAY3
0794BadrDinZarkashi.BahrMuhit.JK007060-ara1,0.99906,RELEASE
0794BadrDinZarkashi.BahrMuhit.ShamAY0034187-ara1,0.99863,RELEASE
802.json,0.99497,RAW_ABLibrary
Shamela122142.txt,0.89257,raw_ShamelaY19
0794BadrDinZarkashi.TashnifMasamic.Sham19Y0122142-ara1,0.89234,RELEASE
0794BadrDinZarkashi.TashnifMasamic.Sham19Y0122142-ara1,0.89078,RELEASE
31691.json,0.88953,RAWrabicaShamAY2
11727.json,0.88621,RAWrabicaShamAY2
0756TaqiDinSubki.Ibhaj.JK000180-ara1,0.88588,RELEASE
0756TaqiDinSubki.Ibhaj.Shamela0011727-ara1,0.88537,RELEASE
Shamela127717.txt,0.87903,raw_ShamelaY19
0883AbuBakrJuraci.SharhMukhtasarUsulFiqh.Sham19Y0127717-ara1,0.87857,RELEASE
0883AbuBakrJuraci.SharhMukhtasarUsulFiqh.Sham19Y0127717-ara1,0.87765,RELEASE
0684ShihabDinQarafi.NafaisUsul.Sham19Y0014280-ara1,0.87512,RELEASE
0684ShihabDinQarafi.NafaisUsul.Sham19Y0014280-ara1,0.8743,RELEASE
31974.json,0.87205,RAWrabicaShamAY2
0616CaliIbnIsmacilAbyari.TahqiqWaBayan.Sham19Y0013791-ara1,0.8709,RELEASE
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.87052,RELEASE
5459.json,0.87045,RAWrabicaShamAY1
0616CaliIbnIsmacilAbyari.TahqiqWaBayan.Sham19Y0013791-ara1,0.87031,RELEASE
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.86949,RELEASE
38826.json,0.86859,RAWrabicaShamAY3
804.json,0.86835,RAW_ABLibrary
803.json,0.86661,RAW_ABLibrary
1250Shawkani.IrshadFuhul.JK000152-ara1,0.86607,RELEASE
1250Shawkani.IrshadFuhul.ShamAY0034184-ara1,0.86604,RELEASE
0505Ghazali.Mustasfa.ShamAY0034180-ara1,0.86567,RELEASE
34184.json,0.86536,RAWrabicaShamAY2
0620IbnQudamaMaqdisi.RawdatNazir.Shamela0012010-ara1,0.86439,RELEASE
0620IbnQudamaMaqdisi.RawdatNazir.Shamela0012010-ara1,0.86374,RELEASE
34180.json,0.86245,RAWrabicaShamAY2
004768Vols.automARkdown,0.86022,RAW_Masaha
0536IbnCaliMazariTamimi.Idah.Sham19Y0016974-ara1,0.85966,RELEASE
6309.json,0.859,RAWrabicaShamAY1
Shamela122232.txt,0.85895,raw_ShamelaY19
0513AbuWafaIbnCaqil.WadihFiUsulFiqh.Sham19Y0122232-ara1,0.85864,RELEASE
6309.bok.json,0.85841,RAWrabicaSham19Y
Shia002916,0.85819,RAWrabica045000
16974.bok.json,0.85766,RAWrabicaSham19Y
122232.bok.json,0.85757,RAWrabicaSham19Y
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.JK000268-ara1,0.85755,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.Shamela0006309-ara1,0.85716,RELEASE
6336.json,0.85676,RAWrabicaShamAY1
0885IbnSulaymanCalaDinMardawi.TahbirSharhTahrir.Shamela0006336-ara1,0.85641,RELEASE
12010.json,0.8564,RAWrabicaShamAY2
32514.json,0.85614,RAWrabicaShamAY2
31699.json,0.85613,RAWrabicaShamAY2
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.85568,RELEASE
0885IbnSulaymanCalaDinMardawi.TahbirSharhTahrir.Shamela0006336-ara1,0.85502,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.85498,RELEASE
0885IbnSulaymanCalaDinMardawi.TahbirSharhTahrir.JK009143-ara1,0.85498,RELEASE
34195.json,0.85359,RAWrabicaShamAY3
0620IbnQudamaMaqdisi.RawdatNazir.ShamAY0034197-ara1,0.85355,RELEASE
Shamela148531.txt,0.85272,raw_ShamelaY19
0620IbnQudamaMaqdisi.RawdatNazir.JK000156-ara1,0.85265,RELEASE
6315.json,0.85244,RAWrabicaShamAY1
1182IbnIsmacilSancani.UsulFiqh.Shamela0006315-ara1,0.85219,RELEASE
0716NajmDinTufi.DarQawlQabih.Sham19Y0148531-ara1,0.85198,RELEASE
6315.bok.json,0.85169,RAWrabicaSham19Y
