unknown,TFIDF_cosine,libVar
6495.json,0.99941,RAWrabicaShamAY1
0794BadrDinZarkashi.MacnaLaIlahaIllaLlah.JK001135-ara1,0.99921,RELEASE
6495.bok.json,0.9919,RAWrabicaSham19Y
3178.html,0.73778,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Tafsir07052-ara1,0.73499,RELEASE
12003.bok.json,0.73484,RAWrabicaSham19Y
0751IbnQayyimJawziyya.BadaicFawaid.JK000064-ara1,0.73373,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.Shamela0012003-ara1,0.73362,RELEASE
Shamela022835.txt,0.73253,raw_ShamelaY19
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.73245,RELEASE
34433.json,0.73231,RAWrabicaShamAY3
34422.json,0.73227,RAWrabicaShamAY3
12003.json,0.73174,RAWrabicaShamAY2
0751IbnQayyimJawziyya.BadaicFawaid.ShamAY0034433-ara1,0.73093,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.72922,RELEASE
34055.json,0.72874,RAWrabicaShamAY2
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.7286,RELEASE
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.72843,RELEASE
8402.json,0.72831,RAW_ABLibrary
8458.json,0.72484,RAW_ABLibrary
7037.json,0.7248,RAWrabicaShamAY1
8452.json,0.72441,RAW_ABLibrary
Shamela095565.txt,0.72437,raw_ShamelaY19
8681.json,0.72431,RAW_ABLibrary
7037.bok.json,0.72391,RAWrabicaSham19Y
1547.json,0.72383,RAWrabicaShamAY1
0756TaqiDinSubki.Fatawa.JK007121-ara1,0.7237,RELEASE
95565.bok.json,0.72302,RAWrabicaSham19Y
3448.html,0.72281,RAWrabicaRafed
1094IbnMusaKaffawi.Kulliyat.Shamela0007037-ara1,0.72276,RELEASE
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.72273,RELEASE
803.json,0.72266,RAW_ABLibrary
3437.html,0.72066,RAWrabicaRafed
613.json,0.72045,RAWrabicaShamAY1
0756TaqiDinSubki.Fatawa.Shamela0011498-ara1,0.72029,RELEASE
Shamela029882.txt,0.71942,raw_ShamelaY19
22835.json,0.719,RAWrabicaShamAY2
11498.json,0.7184,RAWrabicaShamAY2
3493.html,0.71828,RAWrabicaRafed
804.json,0.71797,RAW_ABLibrary
2679.html,0.71791,RAWrabicaRafed
2070.html,0.71778,RAWrabicaRafed
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.71723,RELEASE
6942.json,0.71528,RAWrabicaShamAY1
7038.json,0.71508,RAWrabicaShamAY1
Shamela145410.txt,0.71485,raw_ShamelaY19
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.7142,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.71408,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.71406,RELEASE
8349.json,0.71389,RAW_ABLibrary
0800IbnCadilHanbali.LubabFiCulumKitab.Tafsir02024-ara1,0.71378,RELEASE
6942.bok.json,0.71365,RAWrabicaSham19Y
Shamela021589.txt,0.71357,raw_ShamelaY19
8454.json,0.71335,RAW_ABLibrary
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.JK000146-ara1,0.71335,RELEASE
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shia004503-ara1,0.71327,RELEASE
8311.json,0.71289,RAW_ABLibrary
1200CabdNabiAhmadnakari.DusturCulama.Shamela0007038-ara1,0.71275,RELEASE
802.json,0.7127,RAW_ABLibrary
8387.json,0.71192,RAW_ABLibrary
1061AhmadHabisYamani.IdahFiSharhMisbah.Zaydiyya0000038-ara1,0.71189,RELEASE
8597.json,0.71175,RAW_ABLibrary
1200CabdNabiAhmadnakari.DusturCulama.JK009149-ara1,0.71139,RELEASE
8352.json,0.71045,RAWrabicaShamAY1
