unknown,TFIDF_cosine,libVar
9569.json,0.99527,RAWrabicaShamAY1
9569.bok.json,0.99513,RAWrabicaSham19Y
0804IbnMulaqqin.TadhkiratMuhtaj.JK006802-ara1,0.93523,RELEASE
9442.json,0.87579,RAWrabicaShamAY1
9442.bok.json,0.87536,RAWrabicaSham19Y
5922.json,0.87457,RAWrabicaShamAY1
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.87376,RELEASE
22592.json,0.87356,RAWrabicaShamAY2
Shamela022592.txt,0.87289,raw_ShamelaY19
0802IbnMusaAbnasi.ShadhaFayyah.Shamela0007349-ara1,0.87272,RELEASE
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.8727,RELEASE
0802IbnMusaAbnasi.ShadhaFayyah.Shamela0007349-ara1,0.87208,RELEASE
Shamela021601.txt,0.87114,raw_ShamelaY19
Shamela096928.txt,0.87073,raw_ShamelaY19
2044.json,0.87014,RAWrabicaShamAY1
96928.bok.json,0.87001,RAWrabicaSham19Y
12762.bok.json,0.86999,RAWrabicaSham19Y
12762.json,0.86985,RAWrabicaShamAY2
21601.bok.json,0.86974,RAWrabicaSham19Y
0852IbnHajarCasqalani.TalkhisHabir.Shamela0021601-ara1,0.86939,RELEASE
21601.json,0.86913,RAWrabicaShamAY2
Shamela123608.txt,0.86909,raw_ShamelaY19
0852IbnHajarCasqalani.TalkhisHabir.Sham19Y0123608-ara1,0.8677,RELEASE
0804IbnMulaqqin.BadrMunir.JK009137-ara1,0.86734,RELEASE
0852IbnHajarCasqalani.TalkhisHabir.Sham19Y0123608-ara1,0.86728,RELEASE
0806IbnHusaynZaynDinCiraqi.Taqyid.JK000985-ara1,0.86501,RELEASE
0794BadrDinZarkashi.TadhkiraFiAhadithMashhura.Shamela0006061-ara1,0.86494,RELEASE
0806IbnHusaynZaynDinCiraqi.Taqyid.JK000985-ara1,0.86462,RELEASE
9938.json,0.8646,RAWrabicaShamAY1
6061.bok.json,0.8646,RAWrabicaSham19Y
0794BadrDinZarkashi.TadhkiraFiAhadithMashhura.Shamela0006061-ara1,0.86451,RELEASE
Shamela023177.txt,0.86425,raw_ShamelaY19
0852IbnHajarCasqalani.TalkhisHabir.Shia001041Vols-ara1,0.86358,RELEASE
1413.json,0.86356,RAWrabicaShamAY1
23177.json,0.86334,RAWrabicaShamAY2
7581.json,0.86321,RAWrabicaShamAY1
37265.json,0.86283,RAWrabicaShamAY3
0802IbnMusaAbnasi.ShadhaFayyah.JK000981-ara1,0.86257,RELEASE
0902Sakhawi.MaqasidHasana.Shamela0023177-ara1,0.86223,RELEASE
0794BadrDinZarkashi.TadhkiraFiAhadithMashhura.JK001271-ara1,0.86215,RELEASE
0902Sakhawi.MaqasidHasana.Shamela0023177-ara1,0.86175,RELEASE
5978.json,0.85917,RAWrabicaShamAY1
5978.bok.json,0.85856,RAWrabicaSham19Y
Sham30K0002561,0.85786,RAWrabica005000
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.85759,RELEASE
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.Shamela0005978-ara1,0.85746,RELEASE
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.85707,RELEASE
37253.json,0.85684,RAWrabicaShamAY3
10280.bok.json,0.85281,RAWrabicaSham19Y
1551.json,0.85272,RAWrabicaShamAY1
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.85248,RELEASE
0902Sakhawi.MaqasidHasana.JK001160-ara1,0.85223,RELEASE
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.85172,RELEASE
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.85124,RELEASE
37297.json,0.85101,RAWrabicaShamAY3
Sham30K0002509,0.85093,RAWrabica005000
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.8504,RELEASE
35960.json,0.85023,RAWrabicaShamAY3
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.85022,RELEASE
Shamela038213.txt,0.84962,raw_ShamelaY19
96948.bok.json,0.84952,RAWrabicaSham19Y
Sham30K0044066,0.84946,RAWrabica030000
2049.json,0.84946,RAWrabicaShamAY1
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.84933,RELEASE
17878.bok.json,0.84894,RAWrabicaSham19Y
32663.json,0.84848,RAWrabicaShamAY2
Sham30K0033791,0.84809,RAWrabica020000
0803SadrDinMunawi.KashfManahij.Sham19Y0017063-ara1,0.84808,RELEASE
0803SadrDinMunawi.KashfManahij.Sham19Y0017063-ara1,0.84726,RELEASE
32165.json,0.84704,RAWrabicaShamAY2
9875.json,0.84656,RAWrabicaShamAY1
22853.json,0.84629,RAWrabicaShamAY2
25800.json,0.84613,RAWrabicaShamAY2
Shamela022853.txt,0.84512,raw_ShamelaY19
Shamela038171.txt,0.84398,raw_ShamelaY19
9242.json,0.84397,RAWrabicaShamAY1
Shamela096948.txt,0.84318,raw_ShamelaY19
32117.json,0.8431,RAWrabicaShamAY2
0852IbnHajarCasqalani.NukatCalaIbnSalah.JK006975-ara1,0.84265,RELEASE
5976.json,0.84251,RAWrabicaShamAY1
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.84198,RELEASE
5976.bok.json,0.84196,RAWrabicaSham19Y
0852IbnHajarCasqalani.TalkhisHabir.Shamela0001581-ara1,0.84188,RELEASE
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.84188,RELEASE
8622.bok.json,0.84159,RAWrabicaSham19Y
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.84147,RELEASE
8622.json,0.84138,RAWrabicaShamAY1
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.8411,RELEASE
1276.json,0.84106,RAWrabicaShamAY1
0804IbnMulaqqin.MuqnicFiCulumHadith.Shamela0005976-ara1,0.84084,RELEASE
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.8408,RELEASE
Sham30K0002746,0.84078,RAWrabica005000
0804IbnMulaqqin.MuqnicFiCulumHadith.JK000996-ara1,0.84029,RELEASE
1250Shawkani.NaylAwtar.Shia001060Vols-ara1,0.83966,RELEASE
5914.json,0.83927,RAWrabicaShamAY1
37264.json,0.83901,RAWrabicaShamAY3
5914.bok.json,0.83882,RAWrabicaSham19Y
11122.json,0.83872,RAWrabicaShamAY2
Sham30K0034049,0.8387,RAWrabica020000
11428.json,0.83833,RAWrabicaShamAY2
37298.json,0.8383,RAWrabicaShamAY3
7349.json,0.83827,RAWrabicaShamAY1
35661.json,0.83771,RAWrabicaShamAY3
Sham30K0044060,0.83766,RAWrabica030000
Sham30K0002503,0.83705,RAWrabica005000
Shamela122406.txt,0.83663,raw_ShamelaY19
33523.json,0.83637,RAWrabicaShamAY2
1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi.Shia001853Vols-ara1,0.83616,RELEASE
Shamela096930.txt,0.83571,raw_ShamelaY19
9329.json,0.83529,RAWrabicaShamAY1
37300.json,0.8347,RAWrabicaShamAY3
9329.bok.json,0.83467,RAWrabicaSham19Y
32272.json,0.83457,RAWrabicaShamAY2
16599.bok.json,0.83441,RAWrabicaSham19Y
Sham30K0014537,0.83414,RAWrabica015000
10024.json,0.83407,RAWrabicaShamAY1
32425.json,0.83402,RAWrabicaShamAY2
11428.bok.json,0.83399,RAWrabicaSham19Y
0911Suyuti.TadribRawi.ShamAY0034038-ara1,0.83387,RELEASE
0911Suyuti.TadribRawi.JK000138-ara1,0.83382,RELEASE
2045.json,0.83324,RAWrabicaShamAY1
Shamela023163.txt,0.83319,raw_ShamelaY19
0544QadiCiyad.IkmalMuclim.Sham19Y0122406-ara1,0.83315,RELEASE
5923.json,0.83294,RAWrabicaShamAY1
12027.bok.json,0.83209,RAWrabicaSham19Y
23163.json,0.83203,RAWrabicaShamAY2
12027.json,0.83187,RAWrabicaShamAY2
1250Shawkani.NaylAwtar.Shamela0009242-ara1,0.83182,RELEASE
Sham30K0033901,0.83178,RAWrabica020000
37293.json,0.83169,RAWrabicaShamAY3
1245CabdAllahIbnFudi.ManzumatMisbahRawi.ShamAY0037293-ara1,0.83155,RELEASE
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.83123,RELEASE
1250Shawkani.NaylAwtar.Shamela0009242-ara1,0.83108,RELEASE
32244.json,0.83101,RAWrabicaShamAY2
12578.json,0.831,RAWrabicaShamAY2
0852IbnHajarCasqalani.TalkhisHabir.ShamAY0034124-ara1,0.8308,RELEASE
1326IbnMuhammadHindiSahsayani.SiyanatInsan.Shamela0012027-ara1,0.83062,RELEASE
Sham30K0002572,0.83057,RAWrabica005000
1245CabdAllahIbnFudi.ManzumatMisbahRawi.ShamAY0037293-ara1,0.83049,RELEASE
1326IbnMuhammadHindiSahsayani.SiyanatInsan.Shamela0012027-ara1,0.83046,RELEASE
0628IbnQattanFasi.BayanWahm.Shamela0005923-ara1,0.8302,RELEASE
Sham30K0002648,0.8301,RAWrabica005000
0852IbnHajarCasqalani.TalkhisHabir.JK000559-ara1,0.83009,RELEASE
1779.json,0.83003,RAWrabicaShamAY1
1250Shawkani.NaylAwtar.JK000165-ara1,0.82987,RELEASE
306.json,0.82972,RAWrabicaShamAY1
36415.json,0.82935,RAWrabicaShamAY3
34038.json,0.82841,RAWrabicaShamAY2
1450CabdKarimKhudayr.SharhAlfiyyatTabsira.Shamela0001779-ara1,0.82814,RELEASE
37341.json,0.82701,RAWrabicaShamAY3
Sham30K0002671,0.82664,RAWrabica005000
2671.json,0.82596,RAWrabicaShamAY1
2671.bok.json,0.82543,RAWrabicaSham19Y
189.html,0.8252,RAWrabicaRafed
32509.json,0.82494,RAWrabicaShamAY2
Shamela133363.txt,0.8244,raw_ShamelaY19
7375.json,0.82427,RAWrabicaShamAY1
31712.json,0.82412,RAWrabicaShamAY2
Shamela036976.txt,0.82374,raw_ShamelaY19
435.html,0.82369,RAWrabicaRafed
6035.json,0.82347,RAWrabicaShamAY1
6035.bok.json,0.82335,RAWrabicaSham19Y
Sham30K0033815,0.82334,RAWrabica020000
Shamela021560.txt,0.82325,raw_ShamelaY19
32537.json,0.82324,RAWrabicaShamAY2
10443.json,0.82301,RAWrabicaShamAY1
32212.json,0.82283,RAWrabicaShamAY2
36976.bok.json,0.82266,RAWrabicaSham19Y
32009.json,0.82263,RAWrabicaShamAY2
100.json,0.82236,RAWrabicaShamAY1
1581.json,0.82211,RAWrabicaShamAY1
Shamela021715.txt,0.8221,raw_ShamelaY19
133363.bok.json,0.82191,RAWrabicaSham19Y
13241.bok.json,0.82185,RAWrabicaSham19Y
0911Suyuti.TuhfatAbrar.Shamela0021560-ara1,0.82171,RELEASE
22800.json,0.82155,RAWrabicaShamAY2
1450Milani.TashyidMurajacat.Shia004266Vols-ara1,0.82153,RELEASE
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.JK000097-ara1,0.82151,RELEASE
21560.json,0.82147,RAWrabicaShamAY2
31758.json,0.82132,RAWrabicaShamAY2
938.json,0.82122,RAWrabicaShamAY1
812.json,0.82095,RAWrabicaShamAY1
1450Milani.TashyidMurajacat.Shia004266Vols-ara1,0.8208,RELEASE
124.json,0.82068,RAWrabicaShamAY1
Sham30K0034137,0.81999,RAWrabica020000
0852IbnHajarCasqalani.QawlMusaddad.JK000755-ara1,0.8199,RELEASE
0923AhmadQastallani.IrshadSari.Shamela0021715-ara1,0.81968,RELEASE
0628IbnQattanFasi.BayanWahm.JK009146-ara1,0.81964,RELEASE
35281.json,0.81961,RAWrabicaShamAY3
150481.bok.json,0.81923,RAWrabicaSham19Y
0852IbnHajarCasqalani.QawlMusaddad.Shamela0006035-ara1,0.8192,RELEASE
0923AhmadQastallani.IrshadSari.Shamela0021715-ara1,0.81882,RELEASE
3939.json,0.81876,RAWrabicaShamAY1
37276.json,0.81773,RAWrabicaShamAY3
33528.json,0.8174,RAWrabicaShamAY2
34124.json,0.81738,RAWrabicaShamAY2
Shamela036147.txt,0.81728,raw_ShamelaY19
Shamela023799.txt,0.81682,raw_ShamelaY19
0676Nawawi.MinhajFiSharhMuslim.Shia001764Vols-ara1,0.81667,RELEASE
38516.json,0.81666,RAWrabicaShamAY3
0911Suyuti.TuhfatAbrar.JK009249-ara1,0.81663,RELEASE
11300.json,0.81653,RAWrabicaShamAY2
11300.bok.json,0.81638,RAWrabicaSham19Y
10631.json,0.81636,RAWrabicaShamAY1
0911Suyuti.TanwirHawalik.ShamAY0033528-ara1,0.8163,RELEASE
9993.json,0.81627,RAWrabicaShamAY1
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.81625,RELEASE
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.81596,RELEASE
0676Nawawi.MinhajFiSharhMuslim.Shia001764Vols-ara1,0.81568,RELEASE
551.json,0.81546,RAWrabicaShamAY1
11194.bok.json,0.81532,RAWrabicaSham19Y
0911Suyuti.QutMughtadhi.Shamela0007562-ara1,0.81527,RELEASE
0911Suyuti.TuhfatAbrar.JK009249-ara1,0.81525,RELEASE
0911Suyuti.QutMughtadhi.Shamela0007562-ara1,0.81514,RELEASE
32373.json,0.81514,RAWrabicaShamAY2
0744IbnCabdHadi.SarimMunki.Shamela0008622-ara1,0.81473,RELEASE
0734IbnSayyidNas.NafhShadhi.Sham19Y0016599-ara1,0.81438,RELEASE
0748Dhahabi.MukhtasarCuluww.Shamela0007318-ara1,0.81429,RELEASE
856.json,0.81419,RAWrabicaShamAY1
31959.json,0.81419,RAWrabicaShamAY2
1122MuhammadZurqani.SharhCalaMuwatta.Shamela0000551-ara1,0.81387,RELEASE
0856.bok.json,0.81382,RAWrabicaSham19Y
32538.json,0.81361,RAWrabicaShamAY2
7494.json,0.81357,RAWrabicaShamAY1
7318.json,0.81353,RAWrabicaShamAY1
1162IbnMuammadAbuFidaCajluni.KashfKhafa.Shamela0009576-ara1,0.81349,RELEASE
6056.json,0.81338,RAWrabicaShamAY1
548.json,0.81331,RAWrabicaShamAY1
0762IbnYusufZaylaci.TakhrijAhadith.Shia002218Vols-ara1,0.81321,RELEASE
