unknown,TFIDF_cosine,libVar
401.json,0.9997,RAWrabicaShamAY1
0807IbnAhmarKhazraji.NafhaNisriniyya.Shamela0000401-ara1,0.99969,RELEASE
0401.bok.json,0.99342,RAWrabicaSham19Y
0799IbnFarhun.DibajMudhahhab.JK000174-ara1,0.602,RELEASE
1025IbnQadiMaknasi.DurratHijal.Sham19Y0132965-ara1,0.60173,RELEASE
8745.json,0.5997,RAW_ABLibrary
2982.html,0.59896,RAWrabicaRafed
0748IbnDimyati.Mustafad.JK009162-ara1,0.59895,RELEASE
Shamela132965.txt,0.59781,raw_ShamelaY19
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.59537,RELEASE
0748IbnDimyati.Mustafad.Shia003310-ara1,0.59505,RELEASE
0748IbnDimyati.Mustafad.Shamela0023764BK4-ara1,0.5946,RELEASE
5742.json,0.59416,RAWrabicaShamAY1
2366.html,0.59408,RAWrabicaRafed
2247.html,0.59394,RAWrabicaRafed
004395Vols.automARkdown,0.59215,RAW_Masaha
0775IbnAbiWafa.JawahirMudiya.JK009262-ara1,0.58971,RELEASE
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.58882,RELEASE
0902Sakhawi.TuhfaLatifa.Shamela0007434-ara1,0.58856,RELEASE
0902Sakhawi.TuhfaLatifa.JK001475-ara1,0.5885,RELEASE
1135.json,0.58841,RAWrabicaShamAY1
0728.bok.json,0.58838,RAWrabicaSham19Y
0599IbnYahyaDabbi.BughyatMultamis.Shamela0000728-ara1,0.58834,RELEASE
0775IbnAbiWafa.JawahirMudiya.Shamela0006725-ara1,0.58826,RELEASE
7434.json,0.58792,RAWrabicaShamAY1
6725.json,0.5875,RAWrabicaShamAY1
728.json,0.58747,RAWrabicaShamAY1
8958.json,0.58729,RAW_ABLibrary
0637IbnMustawfi.TarikhIrbil.Shamela0011746-ara1,0.58533,RELEASE
0637IbnMustawfi.TarikhIrbil.JK007087-ara1,0.58529,RELEASE
0764Safadi.WafiBiWafayat.Sham30K0042941-ara1,0.58504,RELEASE
830.json,0.58494,RAW_ABLibrary
0945ShamsDinDawudi.TabaqatMufassirin.Shamela0027084-ara1,0.5846,RELEASE
2226.html,0.58294,RAWrabicaRafed
Sham30K0002721,0.58254,RAWrabica005000
38014.json,0.58211,RAWrabicaShamAY3
0742Mizzi.TahdhibKamal.Shamela0003722-ara1,0.58195,RELEASE
Shamela027084.txt,0.58186,raw_ShamelaY19
9145.json,0.58061,RAW_ABLibrary
2323.html,0.58039,RAWrabicaRafed
0764Safadi.WafiBiWafayat.Shamela0006677-ara1,0.57897,RELEASE
0764Safadi.WafiBiWafayat.Sham30K0045089-ara1,0.57895,RELEASE
0764Safadi.WafiBiWafayat.JK003609-ara1,0.5789,RELEASE
0764Safadi.WafiBiWafayat.Shia003564Vols-ara1,0.57888,RELEASE
0911Suyuti.BughyatWucat.Shamela0006744-ara1,0.57784,RELEASE
0911Suyuti.BughyatWucat.JK009145-ara1,0.57771,RELEASE
6744.json,0.57742,RAWrabicaShamAY1
1031.json,0.57709,RAWrabicaShamAY1
