unknown,TFIDF_cosine,libVar
385.json,0.99996,RAWrabicaShamAY1
Shamela037022.txt,0.99941,raw_ShamelaY19
003967.automARkdown,0.95788,RAW_Masaha
9078.json,0.88412,RAW_ABLibrary
2403.html,0.87969,RAWrabicaRafed
1041Maqqari.AzharRiyad.Shamela0026350-ara1,0.81507,RELEASE
1041Maqqari.AzharRiyad.Shamela0026350-ara1,0.81092,RELEASE
26350.bok.json,0.81054,RAWrabicaSham19Y
Shamela026350.txt,0.80993,raw_ShamelaY19
1041Maqqari.AzharRiyad.JK010757-ara1,0.80928,RELEASE
26350.json,0.80786,RAWrabicaShamAY2
9302.json,0.80337,RAW_ABLibrary
Sham30K0033837,0.80219,RAWrabica020000
0776LisanDinIbnKhatib.NafadaJirab.Shamela0000477-ara1,0.78198,RELEASE
0776LisanDinIbnKhatib.NafadaJirab.Shamela0000477-ara1,0.77825,RELEASE
0776LisanDinIbnKhatib.NafadaJirab.JK010477-ara1,0.77824,RELEASE
0477.bok.json,0.7781,RAWrabicaSham19Y
477.json,0.77567,RAWrabicaShamAY1
0776LisanDinIbnKhatib.Ihata.JK009224-ara1,0.76904,RELEASE
0647CabdWahidMarrakushi.Mucjib.Shamela0008559-ara1,0.76782,RELEASE
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1,0.76768,RELEASE
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1,0.76601,RELEASE
004382.automARkdown,0.76421,RAW_Masaha
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.76166,RELEASE
1035.json,0.75769,RAWrabicaShamAY1
9109.json,0.75754,RAW_ABLibrary
Sham30K0033829,0.75538,RAWrabica020000
0793AbuHasanMalaqi.TarikhQudat.Shamela0004363-ara1,0.75505,RELEASE
Shamela148529.txt,0.75461,raw_ShamelaY19
0793AbuHasanMalaqi.TarikhQudat.Shamela0004363-ara1,0.7535,RELEASE
0793AbuHasanMalaqi.TarikhQudat.JK009319-ara1,0.75348,RELEASE
4363.json,0.75063,RAWrabicaShamAY1
Sham30K0002539,0.74987,RAWrabica005000
35792.json,0.74934,RAWrabicaShamAY3
0776LisanDinIbnKhatib.Ihata.Shamela0011682-ara1,0.74851,RELEASE
0685IbnSacidMaghribi.Mughrib.Shamela0006633-ara1,0.7481,RELEASE
004735Vols.automARkdown,0.74797,RAW_Masaha
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.74683,RELEASE
11682.bok.json,0.74602,RAWrabicaSham19Y
0776LisanDinIbnKhatib.Ihata.Shamela0011682-ara1,0.74587,RELEASE
0900AbuCabdAllahHimyari.RawdMictar.Shamela0001043-ara1,0.74565,RELEASE
0685IbnSacidMaghribi.Mughrib.JK000404-ara1,0.74536,RELEASE
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.74533,RELEASE
004113.automARkdown,0.7452,RAW_Masaha
0685IbnSacidMaghribi.Mughrib.Shamela0006633-ara1,0.74495,RELEASE
0900AbuCabdAllahHimyari.RawdMictar.Shamela0001043-ara1,0.74434,RELEASE
31705.json,0.74415,RAWrabicaShamAY2
Shamela147597.txt,0.7434,raw_ShamelaY19
2267.html,0.74289,RAWrabicaRafed
Shamela029677.txt,0.74254,raw_ShamelaY19
6633.json,0.74242,RAWrabicaShamAY1
11682.json,0.74228,RAWrabicaShamAY2
9080.json,0.74178,RAW_ABLibrary
29677.bok.json,0.74154,RAWrabicaSham19Y
7577.json,0.74069,RAW_ABLibrary
2799.html,0.74062,RAWrabicaRafed
0807IbnAhmarKhazraji.AclamMaghrib.Sham19Y0120143-ara1,0.73985,RELEASE
3.json,0.73967,RAWrabicaShamAY1
2800.html,0.73959,RAWrabicaRafed
0767Balawi.TajMafriq.JK010478-ara1,0.73947,RELEASE
0643FathBundari.MukhtasarSanaBarqShami.Shamela0005400-ara1,0.73935,RELEASE
0758NajmDinTarsusi.TuhfatTurk.Shamela0001044-ara1,0.73929,RELEASE
Sham30K0002807,0.73922,RAWrabica005000
0807IbnAhmarKhazraji.AclamMaghrib.Sham19Y0120143-ara1,0.73912,RELEASE
9299.json,0.73891,RAW_ABLibrary
004658.automARkdown,0.73879,RAW_Masaha
1111MuhammadAminMuhibbi.KhulasatAthar.JK003502-ara1,0.73864,RELEASE
0643FathBundari.MukhtasarSanaBarqShami.Shamela0005400-ara1,0.73857,RELEASE
002224.automARkdown,0.73842,RAW_Masaha
1250Shawkani.BadrTalic.JK000998-ara1,0.7382,RELEASE
0700YahyaIbnQasimIbnYahya.SiratAbiTayr.Zaydiyya0000406-ara1,0.73774,RELEASE
8559.json,0.73769,RAWrabicaShamAY1
0597CimadDinKatibIsfahani.BarqShami.JK000393-ara1,0.73718,RELEASE
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1,0.73717,RELEASE
1574.html,0.73716,RAWrabicaRafed
0767Balawi.TajMafriq.Shamela0000478-ara1,0.73708,RELEASE
0767Balawi.TajMafriq.JK010478-ara1,0.73706,RELEASE
0633IbnHasanIbnDihyaKalbi.MutribMinAshcar.Shamela0000093-ara1,0.73666,RELEASE
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1,0.73647,RELEASE
1250Shawkani.BadrTalic.Shamela0006671-ara1,0.73635,RELEASE
1250Shawkani.BadrTalic.JK000998-ara1,0.73595,RELEASE
6678.bok.json,0.73583,RAWrabicaSham19Y
876.html,0.73531,RAWrabicaRafed
1111MuhammadAminMuhibbi.KhulasatAthar.JK003502-ara1,0.73529,RELEASE
1111MuhammadAminMuhibbi.KhulasatAthar.Shamela0006678-ara1,0.73519,RELEASE
0633IbnHasanIbnDihyaKalbi.MutribMinAshcar.JK010658-ara1,0.73496,RELEASE
