unknown,TFIDF_cosine,libVar
925.json,0.97418,RAW_ABLibrary
0829TaqiDinDimashqiHisni.DafcShubh.JK001011-ara1,0.9739,RELEASE
5310.automARkdown,0.96869,RAW_Ghbook
000257.automARkdown,0.89863,RAW_Masaha
7597.json,0.89264,RAWrabicaShamAY1
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.89236,RELEASE
7597.bok.json,0.89207,RAWrabicaSham19Y
Shamela034886.txt,0.8918,raw_ShamelaY19
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.89171,RELEASE
8913.json,0.89124,RAW_ABLibrary
86.json,0.89124,RAWrabicaShamAY1
1922.json,0.88973,RAWrabicaShamAY1
35976.json,0.88925,RAWrabicaShamAY3
0956IbnCumarShamsDinSafiri.MajalisWacziyya.Shamela0009823-ara1,0.88921,RELEASE
0956IbnCumarShamsDinSafiri.MajalisWacziyya.Shamela0009823-ara1,0.88891,RELEASE
0974IbnHajarHaytami.FatawaHadithiyya.Shamela0001922-ara1,0.88882,RELEASE
11292.json,0.88792,RAWrabicaShamAY2
Sham30K0033813,0.8873,RAWrabica020000
1702.bok.json,0.88703,RAWrabicaSham19Y
0776JamalDinSurramarri.NahjRashad.Sham19Y0013637-ara1,0.88653,RELEASE
8720.json,0.88594,RAW_ABLibrary
Shamela025791.txt,0.88576,raw_ShamelaY19
1702.json,0.88574,RAWrabicaShamAY1
31919.json,0.88564,RAWrabicaShamAY2
0776JamalDinSurramarri.NahjRashad.Sham19Y0013637-ara1,0.88491,RELEASE
1188ShamsDinSaffarini.GhidhaAlbab.Shamela0025791-ara1,0.88469,RELEASE
Shamela096616.txt,0.88416,raw_ShamelaY19
Sham30K0034018,0.88406,RAWrabica020000
0728IbnTaymiyya.JamicMasail.Sham19Y0017835-ara1,0.88375,RELEASE
1188ShamsDinSaffarini.GhidhaAlbab.Shamela0025791-ara1,0.88366,RELEASE
25791.json,0.88334,RAWrabicaShamAY2
Shamela022649.txt,0.88279,raw_ShamelaY19
0974IbnHajarHaytami.FatawaHadithiyya.JK009273-ara1,0.88267,RELEASE
Shamela023645.txt,0.88266,raw_ShamelaY19
1708.json,0.88247,RAWrabicaShamAY1
002067Vols.automARkdown,0.88225,RAW_Masaha
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.88222,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0013652-ara1,0.88192,RELEASE
1349IbnSahmanKhathcami.SawaciqMursala.Shamela0007663-ara1,0.88185,RELEASE
0728IbnTaymiyya.MustadrakCalaMajmucFatawa.Shamela0010284-ara1,0.88175,RELEASE
002859.automARkdown,0.88173,RAW_Masaha
1188ShamsDinSaffarini.GhidhaAlbab.JK009245-ara1,0.88167,RELEASE
0974IbnHajarHaytami.FatawaHadithiyya.ShamAY0034350-ara2,0.88158,RELEASE
35699.json,0.88146,RAWrabicaShamAY3
8309.json,0.88137,RAW_ABLibrary
Shamela022922.txt,0.88114,raw_ShamelaY19
37973.json,0.88107,RAWrabicaShamAY3
0544QadiCiyad.ShifaBiTacrif.Shamela0023645-ara1,0.88102,RELEASE
Shamela026385.txt,0.88095,raw_ShamelaY19
0974IbnHajarHaytami.FatawaHadithiyya.ShamAY0034350-ara2,0.88093,RELEASE
1708.bok.json,0.88086,RAWrabicaSham19Y
1242IbnMuhammadIbnCabdWahhabNajdi.JawabAhlSunna.Shamela0011146-ara1,0.88075,RELEASE
10517.json,0.88067,RAWrabicaShamAY1
1349IbnSahmanKhathcami.SawaciqMursala.Shamela0007663-ara1,0.88061,RELEASE
003004Vols.automARkdown,0.88028,RAW_Masaha
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.88026,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.JK007084-ara1,0.88015,RELEASE
7663.json,0.87999,RAWrabicaShamAY1
34247.json,0.87999,RAWrabicaShamAY3
1242IbnMuhammadIbnCabdWahhabNajdi.JawabAhlSunna.Shamela0011146-ara1,0.87999,RELEASE
0728IbnTaymiyya.QacidaJalila.Shamela0022649-ara1,0.87915,RELEASE
Shamela023685.txt,0.87911,raw_ShamelaY19
0561CabdQadirJilani.Ghunya.Sham19Y0017817-ara1,0.87908,RELEASE
26332.json,0.87904,RAWrabicaShamAY2
6886.json,0.87876,RAWrabicaShamAY1
33171.json,0.87868,RAWrabicaShamAY2
32542.json,0.87847,RAWrabicaShamAY2
34350.json,0.87847,RAWrabicaShamAY3
0728IbnTaymiyya.QacidaJalila.Shamela0022649-ara1,0.87846,RELEASE
7802.json,0.87843,RAW_ABLibrary
7664.json,0.87843,RAWrabicaShamAY1
0923AhmadQastallani.MawahibLaduniyya.Shamela0023685-ara1,0.87833,RELEASE
35719.json,0.87828,RAWrabicaShamAY3
7691.json,0.87823,RAW_ABLibrary
Shamela018569.txt,0.87809,raw_ShamelaY19
Sham30K0038973,0.87802,RAWrabica025000
0923AhmadQastallani.MawahibLaduniyya.Shamela0023685-ara1,0.87798,RELEASE
1971.json,0.87785,RAWrabicaShamAY1
Shamela018632.txt,0.87781,raw_ShamelaY19
0665AbuShama.BacithCalaInkarBidac.JK000873-ara1,0.87776,RELEASE
6886.bok.json,0.87772,RAWrabicaSham19Y
8823.json,0.87758,RAW_ABLibrary
3874.json,0.87728,RAWrabicaShamAY1
0661Turibishti.Muyassar.Sham19Y0018569-ara1,0.87723,RELEASE
1250Shawkani.WilayatAllah.Shamela0006886-ara1,0.87714,RELEASE
6276.json,0.87711,RAWrabicaShamAY1
1250Shawkani.WilayatAllah.Shamela0006886-ara1,0.87677,RELEASE
0665AbuShama.BacithCalaInkarBidac.JK000873-ara1,0.87676,RELEASE
0661Turibishti.Muyassar.Sham19Y0018569-ara1,0.87667,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.JK000071-ara1,0.87665,RELEASE
0702IbnDaqiqCidQushayri.SharhArbacinaNawawiyya.Shamela0011244-ara1,0.87661,RELEASE
0665AbuShama.BacithCalaInkarBidac.Shamela0006276-ara1,0.87661,RELEASE
35721.json,0.8766,RAWrabicaShamAY3
Shamela146418.txt,0.87658,raw_ShamelaY19
0795IbnRajabHanbali.JamicCulumWaHikam.ShamAY0033527-ara1,0.87656,RELEASE
0728IbnTaymiyya.IqtidaSirat.ShamAY0034358-ara1,0.87629,RELEASE
8476.json,0.87622,RAWrabicaShamAY1
1225IbnGhannamMalikiNajdi.CiqdThamin.Shamela0008514-ara1,0.87621,RELEASE
8555.json,0.87619,RAWrabicaShamAY1
1450CabdKarimKhudayr.SharhArbacinaNawawi.JK010183-ara1,0.87616,RELEASE
0702IbnDaqiqCidQushayri.SharhArbacinaNawawiyya.Shamela0011244-ara1,0.87615,RELEASE
8656.json,0.87609,RAWrabicaShamAY1
37432.json,0.87606,RAWrabicaShamAY3
Shamela122401.txt,0.87595,raw_ShamelaY19
1450WahidKhurasani.MinhajSalihin.Shia000806Vols-ara1,0.87582,RELEASE
Shamela021511.txt,0.8758,raw_ShamelaY19
1225IbnGhannamMalikiNajdi.CiqdThamin.Shamela0008514-ara1,0.87573,RELEASE
0751IbnQayyimJawziyya.IjtimacJuyush.Sham19Y0018632-ara1,0.87567,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0018124-ara1,0.87564,RELEASE
0751IbnQayyimJawziyya.IjtimacJuyush.Sham19Y0018632-ara1,0.87558,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.87551,RELEASE
Shamela021782.txt,0.87549,raw_ShamelaY19
32667.json,0.87546,RAWrabicaShamAY2
3912.html,0.87542,RAWrabicaRafed
Shamela026332.txt,0.87534,raw_ShamelaY19
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.87509,RELEASE
1450WahidKhurasani.MinhajSalihin.Shia000806Vols-ara1,0.87478,RELEASE
0543IbnCarabiIshbili.QabasFiSharhMuwatta.Sham19Y0122401-ara1,0.87476,RELEASE
Shamela026568.txt,0.8747,raw_ShamelaY19
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.8747,RELEASE
0728IbnTaymiyya.IqtidaSirat.JK000367-ara1,0.87459,RELEASE
34950.json,0.87445,RAWrabicaShamAY3
1122MuhammadZurqani.SharhCalaMawahib.Shamela0026568-ara1,0.87435,RELEASE
000185.automARkdown,0.87435,RAW_Masaha
23685.json,0.87433,RAWrabicaShamAY2
