unknown,TFIDF_cosine,libVar
33674.json,0.9994,RAWrabicaShamAY2
0728IbnTaymiyya.ArbacunaTaymiyya.Shamela0009370-ara1,0.94832,RELEASE
0728IbnTaymiyya.ArbacunaTaymiyya.Shamela0009370-ara1,0.94813,RELEASE
9370.json,0.94451,RAWrabicaShamAY1
0778AbuHafsMaraghi.Mashyakha.Shamela0027104-ara1,0.93963,RELEASE
0778AbuHafsMaraghi.Mashyakha.Shamela0027104-ara1,0.93908,RELEASE
Shamela027104.txt,0.93763,raw_ShamelaY19
27104.json,0.93586,RAWrabicaShamAY2
0595IbnCabdQadirBaghdadiJilani.ArbacunaJilaniyya.Shamela0006439-ara1,0.93444,RELEASE
0595IbnCabdQadirBaghdadiJilani.ArbacunaJilaniyya.Shamela0006439-ara1,0.93429,RELEASE
30594.json,0.93333,RAWrabicaShamAY2
0655CabdMuncimTaqiDinShafici.Fawaid.Shamela0011026-ara1,0.93241,RELEASE
0655CabdMuncimTaqiDinShafici.Fawaid.Shamela0011026-ara1,0.93152,RELEASE
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shia002230-ara1,0.93136,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030594-ara1,0.93105,RELEASE
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shia002230-ara1,0.93081,RELEASE
Shamela030594.txt,0.92969,raw_ShamelaY19
Sham30K0033989,0.9295,RAWrabica020000
5728.bok.json,0.92905,RAWrabicaSham19Y
11026.json,0.92883,RAWrabicaShamAY2
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.92826,RELEASE
5728.json,0.92814,RAWrabicaShamAY1
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.92797,RELEASE
26726.json,0.92793,RAWrabicaShamAY2
0576AbuTahirSilafi.Mashyakha.JK000649-ara1,0.92722,RELEASE
Shamela026726.txt,0.92699,raw_ShamelaY19
2890.html,0.92649,RAWrabicaRafed
0799IbnShaykha.Ahadith.Sham19Y0029805-ara1,0.92618,RELEASE
5715.bok.json,0.92587,RAWrabicaSham19Y
0799IbnShaykha.Ahadith.Sham19Y0029805-ara1,0.92575,RELEASE
30620.json,0.92556,RAWrabicaShamAY2
Shamela029805.txt,0.92545,raw_ShamelaY19
0816AbuBakrMaraghi.ArbacunaMinMacali.Shamela0009375-ara1,0.92542,RELEASE
6439.json,0.92522,RAWrabicaShamAY1
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shamela0005715-ara1,0.9252,RELEASE
29805.json,0.92512,RAWrabicaShamAY2
2887.html,0.92507,RAWrabicaRafed
0571IbnCasakir.MinHadithAhlHurdan.Shamela0026851-ara1,0.92504,RELEASE
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.JK000663-ara1,0.92491,RELEASE
5715.json,0.92476,RAWrabicaShamAY1
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030620-ara1,0.92467,RELEASE
0816AbuBakrMaraghi.ArbacunaMinMacali.Shamela0009375-ara1,0.9245,RELEASE
26857.json,0.92409,RAWrabicaShamAY2
1367.json,0.92396,RAWrabicaShamAY1
33699.json,0.92272,RAWrabicaShamAY2
2892.html,0.92267,RAWrabicaRafed
Shamela026851.txt,0.92262,raw_ShamelaY19
9375.json,0.92242,RAWrabicaShamAY1
1205MurtadaZabidi.Amali.Shamela0010479-ara1,0.92224,RELEASE
Shamela030620.txt,0.92194,raw_ShamelaY19
1205MurtadaZabidi.Amali.Shamela0010479-ara1,0.92187,RELEASE
0842IbnNasirDinDimashqi.AhadithSitta.Shamela0009353-ara1,0.92182,RELEASE
2894.html,0.9215,RAWrabicaRafed
0842IbnNasirDinDimashqi.AhadithSitta.Shamela0009353-ara1,0.92134,RELEASE
Shamela026723.txt,0.92062,raw_ShamelaY19
2899.html,0.92028,RAWrabicaRafed
10479.json,0.92013,RAWrabicaShamAY1
Shamela026857.txt,0.91973,raw_ShamelaY19
0600CabdGhaniMuqaddasi.AmrBiMacruf.Shamela0009074-ara1,0.91972,RELEASE
Shamela026722.txt,0.91954,raw_ShamelaY19
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.91949,RELEASE
0600CabdGhaniMuqaddasi.AmrBiMacruf.Shamela0009074-ara1,0.91931,RELEASE
1779.html,0.91912,RAWrabicaRafed
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.91911,RELEASE
813.json,0.91871,RAW_ABLibrary
38086.json,0.91844,RAWrabicaShamAY3
0549CabdKhaliqShahhami.Arbacun.ShamAY0033549-ara1,0.91834,RELEASE
9074.bok.json,0.9183,RAWrabicaSham19Y
812.json,0.91826,RAW_ABLibrary
0758NajmDinTarsusi.AhadithMuwafaqat.ShamAY0038086-ara1,0.91804,RELEASE
0686AbuYamanIbnCasakir.JuzFihiAhadithShahrRamadan.Shamela0026723-ara1,0.91786,RELEASE
0686AbuYamanIbnCasakir.JuzFihiAhadithShahrRamadan.Shamela0026723-ara1,0.91754,RELEASE
1420.json,0.91713,RAWrabicaShamAY1
0758NajmDinTarsusi.AhadithMuwafaqat.ShamAY0038086-ara1,0.91712,RELEASE
26722.json,0.91711,RAWrabicaShamAY2
2717.html,0.91695,RAWrabicaRafed
0724IbnCattar.Tusaciyat.ShamAY0033569-ara1,0.91692,RELEASE
33543.json,0.91689,RAWrabicaShamAY2
2330.html,0.9164,RAWrabicaRafed
0724IbnCattar.Tusaciyat.ShamAY0033569-ara1,0.91637,RELEASE
0842IbnNasirDinDimashqi.AsanidKutubSitta.ShamAY0033543-ara1,0.9161,RELEASE
1354.json,0.91589,RAWrabicaShamAY1
0842IbnNasirDinDimashqi.AsanidKutubSitta.ShamAY0033543-ara1,0.91568,RELEASE
2138.html,0.91546,RAWrabicaRafed
9353.json,0.91489,RAWrabicaShamAY1
0701SharafDinYunini.Mashyakha.Shamela0026722-ara1,0.91485,RELEASE
2139.html,0.91457,RAWrabicaRafed
0686AbuYamanIbnCasakir.AhadithSafar.Shamela0026669-ara1,0.91448,RELEASE
0701SharafDinYunini.Mashyakha.Shamela0026722-ara1,0.91443,RELEASE
9353.bok.json,0.91415,RAWrabicaSham19Y
0686AbuYamanIbnCasakir.AhadithSafar.Shamela0026669-ara1,0.91392,RELEASE
33569.json,0.91389,RAWrabicaShamAY2
33549.json,0.91358,RAWrabicaShamAY2
0821AbuShamilShumuni.Ijaza.ShamAY0033535-ara1,0.913,RELEASE
33535.json,0.91252,RAWrabicaShamAY2
0821AbuShamilShumuni.Ijaza.ShamAY0033535-ara1,0.91222,RELEASE
Shamela026669.txt,0.91152,raw_ShamelaY19
33544.json,0.91058,RAWrabicaShamAY2
0842IbnNasirDinDimashqi.IsnadSahihBukhari.ShamAY0033544-ara1,0.91001,RELEASE
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.90994,RELEASE
0842IbnNasirDinDimashqi.IsnadSahihBukhari.ShamAY0033544-ara1,0.90973,RELEASE
6003.json,0.90955,RAWrabicaShamAY1
1338.json,0.90938,RAWrabicaShamAY1
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.90878,RELEASE
811.json,0.90872,RAW_ABLibrary
9642.json,0.90845,RAWrabicaShamAY1
818.json,0.90788,RAW_ABLibrary
2150.html,0.90761,RAWrabicaRafed
0611SharafDinMuqaddasi.ArbacunaFiFadlDuca.Shamela0029639-ara1,0.90713,RELEASE
Shamela029639.txt,0.90698,raw_ShamelaY19
0611SharafDinMuqaddasi.ArbacunaFiFadlDuca.Shamela0029639-ara1,0.90681,RELEASE
2893.html,0.90673,RAWrabicaRafed
Sham30K0038958,0.90662,RAWrabica025000
2714.html,0.90486,RAWrabicaRafed
0705SharafDinDimyatti.JuzMusafahatMuslim.Shamela0026565-ara1,0.90484,RELEASE
0705SharafDinDimyatti.JuzMusafahatMuslim.Shamela0026565-ara1,0.90459,RELEASE
29639.json,0.90428,RAWrabicaShamAY2
0833IbnJazari.Cawali.Shamela0010831-ara1,0.90351,RELEASE
0571IbnCasakir.MadhTawaduc.Shamela0012747-ara1,0.90344,RELEASE
10831.bok.json,0.90318,RAWrabicaSham19Y
Shamela026565.txt,0.90277,raw_ShamelaY19
2718.html,0.90264,RAWrabicaRafed
0833IbnJazari.Cawali.Shamela0010831-ara1,0.90263,RELEASE
1302.json,0.90226,RAWrabicaShamAY1
0771Subki.MucjamShuyukh.Shamela0026389-ara1,0.90178,RELEASE
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0.90171,RELEASE
0618IbnCabdRahmanMuqriWasiti.ArbacinaFiJihad.Shamela0009374-ara1,0.90155,RELEASE
0662RashidAttar.NuzhatNazir.Shamela0026428-ara1,0.90141,RELEASE
10831.json,0.90136,RAWrabicaShamAY2
0662RashidAttar.NuzhatNazir.Shamela0026428-ara1,0.9013,RELEASE
Shamela026389.txt,0.9012,raw_ShamelaY19
9076.json,0.90119,RAWrabicaShamAY1
Shamela026428.txt,0.90111,raw_ShamelaY19
26428.json,0.90095,RAWrabicaShamAY2
0771Subki.MucjamShuyukh.Shamela0026389-ara1,0.90085,RELEASE
0571IbnCasakir.DhammDhiWajhayn.Shamela0026467-ara1,0.90084,RELEASE
26389.json,0.90067,RAWrabicaShamAY2
26467.json,0.90007,RAWrabicaShamAY2
0581AbuMusaMadini.DhikrIbnMandah.Shamela0009523-ara1,0.89992,RELEASE
0463KhatibBaghdadi.MuwaddihAwham.Shamela0006025-ara1,0.8999,RELEASE
26565.json,0.89961,RAWrabicaShamAY2
6025.json,0.89946,RAWrabicaShamAY1
0597IbnJawzi.ManaqibImamAhmad.Sham19Y0013250-ara1,0.89945,RELEASE
0597IbnJawzi.ManaqibImamAhmad.Sham19Y0013250-ara1,0.89897,RELEASE
31768.json,0.89886,RAWrabicaShamAY2
9523.json,0.89802,RAWrabicaShamAY1
26471.bok.json,0.89794,RAWrabicaSham19Y
26471.json,0.89725,RAWrabicaShamAY2
9374.json,0.89644,RAWrabicaShamAY1
2137.html,0.8963,RAWrabicaRafed
0842IbnNasirDinDimashqi.CarfCanbar.Shamela0009539-ara1,0.89502,RELEASE
2149.html,0.89464,RAWrabicaRafed
0842IbnNasirDinDimashqi.CarfCanbar.Shamela0009539-ara1,0.89455,RELEASE
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.89441,RELEASE
6739.json,0.89348,RAWrabicaShamAY1
0564CabdKhaliqIbnAsadHanafi.Mucjam.Sham19Y0123581-ara1,0.89346,RELEASE
Shamela039268.txt,0.89344,raw_ShamelaY19
0771Subki.TabaqatShaficiyyaKubra.JK000914-ara1,0.8934,RELEASE
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0009389-ara1,0.89314,RELEASE
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0009389-ara1,0.89309,RELEASE
817.json,0.89309,RAW_ABLibrary
9539.json,0.89255,RAWrabicaShamAY1
0771Subki.TabaqatShaficiyyaKubra.JK000914-ara1,0.89243,RELEASE
0771Subki.TabaqatShaficiyyaKubra.Shamela0006739-ara1,0.89242,RELEASE
Shamela026467.txt,0.89202,raw_ShamelaY19
12736.bok.json,0.89058,RAWrabicaSham19Y
0806IbnHusaynZaynDinCiraqi.Mahajja.ShamAY0033590-ara1,0.89031,RELEASE
Shamela026471.txt,0.89016,raw_ShamelaY19
0806IbnHusaynZaynDinCiraqi.Mahajja.ShamAY0033590-ara1,0.89005,RELEASE
9389.json,0.88999,RAWrabicaShamAY1
26467.bok.json,0.88994,RAWrabicaSham19Y
0600CabdGhaniMuqaddasi.DhikrNar.Shamela0012736-ara1,0.8898,RELEASE
5693.json,0.88978,RAWrabicaShamAY1
13089.json,0.88956,RAWrabicaShamAY2
13089.bok.json,0.8893,RAWrabicaSham19Y
0600CabdGhaniMuqaddasi.DhikrNar.Shamela0012736-ara1,0.88915,RELEASE
2713.html,0.88911,RAWrabicaRafed
Shamela123581.txt,0.88879,raw_ShamelaY19
1295.json,0.88861,RAWrabicaShamAY1
0378HakimKabir.AsamiWaKuna.ShamAY0034585-ara1,0.88855,RELEASE
0463KhatibBaghdadi.TaqyidCilm.Shamela0013089-ara1,0.88854,RELEASE
33590.json,0.8881,RAWrabicaShamAY2
0618IbnCabdRahmanMuqriWasiti.ArbacinaFiJihad.JK000662-ara1,0.88809,RELEASE
32859.json,0.88806,RAWrabicaShamAY2
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.88776,RELEASE
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0026471-ara1,0.88691,RELEASE
33886.json,0.88651,RAWrabicaShamAY2
002473.automARkdown,0.88613,RAW_Masaha
35240.json,0.88565,RAWrabicaShamAY3
Shamela026490.txt,0.8852,raw_ShamelaY19
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.88519,RELEASE
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.88497,RELEASE
0481AnsariHarawi.DhammKalam.ShamAY0033886-ara1,0.88496,RELEASE
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.88443,RELEASE
34585.json,0.88393,RAWrabicaShamAY3
Sham30K0033941,0.88365,RAWrabica020000
30646.json,0.88349,RAWrabicaShamAY2
1427.json,0.88332,RAWrabicaShamAY1
815.json,0.88323,RAW_ABLibrary
2642.automARkdown,0.88218,RAW_Ghbook
0571IbnCasakir.Tawba.Shamela0026465-ara1,0.8817,RELEASE
1322.json,0.88158,RAWrabicaShamAY1
5924.json,0.8813,RAWrabicaShamAY1
2146.html,0.88078,RAWrabicaRafed
39268.bok.json,0.88077,RAWrabicaSham19Y
Shia003105Vols,0.88011,RAWrabica045000
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.87992,RELEASE
Shia003157Vols_d,0.87989,RAWrabica045000
2410.html,0.8798,RAWrabicaRafed
Sham30K0034097,0.8797,RAWrabica020000
0739Birzali.Juz.ShamAY0033673-ara1,0.87962,RELEASE
33673.json,0.87947,RAWrabicaShamAY2
0739Birzali.Juz.ShamAY0033673-ara1,0.87942,RELEASE
0733IbnJamacaBadrDinHamawi.Fawaid.Shamela0029802-ara1,0.87929,RELEASE
2141.html,0.87928,RAWrabicaRafed
0733IbnJamacaBadrDinHamawi.Fawaid.Shamela0029802-ara1,0.87908,RELEASE
0476IbnAbiSaqrAnbari.Mashyakha.Sham19Y0005725-ara1,0.87903,RELEASE
0742Mizzi.TahdhibKamal.JK000144-ara1,0.87891,RELEASE
0826IbnCiraqi.Juz.ShamAY0035240-ara1,0.87876,RELEASE
001920.automARkdown,0.87875,RAW_Masaha
0724IbnCattar.Juz.Shamela0027101-ara1,0.87828,RELEASE
0412IbnMuhammadHarawi.ArbacunaFiShuyukhSufiyya.Shamela0008247-ara1,0.87798,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.87797,RELEASE
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.87782,RELEASE
0826IbnCiraqi.Juz.ShamAY0035240-ara1,0.87729,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.87725,RELEASE
0643DiyaDinMuqaddasi.IkhtisasQuran.Shamela0006404-ara1,0.87722,RELEASE
0724IbnCattar.Juz.Shamela0027101-ara1,0.87719,RELEASE
Shamela148486.txt,0.87715,raw_ShamelaY19
8247.json,0.87714,RAWrabicaShamAY1
33690.json,0.87692,RAWrabicaShamAY2
0516IbnCabdWahidDaqqaqIsbahani.MucjamMashaikh.Shamela0009622-ara1,0.87685,RELEASE
0643DiyaDinMuqaddasi.SifatJanna.ShamAY0033690-ara1,0.87681,RELEASE
816.json,0.87673,RAW_ABLibrary
Shamela027101.txt,0.87671,raw_ShamelaY19
0852IbnHajarCasqalani.MuntakhabMinAmali.Shamela0011118-ara1,0.87642,RELEASE
26473.json,0.87637,RAWrabicaShamAY2
26490.json,0.87635,RAWrabicaShamAY2
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.87611,RELEASE
Shamela026465.txt,0.87598,raw_ShamelaY19
0852IbnHajarCasqalani.MuntakhabMinAmali.Shamela0011118-ara1,0.87595,RELEASE
0441IbnCaliSuri.FawaidMuntaqat.Shia002100-ara1,0.87593,RELEASE
0620IbnQudamaMaqdisi.MutahabbinFiLlah.JK000671-ara1,0.87584,RELEASE
0620IbnQudamaMaqdisi.MutahabbinFiLlah.Shamela0006763-ara1,0.87568,RELEASE
2900.html,0.87553,RAWrabicaRafed
6404.json,0.87548,RAWrabicaShamAY1
5725.json,0.87526,RAWrabicaShamAY1
Shamela122397.txt,0.87521,raw_ShamelaY19
34081.json,0.87479,RAWrabicaShamAY2
0620IbnQudamaMaqdisi.MutahabbinFiLlah.JK000671-ara1,0.87477,RELEASE
6763.json,0.8747,RAWrabicaShamAY1
Sham30K0008247,0.87467,RAWrabica010000
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.87426,RELEASE
33909.json,0.87406,RAWrabicaShamAY2
0911Suyuti.DhaylTabaqatHuffaz.Shamela0007315-ara1,0.87376,RELEASE
27101.json,0.87372,RAWrabicaShamAY2
