unknown,TFIDF_cosine,libVar
0833IbnJazari.GhayatNihaya.Shamela0012040-ara1,0.9842,RELEASE
12040.bok.json,0.98392,RAWrabicaSham19Y
38177.json,0.98347,RAWrabicaShamAY3
12040.json,0.98341,RAWrabicaShamAY2
2900.html,0.89355,RAWrabicaRafed
2713.html,0.89187,RAWrabicaRafed
Shamela096165.txt,0.88835,raw_ShamelaY19
3404.html,0.88595,RAWrabicaRafed
2467.html,0.88449,RAWrabicaRafed
2893.html,0.8824,RAWrabicaRafed
34667.json,0.88232,RAWrabicaShamAY3
3225.html,0.88212,RAWrabicaRafed
0748Dhahabi.MacrifaQurraKibar.Shamela0008349-ara2,0.88207,RELEASE
0742Mizzi.TahdhibKamal.JK000144-ara1,0.8818,RELEASE
2959.html,0.8803,RAWrabicaRafed
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.87729,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.87712,RELEASE
2718.html,0.87588,RAWrabicaRafed
96165.bok.json,0.87437,RAWrabicaSham19Y
1676.json,0.87375,RAWrabicaShamAY1
2892.html,0.87211,RAWrabicaRafed
0748Dhahabi.MacrifaQurraKibar.JK000443-ara1,0.87126,RELEASE
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.87125,RELEASE
0629IbnNuqta.TakmilatIkmal.JK000618-ara1,0.87123,RELEASE
8945.json,0.8711,RAW_ABLibrary
5797.bok.json,0.87094,RAWrabicaSham19Y
0748Dhahabi.MacrifaQurraKibar.ShamAY0034609-ara1,0.87086,RELEASE
1765.html,0.87079,RAWrabicaRafed
5797.json,0.87025,RAWrabicaShamAY1
34609.json,0.86972,RAWrabicaShamAY3
Sham30K0008432,0.86836,RAWrabica010000
0911Suyuti.DhaylTabaqatHuffaz.Shamela0007315-ara1,0.86786,RELEASE
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1,0.86679,RELEASE
2857.html,0.86657,RAWrabicaRafed
38189.json,0.86597,RAWrabicaShamAY3
2612.html,0.86507,RAWrabicaRafed
7315.json,0.8647,RAWrabicaShamAY1
2330.html,0.86432,RAWrabicaRafed
0748Dhahabi.MucinFiTabaqatMuhaddithin.Shamela0005889-ara1,0.86265,RELEASE
5889.json,0.86252,RAWrabicaShamAY1
Sham30K0002784,0.86135,RAWrabica005000
Shamela096233.txt,0.8611,raw_ShamelaY19
34014.json,0.86025,RAWrabicaShamAY2
2890.html,0.8583,RAWrabicaRafed
35815.json,0.8583,RAWrabicaShamAY3
2981.html,0.85734,RAWrabicaRafed
712.html,0.85678,RAWrabicaRafed
Sham30K0044036,0.85621,RAWrabica030000
1375AhmadIbnHasanQasimi.JawahirMudia.Zaydiyya0000346-ara1,0.85605,RELEASE
