unknown,TFIDF_cosine,libVar
5832.bok.json,0.99999,RAWrabicaSham19Y
5832.json,0.99999,RAWrabicaShamAY1
0841BurhanDinSibtIbnCajami.KashfHathith.JK000495-ara1,0.99999,RELEASE
38183.json,0.99999,RAWrabicaShamAY3
0841BurhanDinSibtIbnCajami.KashfHathith.Shia003316-ara1,0.98972,RELEASE
Shia003316,0.90387,RAWrabica045000
1432.json,0.87738,RAWrabicaShamAY1
0963IbnMuhammadIbnCiraqKanani.TanzihSharica.JK005005-ara1,0.87705,RELEASE
0963IbnMuhammadIbnCiraqKanani.TanzihSharica.JK005005-ara1,0.87648,RELEASE
0963IbnMuhammadIbnCiraqKanani.TanzihSharica.Shamela0001432-ara1,0.87514,RELEASE
Sham30K0038921,0.86916,RAWrabica025000
Sham30K0038877,0.86708,RAWrabica025000
Sham30K0044072,0.86647,RAWrabica030000
0852IbnHajarCasqalani.LisanMizan.JK000534-ara2,0.86507,RELEASE
12063.json,0.85582,RAWrabicaShamAY2
0852IbnHajarCasqalani.LisanMizan.Shamela0012063-ara2,0.85395,RELEASE
5847.json,0.84767,RAWrabicaShamAY1
38198.json,0.84646,RAWrabicaShamAY3
0806IbnHusaynNajmDinCiraqi.DhaylMizan.JK001293BK2-ara1,0.84584,RELEASE
0806IbnHusaynNajmDinCiraqi.DhaylMizan.JK001293BK2-ara1,0.84498,RELEASE
0806IbnHusaynZaynDinCiraqi.DhaylMizan.Shamela0005847-ara1,0.84494,RELEASE
0806IbnHusaynNajmDinCiraqi.DhaylMizan.ShamAY0034601BK2-ara1,0.84486,RELEASE
Shamela036357.txt,0.84449,raw_ShamelaY19
0806IbnHusaynZaynDinCiraqi.DhaylMizan.Shamela0005847-ara1,0.84406,RELEASE
0806IbnHusaynZaynDinCiraqi.DhaylMizan.JK005015-ara1,0.84399,RELEASE
1041.json,0.84301,RAWrabicaShamAY1
0852IbnHajarCasqalani.LisanMizan.Shamela0036357-ara1,0.84094,RELEASE
0852IbnHajarCasqalani.LisanMizan.Shamela0036357-ara1,0.83932,RELEASE
1893.json,0.83768,RAWrabicaShamAY1
38185.json,0.83688,RAWrabicaShamAY3
Sham30K0034100,0.83648,RAWrabica020000
34606.json,0.83561,RAWrabicaShamAY3
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.83515,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.ShamAY0034606-ara2,0.83444,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.JK000536-ara2,0.8341,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.83335,RELEASE
0852IbnHajarCasqalani.LisanMizan.Shia003341Vols-ara2,0.83182,RELEASE
5798.json,0.83069,RAWrabicaShamAY1
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.8273,RELEASE
Shamela149213.txt,0.82658,raw_ShamelaY19
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.82363,RELEASE
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.82352,RELEASE
38004.json,0.82292,RAWrabicaShamAY3
34567.json,0.82292,RAWrabicaShamAY3
Shia003306Vols,0.82271,RAWrabica045000
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0038004-ara1,0.82152,RELEASE
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0034567-ara2,0.82134,RELEASE
0852IbnHajarCasqalani.IsabaFiTamyiz.JK000533-ara1,0.82078,RELEASE
0852IbnHajarCasqalani.IsabaFiTamyiz.JK000533-ara1,0.82061,RELEASE
1692.json,0.81975,RAWrabicaShamAY1
5851.json,0.81849,RAWrabicaShamAY1
Shia003341Vols,0.81651,RAWrabica045000
34652.json,0.81487,RAWrabicaShamAY3
Shamela036515.txt,0.81372,raw_ShamelaY19
0474IbnKhalafBaji.TacdilWaTajrih.JK000499-ara1,0.81356,RELEASE
34601.json,0.81289,RAWrabicaShamAY3
0748Dhahabi.MizanIctidal.ShamAY0034652-ara2,0.81282,RELEASE
0748Dhahabi.MizanIctidal.JK001293BK1-ara1,0.81149,RELEASE
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.81139,RELEASE
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.81116,RELEASE
329.json,0.81102,RAWrabicaShamAY1
0748Dhahabi.MizanIctidal.ShamAY0034601BK1-ara1,0.81076,RELEASE
0748Dhahabi.MizanIctidal.JK001293BK1-ara1,0.81035,RELEASE
5719.json,0.81009,RAWrabicaShamAY1
33029.json,0.80994,RAWrabicaShamAY2
37348.json,0.80975,RAWrabicaShamAY3
11036.bok.json,0.80857,RAWrabicaSham19Y
0748Dhahabi.MizanIctidal.Shia003306Vols-ara3,0.80816,RELEASE
0748Dhahabi.MizanIctidal.Shamela0001692-ara3,0.80814,RELEASE
10843.json,0.80761,RAWrabicaShamAY2
11036.json,0.80744,RAWrabicaShamAY2
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.80691,RELEASE
Sham30K0033963,0.80678,RAWrabica020000
34614.json,0.80657,RAWrabicaShamAY3
34568.json,0.80638,RAWrabicaShamAY3
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034647-ara3,0.80578,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.8055,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.JK001031-ara1,0.80549,RELEASE
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0034568-ara3,0.80537,RELEASE
12404.bok.json,0.80509,RAWrabicaSham19Y
0748Dhahabi.TadhkiratHuffaz.Shamela0001583-ara2,0.80482,RELEASE
3310.json,0.8047,RAWrabicaShamAY1
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.80468,RELEASE
002338.automARkdown,0.80453,RAW_Masaha
Shamela028107.txt,0.8044,raw_ShamelaY19
12404.json,0.80431,RAWrabicaShamAY2
0852IbnHajarCasqalani.TahdhibTahdhib.ShamAY0034614-ara1,0.80404,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.80372,RELEASE
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.80356,RELEASE
34647.json,0.80322,RAWrabicaShamAY3
3214.html,0.80307,RAWrabicaRafed
0362AbuFarajIsbahani.MaqatilTalibiyyin.Shamela0012404-ara1,0.80247,RELEASE
34664.json,0.80244,RAWrabicaShamAY3
1143.json,0.80244,RAWrabicaShamAY1
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.80196,RELEASE
Sham30K0002786,0.80125,RAWrabica005000
Shamela096228.txt,0.8011,raw_ShamelaY19
0762MughultayIbnQilij.IkmalTahdhib.Shia003311Vols-ara1,0.80081,RELEASE
6706.json,0.80051,RAWrabicaShamAY1
2137.html,0.8004,RAWrabicaRafed
0911Suyuti.BudurSafira.ShamAY0034815-ara1,0.80005,RELEASE
Shamela020870.txt,0.79962,raw_ShamelaY19
1011SahibMacalim.TahrirTawusi.Shia002944-ara1,0.7996,RELEASE
2590.html,0.79945,RAWrabicaRafed
Shamela037551.txt,0.79927,raw_ShamelaY19
0852IbnHajarCasqalani.TahdhibTahdhib.Shamela0003310-ara2,0.79893,RELEASE
35817.json,0.79864,RAWrabicaShamAY3
0385Daraqutni.TacliqatCalaMajruhin.Shamela0010843-ara1,0.79849,RELEASE
34014.json,0.79836,RAWrabicaShamAY2
1011SahibMacalim.TahrirTawusi.Shia002944-ara1,0.79817,RELEASE
0911Suyuti.BudurSafira.ShamAY0034815-ara1,0.79811,RELEASE
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.79766,RELEASE
0762IbnYusufZaylaci.NasbRaya.JK000471-ara1,0.79754,RELEASE
34577.json,0.79742,RAWrabicaShamAY3
0179MalikIbnAnas.Muwatta.Shamela0028107-ara1,0.79734,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.79691,RELEASE
34668.json,0.7969,RAWrabicaShamAY3
0762IbnYusufZaylaci.NasbRaya.Shia002222Vols-ara1,0.7967,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.79645,RELEASE
0333AbuCarabTamimi.Mihan.Shamela0006706-ara1,0.79629,RELEASE
33074.json,0.79608,RAWrabicaShamAY2
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.79579,RELEASE
2138.html,0.79567,RAWrabicaRafed
309.json,0.79452,RAWrabicaShamAY1
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034632-ara4,0.79451,RELEASE
2582.html,0.79451,RAWrabicaRafed
Shamela026726.txt,0.79447,raw_ShamelaY19
12317.json,0.79446,RAWrabicaShamAY2
Shamela026857.txt,0.7941,raw_ShamelaY19
Shamela148896.txt,0.79398,raw_ShamelaY19
0463IbnCabdBarr.IsticabFiMacrifatAshab.JK000778-ara1,0.79377,RELEASE
0929IbnKayyal.KawakibNayyirat.Shia003352-ara1,0.79347,RELEASE
34667.json,0.79329,RAWrabicaShamAY3
33059.json,0.79306,RAWrabicaShamAY2
0929IbnKayyal.KawakibNayyirat.Shamela0000309-ara1,0.79261,RELEASE
2139.html,0.79257,RAWrabicaRafed
34223.json,0.79247,RAWrabicaShamAY3
Shia002093,0.79244,RAWrabica040000
0929IbnKayyal.KawakibNayyirat.Shamela0000309-ara1,0.79237,RELEASE
811.json,0.79214,RAW_ABLibrary
34617.json,0.79185,RAWrabicaShamAY3
0742Mizzi.TahdhibKamal.JK000144-ara1,0.79178,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.79161,RELEASE
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.79133,RELEASE
13179.json,0.79129,RAWrabicaShamAY2
0929IbnKayyal.KawakibNayyirat.ShamAY0034617-ara1,0.79127,RELEASE
34145.json,0.79109,RAWrabicaShamAY2
0929IbnKayyal.KawakibNayyirat.JK000500-ara1,0.79065,RELEASE
0911Suyuti.TazyinMamalik.ShamAY0034223-ara1,0.79054,RELEASE
3421.html,0.79014,RAWrabicaRafed
26726.json,0.79008,RAWrabicaShamAY2
26857.json,0.78998,RAWrabicaShamAY2
Shamela096963.txt,0.78994,raw_ShamelaY19
34632.json,0.78951,RAWrabicaShamAY3
5812.json,0.78915,RAWrabicaShamAY1
0734IbnSayyidNas.NafhShadhi.Sham19Y0016599-ara1,0.78893,RELEASE
Shia003430Vols,0.78869,RAWrabica045000
Shamela030327.txt,0.78864,raw_ShamelaY19
Sham30K0002549,0.78826,RAWrabica005000
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.78826,RELEASE
0855BadrDinCayni.SharhSunanAbiDawud.Shamela0008540-ara1,0.78811,RELEASE
0734IbnSayyidNas.NafhShadhi.Sham19Y0016599-ara1,0.78811,RELEASE
Shamela122397.txt,0.7881,raw_ShamelaY19
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.78781,RELEASE
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.7878,RELEASE
812.json,0.78774,RAW_ABLibrary
0911Suyuti.TazyinMamalik.ShamAY0034223-ara1,0.78753,RELEASE
0855BadrDinCayni.SharhSunanAbiDawud.Shamela0008540-ara1,0.78752,RELEASE
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.78749,RELEASE
0292SacidBardhaci.SualatLiAbiZurca.ShamAY0034145-ara1,0.78733,RELEASE
33145.json,0.78703,RAWrabicaShamAY2
0748Dhahabi.MacrifaQurraKibar.Shamela0008349-ara2,0.7869,RELEASE
0842IbnNasirDinDimashqi.TawdihMushtabih.JK007097-ara1,0.78627,RELEASE
8349.json,0.78613,RAWrabicaShamAY1
Sham30K0038944,0.78606,RAWrabica025000
35892.json,0.78593,RAWrabicaShamAY3
Shamela122405.txt,0.78579,raw_ShamelaY19
31720.json,0.78566,RAWrabicaShamAY2
32166.json,0.78535,RAWrabicaShamAY2
30327.json,0.78501,RAWrabicaShamAY2
2170.html,0.78485,RAWrabicaRafed
0842IbnNasirDinDimashqi.TawdihMushtabih.Shamela0005812-ara1,0.78466,RELEASE
8349.bok.json,0.78455,RAWrabicaSham19Y
0842IbnNasirDinDimashqi.TawdihMushtabih.JK007097-ara1,0.7845,RELEASE
Shamela132971.txt,0.7842,raw_ShamelaY19
31576.json,0.78403,RAWrabicaShamAY2
150.json,0.78381,RAWrabicaShamAY1
1450TullabKSU.IkmalTahdhibTarajimSaqita.Shamela0037551-ara1,0.7838,RELEASE
813.json,0.78372,RAW_ABLibrary
0292SacidBardhaci.Ducafa.JK000835-ara1,0.78366,RELEASE
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.78364,RELEASE
2642.automARkdown,0.7835,RAW_Ghbook
38181.json,0.78331,RAWrabicaShamAY3
34580.json,0.78326,RAWrabicaShamAY3
0636IbnKhalfunAzdi.AsmaShuyukhMalik.ShamAY0034580-ara1,0.78323,RELEASE
Shamela029742.txt,0.7832,raw_ShamelaY19
Shamela026566.txt,0.78312,raw_ShamelaY19
33613.json,0.78281,RAWrabicaShamAY2
6615.json,0.78269,RAWrabicaShamAY1
9076.json,0.78266,RAWrabicaShamAY1
0636IbnKhalfunAzdi.AsmaShuyukhMalik.ShamAY0034580-ara1,0.78259,RELEASE
2718.html,0.78253,RAWrabicaRafed
5836.json,0.7825,RAWrabicaShamAY1
0852IbnHajarCasqalani.AhadithCashara.ShamAY0033613-ara1,0.78246,RELEASE
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.78232,RELEASE
Sham30K0002670,0.78219,RAWrabica005000
3404.html,0.78202,RAWrabicaRafed
0774IbnKathir.Takmil.Shamela0096228-ara1,0.78199,RELEASE
0852IbnHajarCasqalani.AhadithCashara.ShamAY0033613-ara1,0.7819,RELEASE
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.78178,RELEASE
6025.json,0.78173,RAWrabicaShamAY1
0852IbnHajarCasqalani.TacjilManfaca.Shia003325-ara2,0.78147,RELEASE
1450TullabKSU.IkmalTahdhibTarajimSaqita.ShamAY0000958-ara1,0.78143,RELEASE
0354IbnHibbanBusti.Majruhin.Shia003101Vols-ara1,0.78132,RELEASE
Sham30K0008349,0.78114,RAWrabica010000
2248.html,0.78059,RAWrabicaRafed
2893.html,0.78058,RAWrabicaRafed
9642.json,0.78054,RAWrabicaShamAY1
2904.html,0.78045,RAWrabicaRafed
0774IbnKathir.Takmil.Shamela0096228-ara1,0.78038,RELEASE
33054.json,0.78022,RAWrabicaShamAY2
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shia002230-ara1,0.78006,RELEASE
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shia002230-ara1,0.77999,RELEASE
2894.html,0.77993,RAWrabicaRafed
1135.json,0.77989,RAWrabicaShamAY1
