unknown,TFIDF_cosine,libVar
33546.json,0.96872,RAWrabicaShamAY2
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.7806,RELEASE
12752.bok.json,0.78013,RAWrabicaSham19Y
Shamela026857.txt,0.77947,raw_ShamelaY19
0635AbuMunajjaIbnLatti.Mashyakha.Shamela0026857-ara1,0.77904,RELEASE
0833IbnJazari.ManaqibAsadGhalib.Shamela0012752-ara1,0.77891,RELEASE
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.77863,RELEASE
9642.json,0.77773,RAWrabicaShamAY1
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.77654,RELEASE
12752.json,0.77589,RAWrabicaShamAY2
Shamela030620.txt,0.7757,raw_ShamelaY19
2139.html,0.77561,RAWrabicaRafed
Shamela026726.txt,0.7756,raw_ShamelaY19
33616.json,0.77556,RAWrabicaShamAY2
813.json,0.77515,RAW_ABLibrary
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.77491,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030620-ara1,0.77462,RELEASE
26857.json,0.7744,RAWrabicaShamAY2
Shamela030594.txt,0.77407,raw_ShamelaY19
26726.json,0.77275,RAWrabicaShamAY2
2149.html,0.7726,RAWrabicaRafed
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030594-ara1,0.77246,RELEASE
2138.html,0.77245,RAWrabicaRafed
0771Subki.MucjamShuyukh.Shamela0026389-ara1,0.7721,RELEASE
812.json,0.77157,RAW_ABLibrary
811.json,0.77142,RAW_ABLibrary
Shamela026389.txt,0.77111,raw_ShamelaY19
13179.json,0.77078,RAWrabicaShamAY2
817.json,0.77028,RAW_ABLibrary
0771Subki.MucjamShuyukh.Shamela0026389-ara1,0.77026,RELEASE
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shia002230-ara1,0.77024,RELEASE
Shamela030248.txt,0.76999,raw_ShamelaY19
0806IbnHusaynZaynDinCiraqi.ArbacunaCushariyya.Shia002230-ara1,0.7688,RELEASE
30620.json,0.76849,RAWrabicaShamAY2
26389.json,0.76825,RAWrabicaShamAY2
2137.html,0.76682,RAWrabicaRafed
30594.json,0.76666,RAWrabicaShamAY2
0643IbnCisaMaqdisi.SiratJarir.ShamAY0032780-ara1,0.76589,RELEASE
0418HibatAllahLalikai.SharhUsulIctiqad.Shamela0009200-ara1,0.76546,RELEASE
0643IbnCisaMaqdisi.SiratJarir.ShamAY0032780-ara1,0.76541,RELEASE
9200.json,0.76533,RAWrabicaShamAY1
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.765,RELEASE
0576AbuTahirSilafi.Mashyakha.JK000649-ara1,0.76408,RELEASE
33699.json,0.76395,RAWrabicaShamAY2
Shamela030327.txt,0.76371,raw_ShamelaY19
2141.html,0.76346,RAWrabicaRafed
32780.json,0.76332,RAWrabicaShamAY2
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.76314,RELEASE
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.7631,RELEASE
0459IbnMuhammadDimashqi.Fawaid.Shamela0026566-ara1,0.76266,RELEASE
Shamela026566.txt,0.76259,raw_ShamelaY19
0842IbnNasirDinDimashqi.AhadithArbacuna.Shamela0030248-ara1,0.76248,RELEASE
0852IbnHajarCasqalani.MuwafaqatKhubrKhabar.Sham19Y0018611-ara1,0.76222,RELEASE
Shamela039268.txt,0.762,raw_ShamelaY19
5715.bok.json,0.76199,RAWrabicaSham19Y
0842IbnNasirDinDimashqi.AhadithArbacuna.Shamela0030248-ara1,0.76193,RELEASE
0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,0.7618,RELEASE
815.json,0.76176,RAW_ABLibrary
