unknown,TFIDF_cosine,libVar
33559.json,0.99771,RAWrabicaShamAY2
16928.bok.json,0.84174,RAWrabicaSham19Y
32484.json,0.84013,RAWrabicaShamAY2
0761IbnKaykaldiCalai.MajmucRasail.Sham19Y0016928-ara1,0.83914,RELEASE
0761IbnKaykaldiCalai.MajmucRasail.Sham19Y0016928-ara1,0.83865,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.82541,RELEASE
Shamela148896.txt,0.82471,raw_ShamelaY19
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.82468,RELEASE
33598.json,0.82425,RAWrabicaShamAY2
0458Bayhaqi.Ictiqad.JK000698-ara1,0.82235,RELEASE
0842IbnNasirDinDimashqi.Majalis.ShamAY0033586-ara1,0.82177,RELEASE
34009.json,0.82171,RAWrabicaShamAY2
2517.html,0.82122,RAWrabicaRafed
33586.json,0.81985,RAWrabicaShamAY2
0842IbnNasirDinDimashqi.Majalis.ShamAY0033586-ara1,0.81958,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.ShamAY0034041-ara1,0.81867,RELEASE
Shamela132403.txt,0.81841,raw_ShamelaY19
34041.json,0.81812,RAWrabicaShamAY2
12997.json,0.81758,RAWrabicaShamAY2
0789IbnMuhibbSamit.SifatRabbCalamin.Sham19Y0132403-ara1,0.81742,RELEASE
0789IbnMuhibbSamit.SifatRabbCalamin.Sham19Y0132403-ara1,0.8161,RELEASE
7412.json,0.81557,RAW_ABLibrary
0676Nawawi.TahdhibAsma.JK001320-ara1,0.81437,RELEASE
7375.json,0.8142,RAWrabicaShamAY1
0774IbnKathir.TuhfatTalib.Shamela0009978-ara1,0.81322,RELEASE
Shamela022800.txt,0.81259,raw_ShamelaY19
0676Nawawi.TahdhibAsma.Shamela0009702-ara1,0.81246,RELEASE
0676Nawawi.TahdhibAsma.ShamAY0009702-ara1,0.81216,RELEASE
32195.json,0.81215,RAWrabicaShamAY2
0774IbnKathir.TuhfatTalib.Shamela0009978-ara1,0.81207,RELEASE
0676Nawawi.TahdhibAsma.Shamela0009702-ara1,0.81073,RELEASE
34626.json,0.81065,RAWrabicaShamAY3
0463KhatibBaghdadi.RihlaFiTalabCilm.Shia002156-ara1,0.81063,RELEASE
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.81003,RELEASE
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.80987,RELEASE
Shamela023163.txt,0.8094,raw_ShamelaY19
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.8094,RELEASE
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.80842,RELEASE
23163.json,0.80835,RAWrabicaShamAY2
5719.json,0.80803,RAWrabicaShamAY1
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.80745,RELEASE
10631.json,0.80725,RAWrabicaShamAY1
0662RashidAttar.GhurarFawaid.JK000737-ara1,0.80705,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.JK001031-ara1,0.80694,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.80693,RELEASE
Sham30K0002749,0.80687,RAWrabica005000
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.80623,RELEASE
0852IbnHajarCasqalani.QawlMusaddad.Shia002242-ara1,0.80612,RELEASE
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.80586,RELEASE
Shamela023653.txt,0.80566,raw_ShamelaY19
0662RashidAttar.GhurarFawaid.Shamela0002749-ara1,0.80556,RELEASE
2749.bok.json,0.80556,RAWrabicaSham19Y
0852IbnHajarCasqalani.QawlMusaddad.Shia002242-ara1,0.80541,RELEASE
2749.json,0.80508,RAWrabicaShamAY1
33059.json,0.80507,RAWrabicaShamAY2
0734IbnSayyidNas.CuyunAthar.Shamela0023653-ara1,0.80433,RELEASE
002308Vols.automARkdown,0.80381,RAW_Masaha
