unknown,TFIDF_cosine,libVar
33557.json,0.99773,RAWrabicaShamAY2
0953IbnTulun.Tarshih.ShamAY0033558-ara1,0.94687,RELEASE
0953IbnTulun.Tarshih.ShamAY0033558-ara1,0.94596,RELEASE
33558.json,0.94551,RAWrabicaShamAY2
1318.json,0.86268,RAWrabicaShamAY1
Shamela026373.txt,0.86073,raw_ShamelaY19
0463KhatibBaghdadi.DhikrSalatTasbih.Shamela0026373-ara1,0.86073,RELEASE
0852IbnHajarCasqalani.AmaliAdhkarFiFadlSalatTasbih.Shamela0029563-ara1,0.82373,RELEASE
0852IbnHajarCasqalani.AmaliAdhkarFiFadlSalatTasbih.Shamela0029563-ara1,0.82331,RELEASE
Shamela029563.txt,0.82117,raw_ShamelaY19
29563.json,0.81691,RAWrabicaShamAY2
0852IbnHajarCasqalani.TakhrijAdhkar.ShamAY0033066-ara1,0.73884,RELEASE
0852IbnHajarCasqalani.TakhrijAdhkar.ShamAY0033066-ara1,0.73702,RELEASE
33066.json,0.72606,RAWrabicaShamAY2
29976.bok.json,0.72177,RAWrabicaSham19Y
1377.json,0.72118,RAWrabicaShamAY1
0562IbnHasanIsbahaniThaqafi.Fawaid.Shamela0029976-ara1,0.71922,RELEASE
Shamela029976.txt,0.7185,raw_ShamelaY19
0458Bayhaqi.Ictiqad.JK000698-ara1,0.71807,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.71634,RELEASE
12997.json,0.71501,RAWrabicaShamAY2
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.71488,RELEASE
0789IbnMuhibbSamit.SifatRabbCalamin.Sham19Y0132403-ara1,0.71418,RELEASE
0936IbnAhmadShammacHalabi.Thabt.ShamAY0032855-ara1,0.71376,RELEASE
34009.json,0.7135,RAWrabicaShamAY2
0936IbnAhmadShammacHalabi.Thabt.ShamAY0032855-ara1,0.71269,RELEASE
0789IbnMuhibbSamit.SifatRabbCalamin.Sham19Y0132403-ara1,0.71265,RELEASE
9886.json,0.71095,RAWrabicaShamAY1
Shamela132403.txt,0.71069,raw_ShamelaY19
33598.json,0.71065,RAWrabicaShamAY2
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.71014,RELEASE
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.70949,RELEASE
9270.json,0.7092,RAWrabicaShamAY1
9270.bok.json,0.70861,RAWrabicaSham19Y
32855.json,0.70857,RAWrabicaShamAY2
0458Bayhaqi.AsmaWaSifat.Shamela0009270-ara1,0.70832,RELEASE
Sham30K0044098,0.70577,RAWrabica030000
34134.json,0.70481,RAWrabicaShamAY2
0393AbuTahirMukhallis.SabcatMajalis.Shamela0008233-ara1,0.70363,RELEASE
8233.json,0.7032,RAWrabicaShamAY1
Sham30K0008233,0.70237,RAWrabica010000
0852IbnHajarCasqalani.QawlMusaddad.Shia002242-ara1,0.70199,RELEASE
001833.automARkdown,0.70093,RAW_Masaha
0852IbnHajarCasqalani.QawlMusaddad.Shia002242-ara1,0.70092,RELEASE
2517.html,0.70071,RAWrabicaRafed
0705SharafDinDimyatti.Tasalli.Shamela0022301-ara1,0.6989,RELEASE
001831.automARkdown,0.69884,RAW_Masaha
7412.json,0.69833,RAW_ABLibrary
0500IbnAhmadSarrajBaghdadi.Fawaid.ShamAY0038144-ara1,0.69798,RELEASE
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.69797,RELEASE
0705SharafDinDimyatti.Tasalli.Shamela0022301-ara1,0.69767,RELEASE
22301.bok.json,0.69728,RAWrabicaSham19Y
13179.json,0.69716,RAWrabicaShamAY2
0488AbuFadlIbnKhayrun.FawaidCawali.ShamAY0032946-ara1,0.6963,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.69611,RELEASE
Shamela022301.txt,0.69596,raw_ShamelaY19
Shamela026884.txt,0.69567,raw_ShamelaY19
8209.json,0.69536,RAWrabicaShamAY1
7397.json,0.69526,RAW_ABLibrary
16928.bok.json,0.6952,RAWrabicaSham19Y
26884.json,0.69456,RAWrabicaShamAY2
Shia002093,0.6945,RAWrabica040000
0458Bayhaqi.ShucabIman.JK000021-ara1,0.69444,RELEASE
0761IbnKaykaldiCalai.JuzFiTafsirBaqiyat.Shamela0005509-ara1,0.69436,RELEASE
38144.json,0.69421,RAWrabicaShamAY3
0405HakimNaysaburi.MacrifatCulumHadith.ShamAY0034041-ara1,0.69312,RELEASE
22301.json,0.69288,RAWrabicaShamAY2
34002.json,0.69277,RAWrabicaShamAY2
1280QadiMulkHindi.DhaylQawlMusaddad.Shamela0008637-ara1,0.69256,RELEASE
0364IbnSunniDinawari.CamalYawmWaLayl.Shamela0013132-ara1,0.69227,RELEASE
002186Vols.automARkdown,0.69223,RAW_Masaha
0563IbnCaliTamidhi.Juz.ShamAY0033582-ara1,0.69205,RELEASE
0840ShihabDinBusiri.IthafKhayra.Shamela0021765-ara1,0.69205,RELEASE
1280QadiMulkHindi.DhaylQawlMusaddad.JK006923-ara1,0.69183,RELEASE
5509.json,0.69177,RAWrabicaShamAY1
5806.bok.json,0.69176,RAWrabicaSham19Y
0761IbnKaykaldiCalai.JuzFiTafsirBaqiyat.JK001002-ara1,0.69175,RELEASE
8637.json,0.69171,RAWrabicaShamAY1
0761IbnKaykaldiCalai.JuzFiTafsirBaqiyat.JK001002-ara1,0.69153,RELEASE
32484.json,0.69152,RAWrabicaShamAY2
Shia002045Vols,0.69148,RAWrabica040000
Sham30K0008209,0.6914,RAWrabica010000
1280QadiMulkHindi.DhaylQawlMusaddad.Shamela0008637-ara1,0.69133,RELEASE
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.6913,RELEASE
0774IbnKathir.MusnadCumarIbnKhattab.Sham19Y0016555-ara2,0.69128,RELEASE
32946.json,0.69123,RAWrabicaShamAY2
0511IbnMandahYahya.MacrifatAsamiArdaf.Shamela0005806-ara1,0.69114,RELEASE
0574ShuhdaBintAhmad.Cumda.Shamela0007375-ara1,0.69111,RELEASE
0310IbnAhmadDulabi.KunaWaAsma.JK007016-ara1,0.69102,RELEASE
5806.json,0.69084,RAWrabicaShamAY1
33582.json,0.6908,RAWrabicaShamAY2
0571IbnCasakir.ArbacunaFiHathth.JK000616-ara1,0.69069,RELEASE
21765.bok.json,0.69036,RAWrabicaSham19Y
0840ShihabDinBusiri.IthafKhayra.Shamela0021765-ara1,0.69032,RELEASE
0761IbnKaykaldiCalai.MajmucRasail.Sham19Y0016928-ara1,0.69013,RELEASE
0774IbnKathir.MusnadCumarIbnKhattab.Sham19Y0016555-ara2,0.69001,RELEASE
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.68987,RELEASE
8258.json,0.68971,RAWrabicaShamAY1
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.68933,RELEASE
Shamela021765.txt,0.6893,raw_ShamelaY19
0761IbnKaykaldiCalai.MajmucRasail.Sham19Y0016928-ara1,0.6892,RELEASE
0378HakimKabir.Fawaid.Shamela0026730-ara1,0.68903,RELEASE
0458Bayhaqi.IthbatCadhabQabr.JK000314-ara1,0.68895,RELEASE
13132.json,0.68873,RAWrabicaShamAY2
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.68856,RELEASE
1733.json,0.68852,RAWrabicaShamAY1
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.68847,RELEASE
34041.json,0.68834,RAWrabicaShamAY2
Sham30K0043832,0.68814,RAWrabica030000
12992.json,0.6881,RAWrabicaShamAY2
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.68772,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.JK001031-ara1,0.68768,RELEASE
0852IbnHajarCasqalani.MatalibCaliya.Shamela0022804-ara1,0.6875,RELEASE
0852IbnHajarCasqalani.TaghliqTacliq.Shamela0000347-ara1,0.68725,RELEASE
8221.bok.json,0.68724,RAWrabicaSham19Y
32766.json,0.68716,RAWrabicaShamAY2
0807NurDinHaythami.BughyatBahith.ShamAY0033926-ara1,0.68707,RELEASE
0852IbnHajarCasqalani.TaghliqTacliq.JK000702-ara1,0.68696,RELEASE
21765.json,0.68696,RAWrabicaShamAY2
Shamela026730.txt,0.68691,raw_ShamelaY19
0430AbuNucaymIsbahani.ImamaWaRaddCalaRafida.Shamela0006449-ara1,0.68685,RELEASE
0734IbnSayyidNas.CuyunAthar.Shamela0023653-ara1,0.68679,RELEASE
002308Vols.automARkdown,0.68665,RAW_Masaha
0590AbuKhayrQazwini.HidyatDhawiAlbab.ShamAY0032964-ara1,0.68661,RELEASE
347.json,0.68661,RAWrabicaShamAY1
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0.68651,RELEASE
Sham30K0008258,0.68649,RAWrabica010000
0852IbnHajarCasqalani.TaghliqTacliq.Shamela0000347-ara1,0.68641,RELEASE
6449.json,0.6864,RAWrabicaShamAY1
Shamela022804.txt,0.68636,raw_ShamelaY19
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.68636,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.68618,RELEASE
10637.json,0.68616,RAWrabicaShamAY1
33594.json,0.68609,RAWrabicaShamAY2
0347.bok.json,0.68584,RAWrabicaSham19Y
22804.bok.json,0.68577,RAWrabicaSham19Y
13056.json,0.68573,RAWrabicaShamAY2
34008.json,0.68571,RAWrabicaShamAY2
5716.json,0.68571,RAWrabicaShamAY1
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.68565,RELEASE
8221.json,0.68547,RAWrabicaShamAY1
0833IbnJazari.ManaqibAsadGhalib.Shamela0012752-ara1,0.68542,RELEASE
Shamela029911.txt,0.68535,raw_ShamelaY19
0807NurDinHaythami.BughyatBahith.ShamAY0033926-ara1,0.68531,RELEASE
0360Tabarani.Duca.Shia002067-ara1,0.68531,RELEASE
0535QawwamSunna.Amali.ShamAY0032916-ara1,0.68526,RELEASE
32964.json,0.68495,RAWrabicaShamAY2
5719.json,0.68474,RAWrabicaShamAY1
4289.json,0.68472,RAWrabicaShamAY1
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.68465,RELEASE
26730.json,0.68444,RAWrabicaShamAY2
1225.json,0.68442,RAWrabicaShamAY1
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.68434,RELEASE
13087.json,0.68431,RAWrabicaShamAY2
003716.automARkdown,0.68418,RAW_Masaha
29911.json,0.68392,RAWrabicaShamAY2
31640.json,0.68383,RAWrabicaShamAY2
Sham30K0008221,0.68382,RAWrabica010000
0408IbnIbrahimJurjani.Amali.ShamAY0032781-ara1,0.68373,RELEASE
