unknown,TFIDF_cosine,libVar
0852IbnHajarCasqalani.NuzhatSamicin.JK001203-ara1,0.99947,RELEASE
6009.json,0.99939,RAWrabicaShamAY1
6009.bok.json,0.99695,RAWrabicaSham19Y
0702IbnDaqiqCidQushayri.IlmamBiAhadith.ShamAY0033975-ara1,0.88815,RELEASE
33975.json,0.88732,RAWrabicaShamAY2
34177.json,0.87853,RAWrabicaShamAY2
34171.json,0.87819,RAWrabicaShamAY2
0699ShihabDinIshbiliLakhmi.MukhtasarKhilafiyyat.JK009138-ara1,0.87589,RELEASE
0699ShihabDinIshbiliLakhmi.MukhtasarKhilafiyyat.Shamela0006227-ara1,0.87429,RELEASE
6227.json,0.87304,RAWrabicaShamAY1
0774IbnKathir.MusnadCumarIbnKhattab.Shamela0026039-ara1,0.86488,RELEASE
9082.json,0.86437,RAWrabicaShamAY1
0909IbnCabdHadi.IkhtilafBaynaRuwatBukhari.Shamela0030358-ara1,0.86404,RELEASE
26039.json,0.86387,RAWrabicaShamAY2
Shamela026039.txt,0.86227,raw_ShamelaY19
6049.bok.json,0.85912,RAWrabicaSham19Y
6038.bok.json,0.85757,RAWrabicaSham19Y
6038.json,0.85707,RAWrabicaShamAY1
10843.json,0.85596,RAWrabicaShamAY2
0748Dhahabi.Muhadhdhab.Sham19Y0146127-ara1,0.85481,RELEASE
Shamela030358.txt,0.85346,raw_ShamelaY19
Shamela146127.txt,0.85306,raw_ShamelaY19
30358.bok.json,0.8529,RAWrabicaSham19Y
0774IbnKathir.MusnadCumarIbnKhattab.Sham19Y0016555-ara2,0.8529,RELEASE
30358.json,0.85233,RAWrabicaShamAY2
34174.json,0.8516,RAWrabicaShamAY2
6049.json,0.85111,RAWrabicaShamAY1
Shamela026075.txt,0.84998,raw_ShamelaY19
1310.json,0.8492,RAWrabicaShamAY1
0620IbnQudamaMaqdisi.MuntakhabMinCilal.Shamela0026075-ara1,0.8492,RELEASE
0742Mizzi.TuhfatAshraf.Shamela0011385-ara1,0.84909,RELEASE
