unknown,TFIDF_cosine,libVar
0347.bok.json,1.0,RAWrabicaSham19Y
347.json,1.0,RAWrabicaShamAY1
0852IbnHajarCasqalani.TaghliqTacliq.JK000702-ara1,0.99986,RELEASE
0852IbnHajarCasqalani.LadhdhatCaysh.ShamAY0033678-ara1,0.95702,RELEASE
0852IbnHajarCasqalani.LadhdhatCaysh.ShamAY0033678-ara1,0.95686,RELEASE
33678.json,0.95654,RAWrabicaShamAY2
0744IbnCabdHadi.TacliqaCalaCilal.Shamela0011569-ara1,0.94264,RELEASE
0744IbnCabdHadi.TacliqaCalaCilal.Shamela0011569-ara1,0.94195,RELEASE
11569.json,0.94187,RAWrabicaShamAY2
0744IbnCabdHadi.TacliqaCalaCilal.JK007091-ara1,0.94066,RELEASE
Sham30K0034069,0.93931,RAWrabica020000
34134.json,0.93592,RAWrabicaShamAY2
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.93577,RELEASE
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.93539,RELEASE
0571IbnCasakir.ArbacunaMinMusawat.Shamela0009371-ara1,0.93386,RELEASE
9371.json,0.93054,RAWrabicaShamAY1
29911.json,0.93028,RAWrabicaShamAY2
Shamela029911.txt,0.93025,raw_ShamelaY19
32465.json,0.9268,RAWrabicaShamAY2
31640.json,0.92665,RAWrabicaShamAY2
26878.json,0.92646,RAWrabicaShamAY2
Shamela026878.txt,0.92626,raw_ShamelaY19
0581AbuMusaMadini.Lataif.Shamela0026878-ara1,0.9259,RELEASE
10480.json,0.92471,RAWrabicaShamAY1
0643DiyaDinMuqaddasi.AhadithMukhatara.Shamela0010480-ara1,0.92438,RELEASE
0643DiyaDinMuqaddasi.AhadithMukhatara.Shamela0010480-ara1,0.92409,RELEASE
33917.json,0.92245,RAWrabicaShamAY2
Shamela131336.txt,0.92222,raw_ShamelaY19
0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,0.92222,RELEASE
0806IbnHusaynZaynDinCiraqi.MustakhrajCalaMustadrak.JK000628-ara1,0.92128,RELEASE
0761IbnKaykaldiCalai.BughyatMultamis.Shamela0010826-ara1,0.91986,RELEASE
10826.json,0.91935,RAWrabicaShamAY2
0761IbnKaykaldiCalai.BughyatMultamis.Shamela0010826-ara1,0.91922,RELEASE
0852IbnHajarCasqalani.MuwafaqatKhubrKhabar.Sham19Y0018611-ara1,0.9175,RELEASE
0852IbnHajarCasqalani.MuwafaqatKhubrKhabar.Sham19Y0018611-ara1,0.91639,RELEASE
Shamela018611.txt,0.91625,raw_ShamelaY19
0500IbnAhmadSarrajBaghdadi.Fawaid.ShamAY0038144-ara1,0.91589,RELEASE
32766.json,0.91577,RAWrabicaShamAY2
38144.json,0.91495,RAWrabicaShamAY3
32828.json,0.91442,RAWrabicaShamAY2
Shamela026731.txt,0.91345,raw_ShamelaY19
0816AbuBakrMaraghi.Mashyakha.Shamela0026731-ara1,0.91263,RELEASE
0579AbuFathKhiraqi.Fawaid.ShamAY0032766-ara1,0.9126,RELEASE
0816AbuBakrMaraghi.Mashyakha.Shamela0026731-ara1,0.91224,RELEASE
26731.json,0.91188,RAWrabicaShamAY2
Shamela022301.txt,0.91075,raw_ShamelaY19
0426IbnMuhammadBarqani.Sahih.ShamAY0032828-ara1,0.91067,RELEASE
0705SharafDinDimyatti.Tasalli.Shamela0022301-ara1,0.9105,RELEASE
0705SharafDinDimyatti.Tasalli.Shamela0022301-ara1,0.91029,RELEASE
0611IbnMufaddalMuqaddasi.Arbacuna.Shamela0010441-ara1,0.90938,RELEASE
0611IbnMufaddalMuqaddasi.Arbacuna.Shamela0010441-ara1,0.90925,RELEASE
