unknown,TFIDF_cosine,libVar
0852IbnHajarCasqalani.TaqribTahdhib.JK000121-ara1,0.99537,RELEASE
38032.json,0.99524,RAWrabicaShamAY3
0852IbnHajarCasqalani.TaqribTahdhib.ShamAY0034607-ara1,0.99459,RELEASE
34607.json,0.99434,RAWrabicaShamAY3
Shia003326Vols,0.96615,RAWrabica045000
Shamela127715.txt,0.90292,raw_ShamelaY19
127715.bok.json,0.89024,RAWrabicaSham19Y
Shamela151040.txt,0.81486,raw_ShamelaY19
Sham30K0014531,0.78798,RAWrabica015000
896.json,0.73686,RAWrabicaShamAY1
34623.json,0.72982,RAWrabicaShamAY3
32843.json,0.7274,RAWrabicaShamAY2
1085IbnCabdRidaBasri.FaiqMaqal.Shia004514-ara1,0.72665,RELEASE
34668.json,0.72522,RAWrabicaShamAY3
Shamela096165.txt,0.72346,raw_ShamelaY19
1676.json,0.72334,RAWrabicaShamAY1
0742Mizzi.TahdhibKamal.JK000144-ara1,0.7231,RELEASE
38191.json,0.72296,RAWrabicaShamAY3
96165.bok.json,0.72215,RAWrabicaSham19Y
11036.bok.json,0.7212,RAWrabicaSham19Y
Shamela020870.txt,0.72103,raw_ShamelaY19
Shia003430Vols,0.72,RAWrabica045000
11036.json,0.71977,RAWrabicaShamAY2
1135.json,0.71969,RAWrabicaShamAY1
35227.json,0.71864,RAWrabicaShamAY3
Sham30K0033963,0.7184,RAWrabica020000
329.json,0.7176,RAWrabicaShamAY1
Shamela036515.txt,0.71706,raw_ShamelaY19
Shamela096228.txt,0.71686,raw_ShamelaY19
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.71675,RELEASE
34667.json,0.7167,RAWrabicaShamAY3
8677.json,0.71604,RAWrabicaShamAY1
8926.json,0.71584,RAW_ABLibrary
004774Vols.automARkdown,0.71542,RAW_Masaha
Shamela149213.txt,0.71542,raw_ShamelaY19
2465.html,0.71538,RAWrabicaRafed
5797.json,0.71456,RAWrabicaShamAY1
5797.bok.json,0.71337,RAWrabicaSham19Y
11686.json,0.71285,RAWrabicaShamAY2
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034647-ara3,0.71256,RELEASE
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.71223,RELEASE
4092.json,0.71187,RAWrabicaShamAY1
0629IbnNuqta.TakmilatIkmal.JK000618-ara1,0.71177,RELEASE
0629IbnNuqta.TakmilatIkmal.Shamela0005797-ara1,0.71174,RELEASE
5862.json,0.71159,RAWrabicaShamAY1
38027.json,0.71152,RAWrabicaShamAY3
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.71148,RELEASE
0762MughultayIbnQilij.IkmalTahdhib.Shia003311Vols-ara1,0.71057,RELEASE
31576.json,0.71033,RAWrabicaShamAY2
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.71008,RELEASE
2982.html,0.70998,RAWrabicaRafed
0852IbnHajarCasqalani.TabsirMuntabih.JK009358-ara1,0.70892,RELEASE
0852IbnHajarCasqalani.TabsirMuntabih.Shamela0004092-ara1,0.7089,RELEASE
12317.json,0.70814,RAWrabicaShamAY2
0629IbnNuqta.TaqyidLiMacrifa.JK000688-ara1,0.70774,RELEASE
0629IbnNuqta.TaqyidLiMacrifa.Shamela0009584-ara1,0.70766,RELEASE
2718.html,0.70697,RAWrabicaRafed
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.70671,RELEASE
5742.json,0.70667,RAWrabicaShamAY1
2893.html,0.70651,RAWrabicaRafed
Shia003104,0.70637,RAWrabica045000
5809.json,0.70613,RAWrabicaShamAY1
5812.json,0.70573,RAWrabicaShamAY1
0799IbnFarhun.DibajMudhahhab.JK000174-ara1,0.70537,RELEASE
5794.json,0.70514,RAWrabicaShamAY1
3310.json,0.70412,RAWrabicaShamAY1
6700.json,0.70397,RAWrabicaShamAY1
0855BadrDinCayni.MaghaniAkhyar.JK011148-ara1,0.70345,RELEASE
0842IbnNasirDinDimashqi.TawdihMushtabih.Shamela0005812-ara1,0.70315,RELEASE
0842IbnNasirDinDimashqi.TawdihMushtabih.JK007097-ara1,0.70297,RELEASE
0855BadrDinCayni.MaghaniAkhyar.Shamela0010452-ara1,0.70269,RELEASE
0852IbnHajarCasqalani.NuzhatAlbab.JK000936-ara1,0.7025,RELEASE
0852IbnHajarCasqalani.NuzhatAlbab.Shamela0005809-ara1,0.7024,RELEASE
309.json,0.70231,RAWrabicaShamAY1
34577.json,0.70176,RAWrabicaShamAY3
Shamela022659.txt,0.7017,raw_ShamelaY19
32198.json,0.70108,RAWrabicaShamAY2
0597IbnJawzi.TalqihFuhum.JK001083-ara1,0.70086,RELEASE
0597IbnJawzi.TalqihFuhum.Shamela0006700-ara1,0.70069,RELEASE
34594.json,0.70026,RAWrabicaShamAY3
34647.json,0.70014,RAWrabicaShamAY3
2900.html,0.69996,RAWrabicaRafed
34014.json,0.69985,RAWrabicaShamAY2
2892.html,0.69976,RAWrabicaRafed
0748Dhahabi.Muqtana.Shamela0007271-ara1,0.69947,RELEASE
7315.json,0.69933,RAWrabicaShamAY1
34581.json,0.69931,RAWrabicaShamAY3
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.6991,RELEASE
Shamela021552.txt,0.69851,raw_ShamelaY19
Shamela132971.txt,0.69808,raw_ShamelaY19
728.json,0.6977,RAWrabicaShamAY1
Sham30K0039090,0.69768,RAWrabica025000
10902.json,0.69726,RAWrabicaShamAY2
5851.json,0.69714,RAWrabicaShamAY1
21552.json,0.69667,RAWrabicaShamAY2
0728.bok.json,0.6966,RAWrabicaSham19Y
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034632-ara4,0.6963,RELEASE
9008.json,0.69602,RAW_ABLibrary
8258.json,0.69581,RAW_ABLibrary
Shamela096233.txt,0.69578,raw_ShamelaY19
38189.json,0.69578,RAWrabicaShamAY3
