unknown,TFIDF_cosine,libVar
0854IbnDiyaMakki.TarikhMakka.Shamela0005539-ara1,0.99997,RELEASE
5539.json,0.99993,RAWrabicaShamAY1
004140Vols.automARkdown,0.98787,RAW_Masaha
001852Vols.automARkdown,0.86535,RAW_Masaha
0634AbuRabicHimyari.Iktifa.Shamela0009770-ara1,0.8644,RELEASE
0634AbuRabicHimyari.Iktifa.JK001294-ara1,0.86382,RELEASE
2513.html,0.85949,RAWrabicaRafed
004755.automARkdown,0.85868,RAW_Masaha
9770.json,0.85843,RAWrabicaShamAY1
004217.automARkdown,0.85667,RAW_Masaha
9161.json,0.85518,RAW_ABLibrary
2400.html,0.85478,RAWrabicaRafed
33816.json,0.85438,RAWrabicaShamAY2
004638Vols.automARkdown,0.84641,RAW_Masaha
004442Vols.automARkdown,0.84635,RAW_Masaha
8363.automARkdown,0.84401,RAW_Ghbook
9031.json,0.83609,RAW_ABLibrary
2234.html,0.83464,RAWrabicaRafed
2208.html,0.83443,RAWrabicaRafed
004446.automARkdown,0.83368,RAW_Masaha
9030.json,0.83245,RAW_ABLibrary
9896.json,0.83227,RAWrabicaShamAY1
0883AbuBakrJuraci.TuhfatRakic.Sham19Y0017419-ara1,0.83068,RELEASE
17419.bok.json,0.83061,RAWrabicaSham19Y
1055AhmadSharafi.AliMudia.Zaydiyya0000037Vols-ara1,0.81735,RELEASE
8829.json,0.81674,RAW_ABLibrary
002026.automARkdown,0.81579,RAW_Masaha
003036Vols.automARkdown,0.81481,RAW_Masaha
1450MuhammadHadiYusufi.MawsucatTarikhIslam.Shia003656Vols-ara1,0.81402,RELEASE
8530.json,0.81167,RAWrabicaShamAY1
9245.json,0.81145,RAW_ABLibrary
004105Vols.automARkdown,0.81135,RAW_Masaha
7853.json,0.81049,RAW_ABLibrary
7530.json,0.81024,RAW_ABLibrary
Sham30K0033823,0.80933,RAWrabica020000
9820.json,0.80888,RAWrabicaShamAY1
004654.automARkdown,0.80837,RAW_Masaha
004387Vols.automARkdown,0.80771,RAW_Masaha
0832AbuTayyibFasi.ShifaGharam.Shamela0008362-ara1,0.80666,RELEASE
0794BadrDinZarkashi.IclamSajid.Sham19Y0014452-ara1,0.80532,RELEASE
14452.bok.json,0.80452,RAWrabicaSham19Y
002041Vols.automARkdown,0.80284,RAW_Masaha
32351.json,0.80269,RAWrabicaShamAY2
9019.json,0.80084,RAW_ABLibrary
1044IbnBurhanDinHalabi.SiraHalabiyya.Shia003746Vols-ara1,0.80037,RELEASE
3062.html,0.79882,RAWrabicaRafed
37152.json,0.79792,RAWrabicaShamAY3
23692.bok.json,0.79717,RAWrabicaSham19Y
1206IbnCabdWahhab.MukhtasarSira.ShamAY0034441-ara1,0.79554,RELEASE
1122MuhammadZurqani.SharhCalaMawahib.Shamela0026568-ara1,0.79552,RELEASE
0774IbnKathir.Bidaya.Shia003717Vols-ara6,0.79503,RELEASE
1044IbnBurhanDinHalabi.SiraHalabiyya.Shamela0009873-ara1,0.79497,RELEASE
004719.automARkdown,0.79485,RAW_Masaha
23692.json,0.79476,RAWrabicaShamAY2
7446.json,0.79448,RAW_ABLibrary
0774IbnKathir.Bidaya.Shamela0000930-ara6,0.79441,RELEASE
9873.json,0.7943,RAWrabicaShamAY1
Shamela026568.txt,0.79386,raw_ShamelaY19
001961Vols.automARkdown,0.79352,RAW_Masaha
0774IbnKathir.Bidaya.JK010930-ara6,0.79332,RELEASE
0966HusaynDiyarbakri.TarikhKhamis.Shamela0009784-ara1,0.79251,RELEASE
349.html,0.79196,RAWrabicaRafed
930.json,0.79173,RAWrabicaShamAY1
34441.json,0.79128,RAWrabicaShamAY3
12935.json,0.7908,RAWrabicaShamAY2
002028Vols.automARkdown,0.79056,RAW_Masaha
9784.json,0.79038,RAWrabicaShamAY1
10668.json,0.79,RAWrabicaShamAY1
31959.json,0.78969,RAWrabicaShamAY2
0630IbnAthirCizzDin.Kamil.Shia003493Vols-ara4,0.78945,RELEASE
0630IbnAthirCizzDin.Kamil.ShamAY0033808-ara4,0.78921,RELEASE
8941.json,0.789,RAW_ABLibrary
8917.json,0.78823,RAW_ABLibrary
7691.json,0.78716,RAW_ABLibrary
31835.json,0.78716,RAWrabicaShamAY2
0682ZakariyaQazwini.AtharBilad.Shamela0009631-ara1,0.78708,RELEASE
0682ZakariyaQazwini.AtharBilad.JK010459-ara1,0.78695,RELEASE
004128.automARkdown,0.78693,RAW_Masaha
2203.html,0.78673,RAWrabicaRafed
8746.json,0.78637,RAW_ABLibrary
002224.automARkdown,0.78614,RAW_Masaha
9631.json,0.78565,RAWrabicaShamAY1
7577.json,0.78555,RAW_ABLibrary
003715.automARkdown,0.78544,RAW_Masaha
0749IbnFadlAllahCumari.MasalikAbsar.JK010407-ara1,0.78543,RELEASE
1514.json,0.7847,RAWrabicaShamAY1
1369MuhammadRida.Muhammad.Shamela0012935-ara1,0.78463,RELEASE
002859.automARkdown,0.78462,RAW_Masaha
002979Vols.automARkdown,0.78436,RAW_Masaha
36112.json,0.78407,RAWrabicaShamAY3
9139.json,0.78407,RAW_ABLibrary
11685.bok.json,0.78382,RAWrabicaSham19Y
003951Vols.automARkdown,0.78377,RAW_Masaha
9110.json,0.78319,RAW_ABLibrary
32557.json,0.7831,RAWrabicaShamAY2
8946.json,0.78299,RAW_ABLibrary
8246.json,0.78283,RAW_ABLibrary
000515.automARkdown,0.78217,RAW_Masaha
66.html,0.78203,RAWrabicaRafed
002823Vols.automARkdown,0.78202,RAW_Masaha
2013.html,0.78146,RAWrabicaRafed
0630IbnAthirCizzDin.Kamil.ShamAY0034612-ara1,0.78116,RELEASE
Shamela023849.txt,0.78113,raw_ShamelaY19
7442.json,0.78111,RAW_ABLibrary
0709IbnTiqtaqa.FakhriFiAdab.Shamela0012400-ara1,0.78106,RELEASE
