unknown,TFIDF_cosine,libVar
0855BadrDinCayni.CiqdJuman.Shamela0000380-ara1,0.99995,RELEASE
380.json,0.99991,RAWrabicaShamAY1
33840.json,0.99248,RAWrabicaShamAY2
0855BadrDinCayni.CiqdJuman.ShamAY0033840-ara1,0.99034,RELEASE
004056Vols.automARkdown,0.9878,RAW_Masaha
2263.html,0.80376,RAWrabicaRafed
8990.json,0.8023,RAW_ABLibrary
0726Yunini.DhaylMiratZaman.JK010379-ara1,0.79945,RELEASE
0726Yunini.DhaylMiratZaman.Shamela0012722-ara1,0.79942,RELEASE
12722.bok.json,0.79796,RAWrabicaSham19Y
12722.json,0.79732,RAWrabicaShamAY2
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1,0.78238,RELEASE
0809IbnDuqmaq.NuzhatAnam.Sham19Y0016363-ara1,0.76021,RELEASE
0684IbnShaddad.TarikhMalikZahir.Kraken2102182324112-ara1,0.72275,RELEASE
0874IbnTaghribirdi.ManhalSafi.Shamela0023156-ara1,0.71637,RELEASE
23156.bok.json,0.71444,RAWrabicaSham19Y
Shamela023156.txt,0.71314,raw_ShamelaY19
23156.json,0.71281,RAWrabicaShamAY2
0812CaliKhazraji.CuqudLuluiyya.Shamela0009233-ara1,0.70901,RELEASE
Sham30K0033860,0.70847,RAWrabica020000
9233.bok.json,0.70625,RAWrabicaSham19Y
35792.json,0.70594,RAWrabicaShamAY3
Sham30K0002539,0.70584,RAWrabica005000
9233.json,0.70532,RAWrabicaShamAY1
2162.html,0.70013,RAWrabicaRafed
0874IbnTaghribirdi.MawridLatafa.JK007028-ara1,0.69678,RELEASE
0874IbnTaghribirdi.MawridLatafa.Shamela0006669-ara1,0.69671,RELEASE
9036.json,0.69641,RAW_ABLibrary
6669.json,0.69533,RAWrabicaShamAY1
0725BaybarsMansuri.MukhtarAkhbar.GVDB20210106-ara1,0.69088,RELEASE
0750PseudoIbnFuwati.Hawadith.ShamAY0037156-ara1,0.6867,RELEASE
0764IbnShakirKutubi.FawatWafayat.JK004700-ara1,0.68551,RELEASE
0764IbnShakirKutubi.FawatWafayat.Shia003591Vols-ara1,0.68548,RELEASE
0845Maqrizi.Suluk.Shamela0006667-ara1,0.68154,RELEASE
0845Maqrizi.Suluk.JK007071-ara1,0.68152,RELEASE
0643FathBundari.MukhtasarSanaBarqShami.Shamela0005400-ara1,0.68083,RELEASE
6667.json,0.68076,RAWrabicaShamAY1
0750PseudoIbnFuwati.Hawadith.JK009307-ara1,0.6803,RELEASE
1250Shawkani.BadrTalic.JK000998-ara1,0.6797,RELEASE
1250Shawkani.BadrTalic.Shamela0006671-ara1,0.67961,RELEASE
37156.json,0.67956,RAWrabicaShamAY3
6671.json,0.67883,RAWrabicaShamAY1
0852IbnHajarCasqalani.InbaGhumr.Shamela0026317-ara1,0.67844,RELEASE
0852IbnHajarCasqalani.InbaGhumr.JK009239-ara1,0.67842,RELEASE
9107.json,0.67743,RAW_ABLibrary
0730ShaficIbnCali.HusnManaqib.LMN20200820-ara1,0.67728,RELEASE
0803MalikAshrafIsmacilRasuli.CasjadMasbuk.ShamAY0034638-ara1,0.67619,RELEASE
5400.json,0.67592,RAWrabicaShamAY1
9236.json,0.67589,RAW_ABLibrary
26317.json,0.6756,RAWrabicaShamAY2
Shamela026317.txt,0.67455,raw_ShamelaY19
34638.json,0.67439,RAWrabicaShamAY3
004754.automARkdown,0.67346,RAW_Masaha
004384.automARkdown,0.67291,RAW_Masaha
0764IbnShakirKutubi.FawatWafayat.Shamela0001003-ara1,0.67128,RELEASE
0665AbuShama.Rawdatayn.Shamela0006631-ara1,0.67122,RELEASE
0884AbuDharrSibtIbnCajami.KunuzDhahab.Shamela0011786-ara1,0.67049,RELEASE
8956.json,0.67035,RAW_ABLibrary
0852IbnHajarCasqalani.RafcIsr.Shamela0012724-ara1,0.6696,RELEASE
0726Suqaci.Tali.Kraken21040823-ara1,0.6694,RELEASE
0852IbnHajarCasqalani.RafcIsr.JK009280-ara1,0.66912,RELEASE
11786.bok.json,0.66888,RAWrabicaSham19Y
Sham30K0043938,0.66808,RAWrabica030000
1055AhmadSharafi.DawlatBaniRasul.Zaydiyya0000298-ara1,0.66793,RELEASE
0617MansurIbnShahanshah.MidmarHaqaiq.Shamela0006708-ara1,0.66786,RELEASE
0617MansurIbnShahanshah.MidmarHaqaiq.JK001145-ara1,0.66782,RELEASE
32323.json,0.66763,RAWrabicaShamAY2
1424IhsanCabbas.ShadharatMinKutubMafquda.Shamela0001023-ara1,0.66747,RELEASE
11786.json,0.66666,RAWrabicaShamAY2
12724.json,0.66646,RAWrabicaShamAY2
6708.json,0.66636,RAWrabicaShamAY1
0692IbnCabdZahir.RawdZahir.GVDB20200120-ara1,0.66611,RELEASE
9199.json,0.66588,RAW_ABLibrary
2354.html,0.66547,RAWrabicaRafed
12009.bok.json,0.66474,RAWrabicaSham19Y
0681IbnKhallikan.WafayatAcyan.Shamela0001000-ara1,0.66463,RELEASE
9159.json,0.66426,RAW_ABLibrary
8938.json,0.66381,RAW_ABLibrary
2436.html,0.66325,RAWrabicaRafed
12009.json,0.6629,RAWrabicaShamAY2
12400.bok.json,0.66284,RAWrabicaSham19Y
0779IbnBattuta.Rihla.JK000409-ara1,0.66267,RELEASE
9168.json,0.66227,RAW_ABLibrary
2180.html,0.66207,RAWrabicaRafed
2375.html,0.6619,RAWrabicaRafed
0779IbnBattuta.Rihla.Shamela0012009-ara1,0.66138,RELEASE
12400.json,0.66106,RAWrabicaShamAY2
3644.html,0.66105,RAWrabicaRafed
1111MuhammadAminMuhibbi.KhulasatAthar.Shamela0006678-ara1,0.65984,RELEASE
1111MuhammadAminMuhibbi.KhulasatAthar.JK003502-ara1,0.65971,RELEASE
6678.bok.json,0.65925,RAWrabicaSham19Y
9115.json,0.65913,RAW_ABLibrary
6678.json,0.65881,RAWrabicaShamAY1
0681IbnKhallikan.WafayatAcyan.JK001318-ara1,0.65858,RELEASE
0681IbnKhallikan.WafayatAcyan.Shia003505Vols-ara1,0.65826,RELEASE
0764Safadi.AcyanCasr.Shamela0000131-ara1,0.65812,RELEASE
2325.html,0.65551,RAWrabicaRafed
9021.json,0.65549,RAW_ABLibrary
131.json,0.65451,RAWrabicaShamAY1
2313.html,0.65355,RAWrabicaRafed
16363.bok.json,0.65306,RAWrabicaSham19Y
1023.json,0.652,RAWrabicaShamAY1
32327.json,0.65182,RAWrabicaShamAY2
0709IbnTiqtaqa.FakhriFiAdab.Shamela0012400-ara1,0.65153,RELEASE
0697IbnWasil.MufarrijKurub.Sham19Y0016362-ara1,0.64948,RELEASE
1000.json,0.64938,RAWrabicaShamAY1
0764Safadi.WafiBiWafayat.Sham30K0006677-ara1,0.6493,RELEASE
0665AbuShama.Rawdatayn.JK001290-ara1,0.64888,RELEASE
9235.json,0.64874,RAW_ABLibrary
004661.automARkdown,0.64858,RAW_Masaha
0658IbnAbbar.HullaSiyara.Shamela0006630-ara1,0.64845,RELEASE
0902Sakhawi.JawahirWaDurar.Sham19Y0017372-ara1,0.64842,RELEASE
0658IbnAbbar.HullaSiyara.JK001300-ara1,0.64839,RELEASE
0709IbnTiqtaqa.FakhriFiAdab.JK010372-ara1,0.64764,RELEASE
0764Safadi.WafiBiWafayat.JK003609-ara1,0.64761,RELEASE
6630.json,0.64757,RAWrabicaShamAY1
0764Safadi.WafiBiWafayat.Shamela0006677-ara1,0.64753,RELEASE
0764Safadi.WafiBiWafayat.Shia003564Vols-ara1,0.6474,RELEASE
0764Safadi.WafiBiWafayat.Sham30K0033390-ara2,0.64733,RELEASE
2212.html,0.64733,RAWrabicaRafed
0764Safadi.WafiBiWafayat.Sham30K0045089-ara1,0.64672,RELEASE
32317.json,0.64585,RAWrabicaShamAY2
80.json,0.64564,RAW_ABLibrary
0916IbnFanad.MaathirAbrar.Zaydiyya0000090-ara1,0.64525,RELEASE
0793AbuHasanMalaqi.TarikhQudat.Shamela0004363-ara1,0.64435,RELEASE
0793AbuHasanMalaqi.TarikhQudat.JK009319-ara1,0.64426,RELEASE
32241.json,0.64425,RAWrabicaShamAY2
6710.bok.json,0.64394,RAWrabicaSham19Y
6710.json,0.64391,RAWrabicaShamAY1
004658.automARkdown,0.64381,RAW_Masaha
4363.json,0.6438,RAWrabicaShamAY1
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.64355,RELEASE
33811.json,0.64349,RAWrabicaShamAY2
1346CabdQadirBadran.Munadama.JK000964-ara1,0.64326,RELEASE
1346CabdQadirBadran.Munadama.Shamela0006710-ara1,0.64313,RELEASE
8955.json,0.64291,RAW_ABLibrary
004237Vols.automARkdown,0.6429,RAW_Masaha
9160.json,0.64286,RAW_ABLibrary
9142.json,0.64266,RAW_ABLibrary
0700YahyaIbnQasimIbnYahya.SiratAbiTayr.Zaydiyya0000406-ara1,0.64257,RELEASE
0700YahyaIbnQasimIbnYahya.SiratAbiTayr.Zaydiyya0000299-ara1,0.64248,RELEASE
2381.html,0.64224,RAWrabicaRafed
32700.json,0.64218,RAWrabicaShamAY2
1341CabdHayyTalibi.IclamBiMan.Shamela0001584-ara1,0.64192,RELEASE
1089IbnCimad.Shadharat.Shamela0012398-ara1,0.64173,RELEASE
38166.json,0.6414,RAWrabicaShamAY3
32275.json,0.64081,RAWrabicaShamAY2
2373.html,0.64046,RAWrabicaRafed
9167.json,0.64043,RAW_ABLibrary
9256.json,0.64035,RAW_ABLibrary
8959.json,0.63949,RAW_ABLibrary
32249.json,0.63921,RAWrabicaShamAY2
2341.html,0.6392,RAWrabicaRafed
0764Safadi.WafiBiWafayat.Sham30K0042941-ara1,0.63885,RELEASE
8960.json,0.63797,RAW_ABLibrary
0845Maqrizi.ItticazHunafa.JK009215-ara1,0.63672,RELEASE
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1,0.6365,RELEASE
1359CabbasQummi.Kuna.Shia003764Vols-ara1,0.63621,RELEASE
9068.json,0.6358,RAW_ABLibrary
176.json,0.63488,RAWrabicaShamAY1
0764Safadi.NaktHimyan.Shamela0028182-ara1,0.63466,RELEASE
0764Safadi.NaktHimyan.JK010550-ara1,0.63452,RELEASE
1037CabdQadirCaydarus.TarikhNurSafir.Shamela0006676-ara1,0.63449,RELEASE
1147CabdAllahSancani.TarikhYaman.JK001483-ara1,0.63388,RELEASE
1147CabdAllahSancani.TarikhYaman.Shamela0006640-ara1,0.63372,RELEASE
0647CabdWahidMarrakushi.Mucjib.Shamela0008559-ara1,0.63338,RELEASE
0400.bok.json,0.63331,RAWrabicaSham19Y
Shamela028182.txt,0.63302,raw_ShamelaY19
2267.html,0.63287,RAWrabicaRafed
120145.bok.json,0.6325,RAWrabicaSham19Y
6676.json,0.63248,RAWrabicaShamAY1
6640.json,0.63219,RAWrabicaShamAY1
0647CabdWahidMarrakushi.Mucjib.JK000410-ara1,0.632,RELEASE
2179.html,0.63171,RAWrabicaRafed
0874IbnTaghribirdi.NujumZahira.Sham30K0011988-ara1,0.6317,RELEASE
0953IbnTulun.InbaUmara.Sham19Y0120145-ara1,0.63168,RELEASE
28182.json,0.6315,RAWrabicaShamAY2
0927Nucaymi.DarisFiMadaris.JK000417-ara1,0.6314,RELEASE
12289.json,0.63139,RAWrabicaShamAY2
004642Vols.automARkdown,0.63135,RAW_Masaha
1584.json,0.63108,RAWrabicaShamAY1
9080.json,0.63108,RAW_ABLibrary
0927Nucaymi.DarisFiMadaris.Shamela0008880-ara1,0.63094,RELEASE
0646IbnQifti.InbahRuwat.Shamela0010525-ara1,0.63078,RELEASE
7423.json,0.63058,RAW_ABLibrary
0685IbnSacidMaghribi.Mughrib.JK000404-ara1,0.63054,RELEASE
