unknown,TFIDF_cosine,libVar
10735.json,0.9998,RAWrabicaShamAY2
0862IbnMuhammadMujari.Barnamaj.JK001156-ara1,0.99974,RELEASE
Sham30K0033958,0.99945,RAWrabica020000
0938IbnCaliBalawi.Thabat.JK001251-ara1,0.7777,RELEASE
0938IbnCaliBalawi.Thabat.Shamela0010736-ara1,0.77735,RELEASE
10736.json,0.77491,RAWrabicaShamAY2
0730QasimTujibi.Barnamaj.Shamela0009870-ara1,0.76207,RELEASE
9870.json,0.76197,RAWrabicaShamAY1
26463.bok.json,0.75574,RAWrabicaSham19Y
26463.json,0.7529,RAWrabicaShamAY2
Shamela026463.txt,0.7524,raw_ShamelaY19
10728.bok.json,0.74016,RAWrabicaSham19Y
10728.json,0.7395,RAWrabicaShamAY1
Sham30K0038822,0.7386,RAWrabica025000
1140IbnMuhammadDimyatiShafici.JawahirGhawali.Shamela0010632-ara1,0.73522,RELEASE
10632.json,0.73357,RAWrabicaShamAY1
0749Wadiashi.Barnamaj.JK001279-ara1,0.73302,RELEASE
0749Wadiashi.Barnamaj.Shamela0010740-ara1,0.73301,RELEASE
10740.json,0.73085,RAWrabicaShamAY2
Sham30K0033957,0.73005,RAWrabica020000
0721IbnRushaydSabti.MalCayba.Shamela0012532-ara1,0.71753,RELEASE
12532.json,0.71415,RAWrabicaShamAY2
16626.bok.json,0.71234,RAWrabicaSham19Y
38851.json,0.70873,RAWrabicaShamAY3
39268.bok.json,0.70682,RAWrabicaSham19Y
Shamela148896.txt,0.70439,raw_ShamelaY19
10730.bok.json,0.7015,RAWrabicaSham19Y
1218SalihFulani.QatfThamar.Shamela0010730-ara1,0.70106,RELEASE
1061AhmadHabisYamani.IjazatIbnYahya.Zaydiyya0000378-ara1,0.70101,RELEASE
0665AbuMuayyadKhwarazmi.JamicMasanid.ShamAY0034122-ara1,0.70079,RELEASE
10730.json,0.70045,RAWrabicaShamAY1
1218SalihFulani.QatfThamar.JK000957-ara1,0.70013,RELEASE
Shamela039268.txt,0.69964,raw_ShamelaY19
001825Vols.automARkdown,0.69925,RAW_Masaha
34122.json,0.69724,RAWrabicaShamAY2
1104IbnHasanHurrCamili.WasailShica.Shia001187Vols-ara1,0.69577,RELEASE
001995Vols.automARkdown,0.69424,RAW_Masaha
0662RashidAttar.GhurarFawaid.Shia002206-ara1,0.69418,RELEASE
10726.json,0.69284,RAWrabicaShamAY1
5654.json,0.69251,RAWrabicaShamAY1
003716.automARkdown,0.69204,RAW_Masaha
004548.automARkdown,0.69034,RAW_Masaha
0750AbuHafsQazwini.Mashyakha.Shamela0026802-ara1,0.69002,RELEASE
2517.html,0.69002,RAWrabicaRafed
Sham30K0002749,0.68953,RAWrabica005000
Shamela026802.txt,0.6892,raw_ShamelaY19
0662RashidAttar.GhurarFawaid.JK000737-ara1,0.68876,RELEASE
0662RashidAttar.GhurarFawaid.Shamela0002749-ara1,0.68828,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.68823,RELEASE
5719.json,0.68774,RAWrabicaShamAY1
0658IbnAbbar.MucjamAshab.Shamela0028740-ara1,0.68772,RELEASE
26802.json,0.6876,RAWrabicaShamAY2
Shamela028740.txt,0.68746,raw_ShamelaY19
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.68713,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.JK001031-ara1,0.68712,RELEASE
2749.bok.json,0.68703,RAWrabicaSham19Y
0702IbnDaqiqCidQushayri.IlmamBiAhadith.ShamAY0033975-ara1,0.687,RELEASE
33598.json,0.68622,RAWrabicaShamAY2
0786ShahidAwwal.Arbacuna.Shia001385-ara1,0.68607,RELEASE
28740.json,0.68567,RAWrabicaShamAY2
2749.json,0.68555,RAWrabicaShamAY1
7412.json,0.68544,RAW_ABLibrary
0900IbnSulaymanHilli.MukhtasarBasair.Shia001172-ara1,0.68478,RELEASE
1815.html,0.68435,RAWrabicaRafed
33975.json,0.68407,RAWrabicaShamAY2
0902Sakhawi.Buldaniyyat.JK007062-ara1,0.684,RELEASE
002497.automARkdown,0.68373,RAW_Masaha
1383CabdHayyKattani.FahrasFaharis.Shamela0001037-ara1,0.68361,RELEASE
001833.automARkdown,0.68353,RAW_Masaha
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.68319,RELEASE
Shamela026490.txt,0.68301,raw_ShamelaY19
26490.json,0.68283,RAWrabicaShamAY2
0682IbnCabdakKunji.MashyakhatDiyaDinTurkumani.ShamAY0032968-ara1,0.68266,RELEASE
0902Sakhawi.Buldaniyyat.Shamela0003576-ara1,0.68214,RELEASE
12752.bok.json,0.68196,RAWrabicaSham19Y
Shamela148486.txt,0.68165,raw_ShamelaY19
0833IbnJazari.ManaqibAsadGhalib.Shamela0012752-ara1,0.68152,RELEASE
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0009389-ara1,0.68134,RELEASE
004677.automARkdown,0.68127,RAW_Masaha
7393.json,0.68103,RAW_ABLibrary
7734.json,0.6808,RAW_ABLibrary
002479.automARkdown,0.68075,RAW_Masaha
32968.json,0.6805,RAWrabicaShamAY2
Sham30K0044082,0.68038,RAWrabica030000
1383CabdHayyKattani.FahrasFaharis.JK001082-ara1,0.67936,RELEASE
Shamela030327.txt,0.67936,raw_ShamelaY19
33029.json,0.67935,RAWrabicaShamAY2
12752.json,0.67931,RAWrabicaShamAY2
0733IbnJamacaBadrDinHamawi.Mashyakha.Shamela0030327-ara1,0.67918,RELEASE
9389.json,0.67893,RAWrabicaShamAY1
0830IbnSulaymanHilli.MukhtasarBasair.Shia001389-ara1,0.67879,RELEASE
37348.json,0.67838,RAWrabicaShamAY3
33537.json,0.6779,RAWrabicaShamAY2
3576.json,0.67779,RAWrabicaShamAY1
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.67772,RELEASE
30327.json,0.67761,RAWrabicaShamAY2
1037.json,0.67742,RAWrabicaShamAY1
Shamela022642.txt,0.67739,raw_ShamelaY19
Shamela026033.txt,0.6773,raw_ShamelaY19
1349SacdCatiqNajdi.Ijazatan.ShamAY0033537-ara1,0.67711,RELEASE
0722AbuMajamicIbnHammuya.Arbacun.ShamAY0038078-ara1,0.67709,RELEASE
Shamela026487.txt,0.67693,raw_ShamelaY19
Shamela026842.txt,0.67684,raw_ShamelaY19
0658IbnAbbar.MucjamAshab.JK009189-ara1,0.67661,RELEASE
0833IbnJazari.Nashr.Shamela0022642-ara1,0.67646,RELEASE
0696IbnZahiri.Mashyakha.Shamela0005740-ara1,0.67615,RELEASE
5728.bok.json,0.67611,RAWrabicaSham19Y
5740.bok.json,0.67598,RAWrabicaSham19Y
1094IbnSulaymanRudani.SilatKhalaf.Shamela0026033-ara1,0.67549,RELEASE
Shamela117359.txt,0.67538,raw_ShamelaY19
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.67517,RELEASE
26487.json,0.67515,RAWrabicaShamAY2
1104IbnHasanHurrCamili.WasailShica.Shia001217Vols-ara1,0.6751,RELEASE
1064.json,0.675,RAWrabicaShamAY1
5728.json,0.67473,RAWrabicaShamAY1
0618IbnCabdRahmanMuqriWasiti.ArbacinaFiJihad.Shia002182-ara1,0.67473,RELEASE
5740.json,0.67471,RAWrabicaShamAY1
000689.automARkdown,0.67466,RAW_Masaha
004760.automARkdown,0.67411,RAW_Masaha
Shamela098139.txt,0.67382,raw_ShamelaY19
0637IbnMustawfi.TarikhIrbil.JK007087-ara1,0.67374,RELEASE
0650RashidDinDimashqi.MashyakhaBaghdadiyya.Shamela0026471-ara1,0.67372,RELEASE
8473.json,0.67366,RAWrabicaShamAY1
