unknown,TFIDF_cosine,libVar
32450.json,0.9061,RAWrabicaShamAY2
Shamela096844.txt,0.85298,raw_ShamelaY19
Shamela096853.txt,0.85246,raw_ShamelaY19
2014.json,0.84991,RAWrabicaShamAY1
96844.bok.json,0.84696,RAWrabicaSham19Y
2006.json,0.84658,RAWrabicaShamAY1
Shamela021744.txt,0.84441,raw_ShamelaY19
21744.json,0.8405,RAWrabicaShamAY2
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.83993,RELEASE
0861IbnHumam.SharhFathQadir.JK000299-ara1,0.83991,RELEASE
0879IbnQutlubugha.RafcIshtibah.Shamela0096853-ara1,0.83379,RELEASE
0879IbnQutlubugha.RafcIshtibah.Shamela0096853-ara1,0.83357,RELEASE
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.83234,RELEASE
Shamela021723.txt,0.83151,raw_ShamelaY19
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.83142,RELEASE
0702IbnDaqiqCidQushayri.SharhIlmamBiAhadith.Sham19Y0018100-ara1,0.83139,RELEASE
0702IbnDaqiqCidQushayri.SharhIlmamBiAhadith.Sham19Y0018100-ara1,0.83045,RELEASE
0911Suyuti.HawiLiFatawi.Shamela0021723-ara1,0.83032,RELEASE
0911Suyuti.HawiLiFatawi.Shamela0021723-ara1,0.8301,RELEASE
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.82994,RELEASE
1051IbnYunusBuhutiHanbali.MinahShafiyat.Sham19Y0006538-ara1,0.82978,RELEASE
1051IbnYunusBuhutiHanbali.MinahShafiyat.Sham19Y0006538-ara1,0.829,RELEASE
0861IbnHumam.FathQadir.Shamela0021744-ara1,0.82889,RELEASE
0911Suyuti.HawiLiFatawi.JK009241-ara1,0.82867,RELEASE
21723.json,0.82846,RAWrabicaShamAY2
0510IbnMascudBaghawi.TahdhibFiqhShafici.Sham19Y0017885-ara1,0.82477,RELEASE
17885.bok.json,0.82447,RAWrabicaSham19Y
Shamela021525.txt,0.8239,raw_ShamelaY19
0643IbnSalahShahrazuri.SharhMushkilWajiz.Sham19Y0021525-ara1,0.82315,RELEASE
32365.json,0.82254,RAWrabicaShamAY2
0954HattabRucayniMaghribi.MawahibJalil.Shamela0000569-ara1,0.82229,RELEASE
0756TaqiDinSubki.QadaArab.Sham19Y0018610-ara1,0.82185,RELEASE
569.json,0.82146,RAWrabicaShamAY1
0643IbnSalahShahrazuri.SharhMushkilWajiz.Sham19Y0021525-ara1,0.82144,RELEASE
Shamela018610.txt,0.82134,raw_ShamelaY19
34351.json,0.82123,RAWrabicaShamAY3
0756TaqiDinSubki.QadaArab.Sham19Y0018610-ara1,0.8212,RELEASE
10541.json,0.82104,RAWrabicaShamAY1
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.82064,RELEASE
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.82024,RELEASE
0676Nawawi.Majmuc.Shia000841Vols-ara1,0.81988,RELEASE
0954HattabRucayniMaghribi.MawahibJalil.Shia000906Vols-ara1,0.81982,RELEASE
0676Nawawi.Majmuc.Shamela0002186-ara1,0.81902,RELEASE
0676Nawawi.Majmuc.Shia000841Vols-ara1,0.81889,RELEASE
5978.bok.json,0.81879,RAWrabicaSham19Y
32675.json,0.81851,RAWrabicaShamAY2
32679.json,0.81834,RAWrabicaShamAY2
5978.json,0.81831,RAWrabicaShamAY1
Sham30K0033990,0.81822,RAWrabica020000
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.81807,RELEASE
0728IbnTaymiyya.FatawaKubra.JK001414-ara1,0.81802,RELEASE
