unknown,TFIDF_cosine,libVar
37081.json,0.99983,RAWrabicaShamAY3
1797.html,0.72201,RAWrabicaRafed
0837JamalDinSancani.BurudDafiya.ShamAY0037087-ara1,0.71637,RELEASE
0837JamalDinSancani.BurudDafiya.ShamAY0037087-ara1,0.71483,RELEASE
1952.html,0.71046,RAWrabicaRafed
34703.json,0.70572,RAWrabicaShamAY3
0686RadiDinAstarabadhi.SharhRadiCalaKafiya.ShamAY0034703-ara2,0.70129,RELEASE
0686RadiDinAstarabadhi.SharhRadiCalaKafiya.ShamAY0034703-ara2,0.69965,RELEASE
0686RadiDinAstarabadhi.SharhRadiCalaKafiya.ShamAY0034696-ara3,0.699,RELEASE
0686RadiDinAstarabadhi.SharhRadiCalaKafiya.Shia003928Vols-ara1,0.69713,RELEASE
34696.json,0.69638,RAWrabicaShamAY3
Shia003928Vols,0.68457,RAWrabica045000
2277.html,0.68113,RAWrabicaRafed
8402.json,0.68057,RAW_ABLibrary
2679.html,0.68019,RAWrabicaRafed
2183.html,0.67534,RAWrabicaRafed
1800.html,0.67426,RAWrabicaRafed
0672IbnMalikJayyaniTai.SharhKafiya.Shamela0012024-ara1,0.67378,RELEASE
0672IbnMalikJayyaniTai.SharhKafiya.Shamela0012024-ara1,0.67226,RELEASE
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.67139,RELEASE
Shamela145410.txt,0.66965,raw_ShamelaY19
7037.bok.json,0.66947,RAWrabicaSham19Y
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.66945,RELEASE
7037.json,0.66915,RAWrabicaShamAY1
2058.html,0.66913,RAWrabicaRafed
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.66905,RELEASE
1094IbnMusaKaffawi.Kulliyat.Shamela0007037-ara1,0.66899,RELEASE
2070.html,0.66889,RAWrabicaRafed
8403.json,0.66761,RAW_ABLibrary
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.66723,RELEASE
8463.json,0.66708,RAW_ABLibrary
38958.json,0.6658,RAWrabicaShamAY3
38977.json,0.6658,RAWrabicaShamAY3
