unknown,TFIDF_cosine,libVar
22341.json,0.9941,RAWrabicaShamAY2
Shamela022341.txt,0.98294,raw_ShamelaY19
22341.bok.json,0.9796,RAWrabicaSham19Y
6569.json,0.7786,RAWrabicaShamAY1
0774IbnKathir.Bidaya.Shamela0023678-ara5,0.77561,RELEASE
Sham30K0044145,0.77363,RAWrabica030000
Shamela023678.txt,0.77229,raw_ShamelaY19
23678.bok.json,0.77217,RAWrabicaSham19Y
23678.json,0.7695,RAWrabicaShamAY2
0535QawwamSunna.DalailNubuwwa.JK000657-ara1,0.76603,RELEASE
0267HammadIbnIshaq.TarikatNabi.Shamela0022657-ara1,0.75495,RELEASE
0303Nasai.FadailSahaba.JK000747-ara1,0.75376,RELEASE
6601.bok.json,0.75344,RAWrabicaSham19Y
Sham30K0038834,0.75326,RAWrabica025000
Shamela022657.txt,0.75285,raw_ShamelaY19
22657.json,0.7523,RAWrabicaShamAY2
6601.json,0.75225,RAWrabicaShamAY1
37454.json,0.74645,RAWrabicaShamAY3
0597IbnJawzi.SifatSafwa.JK000067-ara2,0.74615,RELEASE
0597IbnJawzi.SifatSafwa.Shamela0012031-ara1,0.74604,RELEASE
0597IbnJawzi.SifatSafwa.ShamAY0033757-ara2,0.74566,RELEASE
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.74476,RELEASE
0909IbnCabdHadi.MasalaFiTawhid.ShamAY0033872-ara1,0.74469,RELEASE
Sham30K0044037,0.74451,RAWrabica030000
0597IbnJawzi.SifatSafwa.Shamela0012031-ara1,0.74444,RELEASE
4289.json,0.74417,RAWrabicaShamAY1
0909IbnCabdHadi.MasalaFiTawhid.ShamAY0033872-ara1,0.7441,RELEASE
33872.json,0.74259,RAWrabicaShamAY2
0748Dhahabi.TarikhIslam.Sham30K0004263-ara1,0.74215,RELEASE
0748Dhahabi.TarikhIslam.Shamela0035100-ara1,0.74175,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.74166,RELEASE
