unknown,TFIDF_cosine,libVar
17533.bok.json,0.98039,RAWrabicaSham19Y
32314.json,0.98023,RAWrabicaShamAY2
0909IbnCabdHadi.SabbKhumul.Sham19Y0017530-ara1,0.90864,RELEASE
0909IbnCabdHadi.SabbKhumul.Sham19Y0017530-ara1,0.90761,RELEASE
32311.json,0.90421,RAWrabicaShamAY2
002186Vols.automARkdown,0.87921,RAW_Masaha
0458Bayhaqi.Ictiqad.JK000698-ara1,0.87111,RELEASE
0458Bayhaqi.ShucabIman.JK000021-ara1,0.86685,RELEASE
34009.json,0.86604,RAWrabicaShamAY2
12997.json,0.8651,RAWrabicaShamAY2
10637.json,0.86376,RAWrabicaShamAY1
0578IbnBashkuwal.Mustaghithin.Shamela0012845-ara1,0.86326,RELEASE
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0.86267,RELEASE
12845.json,0.86012,RAWrabicaShamAY2
34276.json,0.84964,RAWrabicaShamAY3
0789IbnMuhibbSamit.SifatRabbCalamin.Sham19Y0132403-ara1,0.84845,RELEASE
Shamela132403.txt,0.84844,raw_ShamelaY19
0789IbnMuhibbSamit.SifatRabbCalamin.Sham19Y0132403-ara1,0.84785,RELEASE
0463KhatibBaghdadi.RihlaFiTalabCilm.Shia002156-ara1,0.84749,RELEASE
33962.json,0.84691,RAWrabicaShamAY2
Shamela026674.txt,0.84651,raw_ShamelaY19
0597IbnJawzi.MuthirGharam.Shamela0026674-ara1,0.84637,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.Shia002158-ara1,0.84574,RELEASE
9270.json,0.84488,RAWrabicaShamAY1
6569.json,0.84471,RAWrabicaShamAY1
Sham30K0044145,0.8442,RAWrabica030000
26674.json,0.8439,RAWrabicaShamAY2
0430AbuNucaymIsbahani.TathbitImama.JK011454-ara1,0.84389,RELEASE
33533.json,0.84365,RAWrabicaShamAY2
9270.bok.json,0.84309,RAWrabicaSham19Y
0458Bayhaqi.AsmaWaSifat.Shamela0009270-ara1,0.84307,RELEASE
0418HibatAllahLalikai.KaramatAwliya.Shamela0013150-ara1,0.84286,RELEASE
0360Ramhurmuzi.AmthalHadith.Shia002175-ara1,0.84156,RELEASE
0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,0.84079,RELEASE
13083.json,0.83957,RAWrabicaShamAY2
0909IbnCabdHadi.MasalaFiTawhid.ShamAY0033872-ara1,0.83951,RELEASE
0909IbnCabdHadi.MasalaFiTawhid.ShamAY0033872-ara1,0.83889,RELEASE
Shia002158,0.83875,RAWrabica040000
767.json,0.8373,RAWrabicaShamAY1
33872.json,0.83704,RAWrabicaShamAY2
34005.json,0.83694,RAWrabicaShamAY2
0535QawwamSunna.DalailNubuwwa.JK000657-ara1,0.83681,RELEASE
0456IbnHazm.MuhallaBiAthar.Shamela0000767-ara1,0.83572,RELEASE
0767.bok.json,0.83517,RAWrabicaSham19Y
1225.json,0.83313,RAWrabicaShamAY1
0761IbnKaykaldiCalai.MajmucRasail.Sham19Y0016928-ara1,0.8331,RELEASE
13055.json,0.83289,RAWrabicaShamAY2
0761IbnKaykaldiCalai.MajmucRasail.Sham19Y0016928-ara1,0.83219,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.83079,RELEASE
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.8294,RELEASE
Shamela021765.txt,0.82925,raw_ShamelaY19
32484.json,0.82923,RAWrabicaShamAY2
16928.bok.json,0.82905,RAWrabicaSham19Y
0840ShihabDinBusiri.IthafKhayra.Shamela0021765-ara1,0.82766,RELEASE
21765.bok.json,0.82761,RAWrabicaSham19Y
0590AbuKhayrQazwini.MukhtarMinAhadith.ShamAY0032945-ara1,0.82743,RELEASE
Shamela026884.txt,0.82737,raw_ShamelaY19
0535QawwamSunna.TarghibWaTarhib.Shamela0026884-ara1,0.82727,RELEASE
1077.json,0.82722,RAWrabicaShamAY1
