unknown,TFIDF_cosine,libVar
32315.json,0.99995,RAWrabicaShamAY2
11236.json,0.43249,RAWrabicaShamAY2
Sham30K0033960,0.41678,RAWrabica020000
34021.json,0.40509,RAWrabicaShamAY2
34027.json,0.39901,RAWrabicaShamAY2
38009.json,0.39852,RAWrabicaShamAY3
1451.json,0.3984,RAWrabicaShamAY1
1583.json,0.39554,RAWrabicaShamAY1
38192.json,0.39376,RAWrabicaShamAY3
0748Dhahabi.TadhkiratHuffaz.ShamAY0038192-ara2,0.39167,RELEASE
7271.json,0.38804,RAWrabicaShamAY1
7271.bok.json,0.38686,RAWrabicaSham19Y
1060.json,0.38647,RAWrabicaShamAY1
Shamela026531.txt,0.38167,raw_ShamelaY19
505.json,0.37873,RAWrabicaShamAY1
1680.json,0.37534,RAWrabicaShamAY1
34815.json,0.37048,RAWrabicaShamAY3
7666.json,0.37028,RAWrabicaShamAY1
958.json,0.36975,RAWrabicaShamAY1
Shia003283Vols_b,0.3587,RAWrabica045000
3446.html,0.35807,RAWrabicaRafed
7682.json,0.35584,RAW_ABLibrary
Shia003283Vols_a,0.35576,RAWrabica045000
8938.json,0.3515,RAW_ABLibrary
Shamela097978.txt,0.35046,raw_ShamelaY19
11087.json,0.35028,RAWrabicaShamAY2
2180.html,0.34887,RAWrabicaRafed
Shia002080,0.3471,RAWrabica040000
31589.json,0.34539,RAWrabicaShamAY2
97978.bok.json,0.34399,RAWrabicaSham19Y
37259.json,0.34305,RAWrabicaShamAY3
Shamela151009.txt,0.34051,raw_ShamelaY19
2614.html,0.33754,RAWrabicaRafed
9875.json,0.33673,RAW_ABLibrary
7411.json,0.33558,RAW_ABLibrary
004754.automARkdown,0.3351,RAW_Masaha
001832.automARkdown,0.3342,RAW_Masaha
37309.json,0.33334,RAWrabicaShamAY3
31840.json,0.33175,RAWrabicaShamAY2
Shamela018641.txt,0.32838,raw_ShamelaY19
0748Dhahabi.Mujarrad.Sham19Y0151009-ara1,0.32766,RELEASE
1450CabdSalamCabbasWajih.MucjamRijalIctibar.Zaydiyya0000358-ara1,0.32763,RELEASE
1450CabdSalamCabbasWajih.MucjamRijalIctibar.Zaydiyya0000358-ara1,0.32758,RELEASE
0748Dhahabi.Mujarrad.Sham19Y0151009-ara1,0.32649,RELEASE
38518.json,0.32582,RAWrabicaShamAY3
35890.json,0.32268,RAWrabicaShamAY3
3125.json,0.3225,RAWrabicaShamAY1
Shia003313,0.32193,RAWrabica045000
3340.html,0.32179,RAWrabicaRafed
Shamela143160.txt,0.3203,raw_ShamelaY19
12403.json,0.32014,RAWrabicaShamAY2
3337.html,0.31758,RAWrabicaRafed
37348.json,0.31707,RAWrabicaShamAY3
33029.json,0.31476,RAWrabicaShamAY2
2754.json,0.31442,RAWrabicaShamAY1
Shia003279Vols,0.31344,RAWrabica045000
38418.json,0.31255,RAWrabicaShamAY3
10392.json,0.31254,RAWrabicaShamAY1
37262.json,0.31183,RAWrabicaShamAY3
151009.bok.json,0.3103,RAWrabicaSham19Y
3567.html,0.31019,RAWrabicaRafed
Sham30K0002754,0.3096,RAWrabica005000
10947.automARkdown,0.30957,RAW_Ghbook
38862.json,0.30641,RAWrabicaShamAY3
7640.json,0.30613,RAWrabicaShamAY1
8496.json,0.30597,RAW_ABLibrary
38193.json,0.30578,RAWrabicaShamAY3
3458.html,0.30521,RAWrabicaRafed
2994.json,0.30513,RAWrabicaShamAY1
004761.automARkdown,0.30422,RAW_Masaha
0748Dhahabi.TabaqatHuffaz.ShamAY0034579-ara1,0.30377,RELEASE
3552.html,0.30362,RAWrabicaRafed
Shia003276Vols,0.30323,RAWrabica045000
3566.html,0.3029,RAWrabicaRafed
0748Dhahabi.SiyarAclamNubala.Sham30K0034996-ara1,0.30269,RELEASE
Sham30K0033952,0.30261,RAWrabica020000
829.json,0.30194,RAW_ABLibrary
11402.json,0.30183,RAWrabicaShamAY2
11402.bok.json,0.30164,RAWrabicaSham19Y
9584.json,0.30103,RAWrabicaShamAY1
1768.json,0.3008,RAWrabicaShamAY1
37306.json,0.30072,RAWrabicaShamAY3
0909IbnCabdHadi.BahrDamm.Shia003349-ara1,0.30061,RELEASE
34020.json,0.30036,RAWrabicaShamAY2
2227.html,0.29978,RAWrabicaRafed
9584.bok.json,0.29958,RAWrabicaSham19Y
Shia001970,0.29938,RAWrabica040000
0909IbnCabdHadi.BahrDamm.Shia003349-ara1,0.29929,RELEASE
3341.html,0.29913,RAWrabicaRafed
9978.json,0.299,RAWrabicaShamAY1
9146.json,0.29887,RAW_ABLibrary
Sham30K0038926,0.29862,RAWrabica025000
11237.json,0.2986,RAWrabicaShamAY2
469.html,0.29853,RAWrabicaRafed
38181.json,0.2985,RAWrabicaShamAY3
8349.json,0.29809,RAWrabicaShamAY1
38443.json,0.29785,RAWrabicaShamAY3
34032.json,0.29783,RAWrabicaShamAY2
831.json,0.29771,RAW_ABLibrary
Sham30K0008349,0.29726,RAWrabica010000
Shia003241Vols_a,0.29703,RAWrabica045000
11297.json,0.29687,RAWrabicaShamAY2
8349.bok.json,0.29678,RAWrabicaSham19Y
1767.json,0.29647,RAWrabicaShamAY1
Sham30K0044143,0.29636,RAWrabica030000
Shia003349,0.2961,RAWrabica045000
1767.bok.json,0.2955,RAWrabicaSham19Y
3722.json,0.29541,RAWrabicaShamAY1
Shamela096529.txt,0.29526,raw_ShamelaY19
Shamela023072.txt,0.29502,raw_ShamelaY19
23072.json,0.29492,RAWrabicaShamAY2
0742Mizzi.TahdhibKamal.Sham30K0038926-ara1,0.29472,RELEASE
0742Mizzi.TahdhibKamal.Sham30K0003722-ara1,0.29468,RELEASE
0413ShaykhMufid.Kafia.Shia001304-ara1,0.2946,RELEASE
3722.bok.json,0.29454,RAWrabicaSham19Y
841.json,0.2944,RAW_ABLibrary
9007.automARkdown,0.29417,RAW_Ghbook
1254.json,0.29365,RAWrabicaShamAY1
0748Dhahabi.SiyarAclamNubala.Sham30K0010906-ara1,0.29346,RELEASE
1891.json,0.29299,RAWrabicaShamAY1
35406.json,0.29285,RAWrabicaShamAY3
33649.json,0.2927,RAWrabicaShamAY2
003062Vols.automARkdown,0.29233,RAW_Masaha
5861.bok.json,0.29218,RAWrabicaSham19Y
5861.json,0.29163,RAWrabicaShamAY1
8979.json,0.29143,RAW_ABLibrary
0748Dhahabi.TabaqatHuffaz.ShamAY0034579-ara1,0.29113,RELEASE
Sham30K0002721,0.29097,RAWrabica005000
33056.json,0.2908,RAWrabicaShamAY2
3535.html,0.29046,RAWrabicaRafed
38890.json,0.29019,RAWrabicaShamAY3
12095.json,0.29004,RAWrabicaShamAY2
3561.html,0.28998,RAWrabicaRafed
38203.json,0.28993,RAWrabicaShamAY3
96529.bok.json,0.28986,RAWrabicaSham19Y
3460.html,0.28971,RAWrabicaRafed
9634.json,0.28962,RAWrabicaShamAY1
1527.html,0.28861,RAWrabicaRafed
38190.json,0.28858,RAWrabicaShamAY3
3981.json,0.28796,RAWrabicaShamAY1
3981.bok.json,0.28783,RAWrabicaSham19Y
Shamela0008349,0.28769,RAWrabica035000
0742Mizzi.TahdhibKamal.Sham30K0036601-ara1,0.2875,RELEASE
464.html,0.28695,RAWrabicaRafed
34592.json,0.28692,RAWrabicaShamAY3
36809.json,0.28661,RAWrabicaShamAY3
Shia003328Vols,0.28657,RAWrabica045000
1730.json,0.28647,RAWrabicaShamAY1
33634.json,0.28641,RAWrabicaShamAY2
35232.json,0.28624,RAWrabicaShamAY3
3578.html,0.28581,RAWrabicaRafed
0852IbnHajarCasqalani.ItharBiMacrifa.Shamela0005861-ara1,0.28567,RELEASE
0852IbnHajarCasqalani.ItharBiMacrifa.Shamela0005861-ara1,0.2854,RELEASE
0852IbnHajarCasqalani.ItharBiMacrifa.JK000656-ara1,0.28532,RELEASE
8754.json,0.28528,RAWrabicaShamAY1
243.html,0.28524,RAWrabicaRafed
Shamela149213.txt,0.28505,raw_ShamelaY19
3558.html,0.28505,RAWrabicaRafed
Shia003311Vols,0.28485,RAWrabica045000
7307.json,0.2844,RAWrabicaShamAY1
0911Suyuti.Fanid.Sham19Y0017739-ara1,0.28419,RELEASE
3522.html,0.28391,RAWrabicaRafed
7509.json,0.28382,RAWrabicaShamAY1
2427.html,0.28375,RAWrabicaRafed
905.html,0.28369,RAWrabicaRafed
31661.json,0.28357,RAWrabicaShamAY2
37328.json,0.28356,RAWrabicaShamAY3
32389.json,0.28348,RAWrabicaShamAY2
Shamela132970.txt,0.28327,raw_ShamelaY19
3423.html,0.28314,RAWrabicaRafed
3585.html,0.28311,RAWrabicaRafed
830.json,0.28281,RAW_ABLibrary
0765AbuMahasinHusayni.DhaylTadhkira.Shia003313-ara1,0.28258,RELEASE
117359.bok.json,0.28257,RAWrabicaSham19Y
35813.json,0.2825,RAWrabicaShamAY3
11218.json,0.28247,RAWrabicaShamAY2
Shia003348,0.28241,RAWrabica045000
