unknown,TFIDF_cosine,libVar
35798.json,0.99979,RAWrabicaShamAY3
Sham30K0002725,0.9993,RAWrabica005000
3421.html,0.76514,RAWrabicaRafed
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0034568-ara3,0.74279,RELEASE
34568.json,0.73961,RAWrabicaShamAY3
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0038004-ara1,0.73868,RELEASE
0852IbnHajarCasqalani.IsabaFiTamyiz.ShamAY0034567-ara2,0.73865,RELEASE
0852IbnHajarCasqalani.IsabaFiTamyiz.JK000533-ara1,0.7386,RELEASE
23700.bok.json,0.73629,RAWrabicaSham19Y
38004.json,0.73558,RAWrabicaShamAY3
34567.json,0.73558,RAWrabicaShamAY3
0852IbnHajarCasqalani.IsabaFiTamyiz.JK000533-ara1,0.73549,RELEASE
23700.json,0.73441,RAWrabicaShamAY2
1110.json,0.73297,RAWrabicaShamAY1
6700.json,0.73253,RAWrabicaShamAY1
1110.bok.json,0.73253,RAWrabicaSham19Y
0630IbnAthirCizzDin.UsdGhaba.Shamela0023700-ara1,0.73218,RELEASE
0630IbnAthirCizzDin.UsdGhaba.Shamela0001110-ara1,0.73152,RELEASE
Shamela023700.txt,0.73146,raw_ShamelaY19
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.73131,RELEASE
0597IbnJawzi.TalqihFuhum.JK001083-ara1,0.73088,RELEASE
0597IbnJawzi.TalqihFuhum.Shamela0006700-ara1,0.73084,RELEASE
Shamela026484.txt,0.72968,raw_ShamelaY19
0762MughultayIbnQilij.Inaba.Sham19Y0020761-ara1,0.72953,RELEASE
32198.json,0.72949,RAWrabicaShamAY2
0645TilimsaniBurri.Jawhara.Shamela0026484-ara1,0.72927,RELEASE
0645TilimsaniBurri.Jawhara.JK010493-ara1,0.72923,RELEASE
Sham30K0033831,0.72915,RAWrabica020000
Shamela020761.txt,0.72904,raw_ShamelaY19
0630IbnAthirCizzDin.UsdGhaba.Shamela0023700-ara1,0.72876,RELEASE
0597IbnJawzi.TalqihFuhum.Shamela0006700-ara1,0.72781,RELEASE
26484.json,0.72759,RAWrabicaShamAY2
12288.json,0.7275,RAWrabicaShamAY2
0630IbnAthirCizzDin.UsdGhaba.JK009198-ara1,0.72728,RELEASE
0762MughultayIbnQilij.Inaba.Sham19Y0020761-ara1,0.72724,RELEASE
0645TilimsaniBurri.Jawhara.Shamela0026484-ara1,0.726,RELEASE
11036.bok.json,0.72513,RAWrabicaSham19Y
2248.html,0.72505,RAWrabicaRafed
0630IbnAthirCizzDin.UsdGhaba.Shia003230Vols-ara1,0.72385,RELEASE
11036.json,0.72286,RAWrabicaShamAY2
Sham30K0033963,0.72145,RAWrabica020000
3387.html,0.72051,RAWrabicaRafed
Shamela132971.txt,0.71797,raw_ShamelaY19
Shia003230Vols,0.71712,RAWrabica045000
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.71564,RELEASE
3426.html,0.7152,RAWrabicaRafed
0463IbnCabdBarr.Istighna.Sham19Y0132971-ara1,0.71467,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.71294,RELEASE
3401.html,0.71204,RAWrabicaRafed
1893.json,0.70882,RAWrabicaShamAY1
0463IbnCabdBarr.Durar.Shamela0010695-ara1,0.70879,RELEASE
1152IbrahimShajari.TabaqatZaydiyya.Zaydiyya0000336-ara1,0.70875,RELEASE
10695.json,0.70854,RAWrabicaShamAY1
0852IbnHajarCasqalani.TacjilManfaca.ShamAY0034606-ara2,0.70836,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.JK000536-ara2,0.70802,RELEASE
10695.bok.json,0.70761,RAWrabicaSham19Y
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.707,RELEASE
1152IbrahimShajari.TabaqatZaydiyya.Zaydiyya0000336-ara1,0.70691,RELEASE
7522.json,0.70645,RAW_ABLibrary
3400.html,0.70637,RAWrabicaRafed
38185.json,0.70535,RAWrabicaShamAY3
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.70476,RELEASE
1133.json,0.70144,RAWrabicaShamAY1
34606.json,0.70042,RAWrabicaShamAY3
Shamela122397.txt,0.6988,raw_ShamelaY19
2590.html,0.69847,RAWrabicaRafed
0748Dhahabi.TadhkiratHuffaz.Shamela0001583-ara2,0.69826,RELEASE
7480.json,0.6973,RAW_ABLibrary
9728.json,0.69702,RAWrabicaShamAY1
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.69556,RELEASE
001959.automARkdown,0.69546,RAW_Masaha
