unknown,TFIDF_cosine,libVar
36027.json,0.98359,RAWrabicaShamAY3
1163MuhammadHayatSindi.FathGhufur.JK010138-ara1,0.97704,RELEASE
1163MuhammadHayatSindi.FathGhufur.JK010138-ara1,0.97628,RELEASE
1163MuhammadHayatSindi.FathGhufur.Shamela0001596-ara1,0.97607,RELEASE
1596.json,0.97154,RAWrabicaShamAY1
36185.json,0.74148,RAWrabicaShamAY3
1450MuhammadYahyaCazzan.TawdihFiDammWaIrsal.Zaydiyya0000464-ara1,0.7368,RELEASE
1450MuhammadYahyaCazzan.TawdihFiDammWaIrsal.Zaydiyya0000464-ara1,0.736,RELEASE
Shamela029883.txt,0.68473,raw_ShamelaY19
206.json,0.68365,RAWrabicaShamAY1
Sham30K0002683,0.68032,RAWrabica005000
34324.json,0.67803,RAWrabicaShamAY3
9571.json,0.67533,RAW_ABLibrary
9875.json,0.67132,RAWrabicaShamAY1
004944Vols.automARkdown,0.67032,RAW_Masaha
9554.json,0.66543,RAW_ABLibrary
688.html,0.66469,RAWrabicaRafed
1334NajmDinTabasi.IrsalTakfir.Shia000402-ara1,0.66287,RELEASE
1334NajmDinTabasi.IrsalTakfir.Shia000402-ara1,0.66054,RELEASE
96928.bok.json,0.65952,RAWrabicaSham19Y
5052.automARkdown,0.65947,RAW_Ghbook
2044.json,0.65913,RAWrabicaShamAY1
Sham30K0002503,0.65877,RAWrabica005000
32117.json,0.65737,RAWrabicaShamAY2
2707.html,0.65626,RAWrabicaRafed
Shamela096928.txt,0.65567,raw_ShamelaY19
1014MullaCaliQari.Rasail.ShamAY0036182-ara1,0.65471,RELEASE
0902Sakhawi.QawlBadic.Shamela0001391-ara1,0.65291,RELEASE
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.65263,RELEASE
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.65224,RELEASE
1014MullaCaliQari.Rasail.ShamAY0036182-ara1,0.65217,RELEASE
3300.html,0.65185,RAWrabicaRafed
5922.json,0.65166,RAWrabicaShamAY1
96948.bok.json,0.65115,RAWrabicaSham19Y
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.65105,RELEASE
1391.json,0.65104,RAWrabicaShamAY1
37298.json,0.65089,RAWrabicaShamAY3
2049.json,0.65058,RAWrabicaShamAY1
9242.json,0.6501,RAWrabicaShamAY1
0902Sakhawi.QawlBadic.Shamela0001391-ara1,0.64971,RELEASE
Shamela021560.txt,0.64967,raw_ShamelaY19
Shamela023163.txt,0.64961,raw_ShamelaY19
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.64955,RELEASE
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1,0.64952,RELEASE
8855.json,0.64919,RAWrabicaShamAY1
0911Suyuti.TanwirHawalik.ShamAY0033528-ara1,0.64902,RELEASE
Shamela021723.txt,0.64895,raw_ShamelaY19
9823.bok.json,0.64895,RAWrabicaSham19Y
556.html,0.64886,RAWrabicaRafed
9823.json,0.6488,RAWrabicaShamAY1
0911Suyuti.QutMughtadhi.Shamela0007562-ara1,0.64878,RELEASE
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.64875,RELEASE
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.64874,RELEASE
0911Suyuti.HawiLiFatawi.JK009241-ara1,0.64842,RELEASE
36182.json,0.64842,RAWrabicaShamAY3
0911Suyuti.HawiLiFatawi.Shamela0021723-ara1,0.64765,RELEASE
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.64744,RELEASE
32244.json,0.64742,RAWrabicaShamAY2
3573.html,0.64739,RAWrabicaRafed
9442.bok.json,0.6469,RAWrabicaSham19Y
9442.json,0.64678,RAWrabicaShamAY1
Shamela096948.txt,0.64674,raw_ShamelaY19
Sham30K0038833,0.64652,RAWrabica025000
23163.json,0.64636,RAWrabicaShamAY2
Shamela022921.txt,0.64622,raw_ShamelaY19
12762.bok.json,0.64583,RAWrabicaSham19Y
0911Suyuti.QutMughtadhi.Shamela0007562-ara1,0.64571,RELEASE
Shamela031256.txt,0.64543,raw_ShamelaY19
000035.automARkdown,0.64539,RAW_Masaha
22921.bok.json,0.64484,RAWrabicaSham19Y
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.64462,RELEASE
Shamela122406.txt,0.64454,raw_ShamelaY19
2722.html,0.6444,RAWrabicaRafed
0911Suyuti.HawiLiFatawi.Shamela0021723-ara1,0.64427,RELEASE
37265.json,0.64366,RAWrabicaShamAY3
488.html,0.64358,RAWrabicaRafed
005102.automARkdown,0.64355,RAW_Masaha
31712.json,0.64342,RAWrabicaShamAY2
21723.json,0.64337,RAWrabicaShamAY2
0774IbnKathir.TafsirQuran.Shia002658Vols-ara6,0.64336,RELEASE
0911Suyuti.TuhfatAbrar.Shamela0021560-ara1,0.64327,RELEASE
12762.json,0.6427,RAWrabicaShamAY2
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.64266,RELEASE
33528.json,0.64236,RAWrabicaShamAY2
1250Shawkani.NaylAwtar.Shamela0009242-ara1,0.64218,RELEASE
35960.json,0.64207,RAWrabicaShamAY3
571.html,0.64183,RAWrabicaRafed
0544QadiCiyad.IkmalMuclim.Sham19Y0122406-ara1,0.64152,RELEASE
0458AbuYaclaIbnFarra.IbtalTawilat.Shamela0022921-ara1,0.64151,RELEASE
1250Shawkani.NaylAwtar.Shia001060Vols-ara1,0.6415,RELEASE
0911Suyuti.TuhfatAbrar.JK009249-ara1,0.64112,RELEASE
Shia002658Vols,0.64109,RAWrabica040000
22921.json,0.64101,RAWrabicaShamAY2
2813.html,0.64055,RAWrabicaRafed
1551.json,0.64054,RAWrabicaShamAY1
0852IbnHajarCasqalani.TalkhisHabir.Shamela0001581-ara1,0.6403,RELEASE
21560.json,0.63991,RAWrabicaShamAY2
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.63976,RELEASE
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.63975,RELEASE
1250Shawkani.NaylAwtar.JK000165-ara1,0.63951,RELEASE
1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi.Shia001853Vols-ara1,0.63951,RELEASE
2830.html,0.63944,RAWrabicaRafed
1250Shawkani.NaylAwtar.Shamela0009242-ara1,0.63907,RELEASE
5978.bok.json,0.63906,RAWrabicaSham19Y
306.json,0.63897,RAWrabicaShamAY1
5978.json,0.63897,RAWrabicaShamAY1
34351.json,0.63892,RAWrabicaShamAY3
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.Shamela0005978-ara1,0.63883,RELEASE
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.63882,RELEASE
0748Dhahabi.MukhtasarCuluww.Shamela0007318-ara1,0.63879,RELEASE
Shamela038213.txt,0.63872,raw_ShamelaY19
Sham30K0002509,0.63839,RAWrabica005000
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.63805,RELEASE
1450SirajDinCidlan.RisalaFiDammWaTamin.Zaydiyya0000240-ara1,0.63799,RELEASE
Shamela022853.txt,0.63788,raw_ShamelaY19
435.html,0.63773,RAWrabicaRafed
0911Suyuti.TuhfatAbrar.JK009249-ara1,0.63764,RELEASE
1450SirajDinCidlan.RisalaFiDammWaTamin.Zaydiyya0000240-ara1,0.63749,RELEASE
1329MuhammadAshrafCazimabadi.CawmMacbud.Shia001863Vols-ara1,0.63697,RELEASE
35281.json,0.6369,RAWrabicaShamAY3
0734IbnCaliTajDinFakihani.RiyadAfham.Sham19Y0017350-ara1,0.63684,RELEASE
0494HakimJushami.TanbihGhafilin.Shia003691-ara1,0.63682,RELEASE
1122MuhammadZurqani.SharhCalaMuwatta.Shamela0000551-ara1,0.63637,RELEASE
35958.json,0.63632,RAWrabicaShamAY3
1326IbnMuhammadHindiSahsayani.SiyanatInsan.Shamela0012027-ara1,0.63629,RELEASE
12027.bok.json,0.63627,RAWrabicaSham19Y
35661.json,0.63613,RAWrabicaShamAY3
3540.html,0.63595,RAWrabicaRafed
0794BadrDinZarkashi.NukatCalaMuqaddimatIbnSalah.JK000991-ara1,0.63592,RELEASE
0804IbnMulaqqin.BadrMunir.JK009137-ara1,0.63569,RELEASE
189.html,0.63567,RAWrabicaRafed
Shamela036976.txt,0.63556,raw_ShamelaY19
3188.html,0.63556,RAWrabicaRafed
Shamela036582.txt,0.63547,raw_ShamelaY19
3407.html,0.63546,RAWrabicaRafed
Shamela020855.txt,0.63545,raw_ShamelaY19
36976.bok.json,0.63537,RAWrabicaSham19Y
551.json,0.63537,RAWrabicaShamAY1
457.html,0.63529,RAWrabicaRafed
31256.json,0.63524,RAWrabicaShamAY2
0748Dhahabi.MukhtasarCuluww.Shamela0007318-ara1,0.63514,RELEASE
0804IbnMulaqqin.IclamBiFawaid.Sham19Y0013769-ara1,0.63509,RELEASE
7318.json,0.63498,RAWrabicaShamAY1
000274Vols.automARkdown,0.63498,RAW_Masaha
32142.json,0.63471,RAWrabicaShamAY2
606.json,0.63465,RAWrabicaShamAY1
100.json,0.63454,RAWrabicaShamAY1
1188ShamsDinSaffarini.KashfLitham.Sham19Y0017437-ara1,0.63437,RELEASE
1122MuhammadZurqani.SharhCalaMuwatta.JK000754-ara1,0.63433,RELEASE
1431BadrDinHuthi.TahrirAfkar.Zaydiyya0000080-ara1,0.6342,RELEASE
32509.json,0.63417,RAWrabicaShamAY2
2720.html,0.63412,RAWrabicaRafed
7375.json,0.63409,RAWrabicaShamAY1
14572.bok.json,0.63406,RAWrabicaSham19Y
11122.json,0.634,RAWrabicaShamAY2
0794BadrDinZarkashi.IclamSajid.Sham19Y0014452-ara1,0.63396,RELEASE
433.html,0.63375,RAWrabicaRafed
0893IbnIsmacilShihabDinKurani.KawtharJari.Sham19Y0016584-ara1,0.63366,RELEASE
0911Suyuti.BahrAlladhiZakhar.Sham19Y0007729-ara1,0.63364,RELEASE
1326IbnMuhammadHindiSahsayani.SiyanatInsan.Shamela0012027-ara1,0.63362,RELEASE
495.json,0.63353,RAWrabicaShamAY1
12027.json,0.63313,RAWrabicaShamAY2
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,0.63296,RELEASE
0806IbnHusaynZaynDinCiraqi.Taqyid.JK000985-ara1,0.63285,RELEASE
0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.JK000160-ara1,0.6328,RELEASE
