unknown,TFIDF_cosine,libVar
21723.json,0.99999,RAWrabicaShamAY2
Shamela021723.txt,0.99981,raw_ShamelaY19
0911Suyuti.HawiLiFatawi.JK009241-ara1,0.99913,RELEASE
34351.json,0.99253,RAWrabicaShamAY3
9875.json,0.8748,RAWrabicaShamAY1
0794BadrDinZarkashi.IclamSajid.Sham19Y0014452-ara1,0.87478,RELEASE
14452.bok.json,0.87434,RAWrabicaSham19Y
0794BadrDinZarkashi.IclamSajid.Sham19Y0014452-ara1,0.87295,RELEASE
32351.json,0.87252,RAWrabicaShamAY2
9242.json,0.87165,RAWrabicaShamAY1
37663.json,0.86779,RAWrabicaShamAY3
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.86662,RELEASE
0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,0.86558,RELEASE
32679.json,0.86513,RAWrabicaShamAY2
9442.json,0.86451,RAWrabicaShamAY1
9442.bok.json,0.8643,RAWrabicaSham19Y
1014MullaCaliQari.Rasail.ShamAY0036182-ara1,0.86315,RELEASE
1014MullaCaliQari.Rasail.ShamAY0036182-ara1,0.86273,RELEASE
1285IbnHasanAlShaykh.Iman.Shamela0009841-ara1,0.86261,RELEASE
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.86241,RELEASE
Shamela038213.txt,0.86227,raw_ShamelaY19
11122.json,0.86175,RAWrabicaShamAY2
3912.html,0.86167,RAWrabicaRafed
1119IbnMuhammadMaghribi.BadrTamam.Sham19Y0017747-ara1,0.86161,RELEASE
1285IbnHasanAlShaykh.Iman.Shamela0009841-ara1,0.8616,RELEASE
1551.json,0.86159,RAWrabicaShamAY1
37985.json,0.86122,RAWrabicaShamAY3
9823.json,0.86087,RAWrabicaShamAY1
9823.bok.json,0.86055,RAWrabicaSham19Y
Shamela021582.txt,0.86027,raw_ShamelaY19
36182.json,0.85995,RAWrabicaShamAY3
Shamela150963.txt,0.85991,raw_ShamelaY19
9994.json,0.85946,RAWrabicaShamAY1
Sham30K0038833,0.85905,RAWrabica025000
1250Shawkani.NaylAwtar.Shamela0009242-ara1,0.85905,RELEASE
0763IbnMuflihHanbaliMuqaddasi.AdabSharciyya.Shamela0021582-ara1,0.85899,RELEASE
9994.bok.json,0.85899,RAWrabicaSham19Y
1250Shawkani.NaylAwtar.Shamela0009242-ara1,0.85846,RELEASE
21582.json,0.85842,RAWrabicaShamAY2
Shamela021729.txt,0.85805,raw_ShamelaY19
0728IbnTaymiyya.QawacidNuraniyya.JK000976-ara1,0.85789,RELEASE
32244.json,0.85761,RAWrabicaShamAY2
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.85738,RELEASE
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.85699,RELEASE
Shamela096844.txt,0.85692,raw_ShamelaY19
9993.json,0.85673,RAWrabicaShamAY1
1339ShaykhSharicaIsbahani.QawlSurah.Shia001561-ara1,0.85655,RELEASE
0795IbnRajabHanbali.JamicCulumWaHikam.Shamela0010443-ara1,0.85646,RELEASE
0728IbnTaymiyya.QawacidNuraniyya.ShamAY0034365-ara1,0.85637,RELEASE
