unknown,TFIDF_cosine,libVar
0911Suyuti.Izdihar.Shamela0000733-ara1,0.99986,RELEASE
733.json,0.99971,RAWrabicaShamAY1
98139.bok.json,0.78433,RAWrabicaSham19Y
32195.json,0.78366,RAWrabicaShamAY2
0427AbuIshaqThaclabi.KashfWaBayan.Shamela0023578-ara1,0.783,RELEASE
Shamela098139.txt,0.78281,raw_ShamelaY19
31623.json,0.78236,RAWrabicaShamAY2
Shamela023578.txt,0.78051,raw_ShamelaY19
0734IbnSayyidNas.NafhShadhi.Sham19Y0016599-ara1,0.77876,RELEASE
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.7783,RELEASE
0734IbnSayyidNas.NafhShadhi.Sham19Y0016599-ara1,0.77738,RELEASE
558.json,0.77565,RAWrabicaShamAY1
0676Nawawi.TahdhibAsma.JK001320-ara1,0.77557,RELEASE
001954.automARkdown,0.77539,RAW_Masaha
16599.bok.json,0.77523,RAWrabicaSham19Y
1643.html,0.77492,RAWrabicaRafed
32425.json,0.77359,RAWrabicaShamAY2
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.77087,RELEASE
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.Shamela0023163-ara1,0.77046,RELEASE
12860.json,0.77035,RAWrabicaShamAY2
7466.json,0.76991,RAW_ABLibrary
34626.json,0.76986,RAWrabicaShamAY3
23578.json,0.76881,RAWrabicaShamAY2
Shamela023163.txt,0.76851,raw_ShamelaY19
23163.json,0.76677,RAWrabicaShamAY2
0676Nawawi.TahdhibAsma.ShamAY0009702-ara1,0.76607,RELEASE
0676Nawawi.TahdhibAsma.Shamela0009702-ara1,0.76595,RELEASE
0676Nawawi.TahdhibAsma.Shamela0009702-ara1,0.76538,RELEASE
Sham30K0034082,0.76407,RAWrabica020000
0795IbnRajabHanbali.DhaylTabaqatHanabila.Shamela0031366-ara1,0.76338,RELEASE
0795IbnRajabHanbali.DhaylTabaqatHanabila.Shamela0031366-ara1,0.76337,RELEASE
0795IbnRajabHanbali.DhaylTabaqatHanabila.JK010293-ara1,0.76334,RELEASE
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.76265,RELEASE
0774IbnKathir.TabaqatFuqahaShaficiyyin.Shamela0012860-ara1,0.76256,RELEASE
0774IbnKathir.TabaqatFuqahaShaficiyyin.Shamela0012860-ara1,0.76244,RELEASE
0721IbnRushaydSabti.MalCayba.Shamela0012532-ara1,0.76196,RELEASE
33059.json,0.76173,RAWrabicaShamAY2
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.76171,RELEASE
5922.json,0.7615,RAWrabicaShamAY1
0721IbnRushaydSabti.MalCayba.Shamela0012532-ara1,0.76126,RELEASE
0384IbnCaliTanukhi.FarajBacdaShidda.Shamela0012828-ara1,0.7608,RELEASE
0633IbnHasanIbnDihyaKalbi.AdaMaWajaba.JK009389-ara1,0.76078,RELEASE
Shamela031366.txt,0.76067,raw_ShamelaY19
31366.json,0.75998,RAWrabicaShamAY2
0430MuwaffaqHusaynJurjani.Ictibar.Zaydiyya0000013-ara1,0.7598,RELEASE
0911Suyuti.TanwirHawalik.ShamAY0033528-ara1,0.75968,RELEASE
2517.html,0.75954,RAWrabicaRafed
Shamela148896.txt,0.75915,raw_ShamelaY19
10906.json,0.75915,RAWrabicaShamAY2
2720.html,0.75859,RAWrabicaRafed
0774IbnKathir.Bidaya.Shamela0000930-ara6,0.75841,RELEASE
0774IbnKathir.Bidaya.Shia003717Vols-ara6,0.75826,RELEASE
12532.json,0.75825,RAWrabicaShamAY2
0564IbnNasrIbnDajajiHanbali.SafatMulah.Shamela0005355-ara1,0.75815,RELEASE
0751IbnQayyimJawziyya.AclamMuwaqqicin.JK000094-ara1,0.75791,RELEASE
0804IbnMulaqqin.BadrMunir.JK009137-ara1,0.75791,RELEASE
33528.json,0.7577,RAWrabicaShamAY2
0395AbuHilalCaskari.Awail.Shamela0010529-ara1,0.75741,RELEASE
12828.json,0.75715,RAWrabicaShamAY2
Sham30K0014537,0.75714,RAWrabica015000
0555IbnMuhammadHamadhaniTai.ArbacunaFiIrshad.Shamela0026842-ara1,0.75645,RELEASE
10529.json,0.75612,RAWrabicaShamAY1
5355.json,0.75602,RAWrabicaShamAY1
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.75594,RELEASE
0852IbnHajarCasqalani.ImtacBiArbacin.JK001031-ara1,0.75592,RELEASE
2314.html,0.75588,RAWrabicaRafed
0764Safadi.NaktHimyan.Shamela0028182-ara1,0.75582,RELEASE
0764Safadi.NaktHimyan.Shamela0028182-ara1,0.75573,RELEASE
0764Safadi.NaktHimyan.JK010550-ara1,0.75562,RELEASE
1326IbnMuhammadHindiSahsayani.SiyanatInsan.Shamela0012027-ara1,0.75538,RELEASE
17878.bok.json,0.75537,RAWrabicaSham19Y
Shamela026842.txt,0.75529,raw_ShamelaY19
0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,0.75526,RELEASE
1326IbnMuhammadHindiSahsayani.SiyanatInsan.Shamela0012027-ara1,0.7552,RELEASE
31959.json,0.75497,RAWrabicaShamAY2
0751IbnQayyimJawziyya.AclamMuwaqqicin.Shamela0011496-ara1,0.75485,RELEASE
7412.json,0.75482,RAW_ABLibrary
7375.json,0.75478,RAWrabicaShamAY1
0774IbnKathir.Bidaya.JK010930-ara6,0.75459,RELEASE
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.75455,RELEASE
0751IbnQayyimJawziyya.AclamMuwaqqicin.ShamAY0034411-ara1,0.75432,RELEASE
0751IbnQayyimJawziyya.AclamMuwaqqicin.ShamAY0034410-ara1,0.7542,RELEASE
11496.bok.json,0.75399,RAWrabicaSham19Y
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.75397,RELEASE
5719.json,0.75392,RAWrabicaShamAY1
8746.json,0.75378,RAW_ABLibrary
32663.json,0.75367,RAWrabicaShamAY2
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.75364,RELEASE
930.json,0.75361,RAWrabicaShamAY1
0774IbnKathir.TafsirQuran.Shia002658Vols-ara6,0.75333,RELEASE
26842.json,0.75325,RAWrabicaShamAY2
32551.json,0.75308,RAWrabicaShamAY2
0842IbnNasirDinDimashqi.JamicAthar.ShamAY0034447-ara1,0.75287,RELEASE
Shamela028182.txt,0.75267,raw_ShamelaY19
Shamela025794.txt,0.75263,raw_ShamelaY19
0734IbnSayyidNas.CuyunAthar.Shia003714Vols-ara1,0.75225,RELEASE
28182.json,0.75223,RAWrabicaShamAY2
0642IbnNajjar.DurraThamina.ShamAY0038443-ara1,0.75215,RELEASE
0842IbnNasirDinDimashqi.JamicAthar.ShamAY0034447-ara1,0.75201,RELEASE
11496.json,0.75201,RAWrabicaShamAY2
Sham30K0002786,0.75175,RAWrabica005000
21554.bok.json,0.7516,RAWrabicaSham19Y
0285IbnYazidMubarrad.Tacazi.Shamela0021554-ara1,0.75158,RELEASE
0285IbnYazidMubarrad.TacaziWaMarai.ShamIbadiyya0000610-ara1,0.75137,RELEASE
33029.json,0.75132,RAWrabicaShamAY2
Shamela022669.txt,0.75128,raw_ShamelaY19
0637IbnMustawfi.TarikhIrbil.Shamela0011746-ara1,0.75128,RELEASE
0842IbnNasirDinDimashqi.Majalis.ShamAY0033586-ara1,0.75096,RELEASE
0911Suyuti.Muhadarat.Shamela0009099-ara1,0.75095,RELEASE
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.75087,RELEASE
0748Dhahabi.SiyarAclamNubala.Sham30K0022669-ara2,0.75084,RELEASE
0911Suyuti.Muhadarat.Shamela0009099-ara1,0.75083,RELEASE
0774IbnKathir.TafsirQuran.Shamela0023604-ara4,0.75081,RELEASE
11746.json,0.75081,RAWrabicaShamAY2
0774IbnKathir.TafsirQuran.JK000161-ara2,0.7506,RELEASE
2365.automARkdown,0.75057,RAW_Ghbook
0637IbnMustawfi.TarikhIrbil.Shamela0011746-ara1,0.75055,RELEASE
0842IbnNasirDinDimashqi.Majalis.ShamAY0033586-ara1,0.75052,RELEASE
0637IbnMustawfi.TarikhIrbil.JK007087-ara1,0.7505,RELEASE
Shamela038171.txt,0.75043,raw_ShamelaY19
0380IbnIbrahimNucmani.Ghayba.Zaydiyya0000198-ara1,0.75033,RELEASE
Shamela023604.txt,0.75032,raw_ShamelaY19
0748Dhahabi.SiyarAclamNubala.Shamela0022669-ara2,0.75032,RELEASE
Shamela021554.txt,0.75029,raw_ShamelaY19
1669.html,0.75029,RAWrabicaRafed
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.75028,RELEASE
Shamela096928.txt,0.75013,raw_ShamelaY19
1205MurtadaZabidi.TakhrijAhadithIhyaCulumDin.Sham19Y0038171-ara1,0.75004,RELEASE
1276.json,0.75003,RAWrabicaShamAY1
8978.json,0.74985,RAW_ABLibrary
22669.json,0.74984,RAWrabicaShamAY2
37348.json,0.74978,RAWrabicaShamAY3
37997.json,0.74929,RAWrabicaShamAY3
7608.json,0.74925,RAW_ABLibrary
7301.json,0.74917,RAWrabicaShamAY1
0852IbnHajarCasqalani.NukatCalaSahihBukhari.Sham19Y0132963-ara1,0.74915,RELEASE
0923AhmadQastallani.IrshadSari.Shamela0021715-ara1,0.74905,RELEASE
938.json,0.74901,RAWrabicaShamAY1
8958.json,0.74896,RAW_ABLibrary
21554.json,0.74896,RAWrabicaShamAY2
2135.html,0.74884,RAWrabicaRafed
0646IbnQifti.Muhammadun.Shamela0013031-ara1,0.74874,RELEASE
