unknown,TFIDF_cosine,libVar
Shamela127677.txt,1.0,raw_ShamelaY19
2677.json,0.88889,RAWrabicaShamAY1
2677.bok.json,0.88852,RAWrabicaSham19Y
0975MuttaqiHindi.KanzCummal.Shamela0002677-ara1,0.88821,RELEASE
0975MuttaqiHindi.KanzCummal.Shia002265Vols-ara1,0.88804,RELEASE
Sham30K0002677,0.88781,RAWrabica005000
0975MuttaqiHindi.KanzCummal.Shia002265Vols-ara1,0.88753,RELEASE
0975MuttaqiHindi.KanzCummal.JK008001-ara1,0.88695,RELEASE
1975.json,0.81723,RAWrabicaShamAY1
0911Suyuti.FathKabir.Shamela0001975-ara1,0.81679,RELEASE
0911Suyuti.FathKabir.JK009274-ara1,0.81628,RELEASE
0911Suyuti.FathKabir.Shamela0001975-ara1,0.81627,RELEASE
Shia002265Vols,0.79956,RAWrabica040000
14316.bok.json,0.79081,RAWrabicaSham19Y
31990.json,0.78977,RAWrabicaShamAY2
1423CabbasAhmadSaqr.JamicAhadith.JK009390-ara1,0.78724,RELEASE
1423CabbasAhmadSaqr.JamicAhadith.JK009390-ara1,0.7867,RELEASE
Shamela023177.txt,0.78311,raw_ShamelaY19
8427.json,0.78302,RAW_ABLibrary
0902Sakhawi.MaqasidHasana.Shamela0023177-ara1,0.78293,RELEASE
0902Sakhawi.MaqasidHasana.Shamela0023177-ara1,0.78017,RELEASE
7375.json,0.7789,RAWrabicaShamAY1
23177.json,0.77864,RAWrabicaShamAY2
0774IbnKathir.TafsirQuran.Shia002658Vols-ara6,0.77681,RELEASE
001995Vols.automARkdown,0.77656,RAW_Masaha
0902Sakhawi.MaqasidHasana.JK001160-ara1,0.77558,RELEASE
Shamela022800.txt,0.7755,raw_ShamelaY19
1320NuriTabarsi.MustadrakWasail.Shia001237Vols-ara1,0.7736,RELEASE
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.77348,RELEASE
Shamela096928.txt,0.77329,raw_ShamelaY19
1320NuriTabarsi.MustadrakWasail.Shia001237Vols-ara1,0.77261,RELEASE
17878.bok.json,0.77257,RAWrabicaSham19Y
Shamela023604.txt,0.77144,raw_ShamelaY19
3407.html,0.77141,RAWrabicaRafed
0774IbnKathir.TafsirQuran.Shamela0023604-ara4,0.77105,RELEASE
0902Sakhawi.AjwibaMurdiyya.Sham19Y0017878-ara1,0.77102,RELEASE
0774IbnKathir.TafsirQuran.JK000161-ara2,0.77088,RELEASE
32009.json,0.77084,RAWrabicaShamAY2
0774IbnKathir.TafsirQuran.ShamAY0034045-ara5,0.77038,RELEASE
32663.json,0.77008,RAWrabicaShamAY2
Shia002658Vols,0.76957,RAWrabica040000
0774IbnKathir.TafsirQuran.ShamAY0034063-ara3,0.76873,RELEASE
Sham30K0044066,0.76825,RAWrabica030000
Shamela022853.txt,0.76747,raw_ShamelaY19
7719.json,0.76733,RAW_ABLibrary
763.json,0.76715,RAW_ABLibrary
34063.json,0.76644,RAWrabicaShamAY2
22853.json,0.76601,RAWrabicaShamAY2
1104IbnHasanHurrCamili.WasailShica.Shia001187Vols-ara1,0.7659,RELEASE
23604.json,0.76574,RAWrabicaShamAY2
0774IbnKathir.FadailQuran.Shamela0022800-ara1,0.76538,RELEASE
32551.json,0.76523,RAWrabicaShamAY2
