unknown,TFIDF_cosine,libVar
0911Suyuti.TabaqatMufassirin.JK000442-ara1,0.99576,RELEASE
Sham30K0014422,0.98918,RAWrabica015000
6234.bok.json,0.97369,RAWrabicaSham19Y
6234.json,0.97295,RAWrabicaShamAY1
0945ShamsDinDawudi.TabaqatMufassirin.Shamela0027084-ara1,0.89789,RELEASE
0945ShamsDinDawudi.TabaqatMufassirin.Shamela0027084-ara1,0.89722,RELEASE
Shamela027084.txt,0.89564,raw_ShamelaY19
0911Suyuti.BughyatWucat.Shamela0006744-ara1,0.86731,RELEASE
0911Suyuti.BughyatWucat.Shamela0006744-ara1,0.86547,RELEASE
0911Suyuti.BughyatWucat.JK009145-ara1,0.86539,RELEASE
6744.json,0.86528,RAWrabicaShamAY1
38016.json,0.86379,RAWrabicaShamAY3
0879IbnQutlubugha.TajTarajim.JK009243-ara1,0.84868,RELEASE
0879IbnQutlubugha.TajTarajim.Shamela0010925-ara1,0.84728,RELEASE
Sham30K0038796,0.84563,RAWrabica025000
0748IbnDimyati.Mustafad.Shamela0023764BK4-ara1,0.84557,RELEASE
0879IbnQutlubugha.TajTarajim.Shamela0010925-ara1,0.84536,RELEASE
0748IbnDimyati.Mustafad.JK009162-ara1,0.8444,RELEASE
1127.json,0.84393,RAWrabicaShamAY1
0748IbnDimyati.Mustafad.Shamela0023764BK4-ara1,0.84391,RELEASE
0748IbnDimyati.Mustafad.Shia003310-ara1,0.84386,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK009262-ara1,0.84132,RELEASE
0799IbnFarhun.DibajMudhahhab.JK000174-ara1,0.83641,RELEASE
2982.html,0.83578,RAWrabicaRafed
0817MajdDinFiruzabadi.BulghaFiTarajim.Shamela0009984-ara1,0.83518,RELEASE
0817MajdDinFiruzabadi.BulghaFiTarajim.Shamela0009984-ara1,0.83337,RELEASE
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.83323,RELEASE
0799IbnFarhun.DibajMudhahhab.Shamela0006730-ara1,0.83207,RELEASE
1135.json,0.83154,RAWrabicaShamAY1
Sham30K0034129,0.8211,RAWrabica020000
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.81552,RELEASE
0804IbnMulaqqin.CiqdMudhahhab.Sham19Y0016664-ara1,0.81456,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.81426,RELEASE
0804IbnMulaqqin.CiqdMudhahhab.Sham19Y0016664-ara1,0.81412,RELEASE
0599IbnYahyaDabbi.BughyatMultamis.Shamela0000728-ara1,0.81103,RELEASE
0728.bok.json,0.8095,RAWrabicaSham19Y
728.json,0.80925,RAWrabicaShamAY1
0599IbnYahyaDabbi.BughyatMultamis.Shamela0000728-ara1,0.80922,RELEASE
0851IbnQadiShuhba.TabaqatShaficiyya.JK000195-ara1,0.80865,RELEASE
6736.json,0.80769,RAWrabicaShamAY1
0851IbnQadiShuhba.TabaqatShaficiyya.Shamela0006736-ara1,0.80759,RELEASE
0851IbnQadiShuhba.TabaqatShaficiyya.JK000195-ara1,0.80757,RELEASE
33029.json,0.80531,RAWrabicaShamAY2
0775IbnAbiWafa.JawahirMudiya.Shamela0006725-ara1,0.80438,RELEASE
6725.json,0.80357,RAWrabicaShamAY1
0748Dhahabi.MukhtasarMinDubaythi.Shia003278-ara1,0.80346,RELEASE
0748Dhahabi.MukhtasarMinDubaythi.Shamela0023764BK2-ara1,0.8026,RELEASE
37348.json,0.80232,RAWrabicaShamAY3
0476AbuIshaqShirazi.TabaqatFuqaha.Shamela0001031-ara1,0.80058,RELEASE
Sham30K0002721,0.80019,RAWrabica005000
0748Dhahabi.MukhtasarMinDubaythi.JK009161-ara1,0.80004,RELEASE
38014.json,0.79995,RAWrabicaShamAY3
1031.json,0.79977,RAWrabicaShamAY1
0748Dhahabi.MukhtasarMinDubaythi.JK009161-ara1,0.79857,RELEASE
0852IbnHajarCasqalani.DurarKamina.Shamela0006674-ara1,0.79817,RELEASE
1025IbnQadiMaknasi.DurratHijal.Sham19Y0132965-ara1,0.79755,RELEASE
34592.json,0.79685,RAWrabicaShamAY3
0852IbnHajarCasqalani.DurarKamina.JK001301-ara1,0.79679,RELEASE
0852IbnHajarCasqalani.DurarKamina.Shamela0006674-ara1,0.79666,RELEASE
6674.bok.json,0.79654,RAWrabicaSham19Y
6674.json,0.79589,RAWrabicaShamAY1
1025IbnQadiMaknasi.DurratHijal.Sham19Y0132965-ara1,0.79571,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.79567,RELEASE
Shamela132965.txt,0.79471,raw_ShamelaY19
957.json,0.79366,RAW_ABLibrary
0884AbuIshaqIbnMuflih.MaqsidArshad.Shamela0005890-ara1,0.79285,RELEASE
2366.html,0.79275,RAWrabicaRafed
38015.json,0.7927,RAWrabicaShamAY3
830.json,0.79233,RAW_ABLibrary
5890.bok.json,0.79148,RAWrabicaSham19Y
1304CabdHayyLaknawi.FawaidBahiyya.Sham19Y0132617-ara1,0.7914,RELEASE
0884AbuIshaqIbnMuflih.MaqsidArshad.Shamela0005890-ara1,0.79124,RELEASE
5890.json,0.79117,RAWrabicaShamAY1
0884AbuIshaqIbnMuflih.MaqsidArshad.JK004503-ara1,0.79113,RELEASE
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.7911,RELEASE
Shia003310,0.79105,RAWrabica045000
1307Qannawji.TajMukallal.Sham19Y0017349-ara1,0.7898,RELEASE
Shamela132617.txt,0.7897,raw_ShamelaY19
1304CabdHayyLaknawi.FawaidBahiyya.Sham19Y0132617-ara1,0.78933,RELEASE
11036.bok.json,0.78853,RAWrabicaSham19Y
0637IbnMustawfi.TarikhIrbil.Shamela0011746-ara1,0.78792,RELEASE
