unknown,TFIDF_cosine,libVar
0911Suyuti.TanwirHawalik.Shamela0005757-ara1,0.99998,RELEASE
5757.json,0.99996,RAWrabicaShamAY1
5757.bok.json,0.99996,RAWrabicaSham19Y
33528.json,0.98321,RAWrabicaShamAY2
0911Suyuti.TanwirHawalik.ShamAY0033528-ara1,0.98229,RELEASE
0911Suyuti.TanwirHawalik.ShamAY0033522-ara2,0.96651,RELEASE
33522.json,0.96563,RAWrabicaShamAY2
1122MuhammadZurqani.SharhCalaMuwatta.Shamela0000551-ara1,0.91326,RELEASE
551.json,0.91322,RAWrabicaShamAY1
1122MuhammadZurqani.SharhCalaMuwatta.JK000754-ara1,0.89577,RELEASE
33529.json,0.89513,RAWrabicaShamAY2
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.JK000097-ara1,0.89461,RELEASE
7375.json,0.88844,RAWrabicaShamAY1
1722.json,0.88241,RAWrabicaShamAY1
Shamela096928.txt,0.88162,raw_ShamelaY19
35960.json,0.88039,RAWrabicaShamAY3
0751IbnQayyimJawziyya.TahdhibSunanAbiDawud.ShamAY0035960-ara1,0.88003,RELEASE
16599.bok.json,0.87892,RAWrabicaSham19Y
32425.json,0.87853,RAWrabicaShamAY2
0751IbnQayyimJawziyya.HashiyaCalaSunanAbiDawud.ShamAY0033523-ara2,0.87805,RELEASE
0734IbnSayyidNas.NafhShadhi.Sham19Y0016599-ara1,0.87795,RELEASE
0762IbnYusufZaylaci.NasbRaya.Shia002222Vols-ara1,0.87589,RELEASE
37265.json,0.87494,RAWrabicaShamAY3
5922.json,0.87417,RAWrabicaShamAY1
2044.json,0.8741,RAWrabicaShamAY1
96928.bok.json,0.87389,RAWrabicaSham19Y
0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,0.87358,RELEASE
1200.json,0.87267,RAWrabicaShamAY1
1329MuhammadAshrafCazimabadi.CawmMacbud.Shamela0005760-ara1,0.87243,RELEASE
17878.bok.json,0.8708,RAWrabicaSham19Y
5923.json,0.8708,RAWrabicaShamAY1
