unknown,TFIDF_cosine,libVar
0918BafadlHadrami.MuqaddimaHadramiyya.JK000243-ara1,0.99792,RELEASE
6125.json,0.98639,RAWrabicaShamAY1
147311.bok.json,0.83678,RAWrabicaSham19Y
1083IbnBalabanDimashqi.MukhtasarIfadat.Sham19Y0147311-ara1,0.83452,RELEASE
1083IbnBalabanDimashqi.MukhtasarIfadat.Sham19Y0147311-ara1,0.8343,RELEASE
0974IbnHajarHaytami.ManhajQawim.Shamela0009973-ara1,0.83412,RELEASE
0974IbnHajarHaytami.ManhajQawim.Shamela0009973-ara1,0.83412,RELEASE
Shamela147311.txt,0.83326,raw_ShamelaY19
7360.json,0.82014,RAWrabicaShamAY1
0968IbnAhmadAbuNajaHajjawi.Iqnac.Shamela0007360-ara1,0.81881,RELEASE
0968IbnAhmadAbuNajaHajjawi.Iqnac.Shamela0007360-ara1,0.81843,RELEASE
9973.json,0.81734,RAWrabicaShamAY1
0769IbnLuluShihabDinIbnNaqibShafici.CumdatSalik.Shamela0037344-ara1,0.80924,RELEASE
Shamela037344.txt,0.809,raw_ShamelaY19
0974IbnHajarHaytami.ManhajQawim.JK000203-ara1,0.80896,RELEASE
0769IbnLuluShihabDinIbnNaqibShafici.CumdatSalik.Shamela0037344-ara1,0.8087,RELEASE
619.json,0.8079,RAWrabicaShamAY1
Sham30K0033888,0.80603,RAWrabica020000
1069IbnCammarShurunbulali.NurIdah.JK000284-ara1,0.80018,RELEASE
1069IbnCammarShurunbulali.NurIdah.ShamAY0034214-ara1,0.79993,RELEASE
1069IbnCammarShurunbulali.NurIdah.ShamAY0034214-ara1,0.79944,RELEASE
34214.json,0.79695,RAWrabicaShamAY3
11230.json,0.78997,RAWrabicaShamAY2
12117.bok.json,0.78847,RAWrabicaSham19Y
12117.json,0.78651,RAWrabicaShamAY2
1069IbnCammarShurunbulali.NurIdah.Shamela0012117-ara1,0.78552,RELEASE
1316IbnCumarBantaniJawi.NihayatZayn.Shamela0006146-ara1,0.78433,RELEASE
1316IbnCumarBantaniJawi.NihayatZayn.Shamela0006146-ara1,0.78432,RELEASE
1316IbnCumarBantaniJawi.NihayatZayn.JK000310-ara1,0.78424,RELEASE
0987ZaynDinMalibari.FathMucin.JK000228-ara1,0.78419,RELEASE
6146.json,0.78418,RAWrabicaShamAY1
0987ZaynDinMalibari.FathMucin.ShamAY0034252-ara1,0.78341,RELEASE
Shamela096876.txt,0.78319,raw_ShamelaY19
14386.bok.json,0.78304,RAWrabicaSham19Y
1135IbnCumarTaghlibiShaybani.NaylMaarib.Shamela0096876-ara1,0.78275,RELEASE
34252.json,0.78254,RAWrabicaShamAY3
1135IbnCumarTaghlibiShaybani.NaylMaarib.Shamela0096876-ara1,0.7825,RELEASE
32418.json,0.78245,RAWrabicaShamAY2
1097IbnQaid.Hashiya.Sham19Y0018353-ara1,0.78006,RELEASE
11196.bok.json,0.77956,RAWrabicaSham19Y
1097IbnQaid.Hashiya.Sham19Y0018353-ara1,0.77934,RELEASE
0987ZaynDinMalibari.FathMucin.Shia000877Vols-ara1,0.77926,RELEASE
Shamela018353.txt,0.77899,raw_ShamelaY19
0987ZaynDinMalibari.FathMucin.JK011226-ara1,0.7788,RELEASE
001017.automARkdown,0.77802,RAW_Masaha
1033MarciKarmi.DalilTalibCalaMadhhabIbnHanbal.ShamAY0034260-ara1,0.7776,RELEASE
1051IbnYunusBuhutiHanbali.CumdatTalib.Sham19Y0014386-ara1,0.77677,RELEASE
1051IbnYunusBuhutiHanbali.CumdatTalib.Sham19Y0014386-ara1,0.77675,RELEASE
34260.json,0.77671,RAWrabicaShamAY3
11196.json,0.7767,RAWrabicaShamAY2
1033MarciKarmi.DalilTalibCalaMadhhabIbnHanbal.JK000115-ara1,0.77619,RELEASE
0600QutbdinBayhaqiKaydari.IdahShica.Shia004622-ara1,0.77592,RELEASE
0600QutbdinBayhaqiKaydari.IdahShica.Shia004622-ara1,0.77578,RELEASE
1033MarciKarmi.DalilTalibCalaMadhhabIbnHanbal.JK000115-ara1,0.77558,RELEASE
1033MarciKarmi.DalilTalibLiNaylMatalib.Shamela0011196-ara1,0.77517,RELEASE
0689IbnSacidYahyaHilli.JamicLiSharaic.Shia000061-ara1,0.77476,RELEASE
0689IbnSacidYahyaHilli.JamicLiSharaic.Shia000061-ara1,0.77467,RELEASE
1033MarciKarmi.DalilTalibLiNaylMatalib.Shamela0011196-ara1,0.77445,RELEASE
1051IbnYunusBuhutiHanbali.RawdMurbic.ShamAY0034262-ara1,0.77364,RELEASE
Shamela147658.txt,0.7731,raw_ShamelaY19
1679.json,0.77255,RAWrabicaShamAY1
001460.automARkdown,0.77233,RAW_Masaha
1051IbnYunusBuhutiHanbali.RawdMurbic.Shamela0001679-ara1,0.77188,RELEASE
1051IbnYunusBuhutiHanbali.RawdMurbic.Sham19Y0147658-ara1,0.77158,RELEASE
001010.automARkdown,0.77143,RAW_Masaha
1051IbnYunusBuhutiHanbali.RawdMurbic.Sham19Y0147658-ara1,0.77125,RELEASE
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.Shamela0011230-ara1,0.77096,RELEASE
2025.json,0.77069,RAWrabicaShamAY1
1329.html,0.77056,RAWrabicaRafed
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.Shamela0011230-ara1,0.76997,RELEASE
6173.bok.json,0.76949,RAWrabicaSham19Y
0987ZaynDinMalibari.FathMucin.Shamela0011327-ara1,0.76914,RELEASE
9331.json,0.76878,RAW_ABLibrary
34262.json,0.76864,RAWrabicaShamAY3
1192IbnCabdAllahBacliHanbali.KashfMukhaddarat.JK007127-ara1,0.76771,RELEASE
1293.html,0.76768,RAWrabicaRafed
11327.json,0.76764,RAWrabicaShamAY2
6173.json,0.7672,RAWrabicaShamAY1
0987ZaynDinMalibari.FathMucin.Shamela0011327-ara1,0.76712,RELEASE
1051IbnYunusBuhutiHanbali.RawdMurbic.ShamAY0034271-ara1,0.76701,RELEASE
6115.json,0.7654,RAWrabicaShamAY1
1051IbnYunusBuhutiHanbali.RawdMurbic.JK000190-ara1,0.76533,RELEASE
1192IbnCabdAllahBacliHanbali.KashfMukhaddarat.Shamela0006115-ara1,0.76512,RELEASE
0972IbnAhmadIbnNajjarHanbali.MuntahaIradat.Sham19Y0013664-ara1,0.76475,RELEASE
34271.json,0.76464,RAWrabicaShamAY3
13664.bok.json,0.764,RAWrabicaSham19Y
0972IbnAhmadIbnNajjarHanbali.MuntahaIradat.Sham19Y0013664-ara1,0.76398,RELEASE
9666.json,0.76318,RAW_ABLibrary
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.ShamAY0034267-ara1,0.76261,RELEASE
004950Vols.automARkdown,0.76251,RAW_Masaha
0968IbnAhmadAbuNajaHajjawi.ZadMustaqnic.JK000790-ara1,0.76247,RELEASE
31929.json,0.76177,RAWrabicaShamAY2
0666IbnAbiBakrZaynDinRazi.TuhfatMuluk.JK000114-ara1,0.75988,RELEASE
0666IbnAbiBakrZaynDinRazi.TuhfatMuluk.Shamela0006173-ara1,0.75972,RELEASE
Shamela026535.txt,0.75967,raw_ShamelaY19
