unknown,TFIDF_cosine,libVar
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.Shamela0005858BK1-ara1,0.99992,RELEASE
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.Shia002282BK1-ara1,0.9988,RELEASE
5858.json,0.9407,RAWrabicaShamAY1
5858.bok.json,0.93986,RAWrabicaSham19Y
Shia002282,0.93057,RAWrabica040000
0748Dhahabi.Kashif.Shia003276Vols-ara1,0.90741,RELEASE
0748Dhahabi.Kashif.JK000111-ara1,0.89749,RELEASE
1375CabdAllahIbnImamHadiQasimi.JadawilSughra.Zaydiyya0000099-ara1,0.88484,RELEASE
0765AbuMahasinHusayni.IkmalLiRijal.Shia003314-ara1,0.87242,RELEASE
5850.bok.json,0.87117,RAWrabicaSham19Y
5850.json,0.87111,RAWrabicaShamAY1
0765AbuMahasinHusayni.IkmalLiRijal.Shamela0005850-ara1,0.87057,RELEASE
0765AbuMahasinHusayni.IkmalLiRijal.JK000547-ara1,0.8705,RELEASE
5823.json,0.86523,RAWrabicaShamAY1
0911Suyuti.TabaqatHuffaz.JK000753-ara1,0.86422,RELEASE
0911Suyuti.TabaqatHuffaz.Shamela0005823-ara1,0.86421,RELEASE
38187.json,0.86364,RAWrabicaShamAY3
0774IbnKathir.Takmil.Shamela0096228-ara1,0.86321,RELEASE
Shamela096228.txt,0.85368,raw_ShamelaY19
0748Dhahabi.Muqtana.Shamela0007271-ara1,0.82844,RELEASE
0748Dhahabi.Muqtana.JK001489-ara1,0.82762,RELEASE
Shamela149213.txt,0.82692,raw_ShamelaY19
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.82621,RELEASE
Shamela026906.txt,0.81291,raw_ShamelaY19
0762MughultayIbnQilij.Intikhab.Shamela0026906-ara1,0.81221,RELEASE
26906.json,0.81144,RAWrabicaShamAY2
Shia003314,0.80879,RAWrabica045000
0852IbnHajarCasqalani.TacjilManfaca.JK000536-ara2,0.80589,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.ShamAY0034606-ara2,0.80583,RELEASE
34606.json,0.80343,RAWrabicaShamAY3
1893.json,0.80258,RAWrabicaShamAY1
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.80247,RELEASE
38185.json,0.80219,RAWrabicaShamAY3
0852IbnHajarCasqalani.TacjilManfaca.Shia003325-ara2,0.80113,RELEASE
0911Suyuti.IscafMubatta.JK000550-ara1,0.8011,RELEASE
0911Suyuti.IscafMubatta.Shamela0005849-ara1,0.80098,RELEASE
0911Suyuti.IscafMubatta.ShamAY0034624-ara1,0.80088,RELEASE
0911Suyuti.IscafMubatta.ShamAY0034582-ara1,0.80081,RELEASE
5849.bok.json,0.80079,RAWrabicaSham19Y
5849.json,0.80031,RAWrabicaShamAY1
34624.json,0.79902,RAWrabicaShamAY3
34582.json,0.79722,RAWrabicaShamAY3
3310.json,0.79664,RAWrabicaShamAY1
5836.json,0.79588,RAWrabicaShamAY1
0748Dhahabi.MughniFiDucafa.Shamela0005836-ara1,0.79544,RELEASE
0748Dhahabi.MughniFiDucafa.JK001307-ara1,0.79448,RELEASE
1730.json,0.79397,RAWrabicaShamAY1
0852IbnHajarCasqalani.TahdhibTahdhib.Shamela0003310-ara2,0.79333,RELEASE
1450MuhammadYahyaCizzan.MucjamRuwat.Zaydiyya0000029-ara1,0.79113,RELEASE
Shia003325,0.78052,RAWrabica045000
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.77975,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.ShamAY0034614-ara1,0.7793,RELEASE
0748Dhahabi.MizanIctidal.Shamela0001692-ara3,0.77849,RELEASE
34614.json,0.77801,RAWrabicaShamAY3
0748Dhahabi.MizanIctidal.Shia003306Vols-ara3,0.77781,RELEASE
0748Dhahabi.MizanIctidal.ShamAY0034652-ara2,0.77579,RELEASE
0748Dhahabi.MizanIctidal.ShamAY0034601BK1-ara1,0.77555,RELEASE
1692.json,0.77536,RAWrabicaShamAY1
0748Dhahabi.MizanIctidal.JK001293BK1-ara1,0.7742,RELEASE
Shamela122400.txt,0.77392,raw_ShamelaY19
0748Dhahabi.TadhkiratHuffaz.Shamela0001583-ara2,0.77245,RELEASE
34652.json,0.77148,RAWrabicaShamAY3
Shamela096963.txt,0.77083,raw_ShamelaY19
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.77039,RELEASE
34601.json,0.77026,RAWrabicaShamAY3
0855BadrDinCayni.MaghaniAkhyar.JK011148-ara1,0.77002,RELEASE
1152IbrahimShajari.TabaqatZaydiyya.Zaydiyya0000336-ara1,0.76997,RELEASE
0748Dhahabi.TadhkiratHuffaz.Shia003279Vols-ara1,0.76979,RELEASE
0855BadrDinCayni.MaghaniAkhyar.Shamela0010452-ara1,0.76972,RELEASE
4092.json,0.76941,RAWrabicaShamAY1
33580.json,0.76937,RAWrabicaShamAY2
0852IbnHajarCasqalani.TabsirMuntabih.JK009358-ara1,0.7691,RELEASE
0852IbnHajarCasqalani.TabsirMuntabih.Shamela0004092-ara1,0.76908,RELEASE
5812.json,0.76809,RAWrabicaShamAY1
0842IbnNasirDinDimashqi.TawdihMushtabih.Shamela0005812-ara1,0.76788,RELEASE
0842IbnNasirDinDimashqi.TawdihMushtabih.JK007097-ara1,0.76774,RELEASE
