unknown,TFIDF_cosine,libVar
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.JK006672BK1-ara1,0.9988,RELEASE
0923IbnCabdAllahKhazraji.KhulasatTadhhibTahdhibKamal.Shamela0005858BK1-ara1,0.99873,RELEASE
5858.json,0.93992,RAWrabicaShamAY1
5858.bok.json,0.93907,RAWrabicaSham19Y
Shia002282,0.93177,RAWrabica040000
0748Dhahabi.Kashif.Shia003276Vols-ara1,0.90818,RELEASE
0748Dhahabi.Kashif.JK000111-ara1,0.89823,RELEASE
1375CabdAllahIbnImamHadiQasimi.JadawilSughra.Zaydiyya0000099-ara1,0.88575,RELEASE
0765AbuMahasinHusayni.IkmalLiRijal.Shia003314-ara1,0.87321,RELEASE
5850.bok.json,0.87187,RAWrabicaSham19Y
5850.json,0.87179,RAWrabicaShamAY1
0765AbuMahasinHusayni.IkmalLiRijal.Shamela0005850-ara1,0.87131,RELEASE
0765AbuMahasinHusayni.IkmalLiRijal.JK000547-ara1,0.87124,RELEASE
5823.json,0.86623,RAWrabicaShamAY1
0911Suyuti.TabaqatHuffaz.JK000753-ara1,0.86527,RELEASE
0911Suyuti.TabaqatHuffaz.Shamela0005823-ara1,0.86526,RELEASE
38187.json,0.8646,RAWrabicaShamAY3
0774IbnKathir.Takmil.Shamela0096228-ara1,0.86407,RELEASE
Shamela096228.txt,0.85456,raw_ShamelaY19
0748Dhahabi.Muqtana.Shamela0007271-ara1,0.82925,RELEASE
0748Dhahabi.Muqtana.JK001489-ara1,0.82834,RELEASE
Shamela149213.txt,0.82802,raw_ShamelaY19
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.82735,RELEASE
Shamela026906.txt,0.81358,raw_ShamelaY19
0762MughultayIbnQilij.Intikhab.Shamela0026906-ara1,0.81288,RELEASE
26906.json,0.81205,RAWrabicaShamAY2
Shia003314,0.80948,RAWrabica045000
0852IbnHajarCasqalani.TacjilManfaca.JK000536-ara2,0.80678,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.ShamAY0034606-ara2,0.80673,RELEASE
34606.json,0.80422,RAWrabicaShamAY3
1893.json,0.80342,RAWrabicaShamAY1
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.80336,RELEASE
38185.json,0.80298,RAWrabicaShamAY3
0911Suyuti.IscafMubatta.JK000550-ara1,0.80219,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.Shia003325-ara2,0.80212,RELEASE
0911Suyuti.IscafMubatta.Shamela0005849-ara1,0.80208,RELEASE
0911Suyuti.IscafMubatta.ShamAY0034624-ara1,0.80202,RELEASE
0911Suyuti.IscafMubatta.ShamAY0034582-ara1,0.80192,RELEASE
5849.bok.json,0.80186,RAWrabicaSham19Y
5849.json,0.80135,RAWrabicaShamAY1
34624.json,0.80005,RAWrabicaShamAY3
34582.json,0.79822,RAWrabicaShamAY3
3310.json,0.79743,RAWrabicaShamAY1
5836.json,0.7965,RAWrabicaShamAY1
0748Dhahabi.MughniFiDucafa.Shamela0005836-ara1,0.79612,RELEASE
0748Dhahabi.MughniFiDucafa.JK001307-ara1,0.79516,RELEASE
1730.json,0.79496,RAWrabicaShamAY1
0852IbnHajarCasqalani.TahdhibTahdhib.Shamela0003310-ara2,0.79436,RELEASE
1450MuhammadYahyaCizzan.MucjamRuwat.Zaydiyya0000029-ara1,0.79187,RELEASE
Shia003325,0.78111,RAWrabica045000
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.78084,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.ShamAY0034614-ara1,0.7804,RELEASE
0748Dhahabi.MizanIctidal.Shamela0001692-ara3,0.77937,RELEASE
34614.json,0.77898,RAWrabicaShamAY3
0748Dhahabi.MizanIctidal.Shia003306Vols-ara3,0.77871,RELEASE
0748Dhahabi.MizanIctidal.ShamAY0034652-ara2,0.77665,RELEASE
0748Dhahabi.MizanIctidal.ShamAY0034601BK1-ara1,0.77642,RELEASE
1692.json,0.77554,RAWrabicaShamAY1
0748Dhahabi.MizanIctidal.JK001293BK1-ara1,0.77507,RELEASE
Shamela122400.txt,0.77467,raw_ShamelaY19
0748Dhahabi.TadhkiratHuffaz.Shamela0001583-ara2,0.77361,RELEASE
34652.json,0.77223,RAWrabicaShamAY3
Shamela096963.txt,0.7717,raw_ShamelaY19
0748Dhahabi.TadhkiratHuffaz.JK000532-ara1,0.7715,RELEASE
1152IbrahimShajari.TabaqatZaydiyya.Zaydiyya0000336-ara1,0.77131,RELEASE
34601.json,0.77104,RAWrabicaShamAY3
0748Dhahabi.TadhkiratHuffaz.Shia003279Vols-ara1,0.771,RELEASE
0855BadrDinCayni.MaghaniAkhyar.JK011148-ara1,0.77083,RELEASE
0855BadrDinCayni.MaghaniAkhyar.Shamela0010452-ara1,0.77053,RELEASE
33580.json,0.77022,RAWrabicaShamAY2
4092.json,0.7701,RAWrabicaShamAY1
0852IbnHajarCasqalani.TabsirMuntabih.JK009358-ara1,0.76984,RELEASE
0852IbnHajarCasqalani.TabsirMuntabih.Shamela0004092-ara1,0.76982,RELEASE
5812.json,0.76899,RAWrabicaShamAY1
0842IbnNasirDinDimashqi.TawdihMushtabih.Shamela0005812-ara1,0.76885,RELEASE
0842IbnNasirDinDimashqi.TawdihMushtabih.JK007097-ara1,0.76871,RELEASE
0806IbnHusaynNajmDinCiraqi.DhaylMizan.JK001293BK2-ara1,0.76589,RELEASE
5847.json,0.76587,RAWrabicaShamAY1
3341.html,0.76578,RAWrabicaRafed
1041BurhanDinMaliki.BahjaMahafil.Shamela0096239-ara1,0.7656,RELEASE
0806IbnHusaynZaynDinCiraqi.DhaylMizan.JK005015-ara1,0.76512,RELEASE
0806IbnHusaynZaynDinCiraqi.DhaylMizan.Shamela0005847-ara1,0.76511,RELEASE
Shamela096239.txt,0.76499,raw_ShamelaY19
0852IbnHajarCasqalani.TahdhibTahdhib.Shia003328Vols-ara1,0.76447,RELEASE
309.json,0.76235,RAWrabicaShamAY1
0806IbnHusaynNajmDinCiraqi.DhaylMizan.ShamAY0034601BK2-ara1,0.76234,RELEASE
Shamela020870.txt,0.76225,raw_ShamelaY19
38198.json,0.76215,RAWrabicaShamAY3
5851.json,0.76158,RAWrabicaShamAY1
0929IbnKayyal.KawakibNayyirat.Shamela0000309-ara1,0.76136,RELEASE
2054.json,0.76108,RAWrabicaShamAY1
2248.html,0.76089,RAWrabicaRafed
0852IbnHajarCasqalani.LisanMizan.Shamela0012063-ara2,0.75952,RELEASE
0748Dhahabi.DiwanDucafa.Shamela0096955-ara1,0.75861,RELEASE
Shia003306Vols,0.75859,RAWrabica045000
0636IbnKhalfunAzdi.AsmaShuyukhMalik.ShamAY0034580-ara1,0.75815,RELEASE
2052.json,0.75757,RAWrabicaShamAY1
Shamela096955.txt,0.75753,raw_ShamelaY19
31722.json,0.75704,RAWrabicaShamAY2
Sham30K0034100,0.75686,RAWrabica020000
11036.bok.json,0.7566,RAWrabicaSham19Y
12063.json,0.75653,RAWrabicaShamAY2
1041.json,0.75633,RAWrabicaShamAY1
0852IbnHajarCasqalani.LisanMizan.Shamela0036357-ara1,0.75602,RELEASE
0852IbnHajarCasqalani.LisanMizan.JK000534-ara2,0.75501,RELEASE
0742Mizzi.TahdhibKamal.JK000144-ara1,0.75478,RELEASE
34580.json,0.75331,RAWrabicaShamAY3
11036.json,0.7532,RAWrabicaShamAY2
Shamela036357.txt,0.75252,raw_ShamelaY19
Sham30K0038877,0.75229,RAWrabica025000
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.75181,RELEASE
Sham30K0033963,0.75173,RAWrabica020000
0852IbnHajarCasqalani.LisanMizan.Shia003341Vols-ara2,0.75109,RELEASE
3340.html,0.75,RAWrabicaRafed
3460.html,0.74973,RAWrabicaRafed
34014.json,0.74837,RAWrabicaShamAY2
0636IbnKhalfunAzdi.Muclim.Sham19Y0017842-ara1,0.7473,RELEASE
0744IbnCabdHadi.TabaqatCulama.Sham19Y0001994-ara1,0.74683,RELEASE
0748Dhahabi.MacrifaQurraKibar.Shamela0008349-ara2,0.74653,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.74644,RELEASE
2718.html,0.74629,RAWrabicaRafed
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.74608,RELEASE
Shamela096233.txt,0.74554,raw_ShamelaY19
32503.json,0.74489,RAWrabicaShamAY2
Shamela096956.txt,0.74479,raw_ShamelaY19
34667.json,0.74458,RAWrabicaShamAY3
0748Dhahabi.DhaylDiwanDucafa.Shamela0096956-ara1,0.74437,RELEASE
2893.html,0.74383,RAWrabicaRafed
5798.json,0.74373,RAWrabicaShamAY1
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1,0.74287,RELEASE
Shia003341Vols,0.74268,RAWrabica045000
329.json,0.74239,RAWrabicaShamAY1
2892.html,0.74204,RAWrabicaRafed
2894.html,0.74195,RAWrabicaRafed
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034647-ara3,0.74156,RELEASE
Shamela036515.txt,0.7408,raw_ShamelaY19
0762MughultayIbnQilij.IkmalTahdhib.Shia003311Vols-ara1,0.74068,RELEASE
31576.json,0.74026,RAWrabicaShamAY2
Shia003328Vols,0.7389,RAWrabica045000
Shia003279Vols,0.73868,RAWrabica045000
10902.json,0.73752,RAWrabicaShamAY2
Shamela022659.txt,0.73702,raw_ShamelaY19
