unknown,TFIDF_cosine,libVar
309.json,0.98211,RAWrabicaShamAY1
0929IbnKayyal.KawakibNayyirat.JK000500-ara1,0.97678,RELEASE
0929IbnKayyal.KawakibNayyirat.ShamAY0034617-ara1,0.97665,RELEASE
34617.json,0.9764,RAWrabicaShamAY3
0929IbnKayyal.KawakibNayyirat.Shia003352-ara1,0.9716,RELEASE
3310.json,0.91467,RAWrabicaShamAY1
0852IbnHajarCasqalani.TahdhibTahdhib.Shamela0003310-ara2,0.91467,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.ShamAY0034614-ara1,0.91275,RELEASE
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.91233,RELEASE
34614.json,0.91162,RAWrabicaShamAY3
0852IbnHajarCasqalani.TahdhibTahdhib.JK000134-ara1,0.91145,RELEASE
0774IbnKathir.Takmil.Shamela0096228-ara1,0.89134,RELEASE
0774IbnKathir.Takmil.Shamela0096228-ara1,0.89076,RELEASE
Shamela096228.txt,0.88964,raw_ShamelaY19
0852IbnHajarCasqalani.TahdhibTahdhib.Shia003328Vols-ara1,0.88895,RELEASE
Shamela149213.txt,0.8777,raw_ShamelaY19
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.87584,RELEASE
0748Dhahabi.TadhhibTahdhib.Sham19Y0149213-ara1,0.87536,RELEASE
130.json,0.87364,RAWrabicaShamAY1
Shamela036515.txt,0.87329,raw_ShamelaY19
329.json,0.873,RAWrabicaShamAY1
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.87277,RELEASE
0762MughultayIbnQilij.IkmalTahdhib.Shamela0036515-ara1,0.872,RELEASE
0762MughultayIbnQilij.IkmalTahdhib.ShamAY0034647-ara3,0.87171,RELEASE
0762MughultayIbnQilij.IkmalTahdhib.Shia003311Vols-ara1,0.86961,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.ShamAY0034606-ara2,0.86748,RELEASE
0852IbnHajarCasqalani.TacjilManfaca.JK000536-ara2,0.86705,RELEASE
1893.json,0.86655,RAWrabicaShamAY1
38185.json,0.86616,RAWrabicaShamAY3
34606.json,0.86565,RAWrabicaShamAY3
0852IbnHajarCasqalani.TacjilManfaca.Shamela0001893-ara1,0.86554,RELEASE
11036.bok.json,0.86549,RAWrabicaSham19Y
0806IbnHusaynZaynDinCiraqi.TarhTarthib.JK007117-ara1,0.86512,RELEASE
11036.json,0.86489,RAWrabicaShamAY2
