unknown,TFIDF_cosine,libVar
Sham30K0002736,0.99946,RAWrabica005000
33741.json,0.9947,RAWrabicaShamAY2
Shamela021543.txt,0.8908,raw_ShamelaY19
21543.json,0.88969,RAWrabicaShamAY2
0676Nawawi.RiyadSalihin.Shia002208-ara2,0.88739,RELEASE
0869IbnKhalilZaynDinQabuni.BisharatMahbub.JK009315-ara1,0.88322,RELEASE
Shamela028114.txt,0.88317,raw_ShamelaY19
Shamela124910.txt,0.88235,raw_ShamelaY19
0869IbnKhalilZaynDinQabuni.BisharatMahbub.Shamela0010922-ara1,0.87985,RELEASE
28114.json,0.87937,RAWrabicaShamAY2
0676Nawawi.RiyadSalihin.Shamela0002348-ara5,0.87933,RELEASE
0869IbnKhalilZaynDinQabuni.BisharatMahbub.Shamela0010922-ara1,0.879,RELEASE
0676Nawawi.RiyadSalihin.ShamAY0038643-ara3,0.87889,RELEASE
0944IbnCaliIbnDaybacShaybani.MukaffiratDhunub.Shamela0028114-ara1,0.87878,RELEASE
0944IbnCaliIbnDaybacShaybani.MukaffiratDhunub.Shamela0028114-ara1,0.87859,RELEASE
10922.json,0.87843,RAWrabicaShamAY2
0676Nawawi.RiyadSalihin.Shamela0012014-ara1,0.87735,RELEASE
0676Nawawi.RiyadSalihin.JK000073-ara2,0.87721,RELEASE
0944IbnCaliIbnDaybacShaybani.MukaffiratDhunub.JK010204-ara1,0.87658,RELEASE
0676Nawawi.RiyadSalihin.Shamela0012014-ara1,0.87618,RELEASE
003104.automARkdown,0.87565,RAW_Masaha
0643DiyaDinMuqaddasi.FadailAcmal.ShamAY0033756-ara1,0.875,RELEASE
6847.bok.json,0.87415,RAWrabicaSham19Y
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.JK000829-ara1,0.87356,RELEASE
0656IbnCabdQawiMundhiri.TarghibWaTarhib.Shamela0006847-ara1,0.87339,RELEASE
0656IbnCabdQawiMundhiri.TarghibWaTarhib.JK000080-ara1,0.87331,RELEASE
32207.json,0.87318,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.FadailAcmal.JK001429-ara1,0.87294,RELEASE
12014.json,0.87292,RAWrabicaShamAY2
6843.json,0.87281,RAWrabicaShamAY1
6843.bok.json,0.87257,RAWrabicaSham19Y
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.8725,RELEASE
33756.json,0.87198,RAWrabicaShamAY2
0745IbnMuhammadTaqiDinIbnImam.SilahMumin.Shamela0006843-ara1,0.87198,RELEASE
0745IbnMuhammadTaqiDinIbnImam.SilahMumin.JK001236-ara1,0.87196,RELEASE
0643DiyaDinMuqaddasi.FadailAcmal.JK001429-ara1,0.87183,RELEASE
Shamela021502.txt,0.87157,raw_ShamelaY19
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.871,RELEASE
720.json,0.87093,RAWrabicaShamAY1
Shamela096453.txt,0.87082,raw_ShamelaY19
0745IbnMuhammadTaqiDinIbnImam.SilahMumin.JK001236-ara1,0.87081,RELEASE
21502.json,0.87062,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.FadailAcmal.Shamela0004425-ara1,0.86983,RELEASE
35070.json,0.86982,RAWrabicaShamAY3
17616.bok.json,0.86932,RAWrabicaSham19Y
216.json,0.86833,RAWrabicaShamAY1
4425.json,0.86825,RAWrabicaShamAY1
32321.json,0.86817,RAWrabicaShamAY2
0751IbnQayyimJawziyya.WabilSayyib.Shamela0000216-ara1,0.86816,RELEASE
31748.json,0.86815,RAWrabicaShamAY2
35062.json,0.86794,RAWrabicaShamAY3
8528.json,0.86788,RAWrabicaShamAY1
8528.bok.json,0.86769,RAWrabicaSham19Y
1206IbnCabdWahhab.FadlIslam.JK006874-ara1,0.86721,RELEASE
34947.json,0.86692,RAWrabicaShamAY3
0751IbnQayyimJawziyya.WabilSayyib.Shamela0000216-ara1,0.86689,RELEASE
0656IbnCabdQawiMundhiri.MukhtasarSahihMuslim.Sham19Y0017616-ara1,0.86673,RELEASE
13084.bok.json,0.86638,RAWrabicaSham19Y
13084.json,0.86539,RAWrabicaShamAY2
