unknown,TFIDF_cosine,libVar
0953IbnTulun.AhadithMia.Shamela0005640-ara1,0.9566,RELEASE
5640.json,0.95176,RAWrabicaShamAY1
0748Dhahabi.MucjamLatif.Shamela0030673-ara1,0.84081,RELEASE
Shamela030673.txt,0.83709,raw_ShamelaY19
30673.json,0.83569,RAWrabicaShamAY2
002357.automARkdown,0.83108,RAW_Masaha
0643DiyaDinMuqaddasi.AhadithMukhatara.JK000782-ara1,0.82712,RELEASE
0748Dhahabi.MucjamLatif.ShamAY0033668-ara1,0.82336,RELEASE
33668.json,0.82117,RAWrabicaShamAY2
Sham30K0014274,0.81714,RAWrabica015000
0748Dhahabi.DinarMinHadith.Shamela0005688-ara1,0.80937,RELEASE
0748Dhahabi.DinarMinHadith.JK000699-ara1,0.80913,RELEASE
0761IbnKaykaldiCalai.ItharatFawaid.Shamela0022882-ara1,0.80887,RELEASE
6018.json,0.80882,RAWrabicaShamAY1
22882.json,0.80726,RAWrabicaShamAY2
5688.json,0.80597,RAWrabicaShamAY1
Shamela022882.txt,0.80564,raw_ShamelaY19
0852IbnHajarCasqalani.LadhdhatCaysh.ShamAY0033678-ara1,0.80414,RELEASE
33678.json,0.80219,RAWrabicaShamAY2
0672IbnAhmaLuluDarir.Juz.Shamela0005671-ara1,0.80142,RELEASE
0611IbnMufaddalMuqaddasi.Arbacuna.Shamela0010441-ara1,0.80041,RELEASE
0672IbnAhmaLuluDarir.Juz.JK000647-ara1,0.79988,RELEASE
5671.json,0.79859,RAWrabicaShamAY1
32825.json,0.79823,RAWrabicaShamAY2
26665.json,0.79744,RAWrabicaShamAY2
Shamela026665.txt,0.79733,raw_ShamelaY19
0816AbuBakrMaraghi.Mashyakha.Shamela0026731-ara1,0.79731,RELEASE
10441.json,0.79716,RAWrabicaShamAY1
Shamela026731.txt,0.79712,raw_ShamelaY19
26731.json,0.79512,RAWrabicaShamAY2
Shamela131336.txt,0.79474,raw_ShamelaY19
Shia002173,0.79474,RAWrabica040000
0909IbnCabdHadi.Nujat.Shamela0030291-ara1,0.79462,RELEASE
9372.json,0.79177,RAWrabicaShamAY1
0852IbnHajarCasqalani.TaghliqTacliq.JK000702-ara1,0.79148,RELEASE
0852IbnHajarCasqalani.TaghliqTacliq.Shamela0000347-ara1,0.79109,RELEASE
0347.bok.json,0.79065,RAWrabicaSham19Y
Shamela029911.txt,0.79023,raw_ShamelaY19
0702IbnDaqiqCidQushayri.ArbacunaHadithanTusaciyatIsnad.Shamela0030246-ara1,0.78953,RELEASE
347.json,0.78917,RAWrabicaShamAY1
32835.json,0.78894,RAWrabicaShamAY2
31640.json,0.7887,RAWrabicaShamAY2
0852IbnHajarCasqalani.AmaliHalabiyya.Shamela0005729-ara1,0.78867,RELEASE
0852IbnHajarCasqalani.AmaliHalabiyya.JK007058-ara1,0.78853,RELEASE
Shamela026878.txt,0.78845,raw_ShamelaY19
Shamela030246.txt,0.78784,raw_ShamelaY19
29911.json,0.78777,RAWrabicaShamAY2
5729.json,0.78631,RAWrabicaShamAY1
26878.json,0.78583,RAWrabicaShamAY2
Shamela030291.txt,0.78581,raw_ShamelaY19
33917.json,0.78477,RAWrabicaShamAY2
0852IbnHajarCasqalani.NataijAfkar.ShamAY0034134-ara1,0.78358,RELEASE
34134.json,0.7834,RAWrabicaShamAY2
0758MaryamSittQudatHanbaliyya.Musnad.Shamela0005680-ara1,0.78236,RELEASE
0852AbuNucaymMustamli.ArabacinMutabayina.ShamAY0032859-ara1,0.78213,RELEASE
30246.json,0.78193,RAWrabicaShamAY2
0758MaryamSittQudatHanbaliyya.Musnad.JK000571-ara1,0.7817,RELEASE
32859.json,0.78143,RAWrabicaShamAY2
0734IbnSayyidNas.AhadithCawal.ShamAY0033538-ara1,0.7813,RELEASE
0761IbnKaykaldiCalai.BughyatMultamis.Shamela0010826-ara1,0.78048,RELEASE
0909IbnCabdHadi.Nihaya.Sham19Y0017535-ara1,0.78032,RELEASE
0643DiyaDinMuqaddasi.AhadithMukhatara.Shamela0010480-ara1,0.78018,RELEASE
33538.json,0.7799,RAWrabicaShamAY2
10826.json,0.77872,RAWrabicaShamAY2
10480.json,0.77827,RAWrabicaShamAY1
5716.json,0.77588,RAWrabicaShamAY1
0656IbnMuhammadSadrDinNaysaburi.ArbacunaCanArbacina.Shamela0026487-ara1,0.77571,RELEASE
5680.json,0.7752,RAWrabicaShamAY1
17535.bok.json,0.7746,RAWrabicaSham19Y
Shamela026487.txt,0.77359,raw_ShamelaY19
Shamela030586.txt,0.77127,raw_ShamelaY19
32316.json,0.77104,RAWrabicaShamAY2
Shamela026884.txt,0.77057,raw_ShamelaY19
0768IbnMuhammadTaqiDinBaclabakki.Hadith.Shamela0009426-ara1,0.77036,RELEASE
0902Sakhawi.Buldaniyyat.Shamela0003576-ara1,0.76964,RELEASE
26487.json,0.76923,RAWrabicaShamAY2
30586.json,0.76898,RAWrabicaShamAY2
26884.json,0.7677,RAWrabicaShamAY2
13055.json,0.76669,RAWrabicaShamAY2
0705SharafDinDimyatti.Tasalli.Shamela0022301-ara1,0.7664,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030652-ara1,0.76622,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030648-ara1,0.76571,RELEASE
Shamela022301.txt,0.76479,raw_ShamelaY19
3576.json,0.76403,RAWrabicaShamAY1
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030257-ara1,0.7634,RELEASE
35215.json,0.76339,RAWrabicaShamAY3
Shamela030652.txt,0.76273,raw_ShamelaY19
22301.bok.json,0.76264,RAWrabicaSham19Y
Shamela030648.txt,0.7615,raw_ShamelaY19
22301.json,0.76114,RAWrabicaShamAY2
0902Sakhawi.Buldaniyyat.JK007062-ara1,0.76099,RELEASE
32964.json,0.75996,RAWrabicaShamAY2
Shamela030257.txt,0.75923,raw_ShamelaY19
32872.json,0.75909,RAWrabicaShamAY2
0600CabdGhaniMuqaddasi.NihayatMurad.Shamela0038202-ara1,0.75841,RELEASE
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030606-ara1,0.75811,RELEASE
0761IbnKaykaldiCalai.MusalsalatMukhtara.Shamela0010778-ara1,0.75761,RELEASE
0806IbnHusaynZaynDinCiraqi.KhamsatAhadith.Shamela0009484-ara1,0.75625,RELEASE
Shamela038202.txt,0.75613,raw_ShamelaY19
32841.json,0.75606,RAWrabicaShamAY2
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030644-ara1,0.75579,RELEASE
33575.json,0.75569,RAWrabicaShamAY2
0748IbnDimyati.Hadith.ShamAY0032872-ara1,0.75569,RELEASE
0806IbnHusaynZaynDinCiraqi.MustakhrajCalaMustadrak.JK000628-ara1,0.75533,RELEASE
32806.json,0.75514,RAWrabicaShamAY2
1384.json,0.7549,RAWrabicaShamAY1
0799IbnShaykha.ShicarAbrar.Sham19Y0009382-ara1,0.75441,RELEASE
9371.json,0.75397,RAWrabicaShamAY1
0774IbnRaficSallami.MashyakhatBayani.Shamela0009620-ara1,0.7538,RELEASE
Shamela030606.txt,0.75376,raw_ShamelaY19
0852IbnHajarCasqalani.MuwafaqatKhubrKhabar.Sham19Y0018611-ara1,0.75308,RELEASE
13163.json,0.75245,RAWrabicaShamAY2
0705SharafDinDimyatti.MucjamShuyukh.Shamela0030646-ara1,0.75179,RELEASE
003716.automARkdown,0.75173,RAW_Masaha
Shamela029960.txt,0.75143,raw_ShamelaY19
Shamela018611.txt,0.75118,raw_ShamelaY19
Shamela030644.txt,0.75089,raw_ShamelaY19
30648.json,0.74993,RAWrabicaShamAY2
1368.json,0.74974,RAWrabicaShamAY1
Shamela029959.txt,0.74953,raw_ShamelaY19
32943.json,0.7494,RAWrabicaShamAY2
30652.json,0.74897,RAWrabicaShamAY2
0607IbnTabarzad.Ahadith.Shamela0009354-ara1,0.74894,RELEASE
33907.json,0.74876,RAWrabicaShamAY2
Shamela030646.txt,0.74798,raw_ShamelaY19
12992.json,0.74756,RAWrabicaShamAY2
0597IbnJawzi.HifzCumr.Shamela0026677-ara1,0.74755,RELEASE
9382.json,0.74677,RAWrabicaShamAY1
Shamela029953.txt,0.74656,raw_ShamelaY19
32866.json,0.7461,RAWrabicaShamAY2
Shamela026677.txt,0.74592,raw_ShamelaY19
30291.bok.json,0.74585,RAWrabicaSham19Y
9620.json,0.74565,RAWrabicaShamAY1
Shamela029951.txt,0.7452,raw_ShamelaY19
30606.json,0.745,RAWrabicaShamAY2
30257.bok.json,0.74465,RAWrabicaSham19Y
30257.json,0.7446,RAWrabicaShamAY2
32465.json,0.74386,RAWrabicaShamAY2
Shamela026861.txt,0.74385,raw_ShamelaY19
30291.json,0.74372,RAWrabicaShamAY2
32916.json,0.74368,RAWrabicaShamAY2
Shamela030324.txt,0.74346,raw_ShamelaY19
0774IbnRaficSallami.MashyakhatBayani.Shamela0027103-ara1,0.74336,RELEASE
32766.json,0.74316,RAWrabicaShamAY2
Shamela030025.txt,0.74315,raw_ShamelaY19
26861.bok.json,0.74258,RAWrabicaSham19Y
Shamela027103.txt,0.74228,raw_ShamelaY19
29960.json,0.74179,RAWrabicaShamAY2
26677.json,0.74135,RAWrabicaShamAY2
0696IbnZahiri.Mashyakha.JK009154-ara1,0.74117,RELEASE
12985.json,0.74062,RAWrabicaShamAY2
33573.json,0.74052,RAWrabicaShamAY2
0696IbnZahiri.Mashyakha.Shamela0005740-ara1,0.74045,RELEASE
27103.json,0.74044,RAWrabicaShamAY2
0833IbnJazari.ManaqibAsadGhalib.Shamela0012752-ara1,0.7403,RELEASE
Shamela030587.txt,0.73989,raw_ShamelaY19
32755.json,0.7393,RAWrabicaShamAY2
30025.json,0.73926,RAWrabicaShamAY2
5740.bok.json,0.7391,RAWrabicaSham19Y
