unknown,TFIDF_cosine,libVar
34942.json,0.93263,RAWrabicaShamAY3
2065.json,0.50464,RAWrabicaShamAY1
Shamela097803.txt,0.50153,raw_ShamelaY19
12217.json,0.40881,RAWrabicaShamAY2
8929.json,0.38702,RAW_ABLibrary
2223.html,0.38615,RAWrabicaRafed
1206IbnCabdWahhab.MasailJahiliyya.ShamAY0033889-ara1,0.38373,RELEASE
8549.json,0.38352,RAWrabicaShamAY1
004130.automARkdown,0.38345,RAW_Masaha
1206IbnCabdWahhab.MasailJahiliyya.ShamAY0033889-ara1,0.38301,RELEASE
8549.bok.json,0.38295,RAWrabicaSham19Y
33889.json,0.38267,RAWrabicaShamAY2
0728IbnTaymiyya.FaslFiTazkiyyatNafs.Sham19Y0133364-ara1,0.36887,RELEASE
Shamela133364.txt,0.36882,raw_ShamelaY19
1250.html,0.36735,RAWrabicaRafed
133364.bok.json,0.36711,RAWrabicaSham19Y
2738.html,0.36411,RAWrabicaRafed
0696IbrahimDasuqi.JawharaMudia.eScr20112522-ara1,0.36407,RELEASE
000994.automARkdown,0.36293,RAW_Masaha
0728IbnTaymiyya.FaslFiTazkiyyatNafs.Sham19Y0133364-ara1,0.36263,RELEASE
0250ThabitIbnAbiThabit.Farq.JK006963-ara1,0.35765,RELEASE
0412IbnAhmadQummi.MiatManqaba.Shia001290-ara1,0.35577,RELEASE
0696IbrahimDasuqi.JawharaMudia.eScr20112522-ara1,0.35536,RELEASE
1178.html,0.35405,RAWrabicaRafed
7055.json,0.35271,RAWrabicaShamAY1
12398.json,0.35268,RAWrabicaShamAY2
Shamela025846.txt,0.35204,raw_ShamelaY19
1089IbnCimad.Shadharat.Sham30K0012398-ara1,0.3506,RELEASE
1527.json,0.35038,RAWrabicaShamAY1
Shamela023622.txt,0.35,raw_ShamelaY19
865.json,0.34989,RAW_ABLibrary
0729IbnMuhammadDiyaDinQurashi.AhadithWaHikayat.ShamAY0038109-ara1,0.34949,RELEASE
Shamela0008549,0.34793,RAWrabica035000
868.json,0.34758,RAW_ABLibrary
0413ShaykhMufid.MasailSarwiyya.Shia000007-ara1,0.34747,RELEASE
23622.bok.json,0.34675,RAWrabicaSham19Y
444.html,0.3466,RAWrabicaRafed
702.html,0.34643,RAWrabicaRafed
1565.json,0.34542,RAWrabicaShamAY1
937.html,0.34509,RAWrabicaRafed
004537.automARkdown,0.34314,RAW_Masaha
859.json,0.3423,RAW_ABLibrary
32450.json,0.34187,RAWrabicaShamAY2
2102.json,0.3414,RAWrabicaShamAY1
449.html,0.34107,RAWrabicaRafed
23622.json,0.34054,RAWrabicaShamAY2
3176.html,0.34036,RAWrabicaRafed
2452.html,0.33828,RAWrabicaRafed
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000038-ara1,0.33805,RELEASE
1051IbnYunusBuhutiHanbali.MinahShafiyat.Sham19Y0006538-ara1,0.33786,RELEASE
2112.html,0.33718,RAWrabicaRafed
2736.html,0.33709,RAWrabicaRafed
867.json,0.33682,RAW_ABLibrary
Shamela147066.txt,0.33671,raw_ShamelaY19
2086.html,0.33655,RAWrabicaRafed
29677.bok.json,0.33639,RAWrabicaSham19Y
31743.json,0.33625,RAWrabicaShamAY2
31805.json,0.33609,RAWrabicaShamAY2
9101.json,0.33597,RAW_ABLibrary
0758NajmDinTarsusi.TuhfatTurk.JK011044-ara1,0.33538,RELEASE
851.json,0.33525,RAW_ABLibrary
6538.bok.json,0.33515,RAWrabicaSham19Y
860.json,0.33467,RAW_ABLibrary
3.json,0.33467,RAWrabicaShamAY1
31785.json,0.33416,RAWrabicaShamAY2
10276.json,0.334,RAWrabicaShamAY1
1396KhayrDinZirikli.Aclam.Shamela0012286-ara1,0.33397,RELEASE
38635.json,0.33394,RAWrabicaShamAY3
2460.html,0.33342,RAWrabicaRafed
0748Dhahabi.TarjamatIbnTaymiyya.ShamAY0034384-ara1,0.33309,RELEASE
0748Dhahabi.TarjamatIbnTaymiyya.ShamAY0034384-ara1,0.33288,RELEASE
0772IbnHasanJamalDinIsnawi.MuhimmatFiSharhRawda.Sham19Y0014580-ara1,0.33274,RELEASE
9180.json,0.33263,RAW_ABLibrary
001942.automARkdown,0.33254,RAW_Masaha
0576IbnCabdSalamQadi.ArbacunCalawiyya.Zaydiyya0000399-ara1,0.33252,RELEASE
25846.json,0.33229,RAWrabicaShamAY2
0729IbnMuhammadDiyaDinQurashi.AhadithWaHikayat.ShamAY0038109-ara1,0.33226,RELEASE
Shamela145430.txt,0.33213,raw_ShamelaY19
448.html,0.33148,RAWrabicaRafed
14309.bok.json,0.33145,RAWrabicaSham19Y
32163.json,0.33136,RAWrabicaShamAY2
1450MuhammadCijajKhatib.LamahatFiMaktaba.Shamela0011365-ara1,0.33136,RELEASE
9855.json,0.33113,RAW_ABLibrary
0726CallamaHilli.MukhtalafShica.Shia000094Vols-ara1,0.33103,RELEASE
32703.json,0.33087,RAWrabicaShamAY2
8801.json,0.33079,RAW_ABLibrary
0543IbnCarabiIshbili.MasalikFiSharhMuwatta.Sham19Y0123665-ara1,0.33053,RELEASE
853.json,0.33052,RAW_ABLibrary
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.33043,RELEASE
37983.json,0.33039,RAWrabicaShamAY3
1051IbnYunusBuhutiHanbali.MinahShafiyat.Sham19Y0006538-ara1,0.33026,RELEASE
Sham30K0002807,0.33023,RAWrabica005000
34384.json,0.33,RAWrabicaShamAY3
0804IbnMulaqqin.Tawdih.Sham19Y0013252-ara1,0.32993,RELEASE
2737.html,0.32932,RAWrabicaRafed
Shamela023611.txt,0.32907,raw_ShamelaY19
0762IbnDurayhim.ManhajSawab.Kraken2102182324111-ara1,0.32897,RELEASE
0751IbnQayyimJawziyya.RuhFiKalam.ShamAY0038394-ara1,0.32888,RELEASE
