unknown,TFIDF_cosine,libVar
0982IbnMuhammadAbuSucud.IrshadCaqlSalim.Shia002686Vols-ara1,0.99014,RELEASE
1429.json,0.99001,RAWrabicaShamAY1
0982IbnMuhammadAbuSucud.IrshadCaqlSalim.Shamela0001429-ara1,0.98977,RELEASE
0982IbnMuhammadAbuSucud.IrshadCaqlSalim.JK000458-ara1,0.98882,RELEASE
3233.html,0.9878,RAWrabicaRafed
Shia002686Vols,0.96434,RAWrabica040000
3166.html,0.90247,RAWrabicaRafed
0685NasirDinBaydawi.AnwarTanzil.Shia002637Vols-ara1,0.89861,RELEASE
0685NasirDinBaydawi.AnwarTanzil.Tafsir01006-ara1,0.8978,RELEASE
0685NasirDinBaydawi.AnwarTanzil.JK000128-ara1,0.89739,RELEASE
3239.html,0.89693,RAWrabicaRafed
1713.html,0.89467,RAWrabicaRafed
23588.bok.json,0.8936,RAWrabicaSham19Y
23588.json,0.89279,RAWrabicaShamAY2
0685NasirDinBaydawi.AnwarTanzil.Shamela0023588-ara1,0.89267,RELEASE
Shamela023588.txt,0.89262,raw_ShamelaY19
3179.html,0.88552,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.88122,RELEASE
3235.html,0.88048,RAWrabicaRafed
3200.html,0.87815,RAWrabicaRafed
3193.html,0.87794,RAWrabicaRafed
3234.html,0.87749,RAWrabicaRafed
Shamela020643.txt,0.87692,raw_ShamelaY19
2679.html,0.87668,RAWrabicaRafed
3246.html,0.87662,RAWrabicaRafed
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.87545,RELEASE
3196.html,0.87161,RAWrabicaRafed
3247.html,0.87153,RAWrabicaRafed
3203.html,0.87134,RAWrabicaRafed
3198.html,0.87097,RAWrabicaRafed
3197.html,0.86847,RAWrabicaRafed
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Tafsir07054-ara1,0.86612,RELEASE
003234Vols.automARkdown,0.86556,RAW_Masaha
3931.html,0.8647,RAWrabicaRafed
1354RashidRida.Manar.Tafsir02103-ara1,0.86414,RELEASE
3184.html,0.86409,RAWrabicaRafed
3095.html,0.86404,RAWrabicaRafed
1431MuhammadSayyidTantawi.TafsirWasit.Tafsir07057-ara1,0.8632,RELEASE
Shamela023590.txt,0.86299,raw_ShamelaY19
3192.html,0.8627,RAWrabicaRafed
3256.html,0.8625,RAWrabicaRafed
23590.bok.json,0.86176,RAWrabicaSham19Y
8430.json,0.8616,RAW_ABLibrary
14579.bok.json,0.86091,RAWrabicaSham19Y
23590.json,0.86089,RAWrabicaShamAY2
38481.json,0.86014,RAWrabicaShamAY3
23627.bok.json,0.85983,RAWrabicaSham19Y
3258.html,0.85962,RAWrabicaRafed
3178.html,0.85945,RAWrabicaRafed
1125MirzaMuhammadMashhadi.TafsirKanzDaqaiq.Shia002394Vols-ara1,0.85899,RELEASE
Shamela023627.txt,0.85886,raw_ShamelaY19
1436.html,0.85856,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.85851,RELEASE
23627.json,0.85827,RAWrabicaShamAY2
1270ShihabDinAlusi.RuhMacani.Tafsir07052-ara1,0.85825,RELEASE
34070.json,0.85818,RAWrabicaShamAY2
2415.html,0.8579,RAWrabicaRafed
12304.json,0.8565,RAWrabicaShamAY2
3190.html,0.85646,RAWrabicaRafed
Shamela022835.txt,0.85599,raw_ShamelaY19
34055.json,0.85567,RAWrabicaShamAY2
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.85537,RELEASE
0710IbnAhmadHafizDinNasafi.Tafsir.Tafsir02017-ara1,0.85503,RELEASE
1466.json,0.85449,RAWrabicaShamAY1
Shamela023631.txt,0.85423,raw_ShamelaY19
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.85409,RELEASE
1466.bok.json,0.85409,RAWrabicaSham19Y
0745AbuHayyanGharnati.TafsirBahrMuhit.Tafsir02019-ara1,0.85392,RELEASE
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.85386,RELEASE
0977KhatibShirbini.SirajMunir.Shamela0001466-ara1,0.85372,RELEASE
3201.html,0.85267,RAWrabicaRafed
1725.html,0.85249,RAWrabicaRafed
1127IsmacilHaqqiBurusawi.RuhBayan.Tafsir03036-ara1,0.85242,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.8519,RELEASE
2906.html,0.85164,RAWrabicaRafed
3699.html,0.85129,RAWrabicaRafed
3181.html,0.85101,RAWrabicaRafed
1641.json,0.85081,RAWrabicaShamAY1
3150.html,0.85069,RAWrabicaRafed
Shamela023591.txt,0.85061,raw_ShamelaY19
1437.html,0.85054,RAWrabicaRafed
Shamela021589.txt,0.8505,raw_ShamelaY19
0745AbuHayyanGharnati.TafsirBahrMuhit.JK007053-ara1,0.85044,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.Shia002649Vols-ara1,0.8503,RELEASE
0710IbnAhmadHafizDinNasafi.Tafsir.Shia002557Vols-ara1,0.85015,RELEASE
2924.html,0.85009,RAWrabicaRafed
0745AbuHayyanGharnati.TafsirBahrMuhit.Shamela0023591-ara1,0.84993,RELEASE
1406.html,0.84989,RAWrabicaRafed
0710IbnAhmadHafizDinNasafi.Tafsir.JK000876-ara1,0.84977,RELEASE
3123.html,0.84965,RAWrabicaRafed
2416.html,0.8496,RAWrabicaRafed
1444.html,0.84943,RAWrabicaRafed
001352Vols.automARkdown,0.84919,RAW_Masaha
3191.html,0.84883,RAWrabicaRafed
3836.html,0.84865,RAWrabicaRafed
21589.json,0.84846,RAWrabicaShamAY2
3616.html,0.84832,RAWrabicaRafed
Shamela021654.txt,0.84794,raw_ShamelaY19
3124.html,0.8479,RAWrabicaRafed
2925.html,0.84723,RAWrabicaRafed
22835.json,0.8471,RAWrabicaShamAY2
2912.html,0.84703,RAWrabicaRafed
115098.bok.json,0.84702,RAWrabicaSham19Y
1156IbnMuhammadAbuSacidKhadimi.BariqaMahmudiyya.JK011730-ara1,0.84692,RELEASE
001149.automARkdown,0.84686,RAW_Masaha
000051Vols.automARkdown,0.84678,RAW_Masaha
Shamela115098.txt,0.84678,raw_ShamelaY19
1451.html,0.84665,RAWrabicaRafed
2910.html,0.8466,RAWrabicaRafed
7037.json,0.84657,RAWrabicaShamAY1
002554Vols.automARkdown,0.8465,RAW_Masaha
23591.bok.json,0.84649,RAWrabicaSham19Y
Sham30K0033988,0.84635,RAWrabica020000
001263.automARkdown,0.84624,RAW_Masaha
21654.json,0.8462,RAWrabicaShamAY2
3236.html,0.84617,RAWrabicaRafed
2939.html,0.84608,RAWrabicaRafed
1156IbnMuhammadAbuSacidKhadimi.BariqaMahmudiyya.Shamela0021654-ara1,0.84602,RELEASE
1394.json,0.84601,RAWrabicaShamAY1
31630.json,0.84587,RAWrabicaShamAY2
7037.bok.json,0.84586,RAWrabicaSham19Y
1658.html,0.84585,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Zaydiyya0000282-ara1,0.84564,RELEASE
1440.html,0.84563,RAWrabicaRafed
2930.html,0.84546,RAWrabicaRafed
65.html,0.84532,RAWrabicaRafed
591.json,0.8453,RAWrabicaShamAY1
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.84521,RELEASE
2920.html,0.84516,RAWrabicaRafed
1094IbnMusaKaffawi.Kulliyat.Shamela0007037-ara1,0.84515,RELEASE
23591.json,0.84515,RAWrabicaShamAY2
Shamela036571.txt,0.8451,raw_ShamelaY19
1127IsmacilHaqqiBurusawi.RuhBayan.Shamela0023612-ara1,0.84486,RELEASE
3960.html,0.84483,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Shia002406Vols-ara1,0.8448,RELEASE
23612.bok.json,0.84475,RAWrabicaSham19Y
3120.html,0.84473,RAWrabicaRafed
3805.html,0.84459,RAWrabicaRafed
63.html,0.84435,RAWrabicaRafed
3700.html,0.84432,RAWrabicaRafed
1302.html,0.84429,RAWrabicaRafed
0710IbnAhmadHafizDinNasafi.Tafsir.Shamela0001394-ara1,0.84407,RELEASE
1447.html,0.84406,RAWrabicaRafed
001796Vols.automARkdown,0.8439,RAW_Masaha
2915.html,0.84384,RAWrabicaRafed
3189.html,0.84367,RAWrabicaRafed
Shamela023612.txt,0.8434,raw_ShamelaY19
3902.html,0.84329,RAWrabicaRafed
1803.html,0.84309,RAWrabicaRafed
1081MuhammadSalihMazandarani.SharhUsulKafi.Shia001174Vols-ara1,0.84297,RELEASE
0745AbuHayyanGharnati.TafsirNahrMadd.Tafsir08090-ara1,0.84287,RELEASE
3174.html,0.84277,RAWrabicaRafed
1439.html,0.84274,RAWrabicaRafed
1332QutbAtfayyish.HamayanZad.ShamIbadiyya0000050-ara1,0.84243,RELEASE
1014MullaCaliQari.MirqatMafatih.JK007044-ara1,0.84226,RELEASE
23612.json,0.8422,RAWrabicaShamAY2
Shamela037458.txt,0.84215,raw_ShamelaY19
Shamela021660.txt,0.84204,raw_ShamelaY19
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000146-ara1,0.84178,RELEASE
6392.json,0.84167,RAWrabicaShamAY1
3175.html,0.84139,RAWrabicaRafed
1031CabdRaufMunawi.FaydQadir.Shia002287Vols-ara1,0.8413,RELEASE
21660.bok.json,0.84124,RAWrabicaSham19Y
1307Qannawji.FathBayan.Shamela0037458-ara1,0.84086,RELEASE
33524.json,0.84081,RAWrabicaShamAY2
1238.json,0.84069,RAWrabicaShamAY1
2934.html,0.84067,RAWrabicaRafed
1031CabdRaufMunawi.FaydQadir.ShamAY0033524-ara1,0.84061,RELEASE
1332QutbAtfayyish.HamayanZad.Tafsir06049-ara1,0.84036,RELEASE
8349.json,0.84025,RAW_ABLibrary
1794.html,0.83995,RAWrabicaRafed
1480.json,0.83993,RAWrabicaShamAY1
21660.json,0.83991,RAWrabicaShamAY2
1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1,0.83985,RELEASE
1535.json,0.83966,RAWrabicaShamAY1
1721.html,0.83963,RAWrabicaRafed
8176.json,0.83947,RAWrabicaShamAY1
1660.html,0.83941,RAWrabicaRafed
Shamela038000.txt,0.83935,raw_ShamelaY19
1125IbnGhanimAzhariNafrawi.FawakihDawani.Shamela0021589-ara1,0.83918,RELEASE
1125IbnGhanimAzhariNafrawi.FawakihDawani.JK000238-ara1,0.83916,RELEASE
8458.json,0.83908,RAW_ABLibrary
3797.html,0.83901,RAWrabicaRafed
38000.bok.json,0.83898,RAWrabicaSham19Y
2905.html,0.8389,RAWrabicaRafed
2907.html,0.83888,RAWrabicaRafed
34064.json,0.8387,RAWrabicaShamAY2
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.83855,RELEASE
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.83853,RELEASE
1323MuhammadCabduh.RisalatTawhid.JK001276-ara1,0.8385,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.83848,RELEASE
34052.json,0.83844,RAWrabicaShamAY2
1069ShihabDinKhafaji.HashiyaCalaTafsirBaydawi.Shamela0001535-ara1,0.8384,RELEASE
1450.html,0.83822,RAWrabicaRafed
2938.html,0.83812,RAWrabicaRafed
1412SayyidTabatabai.TafsirMizan.Tafsir04056-ara1,0.83788,RELEASE
23608.bok.json,0.83784,RAWrabicaSham19Y
0745AbuHayyanGharnati.TafsirBahrMuhit.ShamAY0034064-ara1,0.83781,RELEASE
2932.html,0.83777,RAWrabicaRafed
