unknown,TFIDF_cosine,libVar
34940.json,0.92168,RAWrabicaShamAY3
Shamela038155.txt,0.34487,raw_ShamelaY19
1268.json,0.34431,RAWrabicaShamAY1
0456IbnHazm.AkhlaqWaSiyar.ShamAY0033746-ara1,0.34371,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.34327,RELEASE
1250Shawkani.AdabTalab.Shamela0006854-ara1,0.34208,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.34191,RELEASE
6854.json,0.34079,RAWrabicaShamAY1
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.33935,RELEASE
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.33808,RELEASE
0429AbuMansurThacalibi.Tamthil.Shamela0005683-ara1,0.33727,RELEASE
0255Jahiz.Hayawan.Shamela0023775-ara1,0.33704,RELEASE
33746.json,0.33659,RAWrabicaShamAY2
0597IbnJawzi.SaydKhatir.JK010547-ara1,0.33593,RELEASE
5683.bok.json,0.33573,RAWrabicaSham19Y
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.33535,RELEASE
1031BahaDinCamili.Kashkul.JK009365-ara1,0.33519,RELEASE
002972Vols.automARkdown,0.33516,RAW_Masaha
37720.json,0.3349,RAWrabicaShamAY3
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.33489,RELEASE
5683.json,0.3345,RAWrabicaShamAY1
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.33418,RELEASE
1285IbnMushrifShacir.Diwan.ShamAY0037876-ara1,0.33407,RELEASE
1331IbnAminShinqiti.WasitFiTarajim.Shamela0095696-ara1,0.33375,RELEASE
1031CabdRaufMunawi.FaydQadir.ShamAY0033524-ara1,0.3336,RELEASE
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.JK006677-ara1,0.33347,RELEASE
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.33318,RELEASE
1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1,0.33307,RELEASE
8430.json,0.33304,RAW_ABLibrary
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.33297,RELEASE
