unknown,TFIDF_cosine,libVar
Shia002378,0.93881,RAWrabica040000
3123.html,0.83313,RAWrabicaRafed
2939.html,0.833,RAWrabicaRafed
2679.html,0.83195,RAWrabicaRafed
3927.html,0.83146,RAWrabicaRafed
003694Vols.automARkdown,0.8311,RAW_Masaha
2924.html,0.83056,RAWrabicaRafed
2925.html,0.8294,RAWrabicaRafed
2920.html,0.82924,RAWrabicaRafed
1234.html,0.82902,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.82879,RELEASE
2417.html,0.82773,RAWrabicaRafed
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000146-ara1,0.82746,RELEASE
Sham30K0034001,0.82671,RAWrabica020000
2932.html,0.82605,RAWrabicaRafed
2415.html,0.82508,RAWrabicaRafed
3095.html,0.825,RAWrabicaRafed
Shamela020891.txt,0.82465,raw_ShamelaY19
Sham30K0033977,0.82451,RAWrabica020000
0743SharafDinTibi.FutuhGhayb.Sham19Y0020891-ara1,0.82444,RELEASE
0743SharafDinTibi.FutuhGhayb.Sham19Y0020891-ara1,0.82401,RELEASE
2926.html,0.82342,RAWrabicaRafed
2404.html,0.8229,RAWrabicaRafed
23627.bok.json,0.8227,RAWrabicaSham19Y
2907.html,0.82249,RAWrabicaRafed
38870.json,0.82222,RAWrabicaShamAY3
2912.html,0.82193,RAWrabicaRafed
Shamela021599.txt,0.82055,raw_ShamelaY19
21599.bok.json,0.82055,RAWrabicaSham19Y
23627.json,0.82051,RAWrabicaShamAY2
2909.html,0.82006,RAWrabicaRafed
34070.json,0.82004,RAWrabicaShamAY2
2917.html,0.81953,RAWrabicaRafed
3917.html,0.81939,RAWrabicaRafed
3150.html,0.81936,RAWrabicaRafed
2930.html,0.8193,RAWrabicaRafed
0625IbnCabdHaqqYafurani.Iqtidab.Sham19Y0016494-ara1,0.81909,RELEASE
2929.html,0.81904,RAWrabicaRafed
3914.html,0.81895,RAWrabicaRafed
2936.html,0.81877,RAWrabicaRafed
21599.json,0.81874,RAWrabicaShamAY2
Shamela029882.txt,0.81846,raw_ShamelaY19
1417.json,0.81811,RAWrabicaShamAY1
0625IbnCabdHaqqYafurani.Iqtidab.Sham19Y0016494-ara1,0.81792,RELEASE
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.81767,RELEASE
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.81738,RELEASE
1803.html,0.81714,RAWrabicaRafed
2905.html,0.81687,RAWrabicaRafed
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.81685,RELEASE
0276IbnQutaybaDinawari.TawilMushkilQuran.Shamela0023596-ara1,0.8167,RELEASE
Shamela023596.txt,0.8167,raw_ShamelaY19
2906.html,0.81661,RAWrabicaRafed
Shamela122187.txt,0.81648,raw_ShamelaY19
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.81626,RELEASE
1085FakhrDinTurayhi.MajmacBahrayn.Shia003961Vols-ara1,0.81611,RELEASE
32513.json,0.81579,RAWrabicaShamAY2
1085FakhrDinTurayhi.MajmacBahrayn.Shia003961Vols-ara1,0.81577,RELEASE
3203.html,0.81516,RAWrabicaRafed
0421IbnMuhammadMarzuqi.AzminaWaAmkina.Shamela0011469-ara1,0.81487,RELEASE
1447.html,0.81479,RAWrabicaRafed
2416.html,0.81453,RAWrabicaRafed
0471CabdQahirJurjani.DarjDurar.Sham19Y0122187-ara1,0.8144,RELEASE
2420.html,0.8143,RAWrabicaRafed
3616.html,0.81429,RAWrabicaRafed
3120.html,0.81426,RAWrabicaRafed
11469.json,0.81416,RAWrabicaShamAY2
3146.html,0.81395,RAWrabicaRafed
Shamela150601.txt,0.81372,raw_ShamelaY19
004122.automARkdown,0.81361,RAW_Masaha
591.json,0.81318,RAWrabicaShamAY1
2910.html,0.81298,RAWrabicaRafed
2918.html,0.81285,RAWrabicaRafed
3233.html,0.81272,RAWrabicaRafed
Shamela021613.txt,0.81255,raw_ShamelaY19
003234Vols.automARkdown,0.81246,RAW_Masaha
3124.html,0.81241,RAWrabicaRafed
3934.html,0.81232,RAWrabicaRafed
002554Vols.automARkdown,0.8123,RAW_Masaha
2429.html,0.81228,RAWrabicaRafed
864.html,0.81225,RAWrabicaRafed
1451.html,0.81207,RAWrabicaRafed
1641.json,0.81184,RAWrabicaShamAY1
1450.html,0.81136,RAWrabicaRafed
1252IbnCabidinDimashqi.RaddMuhtar.Shia000990Vols-ara1,0.81126,RELEASE
Shamela036571.txt,0.81086,raw_ShamelaY19
2915.html,0.81079,RAWrabicaRafed
0794BadrDinZarkashi.BurhanFiCulumQuran.Shia002662Vols-ara1,0.81078,RELEASE
23591.bok.json,0.81076,RAWrabicaSham19Y
2919.html,0.81056,RAWrabicaRafed
3200.html,0.81052,RAWrabicaRafed
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.81047,RELEASE
3197.html,0.81043,RAWrabicaRafed
21613.json,0.81027,RAWrabicaShamAY2
0794BadrDinZarkashi.BurhanFiCulumQuran.Shamela0011436-ara1,0.81007,RELEASE
0794BadrDinZarkashi.BurhanFiCulumQuran.JK000162-ara1,0.81002,RELEASE
1221IbnMuhammadBujayrimiMisri.TuhfatHabib.JK009248-ara1,0.81001,RELEASE
