unknown,TFIDF_cosine,libVar
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000176-ara1,0.90363,RELEASE
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.90231,RELEASE
1097CaliIbnSalahIbnCaliTabari.Kafil.Zaydiyya0000407-ara1,0.90121,RELEASE
1182IbnIsmacilSancani.UsulFiqh.Shamela0006315-ara1,0.88272,RELEASE
6315.bok.json,0.88138,RAWrabicaSham19Y
6315.json,0.88135,RAWrabicaShamAY1
1182IbnIsmacilSancani.UsulFiqh.Shamela0006315-ara1,0.88105,RELEASE
1182IbnIsmacilSancani.UsulFiqh.JK000169-ara1,0.88098,RELEASE
1182IbnIsmacilSancani.UsulFiqh.Zaydiyya0000127-ara1,0.88067,RELEASE
3667.html,0.8572,RAWrabicaRafed
Shamela036379.txt,0.85259,raw_ShamelaY19
251.json,0.85256,RAWrabicaShamAY1
1250Shawkani.DarariMudia.Zaydiyya0000266-ara1,0.84947,RELEASE
1250Shawkani.DarariMudia.Zaydiyya0000266-ara1,0.84811,RELEASE
1250Shawkani.IrshadFuhul.JK000152-ara1,0.84535,RELEASE
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.8452,RELEASE
1250Shawkani.IrshadFuhul.ShamAY0034184-ara1,0.84483,RELEASE
1250Shawkani.IrshadFuhul.Shamela0011437-ara1,0.8441,RELEASE
002364.automARkdown,0.84388,RAW_Masaha
34184.json,0.84373,RAWrabicaShamAY2
0620IbnQudamaMaqdisi.RawdatNazir.Shamela0012010-ara1,0.84363,RELEASE
003767.automARkdown,0.84361,RAW_Masaha
0620IbnQudamaMaqdisi.RawdatNazir.Shamela0012010-ara1,0.84261,RELEASE
0940IbnSulaymanIbnKamalBasha.TaghyirTanqih.ShamAY0037541-ara1,0.84146,RELEASE
0940IbnSulaymanIbnKamalBasha.TaghyirTanqih.ShamAY0037541-ara1,0.84036,RELEASE
0620IbnQudamaMaqdisi.RawdatNazir.ShamAY0034197-ara1,0.84018,RELEASE
0620IbnQudamaMaqdisi.RawdatNazir.JK000156-ara1,0.84003,RELEASE
003595.automARkdown,0.83838,RAW_Masaha
37541.json,0.83774,RAWrabicaShamAY3
003472.automARkdown,0.83709,RAW_Masaha
18274.bok.json,0.8369,RAWrabicaSham19Y
004768Vols.automARkdown,0.83672,RAW_Masaha
6309.bok.json,0.83665,RAWrabicaSham19Y
6309.json,0.83665,RAWrabicaShamAY1
8402.json,0.83653,RAW_ABLibrary
0874IbnImamKamiliyya.TaysirWusul.Sham19Y0018274-ara1,0.83639,RELEASE
1235IbnIbrahimShinqiti.NashrBunud.Sham19Y0020892-ara1,0.83624,RELEASE
