unknown,TFIDF_cosine,libVar
901.json,0.99851,RAW_ABLibrary
7649.automARkdown,0.96961,RAW_Ghbook
Shia004515,0.95011,RAWrabica045000
8823.json,0.78948,RAW_ABLibrary
8851.json,0.78563,RAW_ABLibrary
8349.json,0.74143,RAW_ABLibrary
1238.json,0.73472,RAWrabicaShamAY1
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.73393,RELEASE
8913.json,0.73377,RAW_ABLibrary
8836.json,0.73336,RAW_ABLibrary
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.73169,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.73167,RELEASE
591.json,0.72993,RAWrabicaShamAY1
Shamela036571.txt,0.72901,raw_ShamelaY19
3902.html,0.72898,RAWrabicaRafed
2679.html,0.72861,RAWrabicaRafed
8430.json,0.72776,RAW_ABLibrary
8513.json,0.72589,RAW_ABLibrary
3150.html,0.72563,RAWrabicaRafed
3437.html,0.72432,RAWrabicaRafed
Shamela023631.txt,0.724,raw_ShamelaY19
7431.json,0.7234,RAW_ABLibrary
8760.json,0.72336,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.72221,RELEASE
3178.html,0.72194,RAWrabicaRafed
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.72163,RELEASE
3537.html,0.72139,RAWrabicaRafed
8789.json,0.72134,RAW_ABLibrary
8837.json,0.72106,RAW_ABLibrary
12034.bok.json,0.72079,RAWrabicaSham19Y
8845.json,0.72067,RAW_ABLibrary
8842.json,0.72056,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.72034,RELEASE
1406.html,0.71996,RAWrabicaRafed
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.71905,RELEASE
12034.json,0.71874,RAWrabicaShamAY2
8597.json,0.71868,RAW_ABLibrary
Shamela020643.txt,0.71865,raw_ShamelaY19
8481.json,0.71821,RAW_ABLibrary
3493.html,0.71819,RAWrabicaRafed
10541.json,0.71785,RAWrabicaShamAY1
2654.html,0.71781,RAWrabicaRafed
8818.json,0.71764,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.7176,RELEASE
8753.json,0.71757,RAW_ABLibrary
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.71756,RELEASE
3616.html,0.71752,RAWrabicaRafed
Shamela021688.txt,0.71736,raw_ShamelaY19
1299MuhammadCulayshMaliki.FathCali.Shamela0021688-ara1,0.71721,RELEASE
8911.json,0.71693,RAW_ABLibrary
3451.html,0.71692,RAWrabicaRafed
Shamela133368.txt,0.71688,raw_ShamelaY19
Shamela123663.txt,0.71662,raw_ShamelaY19
3960.html,0.71659,RAWrabicaRafed
8910.json,0.71638,RAW_ABLibrary
993.json,0.71636,RAW_ABLibrary
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.7162,RELEASE
8681.json,0.71619,RAW_ABLibrary
23631.json,0.71618,RAWrabicaShamAY2
8458.json,0.71595,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.71588,RELEASE
31741.json,0.71584,RAWrabicaShamAY2
