unknown,TFIDF_cosine,libVar
1118IbnMuhammadNuriSafaqsi.TanbihGhafilin.Shamela0010929-ara1,0.98721,RELEASE
10929.json,0.98654,RAWrabicaShamAY2
0833IbnJazari.TamhidFiCulumTajwid.Shamela0008194-ara1,0.80091,RELEASE
8194.json,0.80075,RAWrabicaShamAY1
8194.bok.json,0.80049,RAWrabicaSham19Y
0833IbnJazari.TamhidFiCulumTajwid.Shamela0008194-ara1,0.79991,RELEASE
Sham30K0008194,0.79712,RAWrabica010000
Shamela038104.txt,0.76992,raw_ShamelaY19
36536.json,0.76992,RAWrabicaShamAY3
1185.json,0.76364,RAWrabicaShamAY1
38104.bok.json,0.76204,RAWrabicaSham19Y
0665AbuShama.IbrazMacani.ShamAY0034102-ara1,0.75632,RELEASE
Shamela037615.txt,0.75507,raw_ShamelaY19
1168.json,0.75455,RAWrabicaShamAY1
Shamela037680.txt,0.74953,raw_ShamelaY19
2089.html,0.74767,RAWrabicaRafed
875.html,0.74499,RAWrabicaRafed
32214.json,0.74432,RAWrabicaShamAY2
7037.json,0.74303,RAWrabicaShamAY1
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.74291,RELEASE
2679.html,0.74196,RAWrabicaRafed
7037.bok.json,0.74185,RAWrabicaSham19Y
1094IbnMusaKaffawi.Kulliyat.JK007081-ara1,0.74115,RELEASE
1094IbnMusaKaffawi.Kulliyat.Shamela0007037-ara1,0.7411,RELEASE
Sham30K0014388,0.74029,RAWrabica015000
2415.html,0.73926,RAWrabicaRafed
Shamela023591.txt,0.73758,raw_ShamelaY19
0745AbuHayyanGharnati.TafsirBahrMuhit.Shamela0023591-ara1,0.7366,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.Shia002649Vols-ara1,0.73603,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.Shamela0023591-ara1,0.73584,RELEASE
0665AbuShama.IbrazMacani.Shamela0005486-ara1,0.73582,RELEASE
0665AbuShama.IbrazMacani.Shamela0005486-ara1,0.73466,RELEASE
0665AbuShama.IbrazMacani.JK001292-ara1,0.73423,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.Tafsir02019-ara1,0.734,RELEASE
1409IbnSayyidCajamiMisri.HidayatQari.Shamela0022869-ara1,0.73376,RELEASE
9986.json,0.73369,RAWrabicaShamAY1
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.73304,RELEASE
0745AbuHayyanGharnati.TafsirBahrMuhit.JK007053-ara1,0.7328,RELEASE
9986.bok.json,0.73277,RAWrabicaSham19Y
1417.json,0.73266,RAWrabicaShamAY1
23591.bok.json,0.73251,RAWrabicaSham19Y
34102.json,0.73222,RAWrabicaShamAY2
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.73195,RELEASE
0911Suyuti.MuctarakAqran.Shamela0001417-ara1,0.73106,RELEASE
22869.json,0.73093,RAWrabicaShamAY2
1409IbnSayyidCajamiMisri.HidayatQari.Shamela0022869-ara1,0.73086,RELEASE
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.Tafsir07054-ara1,0.73014,RELEASE
0392IbnJinniMawsili.SirrSinacatIcrab.Shamela0012017-ara1,0.72996,RELEASE
23591.json,0.72986,RAWrabicaShamAY2
Shamela022869.txt,0.72942,raw_ShamelaY19
0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,0.72862,RELEASE
Shamela035101.txt,0.72853,raw_ShamelaY19
3178.html,0.7283,RAWrabicaRafed
Shamela023631.txt,0.7266,raw_ShamelaY19
36838.json,0.72593,RAWrabicaShamAY3
0745AbuHayyanGharnati.TafsirBahrMuhit.ShamAY0034064-ara1,0.72544,RELEASE
0827BadrDinDamaminiMakhzumi.TacliqFaraid.Sham19Y0020985-ara1,0.72538,RELEASE
Shamela145410.txt,0.72483,raw_ShamelaY19
3150.html,0.7247,RAWrabicaRafed
Shamela020985.txt,0.72463,raw_ShamelaY19
34064.json,0.72439,RAWrabicaShamAY2
8430.json,0.72438,RAW_ABLibrary
0705AbuMuhammadMalaqi.DurrNathir.Sham19Y0016999-ara1,0.72426,RELEASE
1354RashidRida.Manar.Tafsir02103-ara1,0.72413,RELEASE
003068Vols.automARkdown,0.72369,RAW_Masaha
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.72365,RELEASE
Shamela123663.txt,0.72364,raw_ShamelaY19
Shamela029882.txt,0.72362,raw_ShamelaY19
Shamela021660.txt,0.72342,raw_ShamelaY19
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.723,RELEASE
0705AbuMuhammadMalaqi.DurrNathir.Sham19Y0016999-ara1,0.72296,RELEASE
0827BadrDinDamaminiMakhzumi.TacliqFaraid.Sham19Y0020985-ara1,0.72292,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.72279,RELEASE
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.72272,RELEASE
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.72245,RELEASE
Shamela021769.txt,0.72231,raw_ShamelaY19
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.72225,RELEASE
34702.json,0.7222,RAWrabicaShamAY3
1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1,0.72182,RELEASE
1952.html,0.7216,RAWrabicaRafed
1031CabdRaufMunawi.FaydQadir.Shia002287Vols-ara1,0.72153,RELEASE
21660.bok.json,0.72129,RAWrabicaSham19Y
0911Suyuti.NawahidAbkar.Shamela0029882-ara1,0.72126,RELEASE
3902.html,0.72116,RAWrabicaRafed
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.72107,RELEASE
1031CabdRaufMunawi.FaydQadir.ShamAY0033524-ara1,0.72102,RELEASE
3095.html,0.72088,RAWrabicaRafed
0751IbnQayyimJawziyya.BadaicFawaid.Sham19Y0145410-ara1,0.72077,RELEASE
12304.json,0.72068,RAWrabicaShamAY2
Shamela020643.txt,0.7206,raw_ShamelaY19
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.72037,RELEASE
1031CabdRaufMunawi.FaydQadir.Shamela0021660-ara1,0.72035,RELEASE
2087.html,0.72022,RAWrabicaRafed
3233.html,0.72014,RAWrabicaRafed
2905.html,0.72014,RAWrabicaRafed
0911Suyuti.ItmamDiraya.JK001046-ara1,0.72012,RELEASE
38966.json,0.71987,RAWrabicaShamAY3
1238.json,0.71983,RAWrabicaShamAY1
Shamela022835.txt,0.71977,raw_ShamelaY19
1068.json,0.71971,RAWrabicaShamAY1
33524.json,0.71913,RAWrabicaShamAY2
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.71885,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.71882,RELEASE
8402.json,0.71881,RAW_ABLibrary
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.71866,RELEASE
21660.json,0.71839,RAWrabicaShamAY2
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.71828,RELEASE
6309.json,0.71827,RAWrabicaShamAY1
Shamela147312.txt,0.71823,raw_ShamelaY19
0911Suyuti.ItmamDiraya.JK001046-ara1,0.71821,RELEASE
0972IbnAhmadIbnNajjarHanbali.SharhKawkabMunir.Shamela0012019-ara1,0.7182,RELEASE
0911Suyuti.ItmamDiraya.Shamela0010733-ara1,0.71798,RELEASE
0900IbnMuhammadNurDinAshmuni.SharhCalaAlfiyyatMalik.Shamela0011742-ara1,0.71798,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.71774,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.71767,RELEASE
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.71766,RELEASE
6309.bok.json,0.71737,RAWrabicaSham19Y
Shamela020986.txt,0.71734,raw_ShamelaY19
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.7173,RELEASE
0643MuntajibHamadhani.FaridFiIcrab.Sham19Y0147312-ara1,0.71727,RELEASE
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.71715,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.71699,RELEASE
10541.json,0.71686,RAWrabicaShamAY1
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.71685,RELEASE
Shamela023794.txt,0.71684,raw_ShamelaY19
34055.json,0.71661,RAWrabicaShamAY2
10733.json,0.71656,RAWrabicaShamAY2
0972IbnAhmadIbnNajjarHanbali.SharhKawkabMunir.Shamela0012019-ara1,0.71654,RELEASE
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.71654,RELEASE
8506.json,0.71653,RAWrabicaShamAY1
0900IbnMuhammadNurDinAshmuni.SharhCalaAlfiyyatMalik.Shamela0011742-ara1,0.71642,RELEASE
0643MuntajibHamadhani.FaridFiIcrab.Sham19Y0147312-ara1,0.7164,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.Shamela0006309-ara1,0.71632,RELEASE
3616.html,0.71611,RAWrabicaRafed
23627.bok.json,0.71601,RAWrabicaSham19Y
1332QutbAtfayyish.HamayanZad.Tafsir06049-ara1,0.71599,RELEASE
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.JK000268-ara1,0.71595,RELEASE
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.71585,RELEASE
31741.json,0.71582,RAWrabicaShamAY2
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad.ShamAY0034195-ara1,0.71573,RELEASE
0857MuhibbDinNuwayri.SharhTayyibatNashr.Shamela0038740-ara1,0.71552,RELEASE
1332QutbAtfayyish.HamayanZad.ShamIbadiyya0000050-ara1,0.71529,RELEASE
1270ShihabDinAlusi.RuhMacani.Tafsir07052-ara1,0.71525,RELEASE
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.71513,RELEASE
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.71509,RELEASE
34195.json,0.71506,RAWrabicaShamAY3
002554Vols.automARkdown,0.71501,RAW_Masaha
22835.json,0.71488,RAWrabicaShamAY2
0637IbnAthirDiyaDin.MathalSair.Shamela0023794-ara2,0.71479,RELEASE
0794BadrDinZarkashi.BurhanFiCulumQuran.Shia002662Vols-ara1,0.71464,RELEASE
1332QutbAtfayyish.HamayanZad.Tafsir06049-ara1,0.71434,RELEASE
2417.html,0.71417,RAWrabicaRafed
0794BadrDinZarkashi.BurhanFiCulumQuran.Shia002662Vols-ara1,0.71412,RELEASE
0794BadrDinZarkashi.BurhanFiCulumQuran.Shamela0011436-ara1,0.71409,RELEASE
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.71396,RELEASE
0857MuhibbDinNuwayri.SharhTayyibatNashr.Shamela0038740-ara1,0.71389,RELEASE
Shamela037458.txt,0.71388,raw_ShamelaY19
1641.json,0.71382,RAWrabicaShamAY1
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.71375,RELEASE
591.json,0.71351,RAWrabicaShamAY1
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.71346,RELEASE
0794BadrDinZarkashi.BurhanFiCulumQuran.JK000162-ara1,0.71345,RELEASE
003234Vols.automARkdown,0.71314,RAW_Masaha
0392IbnJinniMawsili.MuhtasabFiTabyin.Shamela0008660-ara1,0.71309,RELEASE
5486.json,0.71306,RAWrabicaShamAY1
Shamela036571.txt,0.71306,raw_ShamelaY19
122232.bok.json,0.71289,RAWrabicaSham19Y
8349.json,0.71284,RAW_ABLibrary
11436.json,0.71284,RAWrabicaShamAY2
23627.json,0.7128,RAWrabicaShamAY2
0637IbnAthirDiyaDin.MathalSair.JK000980-ara2,0.71273,RELEASE
Shia002649Vols,0.71268,RAWrabica040000
34070.json,0.7126,RAWrabicaShamAY2
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.71257,RELEASE
Shamela037475.txt,0.71241,raw_ShamelaY19
23794.json,0.71231,RAWrabicaShamAY2
1406.html,0.71221,RAWrabicaRafed
38891.json,0.7122,RAWrabicaShamAY3
2416.html,0.71217,RAWrabicaRafed
23631.json,0.71198,RAWrabicaShamAY2
9776.json,0.71192,RAWrabicaShamAY1
1302.html,0.71191,RAWrabicaRafed
Shamela037350.txt,0.7119,raw_ShamelaY19
1014MullaCaliQari.MirqatMafatih.JK007044-ara1,0.71175,RELEASE
1429.json,0.71175,RAWrabicaShamAY1
8403.json,0.71173,RAW_ABLibrary
1393MuhammadTahirIbnCashurTunisi.TahrirWaTanwir.JK009362-ara1,0.71171,RELEASE
Shamela095577.txt,0.7116,raw_ShamelaY19
10551.json,0.71154,RAWrabicaShamAY1
Shamela036111.txt,0.71147,raw_ShamelaY19
178.html,0.71128,RAWrabicaRafed
9334.json,0.71121,RAW_ABLibrary
