unknown,TFIDF_cosine,libVar
5446.json,0.99995,RAWrabicaShamAY1
0837IbnHijjaHamawi.KhizanatAdab.JK001305-ara1,0.87159,RELEASE
0837IbnHijjaHamawi.KhizanatAdab.Shamela0008675-ara1,0.86788,RELEASE
0837IbnHijjaHamawi.KhizanatAdab.Shamela0008675-ara1,0.86646,RELEASE
8675.json,0.86276,RAWrabicaShamAY1
0764Safadi.NusratThair.Shamela0000514-ara1,0.83354,RELEASE
0514.bok.json,0.83219,RAWrabicaSham19Y
0764Safadi.NusratThair.Shamela0000514-ara1,0.83219,RELEASE
0764Safadi.NusratThair.JK010514-ara1,0.83218,RELEASE
514.json,0.83092,RAWrabicaShamAY1
1031BahaDinCamili.Kashkul.JK009365-ara1,0.80619,RELEASE
1031BahaDinCamili.Kashkul.JK009365-ara1,0.80321,RELEASE
1031BahaDinCamili.Kashkul.Shamela0001571-ara1,0.80267,RELEASE
0395AbuHilalCaskari.Sinacatayn.Shamela0023787-ara1,0.80183,RELEASE
1571.json,0.80164,RAWrabicaShamAY1
0637IbnAthirDiyaDin.MathalSair.Shamela0023794-ara2,0.80144,RELEASE
10551.json,0.8013,RAWrabicaShamAY1
Shamela023794.txt,0.80043,raw_ShamelaY19
Shamela023787.txt,0.79923,raw_ShamelaY19
2679.html,0.79878,RAWrabicaRafed
32338.json,0.79861,RAWrabicaShamAY2
23794.json,0.79814,RAWrabicaShamAY2
23787.json,0.79728,RAWrabicaShamAY2
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.79726,RELEASE
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.79679,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.79668,RELEASE
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.79667,RELEASE
Sham30K0033834,0.79632,RAWrabica020000
Shamela037345.txt,0.79563,raw_ShamelaY19
11239.json,0.79533,RAWrabicaShamAY2
622.json,0.79533,RAWrabicaShamAY1
0542IbnMunjibTajRiyasaIbnSayrafi.Afdaliyyat.Shamela0005432-ara1,0.79397,RELEASE
0637IbnAthirDiyaDin.MathalSair.JK000980-ara2,0.79372,RELEASE
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.79353,RELEASE
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.79338,RELEASE
365.html,0.79279,RAWrabicaRafed
5432.bok.json,0.79185,RAWrabicaSham19Y
7402.json,0.79145,RAW_ABLibrary
2267.html,0.79109,RAWrabicaRafed
361.html,0.79107,RAWrabicaRafed
7401.json,0.79075,RAW_ABLibrary
1304HaydarIbnSulaymanHilli.CiqdMufassal.Shamela0005448-ara1,0.79062,RELEASE
1304HaydarIbnSulaymanHilli.CiqdMufassal.Shamela0005448-ara1,0.79047,RELEASE
5432.json,0.79028,RAWrabicaShamAY1
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.79025,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.78995,RELEASE
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.78978,RELEASE
2077.html,0.78943,RAWrabicaRafed
0429AbuMansurThacalibi.KhassKhass.Shamela0007830-ara1,0.78934,RELEASE
8430.json,0.789,RAW_ABLibrary
0685IbnSacidMaghribi.Muqtataf.Shamela0009100-ara1,0.78867,RELEASE
9080.json,0.78866,RAW_ABLibrary
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.7881,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.JK010792-ara1,0.78808,RELEASE
0685IbnSacidMaghribi.Muqtataf.Shamela0009100-ara1,0.78801,RELEASE
7830.json,0.78782,RAWrabicaShamAY1
1111MuhammadAminMuhibbi.NafahatRayhana.JK009296-ara1,0.78746,RELEASE
1522.json,0.78637,RAWrabicaShamAY1
5448.json,0.78597,RAWrabicaShamAY1
0776LisanDinIbnKhatib.KatibaKamina.Shamela0001027-ara1,0.78551,RELEASE
1111MuhammadAminMuhibbi.NafahatRayhana.Shamela0000579-ara1,0.78525,RELEASE
12856.json,0.78519,RAWrabicaShamAY2
