unknown,TFIDF_cosine,libVar
21589.json,0.94742,RAWrabicaShamAY2
Shamela021589.txt,0.94724,raw_ShamelaY19
Sham30K0033988,0.94712,RAWrabica020000
1125IbnGhanimAzhariNafrawi.FawakihDawani.Shamela0021589-ara1,0.93833,RELEASE
1228IbnSulaymanHalabiRihawi.NukhbatLaali.Shia004047-ara1,0.89149,RELEASE
3178.html,0.88025,RAWrabicaRafed
8458.json,0.87956,RAW_ABLibrary
3179.html,0.87929,RAWrabicaRafed
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.87715,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.87707,RELEASE
Shamela022835.txt,0.87653,raw_ShamelaY19
3200.html,0.87618,RAWrabicaRafed
3192.html,0.8752,RAWrabicaRafed
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.87456,RELEASE
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.87353,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.87299,RELEASE
34055.json,0.87258,RAWrabicaShamAY2
8353.json,0.87185,RAWrabicaShamAY1
3190.html,0.87147,RAWrabicaRafed
8349.json,0.87143,RAW_ABLibrary
8353.bok.json,0.87123,RAWrabicaSham19Y
8597.json,0.87092,RAW_ABLibrary
3493.html,0.87033,RAWrabicaRafed
3960.html,0.8703,RAWrabicaRafed
1188ShamsDinSaffarini.LawamicAnwar.Shamela0008353-ara1,0.87018,RELEASE
3197.html,0.86911,RAWrabicaRafed
3496.html,0.86888,RAWrabicaRafed
22835.json,0.86858,RAWrabicaShamAY2
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.86837,RELEASE
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000384-ara1,0.86828,RELEASE
Sham30K0008353,0.86816,RAWrabica010000
1332NurDinSalimi.BahjatAnwar.ShamIbadiyya0000146-ara1,0.86784,RELEASE
591.json,0.86745,RAWrabicaShamAY1
Shamela020643.txt,0.86738,raw_ShamelaY19
8176.json,0.86684,RAWrabicaShamAY1
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.86678,RELEASE
1480.json,0.86662,RAWrabicaShamAY1
0792SadrDinIbnAbiCizzAdhraci.SharhCaqidaTahawiyya.Shamela0010777-ara1,0.86625,RELEASE
1793.html,0.86624,RAWrabicaRafed
1156IbnMuhammadAbuSacidKhadimi.BariqaMahmudiyya.JK011730-ara1,0.86596,RELEASE
Shamela038000.txt,0.86592,raw_ShamelaY19
1794.html,0.86576,RAWrabicaRafed
3914.html,0.86549,RAWrabicaRafed
Shamela036571.txt,0.86542,raw_ShamelaY19
1713.html,0.86538,RAWrabicaRafed
1083NasirIbrahimMuayyadi.IsbahCalaMisbah.Zaydiyya0000130-ara1,0.86529,RELEASE
38000.bok.json,0.86527,RAWrabicaSham19Y
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.86526,RELEASE
1014MullaCaliQari.MirqatMafatih.Shamela0008176-ara1,0.86514,RELEASE
