unknown,TFIDF_cosine,libVar
1143CabdGhaniNabulusi.Diwan.JK007641-ara1,0.99928,RELEASE
37955.json,0.99913,RAWrabicaShamAY3
8856.json,0.89375,RAW_ABLibrary
0638IbnCarabi.Diwan.JK007629-ara1,0.80306,RELEASE
0638IbnCarabi.Diwan.JK007629-ara1,0.79924,RELEASE
1079HabalShacir.Diwan.JK007637-ara1,0.77053,RELEASE
1079HabalShacir.Diwan.ShamAY0037831-ara1,0.77047,RELEASE
37831.json,0.76993,RAWrabicaShamAY3
8737.json,0.76941,RAW_ABLibrary
1031BahaDinCamili.Kashkul.JK009365-ara1,0.74651,RELEASE
37946.json,0.74584,RAWrabicaShamAY3
0776LisanDinIbnKhatib.Diwan.ShamAY0037834-ara1,0.74317,RELEASE
0768IbnNubataShacir.Diwan.JK007636-ara1,0.74293,RELEASE
1571.json,0.7414,RAWrabicaShamAY1
1031BahaDinCamili.Kashkul.JK009365-ara1,0.74115,RELEASE
1031BahaDinCamili.Kashkul.Shamela0001571-ara1,0.74095,RELEASE
0776LisanDinIbnKhatib.Diwan.ShamAY0037834-ara1,0.73744,RELEASE
0597CimadDinKatibIsfahani.Diwan.ShamAY0037901-ara1,0.73683,RELEASE
0776LisanDinIbnKhatib.Diwan.JK007577-ara1,0.73682,RELEASE
1119IbnMacsum.Diwan.ShamAY0037878-ara1,0.73606,RELEASE
0768IbnNubataShacir.Diwan.JK007636-ara1,0.73604,RELEASE
0750SafiDinHilli.Diwan.ShamAY0037951-ara1,0.73587,RELEASE
37834.json,0.7358,RAWrabicaShamAY3
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.73543,RELEASE
1268.json,0.73537,RAWrabicaShamAY1
35857.json,0.73448,RAWrabicaShamAY3
8818.json,0.73431,RAW_ABLibrary
37880.json,0.73418,RAWrabicaShamAY3
8753.json,0.73409,RAW_ABLibrary
Shamela038155.txt,0.73368,raw_ShamelaY19
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.73256,RELEASE
0656BahaDinZuhayr.Diwan.ShamAY0037942-ara1,0.73125,RELEASE
37872.json,0.73027,RAWrabicaShamAY3
1119IbnMacsum.Diwan.ShamAY0037878-ara1,0.73025,RELEASE
1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1,0.73023,RELEASE
1119IbnMacsum.Diwan.JK007635-ara1,0.7302,RELEASE
37923.json,0.73014,RAWrabicaShamAY3
0527IbnHamdis.Diwan.JK007576-ara1,0.72989,RELEASE
0750SafiDinHilli.Diwan.ShamAY0037951-ara1,0.72984,RELEASE
0597CimadDinKatibIsfahani.Diwan.JK007625-ara1,0.72973,RELEASE
0597CimadDinKatibIsfahani.Diwan.ShamAY0037901-ara1,0.72972,RELEASE
0750SafiDinHilli.Diwan.JK007639-ara1,0.72969,RELEASE
8430.json,0.72941,RAW_ABLibrary
37878.json,0.72919,RAWrabicaShamAY3
8760.json,0.72882,RAW_ABLibrary
37901.json,0.72872,RAWrabicaShamAY3
37951.json,0.72812,RAWrabicaShamAY3
0656BahaDinZuhayr.Diwan.ShamAY0037942-ara1,0.72742,RELEASE
1290CabdGhaffarAkhras.Diwan.JK007640-ara1,0.72684,RELEASE
1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1,0.72679,RELEASE
1285IbnMushrifShacir.Diwan.ShamAY0037876-ara1,0.72648,RELEASE
1111MuhammadAminMuhibbi.NafahatRayhana.JK009296-ara1,0.72583,RELEASE
37942.json,0.72528,RAWrabicaShamAY3
0638IbnCarabi.FususHikam.Kraken21042913-ara1,0.72497,RELEASE
37857.json,0.72432,RAWrabicaShamAY3
0638IbnCarabi.FususHikam.Kraken21042913-ara1,0.72327,RELEASE
37952.json,0.72263,RAWrabicaShamAY3
1290CabdGhaffarAkhras.Diwan.ShamAY0037954-ara1,0.72161,RELEASE
1285IbnMushrifShacir.Diwan.ShamAY0037876-ara1,0.72139,RELEASE
1111MuhammadAminMuhibbi.NafahatRayhana.Shamela0000579-ara1,0.72138,RELEASE
579.json,0.72137,RAWrabicaShamAY1
1290CabdGhaffarAkhras.Diwan.JK007640-ara1,0.72134,RELEASE
1285IbnMushrifShacir.Diwan.JK007633-ara1,0.72131,RELEASE
1111MuhammadAminMuhibbi.NafahatRayhana.JK009296-ara1,0.72126,RELEASE
0776LisanDinIbnKhatib.KatibaKamina.Shamela0001027-ara1,0.72029,RELEASE
8784.json,0.71984,RAW_ABLibrary
37876.json,0.71963,RAWrabicaShamAY3
37954.json,0.71908,RAWrabicaShamAY3
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.71893,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.71873,RELEASE
8740.json,0.71823,RAW_ABLibrary
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.71662,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.71638,RELEASE
622.json,0.71636,RAWrabicaShamAY1
Shamela037345.txt,0.71549,raw_ShamelaY19
0776LisanDinIbnKhatib.KatibaKamina.Shamela0001027-ara1,0.71545,RELEASE
8861.json,0.71535,RAW_ABLibrary
1522.json,0.71493,RAWrabicaShamAY1
1069ShihabDinKhafaji.RayhanatAlibba.JK010792-ara1,0.71493,RELEASE
1069ShihabDinKhafaji.RayhanatAlibba.Shamela0001522-ara1,0.71487,RELEASE
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.71474,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.71468,RELEASE
34503.json,0.71452,RAWrabicaShamAY3
8810.json,0.71395,RAW_ABLibrary
6392.json,0.71328,RAWrabicaShamAY1
1323MuhammadCabduh.RisalatTawhid.ShamAY0033867-ara1,0.7131,RELEASE
1119IbnMacsum.SulafaCasr.JK010298-ara1,0.71274,RELEASE
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.71265,RELEASE
1323MuhammadCabduh.RisalatTawhid.JK001276-ara1,0.71264,RELEASE
8910.json,0.71224,RAW_ABLibrary
1300MullaHadiSabzawari.SharhAsmaHusna.Shia002397Vols-ara1,0.71212,RELEASE
0696SharafDinBusiri.Diwan.JK007603-ara1,0.7115,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.71096,RELEASE
0173SayyidHimyari.Diwan.ShamAY0037888-ara1,0.71078,RELEASE
0688ShabZarif.Diwan.JK007607-ara1,0.71038,RELEASE
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.70988,RELEASE
37852.json,0.70978,RAWrabicaShamAY3
33867.json,0.70976,RAWrabicaShamAY2
1119IbnMacsum.SulafaCasr.ShamAY0034642-ara1,0.70967,RELEASE
8809.json,0.70944,RAW_ABLibrary
10518.json,0.70931,RAWrabicaShamAY1
1300MullaHadiSabzawari.SharhAsmaHusna.Shia002397Vols-ara1,0.70919,RELEASE
1356MustafaSadiqRafici.WahyQalam.Shamela0011755-ara1,0.709,RELEASE
8835.json,0.70899,RAW_ABLibrary
0803BarciYamaniShacir.Diwan.JK007602-ara1,0.70897,RELEASE
7402.json,0.70877,RAW_ABLibrary
1364MacrufRusafi.Diwan.JK007642-ara1,0.70853,RELEASE
