unknown,TFIDF_cosine,libVar
1182IbnIsmacilSancani.IftiraqUmma.Shamela0006456-ara1,0.99471,RELEASE
6456.json,0.99338,RAWrabicaShamAY1
1182IbnIsmacilSancani.IftiraqUmma.Shia002297-ara1,0.98919,RELEASE
Shia002297,0.7221,RAWrabica040000
33073.json,0.6806,RAWrabicaShamAY2
8356.json,0.63859,RAW_ABLibrary
000658Vols.automARkdown,0.63595,RAW_Masaha
Shamela032150.txt,0.63356,raw_ShamelaY19
40.html,0.63187,RAWrabicaRafed
0728IbnTaymiyya.IqtidaSirat.Shamela0011620-ara1,0.62942,RELEASE
8656.json,0.62879,RAWrabicaShamAY1
Shamela018569.txt,0.62798,raw_ShamelaY19
1922.json,0.62779,RAWrabicaShamAY1
86.json,0.62714,RAWrabicaShamAY1
Shamela133359.txt,0.62703,raw_ShamelaY19
441.json,0.62703,RAWrabicaShamAY1
6746.automARkdown,0.62701,RAW_Ghbook
Shamela021720.txt,0.62697,raw_ShamelaY19
0661Turibishti.Muyassar.Sham19Y0018569-ara1,0.62644,RELEASE
0728IbnTaymiyya.IqtidaSirat.ShamAY0034358-ara1,0.62635,RELEASE
0728IbnTaymiyya.IqtidaSirat.JK000367-ara1,0.62616,RELEASE
Shamela034886.txt,0.62571,raw_ShamelaY19
1513.json,0.62565,RAWrabicaShamAY1
7597.json,0.62553,RAWrabicaShamAY1
0790IbnMusaGharnatiShatibi.Ictisam.JK000967-ara1,0.62552,RELEASE
0974IbnHajarHaytami.FatawaHadithiyya.Shamela0001922-ara1,0.62545,RELEASE
32667.json,0.62481,RAWrabicaShamAY2
36068.json,0.62473,RAWrabicaShamAY3
21720.bok.json,0.6242,RAWrabicaSham19Y
7452.json,0.62412,RAWrabicaShamAY1
9993.json,0.6238,RAWrabicaShamAY1
35721.json,0.62333,RAWrabicaShamAY3
Sham30K0002597,0.62323,RAWrabica005000
0790IbnMusaGharnatiShatibi.Ictisam.Shamela0021720-ara1,0.62318,RELEASE
7597.bok.json,0.62313,RAWrabicaSham19Y
3388.html,0.62306,RAWrabicaRafed
35976.json,0.62293,RAWrabicaShamAY3
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.62291,RELEASE
0974IbnHajarHaytami.FatawaHadithiyya.JK009273-ara1,0.62258,RELEASE
0974IbnHajarHaytami.FatawaHadithiyya.ShamAY0034350-ara2,0.62239,RELEASE
1332IbnMuhammadJamalDinQasimi.QawacidTahdith.Shamela0009993-ara1,0.622,RELEASE
3902.html,0.62186,RAWrabicaRafed
23659.json,0.62154,RAWrabicaShamAY2
8613.json,0.62121,RAWrabicaShamAY1
3912.html,0.62089,RAWrabicaRafed
3897.html,0.62,RAWrabicaRafed
3190.html,0.61971,RAWrabicaRafed
1225IbnGhannamMalikiNajdi.CiqdThamin.Shamela0008514-ara1,0.61947,RELEASE
11325.json,0.61925,RAWrabicaShamAY2
34350.json,0.61912,RAWrabicaShamAY3
35699.json,0.61907,RAWrabicaShamAY3
1182IbnIsmacilSancani.Tahbir.Sham19Y0014309-ara1,0.61898,RELEASE
Sham30K0033813,0.61897,RAWrabica020000
Shamela132524.txt,0.61893,raw_ShamelaY19
001844Vols.automARkdown,0.61881,RAW_Masaha
0737IbnMuhammadIbnHajjFasi.Madkhal.JK007084-ara1,0.61879,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.61872,RELEASE
9995.json,0.61866,RAWrabicaShamAY1
1664.html,0.61801,RAWrabicaRafed
Sham30K0034018,0.61783,RAWrabica020000
Shamela023659.txt,0.61763,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0018124-ara1,0.6176,RELEASE
35719.json,0.61734,RAWrabicaShamAY3
34247.json,0.61685,RAWrabicaShamAY3
6886.json,0.61674,RAWrabicaShamAY1
37791.json,0.61661,RAWrabicaShamAY3
Shamela096616.txt,0.61638,raw_ShamelaY19
3907.html,0.61633,RAWrabicaRafed
3574.html,0.61621,RAWrabicaRafed
1213.html,0.61617,RAWrabicaRafed
9336.json,0.61612,RAWrabicaShamAY1
0656AbuCabbasAnsariQurtubi.Mufhim.Sham19Y0132524-ara1,0.61609,RELEASE
33171.json,0.61608,RAWrabicaShamAY2
Shamela023657.txt,0.61604,raw_ShamelaY19
3960.html,0.6156,RAWrabicaRafed
1390MahmudAbuRayya.AdwaCalaSunna.Zaydiyya0000153-ara1,0.61555,RELEASE
38844.json,0.61554,RAWrabicaShamAY3
8913.json,0.61519,RAW_ABLibrary
9859.json,0.61501,RAWrabicaShamAY1
Shamela122257.txt,0.61492,raw_ShamelaY19
0728IbnTaymiyya.Imama.ShamAY0035288-ara1,0.61489,RELEASE
1702.bok.json,0.61479,RAWrabicaSham19Y
167.html,0.61464,RAWrabicaRafed
Shamela133368.txt,0.6145,raw_ShamelaY19
002859.automARkdown,0.61448,RAW_Masaha
4268.json,0.61441,RAWrabicaShamAY1
000670.automARkdown,0.61437,RAW_Masaha
6886.bok.json,0.61436,RAWrabicaSham19Y
23657.bok.json,0.61433,RAWrabicaSham19Y
556.json,0.61426,RAWrabicaShamAY1
1250Shawkani.WilayatAllah.Shamela0006886-ara1,0.61415,RELEASE
1702.json,0.61411,RAWrabicaShamAY1
35288.json,0.61397,RAWrabicaShamAY3
0852IbnHajarCasqalani.IsabaFiTamyiz.Shamela0009767-ara4,0.61389,RELEASE
Shamela036155.txt,0.61387,raw_ShamelaY19
23631.json,0.61384,RAWrabicaShamAY2
1450CabdKarimKhudayr.SharhArbacinaNawawi.JK010183-ara1,0.61383,RELEASE
000387.automARkdown,0.6138,RAW_Masaha
9690.json,0.61379,RAWrabicaShamAY1
660.json,0.6136,RAWrabicaShamAY1
0778BadrDinBacli.ManhajQawim.Shamela0009859-ara1,0.61344,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0013652-ara1,0.61342,RELEASE
37985.json,0.61325,RAWrabicaShamAY3
23657.json,0.61323,RAWrabicaShamAY2
