unknown,TFIDF_cosine,libVar
1206IbnCabdWahhab.ShurutSalat.Shamela0011266-ara1,0.99126,RELEASE
11266.json,0.86104,RAWrabicaShamAY2
641.json,0.72191,RAWrabicaShamAY1
Shamela037416.txt,0.72094,raw_ShamelaY19
239.json,0.70629,RAWrabicaShamAY1
1206IbnCabdWahhab.ThalathatUsul.Shamela0000239-ara1,0.70048,RELEASE
1206IbnCabdWahhab.ThalathatUsul.Shamela0000239-ara1,0.69916,RELEASE
11262.json,0.6795,RAWrabicaShamAY2
Shamela037547.txt,0.58707,raw_ShamelaY19
35426.json,0.58034,RAWrabicaShamAY3
Shamela030929.txt,0.57815,raw_ShamelaY19
10448.json,0.57735,RAWrabicaShamAY1
30929.json,0.57324,RAWrabicaShamAY2
Shamela022922.txt,0.57116,raw_ShamelaY19
Shamela030920.txt,0.56939,raw_ShamelaY19
950.json,0.56903,RAWrabicaShamAY1
7597.json,0.56884,RAWrabicaShamAY1
11158.json,0.56857,RAWrabicaShamAY2
7597.bok.json,0.567,RAWrabicaSham19Y
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.56651,RELEASE
Shamela096546.txt,0.56604,raw_ShamelaY19
Sham30K0044097,0.56533,RAWrabica030000
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.56431,RELEASE
Shamela096495.txt,0.56409,raw_ShamelaY19
35647.json,0.56404,RAWrabicaShamAY3
30920.json,0.564,RAWrabicaShamAY2
35073.json,0.56397,RAWrabicaShamAY3
1317KhayrDinAlusi.FathAllahHamid.Sham19Y0011326-ara1,0.56384,RELEASE
3055.json,0.56358,RAWrabicaShamAY1
1450CulamaNajd.DurarSaniyya.Shamela0003055-ara1,0.56338,RELEASE
Sham30K0014534,0.56338,RAWrabica015000
2967.html,0.56327,RAWrabicaRafed
002067Vols.automARkdown,0.56274,RAW_Masaha
Shamela096463.txt,0.56229,raw_ShamelaY19
35427.json,0.56197,RAWrabicaShamAY3
32542.json,0.56195,RAWrabicaShamAY2
Shamela023645.txt,0.56179,raw_ShamelaY19
1317KhayrDinAlusi.FathAllahHamid.Sham19Y0011326-ara1,0.56154,RELEASE
402.json,0.5615,RAWrabicaShamAY1
8783.json,0.56129,RAW_ABLibrary
22922.json,0.5611,RAWrabicaShamAY2
32360.json,0.56102,RAWrabicaShamAY2
Shamela037013.txt,0.56099,raw_ShamelaY19
1450CulamaNajd.DurarSaniyya.Shamela0003055-ara1,0.56079,RELEASE
0561CabdQadirJilani.Ghunya.Sham19Y0017817-ara1,0.55988,RELEASE
33106.json,0.55948,RAWrabicaShamAY2
8600.json,0.5594,RAWrabicaShamAY1
1300CabdHadiIbnMuhammadCujayli.TahqiqTajrid.Shamela0012001-ara1,0.559,RELEASE
48.json,0.55868,RAWrabicaShamAY1
7730.json,0.55839,RAWrabicaShamAY1
35422.json,0.55837,RAWrabicaShamAY3
Shamela036499.txt,0.5582,raw_ShamelaY19
216.json,0.55817,RAWrabicaShamAY1
Shamela028168.txt,0.55789,raw_ShamelaY19
1300CabdHadiIbnMuhammadCujayli.TahqiqTajrid.Shamela0012001-ara1,0.55754,RELEASE
8197.json,0.5575,RAWrabicaShamAY1
Shamela038099.txt,0.55736,raw_ShamelaY19
8600.bok.json,0.55718,RAWrabicaSham19Y
Shamela124909.txt,0.55717,raw_ShamelaY19
Shamela023628.txt,0.55714,raw_ShamelaY19
35493.json,0.55691,RAWrabicaShamAY3
11326.json,0.55682,RAWrabicaShamAY2
35006.json,0.55678,RAWrabicaShamAY3
9260.json,0.55656,RAWrabicaShamAY1
0956IbnCumarShamsDinSafiri.MajalisWacziyya.Shamela0009823-ara1,0.55654,RELEASE
0544QadiCiyad.ShifaBiTacrif.Shamela0023645-ara1,0.55614,RELEASE
Shamela021543.txt,0.55595,raw_ShamelaY19
0894CabdRahmanSufuri.NuzhatMajalis.JK009236-ara1,0.55586,RELEASE
0741KhazinBaghdadi.LubabTawil.Shamela0023628-ara1,0.55564,RELEASE
0702IbnDaqiqCidQushayri.SharhArbacinaNawawiyya.Shamela0011244-ara1,0.55555,RELEASE
0751IbnQayyimJawziyya.WabilSayyib.ShamAY0034420-ara1,0.55541,RELEASE
34913.json,0.55535,RAWrabicaShamAY3
Shamela021823.txt,0.5553,raw_ShamelaY19
28168.bok.json,0.55525,RAWrabicaSham19Y
1285IbnHasanAlShaykh.TawhidWaQurratCuyunMuwahhidin.Shamela0011334-ara1,0.55525,RELEASE
31.json,0.55524,RAWrabicaShamAY1
0751IbnQayyimJawziyya.WabilSayyib.Shamela0000216-ara1,0.55524,RELEASE
11148.json,0.55482,RAWrabicaShamAY2
35423.json,0.55476,RAWrabicaShamAY3
0974IbnHajarHaytami.DurrMandud.Shamela0009801-ara1,0.55465,RELEASE
0894CabdRahmanSufuri.NuzhatMajalis.Shamela0028168-ara1,0.55457,RELEASE
0741KhazinBaghdadi.LubabTawil.JK009244-ara1,0.5545,RELEASE
9260.bok.json,0.55432,RAWrabicaSham19Y
6848.json,0.55423,RAWrabicaShamAY1
0956IbnCumarShamsDinSafiri.MajalisWacziyya.Shamela0009823-ara1,0.55406,RELEASE
31780.json,0.55406,RAWrabicaShamAY2
Shamela030847.txt,0.55399,raw_ShamelaY19
0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar.Shamela0011816-ara1,0.55384,RELEASE
Shamela146418.txt,0.55382,raw_ShamelaY19
1450CabdKarimKhudayr.SharhArbacinaNawawi.JK010183-ara1,0.55358,RELEASE
