unknown,TFIDF_cosine,libVar
12827.json,0.91241,RAWrabicaShamAY2
8555.json,0.74589,RAWrabicaShamAY1
1293CabdLatifAlShaykh.CuyunRasailwaAjwiba.Shamela0011379-ara1,0.74391,RELEASE
1664.html,0.74347,RAWrabicaRafed
1604.json,0.74293,RAWrabicaShamAY1
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.74205,RELEASE
Shamela035760.txt,0.7418,raw_ShamelaY19
1680.html,0.74142,RAWrabicaRafed
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.74121,RELEASE
1666.html,0.7392,RAWrabicaRafed
32146.json,0.73854,RAWrabicaShamAY2
1787.json,0.73847,RAWrabicaShamAY1
35496.json,0.73822,RAWrabicaShamAY3
1615.json,0.7379,RAWrabicaShamAY1
3700.html,0.73659,RAWrabicaRafed
42.json,0.7359,RAWrabicaShamAY1
1285IbnHasanAlShaykh.MawridCadhbZulal.ShamAY0033876-ara1,0.73545,RELEASE
1285IbnHasanAlShaykh.MawridCadhbZulal.ShamAY0033876-ara1,0.73443,RELEASE
33876.json,0.73428,RAWrabicaShamAY2
3960.html,0.73376,RAWrabicaRafed
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.73364,RELEASE
1665.html,0.73354,RAWrabicaRafed
11379.json,0.73352,RAWrabicaShamAY2
1681.html,0.73327,RAWrabicaRafed
11353.json,0.73316,RAWrabicaShamAY2
1657.json,0.73275,RAWrabicaShamAY1
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.73266,RELEASE
29.json,0.73222,RAWrabicaShamAY1
Shamela031076.txt,0.73205,raw_ShamelaY19
34830.json,0.73149,RAWrabicaShamAY3
1432AscadHawmad.AysarTafasir.Tafsir09071-ara1,0.73132,RELEASE
3931.html,0.73131,RAWrabicaRafed
2973.html,0.73095,RAWrabicaRafed
1432AscadHawmad.AysarTafasir.Tafsir09071-ara1,0.73075,RELEASE
1718.json,0.73065,RAWrabicaShamAY1
1677.html,0.73042,RAWrabicaRafed
11730.bok.json,0.73035,RAWrabicaSham19Y
Shamela096246.txt,0.73029,raw_ShamelaY19
Shamela038000.txt,0.7302,raw_ShamelaY19
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.7301,RELEASE
1376CabdRahmanSacdi.TaysirKarimRahman.Tafsir10098-ara1,0.72969,RELEASE
Shamela026332.txt,0.72963,raw_ShamelaY19
1480.json,0.72962,RAWrabicaShamAY1
1404IbrahimQattan.TaysirTafsir.Tafsir09068-ara1,0.7294,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.72939,RELEASE
34371.json,0.72933,RAWrabicaShamAY3
8613.json,0.72917,RAWrabicaShamAY1
11730.json,0.72914,RAWrabicaShamAY2
8913.json,0.72913,RAW_ABLibrary
1206IbnCabdWahhab.MuallafatIbnCabdWahhab.JK000348-ara1,0.72906,RELEASE
9690.json,0.72894,RAWrabicaShamAY1
1376CabdRahmanSacdi.TaysirKarimRahman.Tafsir10098-ara1,0.72893,RELEASE
35502.json,0.72884,RAWrabicaShamAY3
1285IbnHasanAlShaykh.KashfMaAlqahuIblis.Shamela0011354-ara1,0.72861,RELEASE
Sham30K0002538,0.7286,RAWrabica005000
0728IbnTaymiyya.MajmucatRasailWaMasail.ShamAY0034371-ara1,0.72851,RELEASE
1206IbnCabdWahhab.RasailShakhsiyya.Shamela0007629-ara1,0.72838,RELEASE
1434.html,0.7281,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.72805,RELEASE
1206IbnCabdWahhab.MuallafatIbnCabdWahhab.JK000348-ara1,0.72797,RELEASE
35204.json,0.72795,RAWrabicaShamAY3
12094.json,0.72793,RAWrabicaShamAY2
1293CabdLatifAlShaykh.MinhajTasisWaTaqdis.Shamela0012094-ara1,0.72781,RELEASE
26332.json,0.72776,RAWrabicaShamAY2
1285IbnHasanAlShaykh.KashfMaAlqahuIblis.Shamela0011354-ara1,0.72775,RELEASE
35270.json,0.72771,RAWrabicaShamAY3
1206IbnCabdWahhab.MasailLakhkhasahaIbnCabdWahhab.Shamela0011572-ara1,0.72753,RELEASE
0728IbnTaymiyya.MajmucatRasailWaMasail.Shamela0011730-ara1,0.72746,RELEASE
1206IbnCabdWahhab.RasailShakhsiyya.Shamela0007629-ara1,0.72741,RELEASE
35562.json,0.72734,RAWrabicaShamAY3
Shamela020643.txt,0.72709,raw_ShamelaY19
2954.html,0.72709,RAWrabicaRafed
1206IbnCabdWahhab.RasailShakhsiyya.JK006891-ara1,0.72683,RELEASE
