unknown,TFIDF_cosine,libVar
11146.json,0.98063,RAWrabicaShamAY2
Sham30K0038976,0.97559,RAWrabica025000
7597.json,0.90436,RAWrabicaShamAY1
7597.bok.json,0.90378,RAWrabicaSham19Y
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.90371,RELEASE
1233SulaymanSibtIbnCabdWahhab.TawdihCanTawhid.Shamela0007597-ara1,0.90358,RELEASE
35721.json,0.90337,RAWrabicaShamAY3
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.8965,RELEASE
1349IbnSahmanKhathcami.KashfGhayahib.Shamela0011353-ara1,0.89639,RELEASE
11292.json,0.89565,RAWrabicaShamAY2
11353.json,0.8956,RAWrabicaShamAY2
35976.json,0.89509,RAWrabicaShamAY3
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.89354,RELEASE
3703.html,0.89336,RAWrabicaRafed
1285IbnHasanAlShaykh.MatlabHamid.Shamela0008555-ara1,0.89333,RELEASE
Sham30K0033813,0.89307,RAWrabica020000
0388AbuSulaymanKhattabi.GhunyaCanKalam.ShamAY0033606-ara1,0.89232,RELEASE
0728IbnTaymiyya.JamicMasail.Sham19Y0017835-ara1,0.89218,RELEASE
8555.json,0.89165,RAWrabicaShamAY1
35288.json,0.89082,RAWrabicaShamAY3
8656.json,0.89074,RAWrabicaShamAY1
1349IbnSahmanKhathcami.DiyaShariq.Shamela0007664-ara1,0.88959,RELEASE
7664.json,0.88955,RAWrabicaShamAY1
0728IbnTaymiyya.IqtidaSirat.ShamAY0034358-ara1,0.88953,RELEASE
1349IbnSahmanKhathcami.DiyaShariq.Shamela0007664-ara1,0.88923,RELEASE
0728IbnTaymiyya.IqtidaSirat.JK000367-ara1,0.88904,RELEASE
0728IbnTaymiyya.Imama.ShamAY0035288-ara1,0.88861,RELEASE
0728IbnTaymiyya.Imama.ShamAY0035288-ara1,0.88841,RELEASE
33317.json,0.8875,RAWrabicaShamAY2
Shamela036070.txt,0.88664,raw_ShamelaY19
523.json,0.88647,RAWrabicaShamAY1
1702.json,0.88581,RAWrabicaShamAY1
37973.json,0.88568,RAWrabicaShamAY3
0728IbnTaymiyya.JamicMasail.Sham19Y0013652-ara1,0.8855,RELEASE
Sham30K0044144,0.88463,RAWrabica030000
35764.json,0.88446,RAWrabicaShamAY3
1349IbnSahmanKhathcami.SawaciqMursala.Shamela0007663-ara1,0.88438,RELEASE
Shamela096546.txt,0.88417,raw_ShamelaY19
Shamela018381.txt,0.88405,raw_ShamelaY19
1349IbnSahmanKhathcami.SawaciqMursala.Shamela0007663-ara1,0.88396,RELEASE
000387.automARkdown,0.88353,RAW_Masaha
7553.json,0.88325,RAWrabicaShamAY1
10517.json,0.88314,RAWrabicaShamAY1
0728IbnTaymiyya.WasiyyaKubra.ShamAY0034401-ara1,0.88306,RELEASE
Shamela022922.txt,0.88296,raw_ShamelaY19
0728IbnTaymiyya.WasiyyaKubra.ShamAY0034401-ara1,0.88279,RELEASE
0728IbnTaymiyya.HamawiyyaKubra.Shamela0018381-ara1,0.88255,RELEASE
