unknown,TFIDF_cosine,libVar
004828Vols.automARkdown,0.99745,RAW_Masaha
3678.html,0.99207,RAWrabicaRafed
Shia002761Vols,0.93735,RAWrabica040000
003182.automARkdown,0.87236,RAW_Masaha
002669.automARkdown,0.87236,RAW_Masaha
1367.html,0.86821,RAWrabicaRafed
2622.html,0.86755,RAWrabicaRafed
003267Vols.automARkdown,0.86108,RAW_Masaha
004267.automARkdown,0.86002,RAW_Masaha
1298CaliMusawiQazwini.TacliqaCalaMacalimUsul.Shia002770Vols-ara1,0.85495,RELEASE
1231HusaynQummi.QawaninUsul.Rafed002622-ara1,0.8532,RELEASE
1298CaliMusawiQazwini.TacliqaCalaMacalimUsul.Shia002770Vols-ara1,0.85154,RELEASE
1231HusaynQummi.QawaninUsul.Rafed002622-ara1,0.84974,RELEASE
819.html,0.84858,RAWrabicaRafed
003355Vols.automARkdown,0.84631,RAW_Masaha
004195Vols.automARkdown,0.84591,RAW_Masaha
991.html,0.84359,RAWrabicaRafed
15805.automARkdown,0.83675,RAW_Ghbook
003132Vols.automARkdown,0.83622,RAW_Masaha
002638Vols.automARkdown,0.83622,RAW_Masaha
003479Vols.automARkdown,0.83606,RAW_Masaha
004325Vols.automARkdown,0.83472,RAW_Masaha
003465.automARkdown,0.83465,RAW_Masaha
3913.html,0.83461,RAWrabicaRafed
003262Vols.automARkdown,0.83266,RAW_Masaha
003833Vols.automARkdown,0.83256,RAW_Masaha
936.html,0.83176,RAWrabicaRafed
3672.html,0.83133,RAWrabicaRafed
003483Vols.automARkdown,0.83028,RAW_Masaha
993.html,0.82871,RAWrabicaRafed
1392.html,0.82854,RAWrabicaRafed
991.json,0.82797,RAW_ABLibrary
004003Vols.automARkdown,0.82715,RAW_Masaha
2679.html,0.82689,RAWrabicaRafed
1250MuhammadHusaynHairiTihrani.FusulGharawiyya.Shia002764-ara1,0.82655,RELEASE
003561Vols.automARkdown,0.82645,RAW_Masaha
004019Vols.automARkdown,0.82624,RAW_Masaha
001588.automARkdown,0.82557,RAW_Masaha
12922.automARkdown,0.82537,RAW_Ghbook
003995.automARkdown,0.82508,RAW_Masaha
Shia002764,0.82484,RAWrabica040000
997.html,0.8246,RAWrabicaRafed
003567.automARkdown,0.82406,RAW_Masaha
001449Vols.automARkdown,0.82399,RAW_Masaha
003774Vols.automARkdown,0.82376,RAW_Masaha
1250MuhammadHusaynHairiTihrani.FusulGharawiyya.Shia002764-ara1,0.82365,RELEASE
3871.html,0.82363,RAWrabicaRafed
2624.html,0.82361,RAWrabicaRafed
