unknown,TFIDF_cosine,libVar
1269CabdMalikCasimi.SamtNujum.Shamela0006617-ara1,0.99992,RELEASE
6617.json,0.99988,RAWrabicaShamAY1
7446.json,0.85624,RAW_ABLibrary
0966HusaynDiyarbakri.TarikhKhamis.Shamela0009784-ara1,0.85607,RELEASE
001961Vols.automARkdown,0.85592,RAW_Masaha
9784.json,0.85485,RAWrabicaShamAY1
004680.automARkdown,0.85275,RAW_Masaha
0630IbnAthirCizzDin.Kamil.Shia003493Vols-ara4,0.84814,RELEASE
0630IbnAthirCizzDin.Kamil.ShamAY0033808-ara4,0.84698,RELEASE
0630IbnAthirCizzDin.Kamil.ShamAY0034612-ara1,0.8425,RELEASE
8246.json,0.84165,RAW_ABLibrary
0630IbnAthirCizzDin.Kamil.Sham30K0033764-ara3,0.84084,RELEASE
0630IbnAthirCizzDin.Kamil.JK000911-ara1,0.84032,RELEASE
0630IbnAthirCizzDin.Kamil.Sham30K0045325-ara1,0.84029,RELEASE
002823Vols.automARkdown,0.83944,RAW_Masaha
0630IbnAthirCizzDin.Kamil.Sham30K0021712-ara2,0.83903,RELEASE
33808.json,0.83763,RAWrabicaShamAY2
0630IbnAthirCizzDin.Kamil.Shamela0021712-ara2,0.83739,RELEASE
0630IbnAthirCizzDin.Kamil.Sham30K0004579-ara1,0.83658,RELEASE
Shamela021712.txt,0.83606,raw_ShamelaY19
34612.json,0.83534,RAWrabicaShamAY3
21712.json,0.83488,RAWrabicaShamAY2
1112NicmatAllahJazairi.QisasAnbiya.Shia003749-ara1,0.82712,RELEASE
9204.json,0.813,RAW_ABLibrary
003951Vols.automARkdown,0.81055,RAW_Masaha
23849.json,0.80845,RAWrabicaShamAY2
Shamela023849.txt,0.80791,raw_ShamelaY19
0774IbnKathir.QisasAnbiya.Shia003721Vols-ara1,0.80538,RELEASE
0774IbnKathir.QisasAnbiya.Shamela0000932-ara1,0.80465,RELEASE
0932.bok.json,0.80426,RAWrabicaSham19Y
932.json,0.80411,RAWrabicaShamAY1
8829.json,0.80043,RAW_ABLibrary
110.html,0.80039,RAWrabicaRafed
Shia003749,0.79464,RAWrabica045000
1745.html,0.79367,RAWrabicaRafed
Shia003493Vols,0.79105,RAWrabica045000
8513.json,0.78952,RAW_ABLibrary
36083.json,0.78918,RAWrabicaShamAY3
8620.bok.json,0.78867,RAWrabicaSham19Y
Sham30K0002577,0.78809,RAWrabica005000
8620.json,0.78804,RAWrabicaShamAY1
0927Culaymi.UnsJalil.JK003501-ara1,0.78754,RELEASE
3537.html,0.78748,RAWrabicaRafed
10668.json,0.78701,RAWrabicaShamAY1
6626.bok.json,0.78672,RAWrabicaSham19Y
6626.json,0.78593,RAWrabicaShamAY1
7903.json,0.78536,RAW_ABLibrary
0927Culaymi.UnsJalil.Shamela0006626-ara1,0.7852,RELEASE
0597IbnJawzi.Tabsira.Shamela0026351-ara1,0.78354,RELEASE
26351.bok.json,0.78237,RAWrabicaSham19Y
2515.html,0.78101,RAWrabicaRafed
Shamela026351.txt,0.78088,raw_ShamelaY19
26351.json,0.78063,RAWrabicaShamAY2
7394.json,0.77963,RAW_ABLibrary
003036Vols.automARkdown,0.7792,RAW_Masaha
831.html,0.77906,RAWrabicaRafed
1055AhmadSharafi.AliMudia.Zaydiyya0000037Vols-ara1,0.77887,RELEASE
7853.json,0.77887,RAW_ABLibrary
66.html,0.77846,RAWrabicaRafed
004217.automARkdown,0.77741,RAW_Masaha
1450MuhammadHadiYusufi.MawsucatTarikhIslam.Shia003656Vols-ara1,0.77719,RELEASE
001830.automARkdown,0.77701,RAW_Masaha
001852Vols.automARkdown,0.77661,RAW_Masaha
004140Vols.automARkdown,0.77656,RAW_Masaha
8297.json,0.77613,RAW_ABLibrary
34985.json,0.77598,RAWrabicaShamAY3
2566.html,0.77588,RAWrabicaRafed
0634AbuRabicHimyari.Iktifa.Shamela0009770-ara1,0.77581,RELEASE
9161.json,0.77549,RAW_ABLibrary
001840.automARkdown,0.77544,RAW_Masaha
349.html,0.77531,RAWrabicaRafed
3897.html,0.7753,RAWrabicaRafed
0634AbuRabicHimyari.Iktifa.JK001294-ara1,0.77507,RELEASE
9896.json,0.7747,RAWrabicaShamAY1
10496.json,0.7745,RAWrabicaShamAY1
2400.html,0.77408,RAWrabicaRafed
8751.json,0.77406,RAW_ABLibrary
7908.json,0.77398,RAW_ABLibrary
8917.json,0.77326,RAW_ABLibrary
96918.bok.json,0.77266,RAWrabicaSham19Y
1102NurDinYusi.MuhadaratFiLugha.Shamela0000473-ara1,0.77258,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.77251,RELEASE
2038.json,0.77233,RAWrabicaShamAY1
8340.json,0.77221,RAW_ABLibrary
38311.json,0.77214,RAWrabicaShamAY3
Shamela096918.txt,0.77153,raw_ShamelaY19
473.json,0.77131,RAWrabicaShamAY1
002790Vols.automARkdown,0.771,RAW_Masaha
Sham30K0014219,0.77088,RAWrabica015000
0597IbnJawzi.Tabsira.JK007063-ara1,0.77084,RELEASE
001854.automARkdown,0.77036,RAW_Masaha
0850ShihabDinIbshihi.Mustatraf.ShamAY0033781-ara1,0.77012,RELEASE
0682ZakariyaQazwini.AtharBilad.Shamela0009631-ara1,0.76976,RELEASE
0850ShihabDinIbshihi.Mustatraf.Shamela0023802-ara1,0.76966,RELEASE
0682ZakariyaQazwini.AtharBilad.JK010459-ara1,0.76965,RELEASE
1585.json,0.76912,RAWrabicaShamAY1
004128.automARkdown,0.76894,RAW_Masaha
9768.json,0.76889,RAWrabicaShamAY1
0709IbnTiqtaqa.FakhriFiAdab.Shamela0012400-ara1,0.76862,RELEASE
0850ShihabDinIbshihi.Mustatraf.JK001336-ara1,0.76844,RELEASE
001107.automARkdown,0.76837,RAW_Masaha
0656IbnAbiHadid.SharhNahjBalagha.Shia002185Vols-ara1,0.76818,RELEASE
7422.json,0.76778,RAW_ABLibrary
8613.json,0.76766,RAWrabicaShamAY1
7577.json,0.7676,RAW_ABLibrary
9631.json,0.7676,RAWrabicaShamAY1
000515.automARkdown,0.76757,RAW_Masaha
681.json,0.76745,RAWrabicaShamAY1
0656IbnAbiHadid.SharhNahjBalagha.JK009359-ara1,0.76739,RELEASE
0656IbnAbiHadid.SharhNahjBalagha.Zaydiyya0000145-ara1,0.76709,RELEASE
002979Vols.automARkdown,0.76705,RAW_Masaha
96278.bok.json,0.76686,RAWrabicaSham19Y
Shamela023802.txt,0.7667,raw_ShamelaY19
2513.html,0.76665,RAWrabicaRafed
Shamela096278.txt,0.7666,raw_ShamelaY19
0656IbnAbiHadid.SharhNahjBalagha.ShamAY0033785-ara1,0.76651,RELEASE
1112NicmatAllahJazairi.NurBarahin.Shia001542Vols-ara1,0.76644,RELEASE
1760.json,0.76634,RAWrabicaShamAY1
33781.json,0.76627,RAWrabicaShamAY2
32557.json,0.76611,RAWrabicaShamAY2
23802.json,0.76606,RAWrabicaShamAY2
3313.html,0.76603,RAWrabicaRafed
8963.json,0.76585,RAW_ABLibrary
8375.json,0.76503,RAW_ABLibrary
Shamela037473.txt,0.76481,raw_ShamelaY19
8590.json,0.76477,RAW_ABLibrary
3602.html,0.7645,RAWrabicaRafed
0854IbnDiyaMakki.TarikhMakka.JK009303-ara1,0.76443,RELEASE
0854IbnDiyaMakki.TarikhMakka.Shamela0005539-ara1,0.76441,RELEASE
0652IbnTalhaKamalDinNasibi.MatalibSaul.Shia003702-ara1,0.76438,RELEASE
002494Vols.automARkdown,0.76429,RAW_Masaha
0751IbnQayyimJawziyya.ShifaCalil.ShamAY0034426-ara1,0.76426,RELEASE
002224.automARkdown,0.76422,RAW_Masaha
3028.html,0.76422,RAWrabicaRafed
8913.json,0.76412,RAW_ABLibrary
0751IbnQayyimJawziyya.ShifaCalil.Shamela0012021-ara1,0.76408,RELEASE
8482.json,0.76391,RAW_ABLibrary
0751IbnQayyimJawziyya.ShifaCalil.JK000100-ara1,0.76389,RELEASE
12021.bok.json,0.76374,RAWrabicaSham19Y
1437.html,0.76369,RAWrabicaRafed
0751IbnQayyimJawziyya.DaWaDawa.Shamela0098093-ara1,0.7636,RELEASE
8746.json,0.76335,RAW_ABLibrary
37152.json,0.76301,RAWrabicaShamAY3
33835.json,0.7629,RAWrabicaShamAY2
3914.html,0.76279,RAWrabicaRafed
7373.json,0.76264,RAWrabicaShamAY1
9770.json,0.76256,RAWrabicaShamAY1
0709IbnTiqtaqa.FakhriFiAdab.JK010372-ara1,0.76248,RELEASE
8783.json,0.76242,RAW_ABLibrary
002026.automARkdown,0.76237,RAW_Masaha
7548.json,0.76231,RAW_ABLibrary
002351.automARkdown,0.7623,RAW_Masaha
689.html,0.76227,RAWrabicaRafed
12400.bok.json,0.76227,RAWrabicaSham19Y
003368Vols.automARkdown,0.76224,RAW_Masaha
1307Qannawji.FathBayan.Shamela0037458-ara1,0.76219,RELEASE
35000.json,0.76203,RAWrabicaShamAY3
7539.json,0.76203,RAW_ABLibrary
3577.html,0.76191,RAWrabicaRafed
5539.json,0.76191,RAWrabicaShamAY1
660.json,0.76189,RAWrabicaShamAY1
002874.automARkdown,0.76174,RAW_Masaha
7457.json,0.76173,RAW_ABLibrary
0751IbnQayyimJawziyya.MiftahDarSacada.Shamela0006840-ara1,0.76171,RELEASE
0751IbnQayyimJawziyya.MiftahDarSacada.JK000082-ara1,0.76167,RELEASE
000491Vols.automARkdown,0.76141,RAW_Masaha
12021.json,0.76134,RAWrabicaShamAY2
6840.json,0.76131,RAWrabicaShamAY1
6840.bok.json,0.7613,RAWrabicaSham19Y
0808MuhammadDamiri.HayatHayawanKubra.Shamela0010664-ara1,0.76125,RELEASE
Sham30K0034053,0.76096,RAWrabica020000
0751IbnQayyimJawziyya.DaWaDawa.ShamAY0034414-ara1,0.76091,RELEASE
1658.html,0.76087,RAWrabicaRafed
Shamela098093.txt,0.76085,raw_ShamelaY19
Shamela037458.txt,0.76084,raw_ShamelaY19
7909.json,0.76079,RAW_ABLibrary
0795IbnRajabHanbali.MajmucRasail.Shamela0095735-ara1,0.76074,RELEASE
7902.json,0.76051,RAW_ABLibrary
004568Vols.automARkdown,0.76043,RAW_Masaha
Sham30K0002645,0.76033,RAWrabica005000
0615MuwaffaqDinShafici.MurshidZuwwar.Shamela0011789-ara1,0.76031,RELEASE
10664.bok.json,0.76021,RAWrabicaSham19Y
3659.html,0.76021,RAWrabicaRafed
0751IbnQayyimJawziyya.DaWaDawa.ShamAY0038516-ara1,0.76003,RELEASE
1122MuhammadZurqani.SharhCalaMawahib.Shamela0026568-ara1,0.76003,RELEASE
Shamela0008620,0.75989,RAWrabica035000
