unknown,TFIDF_cosine,libVar
1270ShihabDinAlusi.GharaibIghtirab.Shamela0000475-ara1,0.99996,RELEASE
475.json,0.99995,RAWrabicaShamAY1
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.85968,RELEASE
1238.json,0.85791,RAWrabicaShamAY1
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.8576,RELEASE
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.85707,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.85702,RELEASE
473.json,0.85434,RAWrabicaShamAY1
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.85414,RELEASE
1102NurDinYusi.MuhadaratFiLugha.Shamela0000473-ara1,0.85414,RELEASE
8430.json,0.85399,RAW_ABLibrary
8349.json,0.85302,RAW_ABLibrary
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.85024,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.85023,RELEASE
591.json,0.85015,RAWrabicaShamAY1
Shamela023631.txt,0.84959,raw_ShamelaY19
3178.html,0.84914,RAWrabicaRafed
Shamela020643.txt,0.84889,raw_ShamelaY19
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.84871,RELEASE
Shamela036571.txt,0.84854,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.84809,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.84807,RELEASE
3616.html,0.84692,RAWrabicaRafed
2679.html,0.8466,RAWrabicaRafed
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.84648,RELEASE
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.84557,RELEASE
8789.json,0.84517,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.84464,RELEASE
12304.json,0.84433,RAWrabicaShamAY2
1354RashidRida.Manar.Tafsir02103-ara1,0.84431,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.84425,RELEASE
3902.html,0.84405,RAWrabicaRafed
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.84388,RELEASE
12034.bok.json,0.84379,RAWrabicaSham19Y
8910.json,0.84331,RAW_ABLibrary
Shamela022835.txt,0.84315,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.84263,RELEASE
12034.json,0.84198,RAWrabicaShamAY2
3192.html,0.84182,RAWrabicaRafed
8913.json,0.84178,RAW_ABLibrary
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.84143,RELEASE
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.84136,RELEASE
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.84049,RELEASE
8613.json,0.84046,RAWrabicaShamAY1
3437.html,0.83994,RAWrabicaRafed
23631.json,0.83973,RAWrabicaShamAY2
1376MuhammadHajwiThacalibi.FikrSami.Shamela0010013-ara1,0.83971,RELEASE
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.83969,RELEASE
0597IbnJawzi.SaydKhatir.JK010547-ara1,0.8396,RELEASE
10541.json,0.83935,RAWrabicaShamAY1
34055.json,0.83895,RAWrabicaShamAY2
1406.html,0.83888,RAWrabicaRafed
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.83848,RELEASE
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.83845,RELEASE
Shamela029676.txt,0.83839,raw_ShamelaY19
187.json,0.83837,RAWrabicaShamAY1
8836.json,0.83811,RAW_ABLibrary
8751.json,0.83788,RAW_ABLibrary
8513.json,0.83781,RAW_ABLibrary
Shamela123663.txt,0.83743,raw_ShamelaY19
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.83734,RELEASE
29676.bok.json,0.83733,RAWrabicaSham19Y
3150.html,0.8373,RAWrabicaRafed
0981IbnMusaMuwaqqitDimashqi.CiqdTalid.Shamela0010016-ara1,0.83721,RELEASE
0896AbuHamidMaqdisi.BadhlNasaih.Sham19Y0036111-ara1,0.83712,RELEASE
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.83709,RELEASE
8818.json,0.83687,RAW_ABLibrary
Shamela133368.txt,0.83672,raw_ShamelaY19
3960.html,0.83669,RAWrabicaRafed
Sham30K0002691,0.83661,RAWrabica005000
1202.json,0.8366,RAWrabicaShamAY1
8760.json,0.83656,RAW_ABLibrary
22835.json,0.83654,RAWrabicaShamAY2
1376MuhammadHajwiThacalibi.FikrSami.Shamela0010013-ara1,0.83632,RELEASE
8597.json,0.83629,RAW_ABLibrary
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.83623,RELEASE
12028.json,0.8362,RAWrabicaShamAY2
8845.json,0.83558,RAW_ABLibrary
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.83555,RELEASE
11406.bok.json,0.83555,RAWrabicaSham19Y
876.html,0.83546,RAWrabicaRafed
3200.html,0.83545,RAWrabicaRafed
1660.html,0.83528,RAWrabicaRafed
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.83516,RELEASE
3537.html,0.8351,RAWrabicaRafed
1031BahaDinCamili.Kashkul.JK009365-ara1,0.83506,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.83498,RELEASE
0896AbuHamidMaqdisi.BadhlNasaih.Sham19Y0036111-ara1,0.83481,RELEASE
Shamela036111.txt,0.83477,raw_ShamelaY19
6392.json,0.83466,RAWrabicaShamAY1
3190.html,0.83465,RAWrabicaRafed
8757.json,0.83459,RAW_ABLibrary
0981IbnMusaMuwaqqitDimashqi.CiqdTalid.Shamela0010016-ara1,0.83453,RELEASE
3179.html,0.83385,RAWrabicaRafed
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.83379,RELEASE
3496.html,0.83377,RAWrabicaRafed
8753.json,0.83375,RAW_ABLibrary
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.83364,RELEASE
1236.json,0.83355,RAWrabicaShamAY1
11406.json,0.83352,RAWrabicaShamAY2
7903.json,0.8335,RAW_ABLibrary
Shamela038093.txt,0.83333,raw_ShamelaY19
8683.json,0.8332,RAW_ABLibrary
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.83312,RELEASE
3197.html,0.83307,RAWrabicaRafed
35828.json,0.83293,RAWrabicaShamAY3
470.json,0.83293,RAWrabicaShamAY1
