unknown,TFIDF_cosine,libVar
475.json,0.99997,RAWrabicaShamAY1
1270ShihabDinAlusi.GharaibIghtirab.JK010475-ara1,0.99996,RELEASE
1238.json,0.85796,RAWrabicaShamAY1
0840IbnWazirYamani.ItharHaqq.Shamela0005937-ara1,0.85712,RELEASE
0840IbnWazirYamani.ItharHaqq.JK000966-ara1,0.85706,RELEASE
473.json,0.85428,RAWrabicaShamAY1
1102NurDinYusi.MuhadaratFiLugha.Shamela0000473-ara1,0.85409,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.85408,RELEASE
8430.json,0.85406,RAW_ABLibrary
8349.json,0.85304,RAW_ABLibrary
591.json,0.85015,RAWrabicaShamAY1
Shamela023631.txt,0.8496,raw_ShamelaY19
3178.html,0.84912,RAWrabicaRafed
Shamela020643.txt,0.84889,raw_ShamelaY19
Shamela036571.txt,0.84854,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Shamela0023631-ara1,0.8481,RELEASE
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.84807,RELEASE
3616.html,0.84694,RAWrabicaRafed
2679.html,0.84664,RAWrabicaRafed
1342MahmudShukriAlusi.GhayatAmani.Shamela0012034-ara1,0.84539,RELEASE
8789.json,0.84518,RAW_ABLibrary
12304.json,0.84435,RAWrabicaShamAY2
1354RashidRida.Manar.Tafsir02103-ara1,0.84433,RELEASE
3902.html,0.84404,RAWrabicaRafed
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.84387,RELEASE
12034.bok.json,0.84362,RAWrabicaSham19Y
8910.json,0.84322,RAW_ABLibrary
Shamela022835.txt,0.84313,raw_ShamelaY19
1332IbnMuhammadJamalDinQasimi.IslahMasajid.Shamela0010541-ara1,0.84269,RELEASE
12034.json,0.84181,RAWrabicaShamAY2
3192.html,0.84179,RAWrabicaRafed
8913.json,0.84172,RAW_ABLibrary
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.84136,RELEASE
1270ShihabDinAlusi.RuhMacani.Shamela0022835-ara1,0.84134,RELEASE
1270ShihabDinAlusi.RuhMacani.JK000906-ara1,0.84047,RELEASE
8613.json,0.84042,RAWrabicaShamAY1
3437.html,0.83992,RAWrabicaRafed
23631.json,0.83971,RAWrabicaShamAY2
0597IbnJawzi.SaydKhatir.JK010547-ara1,0.83959,RELEASE
10541.json,0.83942,RAWrabicaShamAY1
34055.json,0.83894,RAWrabicaShamAY2
1406.html,0.83888,RAWrabicaRafed
1332IbnMuhammadJamalDinQasimi.MahasinTawil.Tafsir02102-ara1,0.83847,RELEASE
Shamela029676.txt,0.83841,raw_ShamelaY19
187.json,0.83838,RAWrabicaShamAY1
8836.json,0.83815,RAW_ABLibrary
8751.json,0.83779,RAW_ABLibrary
8513.json,0.8377,RAW_ABLibrary
Shamela123663.txt,0.83746,raw_ShamelaY19
29676.bok.json,0.83734,RAWrabicaSham19Y
3150.html,0.83732,RAWrabicaRafed
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.83712,RELEASE
8818.json,0.83687,RAW_ABLibrary
3960.html,0.83667,RAWrabicaRafed
Shamela133368.txt,0.83666,raw_ShamelaY19
Sham30K0002691,0.83664,RAWrabica005000
1202.json,0.83663,RAWrabicaShamAY1
8760.json,0.8366,RAW_ABLibrary
22835.json,0.83653,RAWrabicaShamAY2
1376MuhammadHajwiThacalibi.FikrSami.Shamela0010013-ara1,0.83632,RELEASE
8597.json,0.83625,RAW_ABLibrary
12028.json,0.83614,RAWrabicaShamAY2
11406.bok.json,0.83554,RAWrabicaSham19Y
8845.json,0.83552,RAW_ABLibrary
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.83544,RELEASE
3200.html,0.83542,RAWrabicaRafed
876.html,0.83541,RAWrabicaRafed
1660.html,0.83532,RAWrabicaRafed
0737IbnMuhammadIbnHajjFasi.Madkhal.Shamela0011406-ara1,0.83515,RELEASE
3537.html,0.835,RAWrabicaRafed
0896AbuHamidMaqdisi.BadhlNasaih.Sham19Y0036111-ara1,0.83481,RELEASE
Shamela036111.txt,0.83477,raw_ShamelaY19
6392.json,0.83473,RAWrabicaShamAY1
3190.html,0.83459,RAWrabicaRafed
8757.json,0.83456,RAW_ABLibrary
0981IbnMusaMuwaqqitDimashqi.CiqdTalid.Shamela0010016-ara1,0.8345,RELEASE
3179.html,0.83382,RAWrabicaRafed
8753.json,0.83377,RAW_ABLibrary
3496.html,0.83373,RAWrabicaRafed
11406.json,0.83351,RAWrabicaShamAY2
1236.json,0.83351,RAWrabicaShamAY1
7903.json,0.83331,RAW_ABLibrary
Shamela038093.txt,0.83329,raw_ShamelaY19
8683.json,0.83314,RAW_ABLibrary
3197.html,0.83302,RAWrabicaRafed
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.83294,RELEASE
470.json,0.83291,RAWrabicaShamAY1
35828.json,0.8329,RAWrabicaShamAY3
38093.bok.json,0.83288,RAWrabicaSham19Y
1323MuhammadCabduh.RisalatTawhid.JK001276-ara1,0.83286,RELEASE
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000975-ara1,0.83274,RELEASE
Sham30K0002800,0.83262,RAWrabica005000
1332NurDinSalimi.MacarijAmal.ShamIbadiyya0000229-ara1,0.83247,RELEASE
1444.html,0.83241,RAWrabicaRafed
1480.json,0.83216,RAWrabicaShamAY1
0737IbnMuhammadIbnHajjFasi.Madkhal.ShamAY0034247-ara1,0.83194,RELEASE
0737IbnMuhammadIbnHajjFasi.Madkhal.JK007084-ara1,0.83184,RELEASE
1436.html,0.8318,RAWrabicaRafed
004131.automARkdown,0.83155,RAW_Masaha
1270ShihabDinAlusi.RuhMacani.Shia002702Vols-ara1,0.83136,RELEASE
38000.bok.json,0.83135,RAWrabicaSham19Y
1659.html,0.83133,RAWrabicaRafed
Shamela020986.txt,0.83112,raw_ShamelaY19
Shamela038000.txt,0.83081,raw_ShamelaY19
1323MuhammadCabduh.RisalatTawhid.ShamAY0033867-ara1,0.83071,RELEASE
34247.json,0.83034,RAWrabicaShamAY3
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.83026,RELEASE
1658.html,0.83024,RAWrabicaRafed
Shamela029677.txt,0.8302,raw_ShamelaY19
1293CabdLatifAlShaykh.CuyunRasailwaAjwiba.Shamela0011379-ara1,0.8302,RELEASE
3931.html,0.83019,RAWrabicaRafed
Shamela096180.txt,0.83016,raw_ShamelaY19
10013.json,0.83013,RAWrabicaShamAY1
1909.html,0.83012,RAWrabicaRafed
Shamela145376.txt,0.83011,raw_ShamelaY19
2654.html,0.83011,RAWrabicaRafed
35719.json,0.83009,RAWrabicaShamAY3
8911.json,0.82999,RAW_ABLibrary
37720.json,0.82989,RAWrabicaShamAY3
1031BahaDinCamili.Kashkul.JK009365-ara1,0.8298,RELEASE
6137.json,0.82972,RAWrabicaShamAY1
8747.json,0.82967,RAW_ABLibrary
622.json,0.82954,RAWrabicaShamAY1
10013.bok.json,0.8295,RAWrabicaSham19Y
8837.json,0.82942,RAW_ABLibrary
3574.html,0.82936,RAWrabicaRafed
Shamela023794.txt,0.82934,raw_ShamelaY19
0637IbnAthirDiyaDin.MathalSair.Shamela0023794-ara2,0.82932,RELEASE
1571.json,0.82922,RAWrabicaShamAY1
Shamela037345.txt,0.82922,raw_ShamelaY19
0728IbnTaymiyya.JamicMasail.Sham19Y0145376-ara1,0.82918,RELEASE
1031BahaDinCamili.Kashkul.Shamela0001571-ara1,0.82917,RELEASE
Shamela022842.txt,0.82912,raw_ShamelaY19
Shamela037458.txt,0.82906,raw_ShamelaY19
22842.bok.json,0.82906,RAWrabicaSham19Y
0643IbnSalahShahrazuri.Fatawa.JK006986-ara1,0.82904,RELEASE
0643IbnSalahShahrazuri.Fatawa.Shamela0006137-ara1,0.82904,RELEASE
33867.json,0.8289,RAWrabicaShamAY2
31741.json,0.8288,RAWrabicaShamAY2
993.json,0.82875,RAW_ABLibrary
9943.json,0.82868,RAWrabicaShamAY1
8685.json,0.82868,RAW_ABLibrary
1332IbnMuhammadJamalDinQasimi.MawcizatMuminin.Shamela0022842-ara1,0.82865,RELEASE
8833.json,0.82862,RAW_ABLibrary
0728IbnTaymiyya.FatawaKubra.ShamAY0034363-ara1,0.8286,RELEASE
Shamela023590.txt,0.82855,raw_ShamelaY19
1270ShihabDinAlusi.RuhMacani.Tafsir07052-ara1,0.82853,RELEASE
3233.html,0.82847,RAWrabicaRafed
